year,region_type,region_year_spec,region_id,region_level,detection_sequencing_count
0,2020,NUTS,2016,AT,0,1
1,2020,NUTS,2016,AT1,1,1
2,2020,NUTS,2016,AT13,2,1
3,2020,NUTS,2016,AT130,3,1
4,2020,NUTS,2016,BE,0,2
5,2020,NUTS,2016,BE2,1,1
6,2020,NUTS,2016,BE23,2,1
7,2020,NUTS,2016,BE234,3,1
8,2020,NUTS,2016,BE3,1,1
9,2020,NUTS,2016,BE33,2,1
10,2020,NUTS,2016,BE332,3,1
11,2020,NUTS,2016,CH,0,14
12,2020,NUTS,2016,CH0,1,14
13,2020,NUTS,2016,CH01,2,10
14,2020,NUTS,2016,CH011,3,5
15,2020,NUTS,2016,CH013,3,5
16,2020,NUTS,2016,CH03,2,2
17,2020,NUTS,2016,CH031,3,2
18,2020,NUTS,2016,CH04,2,2
19,2020,NUTS,2016,CH040,3,2
20,2020,NUTS,2016,CY,0,1
21,2020,NUTS,2016,CY0,1,1
22,2020,NUTS,2016,CY00,2,1
23,2020,NUTS,2016,CY000,3,1
24,2020,NUTS,2016,DE,0,16
25,2020,NUTS,2016,DE1,1,1
26,2020,NUTS,2016,DE13,2,1
27,2020,NUTS,2016,DE131,3,1
28,2020,NUTS,2016,DE2,1,4
29,2020,NUTS,2016,DE21,2,3
30,2020,NUTS,2016,DE212,3,3
31,2020,NUTS,2016,DE23,2,1
32,2020,NUTS,2016,DE232,3,1
33,2020,NUTS,2016,DE3,1,1
34,2020,NUTS,2016,DE30,2,1
35,2020,NUTS,2016,DE300,3,1
36,2020,NUTS,2016,DE7,1,2
37,2020,NUTS,2016,DE71,2,2
38,2020,NUTS,2016,DE712,3,2
39,2020,NUTS,2016,DEA,1,5
40,2020,NUTS,2016,DEA2,2,4
41,2020,NUTS,2016,DEA22,3,3
42,2020,NUTS,2016,DEA23,3,1
43,2020,NUTS,2016,DEA5,2,1
44,2020,NUTS,2016,DEA56,3,1
45,2020,NUTS,2016,DEB,1,1
46,2020,NUTS,2016,DEB3,2,1
47,2020,NUTS,2016,DEB3F,3,1
48,2020,NUTS,2016,DED,1,2
49,2020,NUTS,2016,DED5,2,2
50,2020,NUTS,2016,DED51,3,2
51,2020,NUTS,2016,EL,0,1
52,2020,NUTS,2016,EL3,1,1
53,2020,NUTS,2016,EL30,2,1
54,2020,NUTS,2016,EL303,3,1
55,2020,NUTS,2016,ES,0,10
56,2020,NUTS,2016,ES1,1,3
57,2020,NUTS,2016,ES11,2,3
58,2020,NUTS,2016,ES111,3,2
59,2020,NUTS,2016,ES114,3,1
60,2020,NUTS,2016,ES3,1,3
61,2020,NUTS,2016,ES30,2,3
62,2020,NUTS,2016,ES300,3,3
63,2020,NUTS,2016,ES5,1,3
64,2020,NUTS,2016,ES51,2,1
65,2020,NUTS,2016,ES511,3,1
66,2020,NUTS,2016,ES52,2,2
67,2020,NUTS,2016,ES523,3,2
68,2020,NUTS,2016,ES7,1,1
69,2020,NUTS,2016,ES70,2,1
70,2020,NUTS,2016,ES709,3,1
71,2020,NUTS,2016,FI,0,1
72,2020,NUTS,2016,FI1,1,1
73,2020,NUTS,2016,FI1B,2,1
74,2020,NUTS,2016,FI1B1,3,1
75,2020,NUTS,2016,FR,0,10
76,2020,NUTS,2016,FR1,1,8
77,2020,NUTS,2016,FR10,2,8
78,2020,NUTS,2016,FR101,3,3
79,2020,NUTS,2016,FR103,3,1
80,2020,NUTS,2016,FR104,3,4
81,2020,NUTS,2016,FRF,1,1
82,2020,NUTS,2016,FRF1,2,1
83,2020,NUTS,2016,FRF11,3,1
84,2020,NUTS,2016,FRK,1,1
85,2020,NUTS,2016,FRK2,2,1
86,2020,NUTS,2016,FRK26,3,1
87,2020,NUTS,2016,HU,0,4
88,2020,NUTS,2016,HU1,1,4
89,2020,NUTS,2016,HU11,2,4
90,2020,NUTS,2016,HU110,3,4
91,2020,NUTS,2016,IT,0,19
92,2020,NUTS,2016,ITC,1,8
93,2020,NUTS,2016,ITC4,2,8
94,2020,NUTS,2016,ITC47,3,1
95,2020,NUTS,2016,ITC48,3,1
96,2020,NUTS,2016,ITC4C,3,6
97,2020,NUTS,2016,ITF,1,1
98,2020,NUTS,2016,ITF4,2,1
99,2020,NUTS,2016,ITF47,3,1
100,2020,NUTS,2016,ITG,1,1
101,2020,NUTS,2016,ITG2,2,1
102,2020,NUTS,2016,ITG25,3,1
103,2020,NUTS,2016,ITH,1,5
104,2020,NUTS,2016,ITH3,2,1
105,2020,NUTS,2016,ITH36,3,1
106,2020,NUTS,2016,ITH4,2,2
107,2020,NUTS,2016,ITH42,3,1
108,2020,NUTS,2016,ITH44,3,1
109,2020,NUTS,2016,ITH5,2,2
110,2020,NUTS,2016,ITH52,3,1
111,2020,NUTS,2016,ITH55,3,1
112,2020,NUTS,2016,ITI,1,4
113,2020,NUTS,2016,ITI1,2,2
114,2020,NUTS,2016,ITI14,3,2
115,2020,NUTS,2016,ITI4,2,2
116,2020,NUTS,2016,ITI43,3,2
117,2020,NUTS,2016,LT,0,2
118,2020,NUTS,2016,LT0,1,2
119,2020,NUTS,2016,LT01,2,2
120,2020,NUTS,2016,LT011,3,2
121,2020,NUTS,2016,NL,0,6
122,2020,NUTS,2016,NL3,1,5
123,2020,NUTS,2016,NL31,2,3
124,2020,NUTS,2016,NL310,3,3
125,2020,NUTS,2016,NL33,2,2
126,2020,NUTS,2016,NL337,3,1
127,2020,NUTS,2016,NL33C,3,1
128,2020,NUTS,2016,NL4,1,1
129,2020,NUTS,2016,NL42,2,1
130,2020,NUTS,2016,NL423,3,1
131,2020,NUTS,2016,NO,0,4
132,2020,NUTS,2016,NO0,1,4
133,2020,NUTS,2016,NO01,2,1
134,2020,NUTS,2016,NO011,3,1
135,2020,NUTS,2016,NO04,2,2
136,2020,NUTS,2016,NO043,3,2
137,2020,NUTS,2016,NO06,2,1
138,2020,NUTS,2016,NO060,3,1
139,2020,NUTS,2016,PL,0,2
140,2020,NUTS,2016,PL2,1,2
141,2020,NUTS,2016,PL21,2,2
142,2020,NUTS,2016,PL213,3,2
143,2020,NUTS,2016,RO,0,1
144,2020,NUTS,2016,RO3,1,1
145,2020,NUTS,2016,RO32,2,1
