year,region_type,region_year_spec,region_id,region_level,lockdown_social_distancing_2_count
0,2020,NUTS,2016,BE,0,18
1,2020,NUTS,2016,BE1,1,2
2,2020,NUTS,2016,BE10,2,2
3,2020,NUTS,2016,BE100,3,2
4,2020,NUTS,2016,BE2,1,14
5,2020,NUTS,2016,BE21,2,9
6,2020,NUTS,2016,BE211,3,9
7,2020,NUTS,2016,BE22,2,4
8,2020,NUTS,2016,BE221,3,4
9,2020,NUTS,2016,BE23,2,1
10,2020,NUTS,2016,BE234,3,1
11,2020,NUTS,2016,BE3,1,2
12,2020,NUTS,2016,BE31,2,1
13,2020,NUTS,2016,BE310,3,1
14,2020,NUTS,2016,BE32,2,1
15,2020,NUTS,2016,BE323,3,1
16,2020,NUTS,2016,CH,0,24
17,2020,NUTS,2016,CH0,1,24
18,2020,NUTS,2016,CH01,2,8
19,2020,NUTS,2016,CH011,3,3
20,2020,NUTS,2016,CH013,3,5
21,2020,NUTS,2016,CH02,2,5
22,2020,NUTS,2016,CH021,3,5
23,2020,NUTS,2016,CH04,2,10
24,2020,NUTS,2016,CH040,3,10
25,2020,NUTS,2016,CH05,2,1
26,2020,NUTS,2016,CH055,3,1
27,2020,NUTS,2016,CY,0,2
28,2020,NUTS,2016,CY0,1,2
29,2020,NUTS,2016,CY00,2,2
30,2020,NUTS,2016,CY000,3,2
31,2020,NUTS,2016,CZ,0,1
32,2020,NUTS,2016,CZ0,1,1
33,2020,NUTS,2016,CZ01,2,1
34,2020,NUTS,2016,CZ010,3,1
35,2020,NUTS,2016,DE,0,23
36,2020,NUTS,2016,DE1,1,2
37,2020,NUTS,2016,DE12,2,2
38,2020,NUTS,2016,DE125,3,1
39,2020,NUTS,2016,DE126,3,1
40,2020,NUTS,2016,DE2,1,8
41,2020,NUTS,2016,DE21,2,8
42,2020,NUTS,2016,DE212,3,8
43,2020,NUTS,2016,DE3,1,4
44,2020,NUTS,2016,DE30,2,4
45,2020,NUTS,2016,DE300,3,4
46,2020,NUTS,2016,DE7,1,1
47,2020,NUTS,2016,DE71,2,1
48,2020,NUTS,2016,DE712,3,1
49,2020,NUTS,2016,DEA,1,7
50,2020,NUTS,2016,DEA1,2,2
51,2020,NUTS,2016,DEA13,3,2
52,2020,NUTS,2016,DEA2,2,2
53,2020,NUTS,2016,DEA22,3,1
54,2020,NUTS,2016,DEA26,3,1
55,2020,NUTS,2016,DEA3,2,1
56,2020,NUTS,2016,DEA33,3,1
57,2020,NUTS,2016,DEA4,2,2
58,2020,NUTS,2016,DEA47,3,2
59,2020,NUTS,2016,DED,1,1
60,2020,NUTS,2016,DED4,2,1
61,2020,NUTS,2016,DED41,3,1
62,2020,NUTS,2016,DK,0,15
63,2020,NUTS,2016,DK0,1,15
64,2020,NUTS,2016,DK01,2,11
65,2020,NUTS,2016,DK011,3,11
66,2020,NUTS,2016,DK02,2,2
67,2020,NUTS,2016,DK021,3,2
68,2020,NUTS,2016,DK03,2,2
69,2020,NUTS,2016,DK031,3,2
70,2020,NUTS,2016,EL,0,5
71,2020,NUTS,2016,EL3,1,4
72,2020,NUTS,2016,EL30,2,4
73,2020,NUTS,2016,EL303,3,4
74,2020,NUTS,2016,EL4,1,1
75,2020,NUTS,2016,EL43,2,1
76,2020,NUTS,2016,EL433,3,1
77,2020,NUTS,2016,ES,0,15
78,2020,NUTS,2016,ES1,1,1
79,2020,NUTS,2016,ES11,2,1
80,2020,NUTS,2016,ES111,3,1
81,2020,NUTS,2016,ES2,1,2
82,2020,NUTS,2016,ES21,2,1
83,2020,NUTS,2016,ES213,3,1
84,2020,NUTS,2016,ES24,2,1
85,2020,NUTS,2016,ES243,3,1
86,2020,NUTS,2016,ES3,1,4
87,2020,NUTS,2016,ES30,2,4
88,2020,NUTS,2016,ES300,3,4
89,2020,NUTS,2016,ES4,1,2
90,2020,NUTS,2016,ES41,2,2
91,2020,NUTS,2016,ES413,3,2
92,2020,NUTS,2016,ES5,1,4
93,2020,NUTS,2016,ES51,2,3
94,2020,NUTS,2016,ES511,3,3
95,2020,NUTS,2016,ES52,2,1
96,2020,NUTS,2016,ES521,3,1
97,2020,NUTS,2016,ES6,1,2
98,2020,NUTS,2016,ES62,2,2
99,2020,NUTS,2016,ES620,3,2
100,2020,NUTS,2016,FR,0,12
101,2020,NUTS,2016,FR1,1,7
102,2020,NUTS,2016,FR10,2,7
103,2020,NUTS,2016,FR101,3,4
104,2020,NUTS,2016,FR104,3,3
105,2020,NUTS,2016,FRI,1,1
106,2020,NUTS,2016,FRI1,2,1
107,2020,NUTS,2016,FRI12,3,1
108,2020,NUTS,2016,FRJ,1,1
109,2020,NUTS,2016,FRJ1,2,1
110,2020,NUTS,2016,FRJ13,3,1
111,2020,NUTS,2016,FRK,1,1
112,2020,NUTS,2016,FRK2,2,1
113,2020,NUTS,2016,FRK26,3,1
114,2020,NUTS,2016,FRL,1,2
115,2020,NUTS,2016,FRL0,2,2
116,2020,NUTS,2016,FRL04,3,2
117,2020,NUTS,2016,HU,0,2
118,2020,NUTS,2016,HU1,1,1
119,2020,NUTS,2016,HU11,2,1
120,2020,NUTS,2016,HU110,3,1
121,2020,NUTS,2016,HU3,1,1
122,2020,NUTS,2016,HU33,2,1
123,2020,NUTS,2016,HU333,3,1
124,2020,NUTS,2016,IE,0,9
125,2020,NUTS,2016,IE0,1,9
126,2020,NUTS,2016,IE05,2,1
127,2020,NUTS,2016,IE053,3,1
128,2020,NUTS,2016,IE06,2,8
129,2020,NUTS,2016,IE061,3,8
130,2020,NUTS,2016,IS,0,1
131,2020,NUTS,2016,IS0,1,1
132,2020,NUTS,2016,IS00,2,1
133,2020,NUTS,2016,IS001,3,1
134,2020,NUTS,2016,IT,0,26
135,2020,NUTS,2016,ITC,1,16
136,2020,NUTS,2016,ITC1,2,6
137,2020,NUTS,2016,ITC11,3,6
138,2020,NUTS,2016,ITC4,2,10
139,2020,NUTS,2016,ITC41,3,1
140,2020,NUTS,2016,ITC46,3,2
141,2020,NUTS,2016,ITC4C,3,7
142,2020,NUTS,2016,ITF,1,2
143,2020,NUTS,2016,ITF3,2,1
144,2020,NUTS,2016,ITF33,3,1
145,2020,NUTS,2016,ITF4,2,1
146,2020,NUTS,2016,ITF47,3,1
147,2020,NUTS,2016,ITH,1,5
148,2020,NUTS,2016,ITH2,2,1
149,2020,NUTS,2016,ITH20,3,1
150,2020,NUTS,2016,ITH3,2,3
151,2020,NUTS,2016,ITH36,3,3
152,2020,NUTS,2016,ITH4,2,1
153,2020,NUTS,2016,ITH44,3,1
154,2020,NUTS,2016,ITI,1,3
155,2020,NUTS,2016,ITI1,2,1
156,2020,NUTS,2016,ITI14,3,1
157,2020,NUTS,2016,ITI4,2,2
158,2020,NUTS,2016,ITI43,3,2
159,2020,NUTS,2016,NL,0,21
160,2020,NUTS,2016,NL2,1,4
161,2020,NUTS,2016,NL22,2,4
162,2020,NUTS,2016,NL221,3,2
163,2020,NUTS,2016,NL226,3,2
164,2020,NUTS,2016,NL3,1,16
165,2020,NUTS,2016,NL31,2,8
166,2020,NUTS,2016,NL310,3,8
167,2020,NUTS,2016,NL33,2,8
168,2020,NUTS,2016,NL333,3,2
169,2020,NUTS,2016,NL337,3,3
170,2020,NUTS,2016,NL33C,3,3
171,2020,NUTS,2016,NL4,1,1
172,2020,NUTS,2016,NL41,2,1
173,2020,NUTS,2016,NL414,3,1
174,2020,NUTS,2016,NO,0,6
175,2020,NUTS,2016,NO0,1,6
176,2020,NUTS,2016,NO01,2,3
177,2020,NUTS,2016,NO011,3,2
178,2020,NUTS,2016,NO012,3,1
179,2020,NUTS,2016,NO03,2,1
180,2020,NUTS,2016,NO032,3,1
181,2020,NUTS,2016,NO05,2,1
182,2020,NUTS,2016,NO051,3,1
183,2020,NUTS,2016,NO07,2,1
184,2020,NUTS,2016,NO072,3,1
185,2020,NUTS,2016,PL,0,5
186,2020,NUTS,2016,PL2,1,2
187,2020,NUTS,2016,PL21,2,1
188,2020,NUTS,2016,PL213,3,1
189,2020,NUTS,2016,PL22,2,1
190,2020,NUTS,2016,PL22A,3,1
191,2020,NUTS,2016,PL7,1,1
192,2020,NUTS,2016,PL72,2,1
193,2020,NUTS,2016,PL721,3,1
194,2020,NUTS,2016,PL8,1,1
195,2020,NUTS,2016,PL84,2,1
196,2020,NUTS,2016,PL841,3,1
197,2020,NUTS,2016,PL9,1,1
198,2020,NUTS,2016,PL91,2,1
199,2020,NUTS,2016,PL911,3,1
200,2020,NUTS,2016,SE,0,12
201,2020,NUTS,2016,SE1,1,12
202,2020,NUTS,2016,SE11,2,10
203,2020,NUTS,2016,SE110,3,10
204,2020,NUTS,2016,SE12,2,2
205,2020,NUTS,2016,SE121,3,2
206,2020,NUTS,2016,SI,0,2
207,2020,NUTS,2016,SI0,1,2
208,2020,NUTS,2016,SI04,2,2
209,2020,NUTS,2016,SI041,3,2
210,2020,NUTS,2016,SK,0,1
211,2020,NUTS,2016,SK0,1,1
212,2020,NUTS,2016,SK04,2,1
213,2020,NUTS,2016,SK042,3,1
214,2020,NUTS,2016,TR,0,5
215,2020,NUTS,2016,TR1,1,1
216,2020,NUTS,2016,TR10,2,1
217,2020,NUTS,2016,TR100,3,1
218,2020,NUTS,2016,TR5,1,2
219,2020,NUTS,2016,TR51,2,2
220,2020,NUTS,2016,TR510,3,2
221,2020,NUTS,2016,TR7,1,1
222,2020,NUTS,2016,TR72,2,1
223,2020,NUTS,2016,TR722,3,1
224,2020,NUTS,2016,TR8,1,1
225,2020,NUTS,2016,TR83,2,1
226,2020,NUTS,2016,TR832,3,1
227,2020,NUTS,2016,UK,0,175
228,2020,NUTS,2016,UKD,1,8
229,2020,NUTS,2016,UKD3,2,3
230,2020,NUTS,2016,UKD33,3,3
231,2020,NUTS,2016,UKD4,2,3
