year,region_type,region_year_spec,region_id,region_level,population_impact_count
0,2020,NUTS,2016,AT,0,5
1,2020,NUTS,2016,AT1,1,4
2,2020,NUTS,2016,AT12,2,1
3,2020,NUTS,2016,AT127,3,1
4,2020,NUTS,2016,AT13,2,3
5,2020,NUTS,2016,AT130,3,3
6,2020,NUTS,2016,AT2,1,1
7,2020,NUTS,2016,AT22,2,1
8,2020,NUTS,2016,AT221,3,1
9,2020,NUTS,2016,BE,0,7
10,2020,NUTS,2016,BE1,1,1
11,2020,NUTS,2016,BE10,2,1
12,2020,NUTS,2016,BE100,3,1
13,2020,NUTS,2016,BE2,1,5
14,2020,NUTS,2016,BE21,2,4
15,2020,NUTS,2016,BE211,3,2
16,2020,NUTS,2016,BE213,3,2
17,2020,NUTS,2016,BE24,2,1
18,2020,NUTS,2016,BE241,3,1
19,2020,NUTS,2016,BE3,1,1
20,2020,NUTS,2016,BE33,2,1
21,2020,NUTS,2016,BE332,3,1
22,2020,NUTS,2016,CH,0,19
23,2020,NUTS,2016,CH0,1,19
24,2020,NUTS,2016,CH01,2,8
25,2020,NUTS,2016,CH011,3,1
26,2020,NUTS,2016,CH013,3,7
27,2020,NUTS,2016,CH02,2,3
28,2020,NUTS,2016,CH021,3,3
29,2020,NUTS,2016,CH04,2,7
30,2020,NUTS,2016,CH040,3,7
31,2020,NUTS,2016,CH05,2,1
32,2020,NUTS,2016,CH055,3,1
33,2020,NUTS,2016,CY,0,1
34,2020,NUTS,2016,CY0,1,1
35,2020,NUTS,2016,CY00,2,1
36,2020,NUTS,2016,CY000,3,1
37,2020,NUTS,2016,DE,0,38
38,2020,NUTS,2016,DE1,1,6
39,2020,NUTS,2016,DE11,2,1
40,2020,NUTS,2016,DE111,3,1
41,2020,NUTS,2016,DE12,2,2
42,2020,NUTS,2016,DE125,3,2
43,2020,NUTS,2016,DE13,2,3
44,2020,NUTS,2016,DE131,3,3
45,2020,NUTS,2016,DE2,1,14
46,2020,NUTS,2016,DE21,2,14
47,2020,NUTS,2016,DE212,3,14
48,2020,NUTS,2016,DE3,1,3
49,2020,NUTS,2016,DE30,2,3
50,2020,NUTS,2016,DE300,3,3
51,2020,NUTS,2016,DE5,1,1
52,2020,NUTS,2016,DE50,2,1
53,2020,NUTS,2016,DE501,3,1
54,2020,NUTS,2016,DE6,1,2
55,2020,NUTS,2016,DE60,2,2
56,2020,NUTS,2016,DE600,3,2
57,2020,NUTS,2016,DE7,1,5
58,2020,NUTS,2016,DE71,2,5
59,2020,NUTS,2016,DE712,3,5
60,2020,NUTS,2016,DE8,1,4
61,2020,NUTS,2016,DE80,2,4
62,2020,NUTS,2016,DE803,3,3
63,2020,NUTS,2016,DE80N,3,1
64,2020,NUTS,2016,DEA,1,1
65,2020,NUTS,2016,DEA2,2,1
66,2020,NUTS,2016,DEA22,3,1
67,2020,NUTS,2016,DEB,1,2
68,2020,NUTS,2016,DEB2,2,1
69,2020,NUTS,2016,DEB21,3,1
70,2020,NUTS,2016,DEB3,2,1
71,2020,NUTS,2016,DEB32,3,1
72,2020,NUTS,2016,DK,0,11
73,2020,NUTS,2016,DK0,1,11
74,2020,NUTS,2016,DK01,2,6
75,2020,NUTS,2016,DK011,3,4
76,2020,NUTS,2016,DK012,3,2
77,2020,NUTS,2016,DK02,2,1
78,2020,NUTS,2016,DK021,3,1
79,2020,NUTS,2016,DK03,2,2
80,2020,NUTS,2016,DK031,3,2
81,2020,NUTS,2016,DK04,2,2
82,2020,NUTS,2016,DK042,3,2
83,2020,NUTS,2016,EL,0,4
84,2020,NUTS,2016,EL4,1,2
85,2020,NUTS,2016,EL43,2,2
86,2020,NUTS,2016,EL433,3,2
87,2020,NUTS,2016,EL5,1,1
88,2020,NUTS,2016,EL52,2,1
89,2020,NUTS,2016,EL522,3,1
90,2020,NUTS,2016,EL6,1,1
91,2020,NUTS,2016,EL63,2,1
92,2020,NUTS,2016,EL632,3,1
93,2020,NUTS,2016,ES,0,25
94,2020,NUTS,2016,ES1,1,1
95,2020,NUTS,2016,ES12,2,1
96,2020,NUTS,2016,ES120,3,1
97,2020,NUTS,2016,ES2,1,1
98,2020,NUTS,2016,ES24,2,1
99,2020,NUTS,2016,ES243,3,1
100,2020,NUTS,2016,ES3,1,7
101,2020,NUTS,2016,ES30,2,7
