,year,nuts_id,nuts_year_spec,impact_studies_count
0,2018.0,FR1,2016,1
1,2019.0,ES3,2016,1
2,2019.0,NL3,2016,1
3,2020.0,AT1,2016,2
4,2020.0,BE2,2016,5
5,2020.0,BG4,2016,1
6,2020.0,CH0,2016,14
7,2020.0,CZ0,2016,4
8,2020.0,DE1,2016,9
9,2020.0,DE2,2016,7
10,2020.0,DE3,2016,6
11,2020.0,DE7,2016,11
12,2020.0,DE9,2016,3
13,2020.0,DEA,2016,7
14,2020.0,DED,2016,1
15,2020.0,DK0,2016,9
16,2020.0,EE0,2016,3
17,2020.0,ES2,2016,1
18,2020.0,ES3,2016,7
19,2020.0,FI1,2016,4
20,2020.0,FR1,2016,8
21,2020.0,FRE,2016,1
22,2020.0,FRJ,2016,1
23,2020.0,FRK,2016,3
24,2020.0,FRL,2016,3
25,2020.0,HU1,2016,1
26,2020.0,HU2,2016,1
27,2020.0,IE0,2016,2
28,2020.0,ITC,2016,8
29,2020.0,ITF,2016,3
30,2020.0,ITG,2016,1
31,2020.0,ITH,2016,2
32,2020.0,ITI,2016,5
33,2020.0,NL1,2016,1
34,2020.0,NL2,2016,7
35,2020.0,NL3,2016,9
36,2020.0,NO0,2016,3
37,2020.0,PL2,2016,4
38,2020.0,PL4,2016,1
39,2020.0,PL6,2016,1
40,2020.0,PL8,2016,1
41,2020.0,SE1,2016,1
42,2020.0,SE2,2016,1
43,2020.0,SI0,2016,1
44,2020.0,SK0,2016,1
45,2020.0,TR1,2016,2
46,2020.0,TR5,2016,1
47,2020.0,UKD,2016,10
48,2020.0,UKE,2016,4
49,2020.0,UKF,2016,1
50,2020.0,UKG,2016,5
51,2020.0,UKH,2016,21
52,2020.0,UKI,2016,22
53,2020.0,UKJ,2016,16
54,2020.0,UKK,2016,2
55,2020.0,UKM,2016,2
56,2021.0,BE2,2016,4
57,2021.0,CH0,2016,1
58,2021.0,DE2,2016,2
59,2021.0,DE3,2016,1
60,2021.0,DE9,2016,1
61,2021.0,DEA,2016,1
62,2021.0,DK0,2016,1
63,2021.0,EE0,2016,1
64,2021.0,EL3,2016,1
65,2021.0,EL4,2016,1
66,2021.0,EL5,2016,1
67,2021.0,FR1,2016,1
68,2021.0,FRG,2016,1
69,2021.0,FRI,2016,1
70,2021.0,FRJ,2016,1
71,2021.0,IE0,2016,1
72,2021.0,ITC,2016,1
73,2021.0,ITI,2016,1
74,2021.0,LU0,2016,1
75,2021.0,NL2,2016,2
76,2021.0,NL3,2016,4
77,2021.0,NO0,2016,2
78,2021.0,PL8,2016,1
79,2021.0,PT1,2016,1
80,2021.0,SE1,2016,3
81,2021.0,SE3,2016,1
82,2021.0,UKD,2016,6
83,2021.0,UKE,2016,1
84,2021.0,UKG,2016,2
85,2021.0,UKH,2016,3
86,2021.0,UKI,2016,1
87,2021.0,UKJ,2016,5
