,year,nuts_id,nuts_year_spec,antiviral_drugs_count
0,2018.0,CH,2016,2
1,2018.0,DE,2016,1
2,2018.0,NL,2016,3
3,2018.0,UK,2016,2
4,2019.0,DE,2016,5
5,2019.0,FR,2016,1
6,2019.0,IT,2016,1
7,2019.0,NL,2016,1
8,2019.0,UK,2016,4
9,2020.0,AT,2016,4
10,2020.0,BE,2016,2
11,2020.0,BG,2016,1
12,2020.0,CH,2016,8
13,2020.0,CZ,2016,4
14,2020.0,DE,2016,63
15,2020.0,DK,2016,3
16,2020.0,EE,2016,1
17,2020.0,EL,2016,2
18,2020.0,ES,2016,11
19,2020.0,FI,2016,1
20,2020.0,FR,2016,19
21,2020.0,HU,2016,2
22,2020.0,IE,2016,3
23,2020.0,IT,2016,12
24,2020.0,LU,2016,1
25,2020.0,NL,2016,24
26,2020.0,NO,2016,1
27,2020.0,PL,2016,5
28,2020.0,RO,2016,1
29,2020.0,SE,2016,3
30,2020.0,SI,2016,2
31,2020.0,TR,2016,5
32,2020.0,UK,2016,69
33,2021.0,BE,2016,1
34,2021.0,CH,2016,2
35,2021.0,DE,2016,1
36,2021.0,DK,2016,1
37,2021.0,EE,2016,1
38,2021.0,ES,2016,2
39,2021.0,IT,2016,2
40,2021.0,NL,2016,4
41,2021.0,NO,2016,1
42,2021.0,SE,2016,2
43,2021.0,UK,2016,10
