,year,nuts_id,nuts_year_spec,patient_impact_count
0,2020.0,BE1,2016,2
1,2020.0,BE2,2016,3
2,2020.0,BE3,2016,1
3,2020.0,CH0,2016,8
4,2020.0,DE1,2016,5
5,2020.0,DE2,2016,3
6,2020.0,DE3,2016,3
7,2020.0,DE7,2016,3
8,2020.0,DEA,2016,4
9,2020.0,DED,2016,1
10,2020.0,DK0,2016,10
11,2020.0,EL3,2016,4
12,2020.0,EL5,2016,3
13,2020.0,ES3,2016,4
14,2020.0,ES4,2016,2
15,2020.0,ES5,2016,10
16,2020.0,FI1,2016,2
17,2020.0,FR1,2016,7
18,2020.0,FRF,2016,1
19,2020.0,FRK,2016,1
20,2020.0,HR0,2016,3
21,2020.0,IE0,2016,2
22,2020.0,IS0,2016,1
23,2020.0,ITC,2016,11
24,2020.0,ITG,2016,1
25,2020.0,ITH,2016,5
26,2020.0,ITI,2016,5
27,2020.0,LV0,2016,1
28,2020.0,NL1,2016,1
29,2020.0,NL3,2016,12
30,2020.0,NO0,2016,6
31,2020.0,PT1,2016,5
32,2020.0,SE1,2016,10
33,2020.0,SE2,2016,7
34,2020.0,TR1,2016,3
35,2020.0,TR4,2016,1
36,2020.0,TR5,2016,1
37,2020.0,TR8,2016,1
38,2020.0,UKC,2016,3
39,2020.0,UKD,2016,10
40,2020.0,UKE,2016,8
41,2020.0,UKF,2016,8
42,2020.0,UKG,2016,9
43,2020.0,UKH,2016,9
44,2020.0,UKI,2016,42
45,2020.0,UKJ,2016,24
46,2020.0,UKK,2016,12
47,2020.0,UKL,2016,6
48,2020.0,UKM,2016,9
49,2021.0,BG3,2016,1
50,2021.0,CH0,2016,3
51,2021.0,DED,2016,1
52,2021.0,DK0,2016,2
53,2021.0,EL5,2016,1
54,2021.0,ES3,2016,1
55,2021.0,FI1,2016,1
56,2021.0,ITC,2016,4
57,2021.0,ITH,2016,2
58,2021.0,ITI,2016,1
59,2021.0,NL3,2016,1
60,2021.0,NO0,2016,3
61,2021.0,SE1,2016,3
62,2021.0,SE2,2016,2
63,2021.0,UKE,2016,2
64,2021.0,UKG,2016,1
65,2021.0,UKH,2016,1
66,2021.0,UKI,2016,5
67,2021.0,UKJ,2016,4
68,2021.0,UKL,2016,1
69,2021.0,UKM,2016,1
