,year,nuts_id,nuts_year_spec,detection_diagnosis_count
0,2020.0,AT13,2016,3
1,2020.0,AT33,2016,1
2,2020.0,BE10,2016,2
3,2020.0,BE23,2016,2
4,2020.0,BE24,2016,1
5,2020.0,CH01,2016,1
6,2020.0,CH04,2016,5
7,2020.0,CY00,2016,1
8,2020.0,DE12,2016,4
9,2020.0,DE13,2016,1
10,2020.0,DE14,2016,2
11,2020.0,DE21,2016,1
12,2020.0,DE30,2016,2
13,2020.0,DE60,2016,3
14,2020.0,DE71,2016,3
15,2020.0,DE91,2016,1
16,2020.0,DE92,2016,1
17,2020.0,DEA2,2016,1
18,2020.0,DEA5,2016,3
19,2020.0,DEE0,2016,1
20,2020.0,DK01,2016,2
21,2020.0,DK03,2016,2
22,2020.0,EL43,2016,2
23,2020.0,ES21,2016,2
24,2020.0,ES51,2016,1
25,2020.0,ES70,2016,2
26,2020.0,FI1B,2016,1
27,2020.0,FR10,2016,1
28,2020.0,FRJ1,2016,2
29,2020.0,IE05,2016,3
30,2020.0,IS00,2016,1
31,2020.0,ITF3,2016,1
32,2020.0,ITH4,2016,1
33,2020.0,ITI1,2016,1
34,2020.0,ITI4,2016,2
35,2020.0,NL22,2016,2
36,2020.0,NL32,2016,2
37,2020.0,NL33,2016,6
38,2020.0,SE11,2016,10
39,2020.0,TR31,2016,1
40,2020.0,TR51,2016,2
41,2020.0,UKD1,2016,1
42,2020.0,UKD4,2016,1
43,2020.0,UKD7,2016,1
44,2020.0,UKE3,2016,1
45,2020.0,UKF1,2016,2
46,2020.0,UKF2,2016,2
47,2020.0,UKH1,2016,4
48,2020.0,UKH2,2016,2
49,2020.0,UKI3,2016,18
50,2020.0,UKI7,2016,1
51,2020.0,UKJ1,2016,5
52,2020.0,UKJ2,2016,4
53,2020.0,UKJ3,2016,2
54,2020.0,UKJ4,2016,1
55,2020.0,UKL2,2016,1
56,2020.0,UKM7,2016,2
57,2020.0,UKM8,2016,1
58,2021.0,AT13,2016,1
59,2021.0,BE21,2016,1
60,2021.0,BE23,2016,1
61,2021.0,DE30,2016,2
62,2021.0,ITC4,2016,2
63,2021.0,NL22,2016,1
64,2021.0,UKG3,2016,2
65,2021.0,UKH1,2016,1
