,year,nuts_id,nuts_year_spec,detection_sequencing_count
0,2020.0,AT1,2016,1
1,2020.0,BE2,2016,1
2,2020.0,BE3,2016,1
3,2020.0,CH0,2016,14
4,2020.0,CY0,2016,1
5,2020.0,DE1,2016,1
6,2020.0,DE2,2016,4
7,2020.0,DE3,2016,1
8,2020.0,DE7,2016,2
9,2020.0,DEA,2016,5
10,2020.0,DEB,2016,1
11,2020.0,DED,2016,2
12,2020.0,EL3,2016,1
13,2020.0,ES1,2016,3
14,2020.0,ES3,2016,3
15,2020.0,ES5,2016,3
16,2020.0,ES7,2016,1
17,2020.0,FI1,2016,1
18,2020.0,FR1,2016,8
19,2020.0,FRF,2016,1
20,2020.0,FRK,2016,1
21,2020.0,HU1,2016,4
22,2020.0,ITC,2016,8
23,2020.0,ITF,2016,1
24,2020.0,ITG,2016,1
25,2020.0,ITH,2016,5
26,2020.0,ITI,2016,4
27,2020.0,LT0,2016,2
28,2020.0,NL3,2016,5
29,2020.0,NL4,2016,1
30,2020.0,NO0,2016,4
31,2020.0,PL2,2016,2
32,2020.0,RO3,2016,1
33,2020.0,SE1,2016,2
34,2020.0,SE2,2016,1
35,2020.0,SI0,2016,1
36,2020.0,TR1,2016,3
37,2020.0,TR7,2016,1
38,2020.0,TRA,2016,1
39,2020.0,UKD,2016,5
40,2020.0,UKE,2016,1
41,2020.0,UKG,2016,5
42,2020.0,UKH,2016,4
43,2020.0,UKI,2016,12
44,2020.0,UKJ,2016,4
45,2020.0,UKK,2016,3
46,2020.0,UKL,2016,1
47,2020.0,UKM,2016,4
48,2021.0,AT3,2016,1
49,2021.0,CH0,2016,4
50,2021.0,DE2,2016,1
51,2021.0,DE3,2016,2
52,2021.0,ES2,2016,2
53,2021.0,ES3,2016,2
54,2021.0,ES5,2016,1
55,2021.0,FR1,2016,1
56,2021.0,FRL,2016,1
57,2021.0,NL2,2016,1
58,2021.0,NL3,2016,4
59,2021.0,SK0,2016,2
60,2021.0,TR1,2016,1
61,2021.0,TR2,2016,1
62,2021.0,TR3,2016,1
63,2021.0,TR4,2016,2
64,2021.0,TR5,2016,2
65,2021.0,TR6,2016,1
66,2021.0,TR8,2016,1
67,2021.0,UKD,2016,1
68,2021.0,UKH,2016,1
69,2021.0,UKI,2016,4
70,2021.0,UKM,2016,3
