,year,nuts_id,nuts_year_spec,detection_diagnosis_count
0,2020.0,AT,2016,4
1,2020.0,BE,2016,5
2,2020.0,CH,2016,6
3,2020.0,CY,2016,1
4,2020.0,DE,2016,23
5,2020.0,DK,2016,4
6,2020.0,EL,2016,2
7,2020.0,ES,2016,5
8,2020.0,FI,2016,1
9,2020.0,FR,2016,3
10,2020.0,IE,2016,3
11,2020.0,IS,2016,1
12,2020.0,IT,2016,5
13,2020.0,NL,2016,10
14,2020.0,SE,2016,10
15,2020.0,TR,2016,3
16,2020.0,UK,2016,49
17,2021.0,AT,2016,1
18,2021.0,BE,2016,2
19,2021.0,DE,2016,2
20,2021.0,IT,2016,2
21,2021.0,NL,2016,1
22,2021.0,UK,2016,3
