year,region_type,region_year_spec,region_id,region_level,airborne_count
0,2020,NUTS,2016,AT,0,2
1,2020,NUTS,2016,AT1,1,2
2,2020,NUTS,2016,AT13,2,2
3,2020,NUTS,2016,AT130,3,2
4,2020,NUTS,2016,BE,0,8
5,2020,NUTS,2016,BE2,1,2
6,2020,NUTS,2016,BE23,2,2
7,2020,NUTS,2016,BE234,3,2
8,2020,NUTS,2016,BE3,1,6
9,2020,NUTS,2016,BE31,2,1
10,2020,NUTS,2016,BE310,3,1
11,2020,NUTS,2016,BE33,2,3
12,2020,NUTS,2016,BE332,3,3
13,2020,NUTS,2016,BE35,2,2
14,2020,NUTS,2016,BE352,3,2
15,2020,NUTS,2016,BG,0,1
16,2020,NUTS,2016,BG4,1,1
17,2020,NUTS,2016,BG41,2,1
18,2020,NUTS,2016,BG411,3,1
19,2020,NUTS,2016,CH,0,8
20,2020,NUTS,2016,CH0,1,8
21,2020,NUTS,2016,CH01,2,2
22,2020,NUTS,2016,CH011,3,1
23,2020,NUTS,2016,CH013,3,1
24,2020,NUTS,2016,CH02,2,1
25,2020,NUTS,2016,CH021,3,1
26,2020,NUTS,2016,CH04,2,5
27,2020,NUTS,2016,CH040,3,5
28,2020,NUTS,2016,CY,0,1
29,2020,NUTS,2016,CY0,1,1
30,2020,NUTS,2016,CY00,2,1
31,2020,NUTS,2016,CY000,3,1
32,2020,NUTS,2016,DE,0,25
33,2020,NUTS,2016,DE1,1,4
34,2020,NUTS,2016,DE13,2,1
35,2020,NUTS,2016,DE131,3,1
36,2020,NUTS,2016,DE14,2,3
37,2020,NUTS,2016,DE142,3,2
38,2020,NUTS,2016,DE144,3,1
39,2020,NUTS,2016,DE2,1,5
40,2020,NUTS,2016,DE21,2,3
41,2020,NUTS,2016,DE212,3,3
42,2020,NUTS,2016,DE25,2,2
43,2020,NUTS,2016,DE252,3,2
44,2020,NUTS,2016,DE3,1,7
45,2020,NUTS,2016,DE30,2,7
46,2020,NUTS,2016,DE300,3,7
47,2020,NUTS,2016,DE6,1,1
48,2020,NUTS,2016,DE60,2,1
49,2020,NUTS,2016,DE600,3,1
50,2020,NUTS,2016,DE7,1,3
51,2020,NUTS,2016,DE71,2,2
52,2020,NUTS,2016,DE712,3,2
53,2020,NUTS,2016,DE72,2,1
54,2020,NUTS,2016,DE724,3,1
55,2020,NUTS,2016,DEA,1,3
56,2020,NUTS,2016,DEA1,2,1
57,2020,NUTS,2016,DEA13,3,1
58,2020,NUTS,2016,DEA5,2,2
59,2020,NUTS,2016,DEA51,3,2
60,2020,NUTS,2016,DED,1,1
61,2020,NUTS,2016,DED4,2,1
62,2020,NUTS,2016,DED43,3,1
63,2020,NUTS,2016,DEE,1,1
64,2020,NUTS,2016,DEE0,2,1
65,2020,NUTS,2016,DEE02,3,1
66,2020,NUTS,2016,EE,0,1
67,2020,NUTS,2016,EE0,1,1
68,2020,NUTS,2016,EE00,2,1
69,2020,NUTS,2016,EE001,3,1
70,2020,NUTS,2016,EL,0,1
71,2020,NUTS,2016,EL5,1,1
72,2020,NUTS,2016,EL51,2,1
73,2020,NUTS,2016,EL512,3,1
74,2020,NUTS,2016,ES,0,2
75,2020,NUTS,2016,ES4,1,1
76,2020,NUTS,2016,ES41,2,1
77,2020,NUTS,2016,ES413,3,1
78,2020,NUTS,2016,ES5,1,1
79,2020,NUTS,2016,ES51,2,1
80,2020,NUTS,2016,ES511,3,1
81,2020,NUTS,2016,FR,0,7
82,2020,NUTS,2016,FR1,1,4
83,2020,NUTS,2016,FR10,2,4
84,2020,NUTS,2016,FR101,3,1
85,2020,NUTS,2016,FR104,3,3
86,2020,NUTS,2016,FRI,1,1
87,2020,NUTS,2016,FRI1,2,1
88,2020,NUTS,2016,FRI12,3,1
89,2020,NUTS,2016,FRJ,1,1
90,2020,NUTS,2016,FRJ1,2,1
91,2020,NUTS,2016,FRJ13,3,1
92,2020,NUTS,2016,FRL,1,1
93,2020,NUTS,2016,FRL0,2,1
94,2020,NUTS,2016,FRL04,3,1
95,2020,NUTS,2016,IS,0,2
96,2020,NUTS,2016,IS0,1,2
97,2020,NUTS,2016,IS00,2,2
98,2020,NUTS,2016,IS001,3,2
99,2020,NUTS,2016,IT,0,20
100,2020,NUTS,2016,ITC,1,9
101,2020,NUTS,2016,ITC4,2,9
102,2020,NUTS,2016,ITC4C,3,9
103,2020,NUTS,2016,ITF,1,2
104,2020,NUTS,2016,ITF1,2,1
105,2020,NUTS,2016,ITF14,3,1
106,2020,NUTS,2016,ITF4,2,1
107,2020,NUTS,2016,ITF47,3,1
108,2020,NUTS,2016,ITH,1,2
109,2020,NUTS,2016,ITH3,2,2
110,2020,NUTS,2016,ITH36,3,2
111,2020,NUTS,2016,ITI,1,7
112,2020,NUTS,2016,ITI3,2,1
113,2020,NUTS,2016,ITI32,3,1
114,2020,NUTS,2016,ITI4,2,6
115,2020,NUTS,2016,ITI43,3,3
116,2020,NUTS,2016,ITI45,3,3
117,2020,NUTS,2016,LU,0,1
118,2020,NUTS,2016,LU0,1,1
119,2020,NUTS,2016,LU00,2,1
120,2020,NUTS,2016,LU000,3,1
121,2020,NUTS,2016,NL,0,12
122,2020,NUTS,2016,NL2,1,2
123,2020,NUTS,2016,NL21,2,2
124,2020,NUTS,2016,NL213,3,2
125,2020,NUTS,2016,NL3,1,8
126,2020,NUTS,2016,NL31,2,1
127,2020,NUTS,2016,NL310,3,1
128,2020,NUTS,2016,NL32,2,2
129,2020,NUTS,2016,NL329,3,2
130,2020,NUTS,2016,NL33,2,5
131,2020,NUTS,2016,NL333,3,1
132,2020,NUTS,2016,NL337,3,1
133,2020,NUTS,2016,NL33C,3,3
134,2020,NUTS,2016,NL4,1,2
135,2020,NUTS,2016,NL41,2,2
136,2020,NUTS,2016,NL414,3,2
137,2020,NUTS,2016,NO,0,2
138,2020,NUTS,2016,NO0,1,2
139,2020,NUTS,2016,NO01,2,1
140,2020,NUTS,2016,NO011,3,1
141,2020,NUTS,2016,NO06,2,1
142,2020,NUTS,2016,NO060,3,1
143,2020,NUTS,2016,SE,0,1
144,2020,NUTS,2016,SE2,1,1
145,2020,NUTS,2016,SE23,2,1
146,2020,NUTS,2016,SE232,3,1
147,2020,NUTS,2016,UK,0,53
148,2020,NUTS,2016,UKC,1,2
149,2020,NUTS,2016,UKC1,2,1
150,2020,NUTS,2016,UKC14,3,1
151,2020,NUTS,2016,UKC2,2,1
152,2020,NUTS,2016,UKC22,3,1
153,2020,NUTS,2016,UKD,1,6
154,2020,NUTS,2016,UKD3,2,1
155,2020,NUTS,2016,UKD33,3,1
156,2020,NUTS,2016,UKD7,2,5
157,2020,NUTS,2016,UKD72,3,5
158,2020,NUTS,2016,UKE,1,3
159,2020,NUTS,2016,UKE4,2,3
160,2020,NUTS,2016,UKE42,3,3
161,2020,NUTS,2016,UKG,1,2
162,2020,NUTS,2016,UKG1,2,1
163,2020,NUTS,2016,UKG13,3,1
164,2020,NUTS,2016,UKG3,2,1
165,2020,NUTS,2016,UKG31,3,1
166,2020,NUTS,2016,UKH,1,7
167,2020,NUTS,2016,UKH1,2,6
168,2020,NUTS,2016,UKH12,3,6
169,2020,NUTS,2016,UKH2,2,1
170,2020,NUTS,2016,UKH23,3,1
171,2020,NUTS,2016,UKI,1,12
172,2020,NUTS,2016,UKI3,2,8
173,2020,NUTS,2016,UKI31,3,2
174,2020,NUTS,2016,UKI32,3,2
175,2020,NUTS,2016,UKI33,3,4
176,2020,NUTS,2016,UKI4,2,3
177,2020,NUTS,2016,UKI42,3,3
178,2020,NUTS,2016,UKI7,2,1
179,2020,NUTS,2016,UKI75,3,1
180,2020,NUTS,2016,UKJ,1,5
181,2020,NUTS,2016,UKJ1,2,1
182,2020,NUTS,2016,UKJ13,3,1
183,2020,NUTS,2016,UKJ2,2,4
