,year,nuts_id,nuts_year_spec,detection_diagnosis_count
0,2020.0,AT130,2016,3
1,2020.0,AT332,2016,1
2,2020.0,BE100,2016,2
3,2020.0,BE234,2016,2
4,2020.0,BE242,2016,1
5,2020.0,CH013,2016,1
6,2020.0,CH040,2016,5
7,2020.0,CY000,2016,1
8,2020.0,DE122,2016,1
9,2020.0,DE125,2016,3
10,2020.0,DE138,2016,1
11,2020.0,DE142,2016,1
12,2020.0,DE144,2016,1
13,2020.0,DE212,2016,1
14,2020.0,DE300,2016,2
15,2020.0,DE600,2016,3
16,2020.0,DE712,2016,3
17,2020.0,DE911,2016,1
18,2020.0,DE929,2016,1
19,2020.0,DEA23,2016,1
20,2020.0,DEA51,2016,2
21,2020.0,DEA56,2016,1
22,2020.0,DEE02,2016,1
23,2020.0,DK011,2016,2
24,2020.0,DK031,2016,2
25,2020.0,EL431,2016,1
26,2020.0,EL433,2016,1
27,2020.0,ES213,2016,2
28,2020.0,ES511,2016,1
29,2020.0,ES709,2016,2
30,2020.0,FI1B1,2016,1
31,2020.0,FR101,2016,1
32,2020.0,FRJ13,2016,2
33,2020.0,IE051,2016,1
34,2020.0,IE053,2016,2
35,2020.0,IS001,2016,1
36,2020.0,ITF33,2016,1
37,2020.0,ITH42,2016,1
38,2020.0,ITI14,2016,1
39,2020.0,ITI43,2016,2
40,2020.0,NL226,2016,2
41,2020.0,NL329,2016,2
42,2020.0,NL337,2016,3
43,2020.0,NL33C,2016,3
44,2020.0,SE110,2016,10
45,2020.0,TR310,2016,1
46,2020.0,TR510,2016,2
47,2020.0,UKD12,2016,1
48,2020.0,UKD44,2016,1
49,2020.0,UKD72,2016,1
50,2020.0,UKE32,2016,1
51,2020.0,UKF14,2016,2
52,2020.0,UKF21,2016,2
53,2020.0,UKH12,2016,4
54,2020.0,UKH23,2016,2
55,2020.0,UKI31,2016,9
56,2020.0,UKI32,2016,3
57,2020.0,UKI33,2016,6
58,2020.0,UKI74,2016,1
59,2020.0,UKJ14,2016,5
60,2020.0,UKJ25,2016,4
61,2020.0,UKJ37,2016,2
62,2020.0,UKJ44,2016,1
63,2020.0,UKL22,2016,1
64,2020.0,UKM75,2016,2
65,2020.0,UKM82,2016,1
66,2021.0,AT130,2016,1
67,2021.0,BE211,2016,1
68,2021.0,BE234,2016,1
69,2021.0,DE300,2016,2
70,2021.0,ITC48,2016,1
71,2021.0,ITC4C,2016,1
72,2021.0,NL226,2016,1
73,2021.0,UKG31,2016,2
74,2021.0,UKH17,2016,1
