year,region_type,region_year_spec,region_id,region_level,antibodies_count
0,2020,NUTS,2016,AT,0,3
1,2020,NUTS,2016,AT1,1,3
2,2020,NUTS,2016,AT12,2,1
3,2020,NUTS,2016,AT124,3,1
4,2020,NUTS,2016,AT13,2,2
5,2020,NUTS,2016,AT130,3,2
6,2020,NUTS,2016,BE,0,3
7,2020,NUTS,2016,BE2,1,3
8,2020,NUTS,2016,BE21,2,3
9,2020,NUTS,2016,BE211,3,3
10,2020,NUTS,2016,CH,0,14
11,2020,NUTS,2016,CH0,1,14
12,2020,NUTS,2016,CH01,2,6
13,2020,NUTS,2016,CH011,3,4
14,2020,NUTS,2016,CH013,3,2
15,2020,NUTS,2016,CH02,2,1
16,2020,NUTS,2016,CH021,3,1
17,2020,NUTS,2016,CH03,2,3
18,2020,NUTS,2016,CH031,3,3
19,2020,NUTS,2016,CH04,2,4
20,2020,NUTS,2016,CH040,3,4
21,2020,NUTS,2016,DE,0,44
22,2020,NUTS,2016,DE1,1,9
23,2020,NUTS,2016,DE12,2,5
24,2020,NUTS,2016,DE125,3,5
25,2020,NUTS,2016,DE13,2,2
26,2020,NUTS,2016,DE131,3,2
27,2020,NUTS,2016,DE14,2,2
28,2020,NUTS,2016,DE142,3,2
29,2020,NUTS,2016,DE2,1,5
30,2020,NUTS,2016,DE21,2,5
31,2020,NUTS,2016,DE212,3,5
32,2020,NUTS,2016,DE3,1,5
33,2020,NUTS,2016,DE30,2,5
34,2020,NUTS,2016,DE300,3,5
35,2020,NUTS,2016,DE6,1,1
36,2020,NUTS,2016,DE60,2,1
37,2020,NUTS,2016,DE600,3,1
38,2020,NUTS,2016,DE7,1,2
39,2020,NUTS,2016,DE71,2,1
40,2020,NUTS,2016,DE712,3,1
41,2020,NUTS,2016,DE73,2,1
42,2020,NUTS,2016,DE731,3,1
43,2020,NUTS,2016,DE9,1,4
44,2020,NUTS,2016,DE91,2,1
45,2020,NUTS,2016,DE91C,3,1
46,2020,NUTS,2016,DE92,2,3
47,2020,NUTS,2016,DE929,3,3
48,2020,NUTS,2016,DEA,1,15
49,2020,NUTS,2016,DEA1,2,5
50,2020,NUTS,2016,DEA13,3,5
51,2020,NUTS,2016,DEA2,2,6
52,2020,NUTS,2016,DEA22,3,2
53,2020,NUTS,2016,DEA23,3,3
54,2020,NUTS,2016,DEA26,3,1
55,2020,NUTS,2016,DEA3,2,1
56,2020,NUTS,2016,DEA33,3,1
57,2020,NUTS,2016,DEA5,2,3
58,2020,NUTS,2016,DEA51,3,3
59,2020,NUTS,2016,DEC,1,2
60,2020,NUTS,2016,DEC0,2,2
61,2020,NUTS,2016,DEC01,3,2
62,2020,NUTS,2016,DED,1,1
63,2020,NUTS,2016,DED4,2,1
64,2020,NUTS,2016,DED41,3,1
65,2020,NUTS,2016,DK,0,5
66,2020,NUTS,2016,DK0,1,5
67,2020,NUTS,2016,DK01,2,3
68,2020,NUTS,2016,DK011,3,2
69,2020,NUTS,2016,DK012,3,1
70,2020,NUTS,2016,DK04,2,2
71,2020,NUTS,2016,DK042,3,2
72,2020,NUTS,2016,EL,0,2
73,2020,NUTS,2016,EL5,1,1
74,2020,NUTS,2016,EL52,2,1
75,2020,NUTS,2016,EL522,3,1
76,2020,NUTS,2016,EL6,1,1
77,2020,NUTS,2016,EL63,2,1
78,2020,NUTS,2016,EL632,3,1
79,2020,NUTS,2016,ES,0,17
80,2020,NUTS,2016,ES2,1,2
81,2020,NUTS,2016,ES22,2,2
82,2020,NUTS,2016,ES220,3,2
83,2020,NUTS,2016,ES3,1,9
84,2020,NUTS,2016,ES30,2,9
