,year,nuts_id,nuts_year_spec,detection_sequencing_lq
0,2020,AL,2016,0.0
1,2020,AT,2016,0.2959730833340683
2,2020,BE,2016,0.8810233254138062
3,2020,BG,2016,0.0
4,2020,CH,2016,1.744166103632867
5,2020,CY,2016,3.3522625112376385
6,2020,CZ,2016,0.0
7,2020,DE,2016,0.6315938053576176
8,2020,DK,2016,0.0
9,2020,EE,2016,0.0
10,2020,EL,2016,0.6762074593483649
11,2020,ES,2016,1.2119718309859155
12,2020,FI,2016,0.5496151326564036
13,2020,FR,2016,1.015400674725042
14,2020,HR,2016,0.0
15,2020,HU,2016,3.938908450704225
16,2020,IE,2016,0.0
17,2020,IS,2016,0.0
18,2020,IT,2016,1.7012144852444846
19,2020,LT,2016,21.98460530625614
20,2020,LU,2016,0.0
21,2020,LV,2016,0.0
22,2020,ME,2016,0.0
23,2020,MK,2016,0.0
24,2020,MT,2016,0.0
25,2020,NL,2016,0.6397505266201313
26,2020,NO,2016,1.750625978090767
27,2020,PL,2016,0.8380656278094096
28,2020,PT,2016,0.0
29,2020,RO,2016,4.589019554218515
30,2020,RS,2016,0.0
31,2020,SE,2016,0.5320851940913776
32,2020,SI,2016,2.764146281195948
33,2020,SK,2016,0.0
34,2020,TR,2016,3.591709833468899
35,2020,UK,2016,1.0550043810047374
36,2021,AT,2016,0.8622670807453418
37,2021,BE,2016,0.0
38,2021,BG,2016,0.0
39,2021,CH,2016,1.6852807283763278
40,2021,CY,2016,0.0
41,2021,CZ,2016,0.0
42,2021,DE,2016,0.4204694598687531
43,2021,DK,2016,0.0
44,2021,EE,2016,0.0
45,2021,EL,2016,0.0
46,2021,ES,2016,2.239112903225806
47,2021,FI,2016,0.0
48,2021,FR,2016,0.7029113924050633
49,2021,HR,2016,0.0
50,2021,HU,2016,0.0
51,2021,IE,2016,0.0
52,2021,IS,2016,0.0
53,2021,IT,2016,0.0
54,2021,LT,2016,0.0
55,2021,LU,2016,0.0
56,2021,LV,2016,0.0
57,2021,ME,2016,0.0
58,2021,MK,2016,0.0
59,2021,MT,2016,0.0
60,2021,NL,2016,1.958039492242595
61,2021,NO,2016,0.0
62,2021,PL,2016,0.0
63,2021,PT,2016,0.0
64,2021,RO,2016,0.0
65,2021,RS,2016,0.0
66,2021,SE,2016,0.0
67,2021,SI,2016,0.0
68,2021,SK,2016,25.240909090909096
69,2021,TR,2016,20.48237704918033
70,2021,UK,2016,0.9461756910261265
