,year,nuts_id,nuts_year_spec,repurposed_treatments_count
0,2020.0,BE21,2016,1
1,2020.0,BE24,2016,1
2,2020.0,BE31,2016,2
3,2020.0,CH01,2016,3
4,2020.0,CH02,2016,1
5,2020.0,CH03,2016,1
6,2020.0,DE12,2016,1
7,2020.0,DE14,2016,1
8,2020.0,DE21,2016,1
9,2020.0,DE27,2016,1
10,2020.0,DE60,2016,1
11,2020.0,DEC0,2016,1
12,2020.0,DK01,2016,7
13,2020.0,DK03,2016,2
14,2020.0,DK04,2016,2
15,2020.0,EL30,2016,3
16,2020.0,EL51,2016,2
17,2020.0,EL52,2016,1
18,2020.0,EL54,2016,2
19,2020.0,EL63,2016,1
20,2020.0,ES30,2016,15
21,2020.0,ES41,2016,1
22,2020.0,ES42,2016,1
23,2020.0,ES51,2016,6
24,2020.0,ES61,2016,3
25,2020.0,FI1B,2016,1
26,2020.0,FR10,2016,23
27,2020.0,FRK2,2016,1
28,2020.0,FRL0,2016,2
29,2020.0,HU11,2016,2
30,2020.0,IE05,2016,3
31,2020.0,IE06,2016,3
32,2020.0,ITC1,2016,1
33,2020.0,ITC3,2016,2
34,2020.0,ITC4,2016,9
35,2020.0,ITF4,2016,1
36,2020.0,ITG1,2016,1
37,2020.0,ITH3,2016,1
38,2020.0,ITH4,2016,3
39,2020.0,ITH5,2016,2
40,2020.0,ITI1,2016,3
41,2020.0,ITI4,2016,2
42,2020.0,NL22,2016,3
43,2020.0,NL31,2016,3
44,2020.0,NL32,2016,1
45,2020.0,NL33,2016,3
46,2020.0,NO01,2016,3
47,2020.0,PL22,2016,2
48,2020.0,PL51,2016,1
49,2020.0,PL61,2016,1
50,2020.0,PL63,2016,1
51,2020.0,PL71,2016,2
52,2020.0,PL72,2016,1
53,2020.0,PL81,2016,1
54,2020.0,PL84,2016,1
55,2020.0,PT11,2016,1
56,2020.0,SE11,2016,4
57,2020.0,SE22,2016,1
58,2020.0,SE23,2016,2
59,2020.0,TR10,2016,1
60,2020.0,TRA1,2016,1
61,2020.0,UKC1,2016,6
62,2020.0,UKC2,2016,3
63,2020.0,UKD3,2016,10
64,2020.0,UKD6,2016,2
65,2020.0,UKD7,2016,2
66,2020.0,UKE2,2016,2
67,2020.0,UKE3,2016,1
68,2020.0,UKF1,2016,8
69,2020.0,UKF2,2016,6
70,2020.0,UKG1,2016,1
71,2020.0,UKG2,2016,1
72,2020.0,UKG3,2016,8
73,2020.0,UKH1,2016,5
74,2020.0,UKH2,2016,1
75,2020.0,UKI3,2016,20
76,2020.0,UKI4,2016,2
77,2020.0,UKI7,2016,1
78,2020.0,UKJ1,2016,5
79,2020.0,UKJ2,2016,2
80,2020.0,UKJ3,2016,5
81,2020.0,UKK1,2016,3
82,2020.0,UKK3,2016,3
83,2020.0,UKL2,2016,2
84,2020.0,UKM7,2016,4
85,2020.0,UKM8,2016,1
86,2021.0,BE21,2016,1
87,2021.0,CH01,2016,2
88,2021.0,DEA2,2016,1
89,2021.0,DK01,2016,1
90,2021.0,EL30,2016,1
91,2021.0,EL63,2016,1
92,2021.0,ES51,2016,1
93,2021.0,FI1B,2016,1
94,2021.0,FR10,2016,2
95,2021.0,IE06,2016,1
96,2021.0,NL31,2016,2
97,2021.0,PL22,2016,2
98,2021.0,PL51,2016,1
99,2021.0,PL61,2016,1
100,2021.0,PL71,2016,1
101,2021.0,PL72,2016,1
102,2021.0,PL81,2016,1
103,2021.0,PL84,2016,1
104,2021.0,PL91,2016,1
105,2021.0,SI04,2016,1
106,2021.0,UKC1,2016,2
107,2021.0,UKD3,2016,3
108,2021.0,UKD4,2016,1
109,2021.0,UKF1,2016,2
110,2021.0,UKF2,2016,2
111,2021.0,UKG1,2016,1
112,2021.0,UKG3,2016,1
113,2021.0,UKH2,2016,1
114,2021.0,UKI3,2016,5
115,2021.0,UKI6,2016,1
116,2021.0,UKJ1,2016,5
117,2021.0,UKJ3,2016,1
118,2021.0,UKK1,2016,2
119,2021.0,UKM7,2016,1
120,2021.0,UKN0,2016,1
