,year,nuts_id,nuts_year_spec,trials_count
0,2017.0,UKJ32,2016,1
1,2018.0,FRL04,2016,1
2,2019.0,FRL04,2016,1
3,2020.0,AT130,2016,2
4,2020.0,AT221,2016,1
5,2020.0,CH013,2016,1
6,2020.0,CH021,2016,2
7,2020.0,DE131,2016,2
8,2020.0,DE212,2016,1
9,2020.0,DE263,2016,1
10,2020.0,DE404,2016,1
11,2020.0,DE91C,2016,1
12,2020.0,DEA23,2016,1
13,2020.0,DEA2D,2016,2
14,2020.0,DED41,2016,1
15,2020.0,DK011,2016,2
16,2020.0,DK012,2016,1
17,2020.0,DK031,2016,1
18,2020.0,EL303,2016,1
19,2020.0,EL522,2016,1
20,2020.0,ES111,2016,1
21,2020.0,ES300,2016,3
22,2020.0,ES511,2016,1
23,2020.0,FI1B1,2016,1
24,2020.0,FR101,2016,2
25,2020.0,FR104,2016,9
26,2020.0,FRF11,2016,1
27,2020.0,FRI12,2016,2
28,2020.0,FRJ13,2016,1
29,2020.0,FRL04,2016,1
30,2020.0,IE061,2016,1
31,2020.0,ITC11,2016,1
32,2020.0,ITC4C,2016,2
33,2020.0,ITH36,2016,1
34,2020.0,ITH54,2016,1
35,2020.0,ITI43,2016,3
36,2020.0,NL213,2016,1
37,2020.0,NL221,2016,1
38,2020.0,NL226,2016,5
39,2020.0,NL310,2016,2
40,2020.0,NL329,2016,5
41,2020.0,NL337,2016,3
42,2020.0,NL33C,2016,2
43,2020.0,NL423,2016,1
44,2020.0,NO011,2016,1
45,2020.0,PL213,2016,1
46,2020.0,PL514,2016,2
47,2020.0,PL911,2016,1
48,2020.0,PT119,2016,1
49,2020.0,SE110,2016,3
50,2020.0,SE331,2016,1
51,2020.0,SK010,2016,1
52,2020.0,TR100,2016,1
53,2020.0,TR510,2016,1
54,2020.0,TR521,2016,1
55,2020.0,TR831,2016,1
56,2020.0,TRB11,2016,1
57,2020.0,UKC22,2016,1
58,2020.0,UKD33,2016,2
59,2020.0,UKD34,2016,1
60,2020.0,UKD72,2016,2
61,2020.0,UKE12,2016,1
62,2020.0,UKE32,2016,2
63,2020.0,UKF14,2016,2
64,2020.0,UKG13,2016,1
65,2020.0,UKG24,2016,1
66,2020.0,UKG31,2016,1
67,2020.0,UKH12,2016,3
68,2020.0,UKH17,2016,3
69,2020.0,UKH23,2016,3
70,2020.0,UKI31,2016,7
71,2020.0,UKI32,2016,4
72,2020.0,UKI33,2016,7
73,2020.0,UKI44,2016,1
74,2020.0,UKJ14,2016,8
75,2020.0,UKJ32,2016,4
76,2020.0,UKJ36,2016,1
77,2020.0,UKK11,2016,2
78,2020.0,UKK41,2016,1
79,2020.0,UKN06,2016,1
80,2021.0,EL303,2016,1
81,2021.0,FR104,2016,1
82,2021.0,NL226,2016,1
83,2021.0,NL310,2016,1
84,2021.0,NL329,2016,2
85,2021.0,NL337,2016,1
86,2021.0,UKI31,2016,1
87,2021.0,UKK11,2016,1
