year,region_type,region_year_spec,region_id,region_level,social_media_count
0,2020,NUTS,2016,AT,0,8
1,2020,NUTS,2016,AT1,1,4
2,2020,NUTS,2016,AT13,2,4
3,2020,NUTS,2016,AT130,3,4
4,2020,NUTS,2016,AT2,1,1
5,2020,NUTS,2016,AT22,2,1
6,2020,NUTS,2016,AT221,3,1
7,2020,NUTS,2016,AT3,1,3
8,2020,NUTS,2016,AT31,2,1
9,2020,NUTS,2016,AT312,3,1
10,2020,NUTS,2016,AT33,2,2
11,2020,NUTS,2016,AT332,3,2
12,2020,NUTS,2016,BE,0,3
13,2020,NUTS,2016,BE2,1,3
14,2020,NUTS,2016,BE21,2,3
15,2020,NUTS,2016,BE213,3,3
16,2020,NUTS,2016,CH,0,17
17,2020,NUTS,2016,CH0,1,17
18,2020,NUTS,2016,CH01,2,6
19,2020,NUTS,2016,CH011,3,4
20,2020,NUTS,2016,CH013,3,2
21,2020,NUTS,2016,CH04,2,9
22,2020,NUTS,2016,CH040,3,9
23,2020,NUTS,2016,CH05,2,1
24,2020,NUTS,2016,CH055,3,1
25,2020,NUTS,2016,CH07,2,1
26,2020,NUTS,2016,CH070,3,1
27,2020,NUTS,2016,CY,0,1
28,2020,NUTS,2016,CY0,1,1
29,2020,NUTS,2016,CY00,2,1
30,2020,NUTS,2016,CY000,3,1
31,2020,NUTS,2016,DE,0,59
32,2020,NUTS,2016,DE1,1,9
33,2020,NUTS,2016,DE12,2,4
34,2020,NUTS,2016,DE122,3,1
35,2020,NUTS,2016,DE125,3,2
36,2020,NUTS,2016,DE126,3,1
37,2020,NUTS,2016,DE13,2,2
38,2020,NUTS,2016,DE134,3,1
39,2020,NUTS,2016,DE138,3,1
40,2020,NUTS,2016,DE14,2,3
41,2020,NUTS,2016,DE142,3,2
42,2020,NUTS,2016,DE144,3,1
43,2020,NUTS,2016,DE2,1,7
44,2020,NUTS,2016,DE21,2,7
45,2020,NUTS,2016,DE212,3,6
46,2020,NUTS,2016,DE21H,3,1
47,2020,NUTS,2016,DE3,1,8
