year,region_type,region_year_spec,region_id,region_level,impact_studies_3_count
0,2020,NUTS,2016,AT,0,4
1,2020,NUTS,2016,AT1,1,1
2,2020,NUTS,2016,AT13,2,1
3,2020,NUTS,2016,AT130,3,1
4,2020,NUTS,2016,AT3,1,3
5,2020,NUTS,2016,AT33,2,3
6,2020,NUTS,2016,AT332,3,3
7,2020,NUTS,2016,BE,0,9
8,2020,NUTS,2016,BE1,1,3
9,2020,NUTS,2016,BE10,2,3
10,2020,NUTS,2016,BE100,3,3
11,2020,NUTS,2016,BE2,1,6
12,2020,NUTS,2016,BE21,2,2
13,2020,NUTS,2016,BE211,3,1
14,2020,NUTS,2016,BE213,3,1
15,2020,NUTS,2016,BE23,2,3
16,2020,NUTS,2016,BE234,3,3
17,2020,NUTS,2016,BE24,2,1
18,2020,NUTS,2016,BE242,3,1
19,2020,NUTS,2016,CH,0,17
20,2020,NUTS,2016,CH0,1,17
21,2020,NUTS,2016,CH01,2,5
22,2020,NUTS,2016,CH011,3,3
23,2020,NUTS,2016,CH013,3,2
24,2020,NUTS,2016,CH02,2,3
25,2020,NUTS,2016,CH021,3,3
26,2020,NUTS,2016,CH04,2,9
27,2020,NUTS,2016,CH040,3,9
28,2020,NUTS,2016,CZ,0,3
29,2020,NUTS,2016,CZ0,1,3
30,2020,NUTS,2016,CZ06,2,3
31,2020,NUTS,2016,CZ064,3,3
32,2020,NUTS,2016,DE,0,78
33,2020,NUTS,2016,DE1,1,10
34,2020,NUTS,2016,DE12,2,7
35,2020,NUTS,2016,DE125,3,7
36,2020,NUTS,2016,DE13,2,1
37,2020,NUTS,2016,DE131,3,1
38,2020,NUTS,2016,DE14,2,2
39,2020,NUTS,2016,DE142,3,2
40,2020,NUTS,2016,DE2,1,10
41,2020,NUTS,2016,DE21,2,9
42,2020,NUTS,2016,DE212,3,9
43,2020,NUTS,2016,DE23,2,1
44,2020,NUTS,2016,DE232,3,1
45,2020,NUTS,2016,DE3,1,18
46,2020,NUTS,2016,DE30,2,18
47,2020,NUTS,2016,DE300,3,18
48,2020,NUTS,2016,DE6,1,4
49,2020,NUTS,2016,DE60,2,4
50,2020,NUTS,2016,DE600,3,4
51,2020,NUTS,2016,DE7,1,5
52,2020,NUTS,2016,DE71,2,2
53,2020,NUTS,2016,DE712,3,2
54,2020,NUTS,2016,DE72,2,1
55,2020,NUTS,2016,DE721,3,1
56,2020,NUTS,2016,DE73,2,2
57,2020,NUTS,2016,DE731,3,2
58,2020,NUTS,2016,DE9,1,4
59,2020,NUTS,2016,DE92,2,4
60,2020,NUTS,2016,DE929,3,4
61,2020,NUTS,2016,DEA,1,20
62,2020,NUTS,2016,DEA1,2,4
63,2020,NUTS,2016,DEA13,3,4
64,2020,NUTS,2016,DEA2,2,15
65,2020,NUTS,2016,DEA22,3,12
66,2020,NUTS,2016,DEA23,3,1
67,2020,NUTS,2016,DEA2B,3,1
68,2020,NUTS,2016,DEA2D,3,1
69,2020,NUTS,2016,DEA5,2,1
70,2020,NUTS,2016,DEA51,3,1
71,2020,NUTS,2016,DED,1,5
72,2020,NUTS,2016,DED4,2,5
73,2020,NUTS,2016,DED41,3,4
74,2020,NUTS,2016,DED43,3,1
75,2020,NUTS,2016,DEF,1,2
76,2020,NUTS,2016,DEF0,2,2
77,2020,NUTS,2016,DEF03,3,2
78,2020,NUTS,2016,DK,0,1
79,2020,NUTS,2016,DK0,1,1
80,2020,NUTS,2016,DK04,2,1
81,2020,NUTS,2016,DK042,3,1
82,2020,NUTS,2016,EE,0,1
83,2020,NUTS,2016,EE0,1,1
84,2020,NUTS,2016,EE00,2,1
85,2020,NUTS,2016,EE008,3,1
86,2020,NUTS,2016,EL,0,8
87,2020,NUTS,2016,EL3,1,7
88,2020,NUTS,2016,EL30,2,7
89,2020,NUTS,2016,EL303,3,7
90,2020,NUTS,2016,EL6,1,1
91,2020,NUTS,2016,EL61,2,1
92,2020,NUTS,2016,EL613,3,1
93,2020,NUTS,2016,ES,0,30
94,2020,NUTS,2016,ES1,1,1
95,2020,NUTS,2016,ES11,2,1
96,2020,NUTS,2016,ES111,3,1
97,2020,NUTS,2016,ES2,1,2
98,2020,NUTS,2016,ES21,2,1
99,2020,NUTS,2016,ES213,3,1
100,2020,NUTS,2016,ES24,2,1
101,2020,NUTS,2016,ES243,3,1
102,2020,NUTS,2016,ES3,1,13
103,2020,NUTS,2016,ES30,2,13
104,2020,NUTS,2016,ES300,3,13
105,2020,NUTS,2016,ES4,1,2
106,2020,NUTS,2016,ES41,2,2
107,2020,NUTS,2016,ES415,3,1
