,year,nuts_id,nuts_year_spec,hospitalisation_count
0,2020.0,AT,2016,6
1,2020.0,BE,2016,7
2,2020.0,CH,2016,22
3,2020.0,CY,2016,2
4,2020.0,CZ,2016,3
5,2020.0,DE,2016,21
6,2020.0,DK,2016,14
7,2020.0,EL,2016,5
8,2020.0,ES,2016,38
9,2020.0,FI,2016,7
10,2020.0,FR,2016,3
11,2020.0,HR,2016,1
12,2020.0,IE,2016,3
13,2020.0,IS,2016,1
14,2020.0,IT,2016,22
15,2020.0,LT,2016,3
16,2020.0,LV,2016,1
17,2020.0,NL,2016,21
18,2020.0,NO,2016,2
19,2020.0,PL,2016,4
20,2020.0,PT,2016,3
21,2020.0,RS,2016,3
22,2020.0,SE,2016,28
23,2020.0,SI,2016,1
24,2020.0,TR,2016,2
25,2020.0,UK,2016,256
26,2021.0,BE,2016,1
27,2021.0,CH,2016,5
28,2021.0,DE,2016,7
29,2021.0,DK,2016,3
30,2021.0,EL,2016,1
31,2021.0,ES,2016,3
32,2021.0,IT,2016,2
33,2021.0,NL,2016,5
34,2021.0,PT,2016,1
35,2021.0,SE,2016,2
36,2021.0,TR,2016,1
37,2021.0,UK,2016,27
