,year,nuts_id,nuts_year_spec,hospitalisation_count
0,2020.0,AT1,2016,2
1,2020.0,AT2,2016,2
2,2020.0,AT3,2016,2
3,2020.0,BE2,2016,6
4,2020.0,BE3,2016,1
5,2020.0,CH0,2016,22
6,2020.0,CY0,2016,2
7,2020.0,CZ0,2016,3
8,2020.0,DE1,2016,5
9,2020.0,DE2,2016,2
10,2020.0,DE3,2016,5
11,2020.0,DE6,2016,2
12,2020.0,DE7,2016,1
13,2020.0,DE9,2016,1
14,2020.0,DEA,2016,2
15,2020.0,DED,2016,3
16,2020.0,DK0,2016,14
17,2020.0,EL3,2016,4
18,2020.0,EL5,2016,1
19,2020.0,ES2,2016,1
20,2020.0,ES3,2016,13
21,2020.0,ES4,2016,6
22,2020.0,ES5,2016,14
23,2020.0,ES6,2016,4
24,2020.0,FI1,2016,7
25,2020.0,FR1,2016,2
26,2020.0,FRK,2016,1
27,2020.0,HR0,2016,1
28,2020.0,IE0,2016,3
29,2020.0,IS0,2016,1
30,2020.0,ITC,2016,6
31,2020.0,ITF,2016,1
32,2020.0,ITG,2016,1
33,2020.0,ITH,2016,4
34,2020.0,ITI,2016,10
35,2020.0,LT0,2016,3
36,2020.0,LV0,2016,1
37,2020.0,NL1,2016,3
38,2020.0,NL2,2016,2
39,2020.0,NL3,2016,12
40,2020.0,NL4,2016,4
41,2020.0,NO0,2016,2
42,2020.0,PL9,2016,4
43,2020.0,PT1,2016,3
44,2020.0,RS1,2016,3
45,2020.0,SE1,2016,20
46,2020.0,SE2,2016,6
47,2020.0,SE3,2016,2
48,2020.0,SI0,2016,1
49,2020.0,TR1,2016,1
50,2020.0,TR5,2016,1
51,2020.0,UKC,2016,2
52,2020.0,UKD,2016,35
53,2020.0,UKE,2016,13
54,2020.0,UKF,2016,18
55,2020.0,UKG,2016,12
56,2020.0,UKH,2016,16
57,2020.0,UKI,2016,83
58,2020.0,UKJ,2016,42
59,2020.0,UKK,2016,8
60,2020.0,UKL,2016,3
61,2020.0,UKM,2016,21
62,2020.0,UKN,2016,3
63,2021.0,BE2,2016,1
64,2021.0,CH0,2016,5
65,2021.0,DE1,2016,1
66,2021.0,DE3,2016,1
67,2021.0,DE7,2016,1
68,2021.0,DEA,2016,2
69,2021.0,DED,2016,2
70,2021.0,DK0,2016,3
71,2021.0,EL3,2016,1
72,2021.0,ES2,2016,2
73,2021.0,ES5,2016,1
74,2021.0,ITC,2016,1
75,2021.0,ITF,2016,1
76,2021.0,NL1,2016,1
77,2021.0,NL2,2016,1
78,2021.0,NL3,2016,2
79,2021.0,NL4,2016,1
80,2021.0,PT1,2016,1
81,2021.0,SE1,2016,1
82,2021.0,SE3,2016,1
83,2021.0,TR3,2016,1
84,2021.0,UKD,2016,1
85,2021.0,UKF,2016,1
86,2021.0,UKG,2016,4
87,2021.0,UKH,2016,3
88,2021.0,UKI,2016,4
89,2021.0,UKJ,2016,4
90,2021.0,UKL,2016,8
91,2021.0,UKM,2016,2
