year,region_type,region_year_spec,region_id,region_level,detection_diagnosis_count
0,2020,NUTS,2016,AT,0,4
1,2020,NUTS,2016,AT1,1,3
2,2020,NUTS,2016,AT13,2,3
3,2020,NUTS,2016,AT130,3,3
4,2020,NUTS,2016,AT3,1,1
5,2020,NUTS,2016,AT33,2,1
6,2020,NUTS,2016,AT332,3,1
7,2020,NUTS,2016,BE,0,5
8,2020,NUTS,2016,BE1,1,2
9,2020,NUTS,2016,BE10,2,2
10,2020,NUTS,2016,BE100,3,2
11,2020,NUTS,2016,BE2,1,3
12,2020,NUTS,2016,BE23,2,2
13,2020,NUTS,2016,BE234,3,2
14,2020,NUTS,2016,BE24,2,1
15,2020,NUTS,2016,BE242,3,1
16,2020,NUTS,2016,CH,0,6
17,2020,NUTS,2016,CH0,1,6
18,2020,NUTS,2016,CH01,2,1
19,2020,NUTS,2016,CH013,3,1
20,2020,NUTS,2016,CH04,2,5
21,2020,NUTS,2016,CH040,3,5
22,2020,NUTS,2016,CY,0,1
23,2020,NUTS,2016,CY0,1,1
24,2020,NUTS,2016,CY00,2,1
25,2020,NUTS,2016,CY000,3,1
26,2020,NUTS,2016,DE,0,23
27,2020,NUTS,2016,DE1,1,7
28,2020,NUTS,2016,DE12,2,4
29,2020,NUTS,2016,DE122,3,1
30,2020,NUTS,2016,DE125,3,3
31,2020,NUTS,2016,DE13,2,1
32,2020,NUTS,2016,DE138,3,1
33,2020,NUTS,2016,DE14,2,2
34,2020,NUTS,2016,DE142,3,1
35,2020,NUTS,2016,DE144,3,1
36,2020,NUTS,2016,DE2,1,1
37,2020,NUTS,2016,DE21,2,1
38,2020,NUTS,2016,DE212,3,1
39,2020,NUTS,2016,DE3,1,2
40,2020,NUTS,2016,DE30,2,2
41,2020,NUTS,2016,DE300,3,2
42,2020,NUTS,2016,DE6,1,3
43,2020,NUTS,2016,DE60,2,3
44,2020,NUTS,2016,DE600,3,3
45,2020,NUTS,2016,DE7,1,3
46,2020,NUTS,2016,DE71,2,3
47,2020,NUTS,2016,DE712,3,3
48,2020,NUTS,2016,DE9,1,2
49,2020,NUTS,2016,DE91,2,1
50,2020,NUTS,2016,DE911,3,1
51,2020,NUTS,2016,DE92,2,1
52,2020,NUTS,2016,DE929,3,1
53,2020,NUTS,2016,DEA,1,4
