,year,nuts_id,nuts_year_spec,healthcare_count
0,2020.0,AT1,2016,1
1,2020.0,AT2,2016,1
2,2020.0,BE1,2016,1
3,2020.0,BE2,2016,2
4,2020.0,BE3,2016,1
5,2020.0,CH0,2016,5
6,2020.0,CZ0,2016,1
7,2020.0,DE1,2016,4
8,2020.0,DE2,2016,5
9,2020.0,DE3,2016,2
10,2020.0,DE4,2016,3
11,2020.0,DE6,2016,1
12,2020.0,DE7,2016,1
13,2020.0,DEA,2016,1
14,2020.0,DED,2016,2
15,2020.0,DK0,2016,1
16,2020.0,EL5,2016,2
17,2020.0,EL6,2016,1
18,2020.0,ES2,2016,1
19,2020.0,ES3,2016,2
20,2020.0,ES5,2016,1
21,2020.0,ES6,2016,1
22,2020.0,FI1,2016,1
23,2020.0,FR1,2016,5
24,2020.0,FRF,2016,1
25,2020.0,FRG,2016,1
26,2020.0,FRH,2016,1
27,2020.0,FRJ,2016,1
28,2020.0,FRL,2016,1
29,2020.0,HR0,2016,1
30,2020.0,IE0,2016,5
31,2020.0,ITC,2016,2
32,2020.0,ITF,2016,1
33,2020.0,ITG,2016,1
34,2020.0,ITH,2016,6
35,2020.0,ITI,2016,5
36,2020.0,LU0,2016,1
37,2020.0,MT0,2016,2
38,2020.0,NL2,2016,5
39,2020.0,NL3,2016,9
40,2020.0,NO0,2016,3
41,2020.0,PT1,2016,3
42,2020.0,SE3,2016,1
43,2020.0,SI0,2016,2
44,2020.0,UKD,2016,11
45,2020.0,UKE,2016,10
46,2020.0,UKF,2016,4
47,2020.0,UKG,2016,6
48,2020.0,UKH,2016,18
49,2020.0,UKI,2016,41
50,2020.0,UKJ,2016,19
51,2020.0,UKK,2016,5
52,2020.0,UKL,2016,3
53,2020.0,UKM,2016,10
54,2021.0,BE2,2016,1
55,2021.0,CH0,2016,1
56,2021.0,DE2,2016,1
57,2021.0,EL3,2016,1
58,2021.0,ITI,2016,1
59,2021.0,UKD,2016,1
60,2021.0,UKF,2016,1
61,2021.0,UKH,2016,1
62,2021.0,UKI,2016,4
63,2021.0,UKJ,2016,3
64,2021.0,UKL,2016,2
65,2021.0,UKM,2016,6
