,year,nuts_id,nuts_year_spec,population_impact_count
0,2020.0,AT1,2016,4
1,2020.0,AT2,2016,1
2,2020.0,BE1,2016,1
3,2020.0,BE2,2016,5
4,2020.0,BE3,2016,1
5,2020.0,CH0,2016,19
6,2020.0,CY0,2016,1
7,2020.0,DE1,2016,6
8,2020.0,DE2,2016,14
9,2020.0,DE3,2016,3
10,2020.0,DE5,2016,1
11,2020.0,DE6,2016,2
12,2020.0,DE7,2016,5
13,2020.0,DE8,2016,4
14,2020.0,DEA,2016,1
15,2020.0,DEB,2016,2
16,2020.0,DK0,2016,11
17,2020.0,EL4,2016,2
18,2020.0,EL5,2016,1
19,2020.0,EL6,2016,1
20,2020.0,ES1,2016,1
21,2020.0,ES2,2016,1
22,2020.0,ES3,2016,7
23,2020.0,ES4,2016,1
24,2020.0,ES5,2016,11
25,2020.0,ES6,2016,4
26,2020.0,FI1,2016,4
27,2020.0,FR1,2016,12
28,2020.0,FRC,2016,1
29,2020.0,FRF,2016,1
30,2020.0,FRG,2016,1
31,2020.0,FRJ,2016,1
32,2020.0,FRK,2016,1
33,2020.0,IE0,2016,3
34,2020.0,ITC,2016,10
35,2020.0,ITF,2016,4
36,2020.0,ITG,2016,1
37,2020.0,ITH,2016,11
38,2020.0,ITI,2016,3
39,2020.0,MT0,2016,3
40,2020.0,NL1,2016,2
41,2020.0,NL2,2016,3
42,2020.0,NL3,2016,10
43,2020.0,NO0,2016,6
44,2020.0,PL5,2016,2
45,2020.0,PL6,2016,1
46,2020.0,PL9,2016,1
47,2020.0,PT1,2016,7
48,2020.0,RS1,2016,2
49,2020.0,SE1,2016,18
50,2020.0,SE2,2016,4
51,2020.0,SE3,2016,2
52,2020.0,TR1,2016,1
53,2020.0,UKD,2016,9
54,2020.0,UKE,2016,5
55,2020.0,UKF,2016,5
56,2020.0,UKG,2016,3
57,2020.0,UKH,2016,17
58,2020.0,UKI,2016,67
59,2020.0,UKJ,2016,30
60,2020.0,UKK,2016,16
61,2020.0,UKL,2016,7
62,2020.0,UKM,2016,15
63,2020.0,UKN,2016,1
64,2021.0,CH0,2016,2
65,2021.0,CY0,2016,1
66,2021.0,DE1,2016,3
67,2021.0,DE3,2016,2
68,2021.0,DED,2016,2
69,2021.0,FRF,2016,1
70,2021.0,FRL,2016,1
71,2021.0,ITH,2016,1
72,2021.0,MT0,2016,1
73,2021.0,NL4,2016,1
74,2021.0,NO0,2016,1
75,2021.0,PL6,2016,1
76,2021.0,PL8,2016,2
77,2021.0,UKD,2016,2
78,2021.0,UKE,2016,1
79,2021.0,UKF,2016,1
80,2021.0,UKG,2016,1
81,2021.0,UKH,2016,1
82,2021.0,UKI,2016,12
83,2021.0,UKJ,2016,6
84,2021.0,UKK,2016,2
85,2021.0,UKL,2016,1
86,2021.0,UKM,2016,7
