year,region_type,region_year_spec,region_id,region_level,biotech_proj_count
2014,NUTS,2013,BE,0,3
2014,NUTS,2013,BE2,1,2
2014,NUTS,2013,BE21,2,1
2014,NUTS,2013,BE211,3,1
2014,NUTS,2013,BE24,2,1
2014,NUTS,2013,BE242,3,1
2014,NUTS,2013,BE3,1,1
2014,NUTS,2013,BE31,2,1
2014,NUTS,2013,BE310,3,1
2014,NUTS,2013,DE,0,23
2014,NUTS,2013,DE1,1,5
2014,NUTS,2013,DE11,2,1
2014,NUTS,2013,DE111,3,1
2014,NUTS,2013,DE12,2,4
2014,NUTS,2013,DE125,3,4
2014,NUTS,2013,DE2,1,2
2014,NUTS,2013,DE21,2,1
2014,NUTS,2013,DE21H,3,1
2014,NUTS,2013,DE25,2,1
2014,NUTS,2013,DE254,3,1
2014,NUTS,2013,DE3,1,4
2014,NUTS,2013,DE30,2,4
2014,NUTS,2013,DE300,3,4
2014,NUTS,2013,DE6,1,3
2014,NUTS,2013,DE60,2,3
2014,NUTS,2013,DE600,3,3
2014,NUTS,2013,DE7,1,1
2014,NUTS,2013,DE72,2,1
2014,NUTS,2013,DE724,3,1
2014,NUTS,2013,DE9,1,3
2014,NUTS,2013,DE91,2,1
2014,NUTS,2013,DE911,3,1
2014,NUTS,2013,DE92,2,1
2014,NUTS,2013,DE929,3,1
2014,NUTS,2013,DE93,2,1
2014,NUTS,2013,DE932,3,1
2014,NUTS,2013,DEA,1,3
2014,NUTS,2013,DEA2,2,3
2014,NUTS,2013,DEA22,3,2
2014,NUTS,2013,DEA2D,3,1
2014,NUTS,2013,DEC,1,1
2014,NUTS,2013,DEC0,2,1
2014,NUTS,2013,DEC05,3,1
2014,NUTS,2013,DED,1,1
2014,NUTS,2013,DED2,2,1
2014,NUTS,2013,DED21,3,1
2014,NUTS,2013,DK,0,2
2014,NUTS,2013,DK0,1,2
2014,NUTS,2013,DK01,2,2
2014,NUTS,2013,DK011,3,1
2014,NUTS,2013,DK013,3,1
2014,NUTS,2013,ES,0,1
2014,NUTS,2013,ES4,1,1
2014,NUTS,2013,ES42,2,1
2014,NUTS,2013,ES422,3,1
2014,NUTS,2013,FR,0,14
2014,NUTS,2013,FR1,1,8
2014,NUTS,2013,FR10,2,8
2014,NUTS,2013,FR101,3,7
2014,NUTS,2013,FR107,3,1
2014,NUTS,2013,FR5,1,1
2014,NUTS,2013,FR51,2,1
2014,NUTS,2013,FR512,3,1
2014,NUTS,2013,FR7,1,4
2014,NUTS,2013,FR71,2,4
2014,NUTS,2013,FR716,3,3
2014,NUTS,2013,FR718,3,1
2014,NUTS,2013,FR8,1,1
2014,NUTS,2013,FR82,2,1
2014,NUTS,2013,FR824,3,1
2014,NUTS,2013,HU,0,1
2014,NUTS,2013,HU1,1,1
2014,NUTS,2013,HU10,2,1
2014,NUTS,2013,HU101,3,1
2014,NUTS,2013,IE,0,2
2014,NUTS,2013,IE0,1,2
2014,NUTS,2013,IE02,2,2
2014,NUTS,2013,IE021,3,2
2014,NUTS,2013,IT,0,5
2014,NUTS,2013,ITH,1,1
2014,NUTS,2013,ITH5,2,1
2014,NUTS,2013,ITH55,3,1
2014,NUTS,2013,ITI,1,4
2014,NUTS,2013,ITI4,2,4
2014,NUTS,2013,ITI43,3,4
2014,NUTS,2013,LU,0,1
2014,NUTS,2013,LU0,1,1
2014,NUTS,2013,LU00,2,1
2014,NUTS,2013,LU000,3,1
2014,NUTS,2013,NL,0,12
2014,NUTS,2013,NL3,1,12
2014,NUTS,2013,NL31,2,2
2014,NUTS,2013,NL310,3,2
2014,NUTS,2013,NL32,2,4
2014,NUTS,2013,NL326,3,4
2014,NUTS,2013,NL33,2,6
2014,NUTS,2013,NL333,3,1
2014,NUTS,2013,NL337,3,3
2014,NUTS,2013,NL339,3,2
2014,NUTS,2013,SE,0,1
2014,NUTS,2013,SE1,1,1
2014,NUTS,2013,SE12,2,1
2014,NUTS,2013,SE121,3,1
2014,NUTS,2013,SI,0,1
2014,NUTS,2013,SI0,1,1
2014,NUTS,2013,SI04,2,1
2014,NUTS,2013,SI041,3,1
2014,NUTS,2013,UK,0,2
2014,NUTS,2013,UKI,1,2
2014,NUTS,2013,UKI3,2,2
2014,NUTS,2013,UKI32,3,2
2015,NUTS,2013,AT,0,25
2015,NUTS,2013,AT1,1,17
2015,NUTS,2013,AT12,2,2
2015,NUTS,2013,AT126,3,2
2015,NUTS,2013,AT13,2,15
2015,NUTS,2013,AT130,3,15
2015,NUTS,2013,AT2,1,2
2015,NUTS,2013,AT22,2,2
2015,NUTS,2013,AT221,3,2
2015,NUTS,2013,AT3,1,6
2015,NUTS,2013,AT31,2,1
2015,NUTS,2013,AT312,3,1
2015,NUTS,2013,AT33,2,5
2015,NUTS,2013,AT332,3,5
2015,NUTS,2013,BE,0,41
2015,NUTS,2013,BE1,1,13
2015,NUTS,2013,BE10,2,13
2015,NUTS,2013,BE100,3,13
2015,NUTS,2013,BE2,1,21
2015,NUTS,2013,BE21,2,2
2015,NUTS,2013,BE211,3,2
2015,NUTS,2013,BE23,2,11
2015,NUTS,2013,BE234,3,11
2015,NUTS,2013,BE24,2,8
2015,NUTS,2013,BE242,3,8
2015,NUTS,2013,BE3,1,7
2015,NUTS,2013,BE31,2,4
2015,NUTS,2013,BE310,3,4
2015,NUTS,2013,BE32,2,1
2015,NUTS,2013,BE322,3,1
2015,NUTS,2013,BE33,2,2
2015,NUTS,2013,BE332,3,2
2015,NUTS,2013,CZ,0,7
2015,NUTS,2013,CZ0,1,7
2015,NUTS,2013,CZ01,2,7
2015,NUTS,2013,CZ010,3,7
2015,NUTS,2013,DE,0,107
2015,NUTS,2013,DE1,1,24
2015,NUTS,2013,DE12,2,19
2015,NUTS,2013,DE122,3,1
2015,NUTS,2013,DE123,3,1
2015,NUTS,2013,DE125,3,15
2015,NUTS,2013,DE126,3,1
2015,NUTS,2013,DE128,3,1
2015,NUTS,2013,DE13,2,2
2015,NUTS,2013,DE131,3,1
2015,NUTS,2013,DE139,3,1
2015,NUTS,2013,DE14,2,3
2015,NUTS,2013,DE144,3,3
2015,NUTS,2013,DE2,1,19
2015,NUTS,2013,DE21,2,14
2015,NUTS,2013,DE212,3,10
2015,NUTS,2013,DE21E,3,1
2015,NUTS,2013,DE21H,3,3
2015,NUTS,2013,DE23,2,1
2015,NUTS,2013,DE232,3,1
2015,NUTS,2013,DE25,2,4
2015,NUTS,2013,DE252,3,4
2015,NUTS,2013,DE3,1,6
2015,NUTS,2013,DE30,2,6
2015,NUTS,2013,DE300,3,6
2015,NUTS,2013,DE4,1,8
2015,NUTS,2013,DE40,2,8
2015,NUTS,2013,DE404,3,1
2015,NUTS,2013,DE405,3,7
2015,NUTS,2013,DE5,1,2
2015,NUTS,2013,DE50,2,2
