year,region_type,region_year_spec,region_id,region_level,diagnosis_proj_spec
2014,NUTS,2013,AT,0,4.21
2014,NUTS,2013,BE,0,2.1
2014,NUTS,2013,HU,0,7.81
2014,NUTS,2013,IE,0,13.67
2014,NUTS,2013,UK,0,6.83
2014,NUTS,2013,AT1,1,4.21
2014,NUTS,2013,BE2,1,7.81
2014,NUTS,2013,HU1,1,7.81
2014,NUTS,2013,IE0,1,13.67
2014,NUTS,2013,UKI,1,10.93
2014,NUTS,2013,UKN,1,27.33
2014,NUTS,2013,AT13,2,4.56
2014,NUTS,2013,BE21,2,13.67
2014,NUTS,2013,HU10,2,7.81
2014,NUTS,2013,IE02,2,13.67
2014,NUTS,2013,UKI3,2,13.67
2014,NUTS,2013,UKN0,2,27.33
2014,NUTS,2013,AT130,3,4.56
2014,NUTS,2013,BE213,3,27.33
2014,NUTS,2013,HU101,3,7.81
2014,NUTS,2013,IE021,3,13.67
2014,NUTS,2013,UKI32,3,13.67
2014,NUTS,2013,UKN01,3,54.67
2015,NUTS,2013,AT,0,0.85
2015,NUTS,2013,BE,0,0.95
2015,NUTS,2013,DE,0,0.87
2015,NUTS,2013,DK,0,3.4
2015,NUTS,2013,EE,0,0.43
2015,NUTS,2013,ES,0,0.55
2015,NUTS,2013,FI,0,1.12
2015,NUTS,2013,FR,0,0.95
2015,NUTS,2013,HR,0,0.43
2015,NUTS,2013,HU,0,0.58
2015,NUTS,2013,IE,0,1.13
2015,NUTS,2013,IT,0,0.95
2015,NUTS,2013,LU,0,0.56
2015,NUTS,2013,LV,0,0.77
2015,NUTS,2013,NL,0,1.19
2015,NUTS,2013,PT,0,0.83
2015,NUTS,2013,RO,0,1.37
2015,NUTS,2013,SE,0,1.46
2015,NUTS,2013,SI,0,1.03
2015,NUTS,2013,SK,0,0.99
2015,NUTS,2013,UK,0,1.35
2015,NUTS,2013,AT1,1,0.99
2015,NUTS,2013,AT2,1,0.94
2015,NUTS,2013,BE1,1,0.72
2015,NUTS,2013,BE2,1,1.29
2015,NUTS,2013,BE3,1,1.19
2015,NUTS,2013,DE1,1,0.64
2015,NUTS,2013,DE2,1,0.31
2015,NUTS,2013,DE3,1,1.23
2015,NUTS,2013,DE5,1,1.98
2015,NUTS,2013,DE6,1,3.14
2015,NUTS,2013,DE7,1,1.73
2015,NUTS,2013,DEA,1,1.2
2015,NUTS,2013,DEB,1,1.37
2015,NUTS,2013,DEG,1,2.73
2015,NUTS,2013,DK0,1,3.4
2015,NUTS,2013,EE0,1,0.43
2015,NUTS,2013,ES3,1,0.34
2015,NUTS,2013,ES5,1,1.12
