year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hes_total_fte
1981,NUTS,2010,AT,0,4778.0
1985,NUTS,2010,AT,0,5347.0
1989,NUTS,2010,AT,0,6058.0
1993,NUTS,2010,AT,0,7136.0
1998,NUTS,2010,AT,0,8670.0
2002,NUTS,2010,AT,0,9879.0
2004,NUTS,2010,AT,0,11502.0
2005,NUTS,2010,AT,0,12353.0
2006,NUTS,2010,AT,0,12668.0
2007,NUTS,2010,AT,0,13613.0
2008,NUTS,2010,AT,0,14831.0
2009,NUTS,2010,AT,0,15059.0
2010,NUTS,2010,AT,0,15878.0
2011,NUTS,2010,AT,0,16096.0
2012,NUTS,2010,AT,0,16678.0
2013,NUTS,2010,AT,0,16840.0
2014,NUTS,2010,AT,0,17479.0
2015,NUTS,2010,AT,0,17682.0
2016,NUTS,2010,AT,0,17484.0
2017,NUTS,2010,AT,0,17680.0
2018,NUTS,2010,AT,0,18655.0
2019,NUTS,2010,AT,0,18971.0
2020,NUTS,2010,AT,0,19380.0
1981,NUTS,2010,AT1,1,2650.0
1985,NUTS,2010,AT1,1,2879.0
1989,NUTS,2010,AT1,1,3197.0
1993,NUTS,2010,AT1,1,3748.0
1998,NUTS,2010,AT1,1,4698.0
2002,NUTS,2010,AT1,1,
2004,NUTS,2010,AT1,1,
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,8669.0
2013,NUTS,2010,AT1,1,9182.0
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,10312.0
1985,NUTS,2010,AT11,2,3.0
1989,NUTS,2010,AT11,2,2.0
2002,NUTS,2010,AT11,2,
2004,NUTS,2010,AT11,2,
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,26.0
2013,NUTS,2010,AT11,2,41.0
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,73.0
1981,NUTS,2010,AT12,2,6.0
1985,NUTS,2010,AT12,2,7.0
1989,NUTS,2010,AT12,2,5.0
1993,NUTS,2010,AT12,2,7.0
1998,NUTS,2010,AT12,2,7.0
2002,NUTS,2010,AT12,2,40.0
2004,NUTS,2010,AT12,2,62.0
2006,NUTS,2010,AT12,2,124.0
2007,NUTS,2010,AT12,2,144.0
2009,NUTS,2010,AT12,2,214.0
2011,NUTS,2010,AT12,2,291.0
2013,NUTS,2010,AT12,2,570.0
2015,NUTS,2010,AT12,2,680.0
2017,NUTS,2010,AT12,2,1018.0
2019,NUTS,2010,AT12,2,1326.0
1981,NUTS,2010,AT13,2,2644.0
1985,NUTS,2010,AT13,2,2869.0
1989,NUTS,2010,AT13,2,3189.0
1993,NUTS,2010,AT13,2,3741.0
1998,NUTS,2010,AT13,2,4691.0
2002,NUTS,2010,AT13,2,5425.0
2004,NUTS,2010,AT13,2,6205.0
2006,NUTS,2010,AT13,2,6671.0
2007,NUTS,2010,AT13,2,7203.0
2009,NUTS,2010,AT13,2,7897.0
2011,NUTS,2010,AT13,2,8352.0
2013,NUTS,2010,AT13,2,8571.0
2015,NUTS,2010,AT13,2,8884.0
2017,NUTS,2010,AT13,2,8545.0
2019,NUTS,2010,AT13,2,8913.0
1981,NUTS,2010,AT2,1,1142.0
1985,NUTS,2010,AT2,1,1313.0
1989,NUTS,2010,AT2,1,1511.0
1993,NUTS,2010,AT2,1,1791.0
1998,NUTS,2010,AT2,1,2090.0
2002,NUTS,2010,AT2,1,
2004,NUTS,2010,AT2,1,
2006,NUTS,2010,AT2,1,2817.0
2007,NUTS,2010,AT2,1,2953.0
2009,NUTS,2010,AT2,1,3297.0
2011,NUTS,2010,AT2,1,3502.0
2013,NUTS,2010,AT2,1,3594.0
2015,NUTS,2010,AT2,1,
2017,NUTS,2010,AT2,1,3894.0
2019,NUTS,2010,AT2,1,4113.0
1981,NUTS,2010,AT21,2,66.0
1985,NUTS,2010,AT21,2,85.0
1989,NUTS,2010,AT21,2,111.0
1993,NUTS,2010,AT21,2,127.0
1998,NUTS,2010,AT21,2,144.0
2002,NUTS,2010,AT21,2,
2004,NUTS,2010,AT21,2,
2006,NUTS,2010,AT21,2,273.0
2007,NUTS,2010,AT21,2,280.0
2009,NUTS,2010,AT21,2,314.0
2011,NUTS,2010,AT21,2,359.0
2013,NUTS,2010,AT21,2,353.0
2015,NUTS,2010,AT21,2,299.0
2017,NUTS,2010,AT21,2,333.0
2019,NUTS,2010,AT21,2,336.0
1981,NUTS,2010,AT22,2,1076.0
1985,NUTS,2010,AT22,2,1228.0
1989,NUTS,2010,AT22,2,1400.0
1993,NUTS,2010,AT22,2,1664.0
1998,NUTS,2010,AT22,2,1946.0
2002,NUTS,2010,AT22,2,2133.0
2004,NUTS,2010,AT22,2,2354.0
2006,NUTS,2010,AT22,2,2545.0
2007,NUTS,2010,AT22,2,2673.0
2009,NUTS,2010,AT22,2,2983.0
2011,NUTS,2010,AT22,2,3142.0
2013,NUTS,2010,AT22,2,3241.0
2015,NUTS,2010,AT22,2,3556.0
2017,NUTS,2010,AT22,2,3561.0
2019,NUTS,2010,AT22,2,3778.0
1981,NUTS,2010,AT3,1,987.0
1985,NUTS,2010,AT3,1,1156.0
1989,NUTS,2010,AT3,1,1350.0
1993,NUTS,2010,AT3,1,1598.0
1998,NUTS,2010,AT3,1,1883.0
2002,NUTS,2010,AT3,1,2079.0
2004,NUTS,2010,AT3,1,2659.0
