year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_fte_t
2011,NUTS,2010,AT,0,410.0
2012,NUTS,2010,AT,0,399.0
2013,NUTS,2010,AT,0,396.0
2014,NUTS,2010,AT,0,480.0
2015,NUTS,2010,AT,0,507.0
2016,NUTS,2010,AT,0,579.0
2017,NUTS,2010,AT,0,585.0
2018,NUTS,2010,AT,0,618.0
2019,NUTS,2010,AT,0,625.0
2020,NUTS,2010,AT,0,733.0
2011,NUTS,2010,AT1,1,381.0
2013,NUTS,2010,AT1,1,368.0
2015,NUTS,2010,AT1,1,469.0
2017,NUTS,2010,AT1,1,537.0
2019,NUTS,2010,AT1,1,568.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,194.0
2013,NUTS,2010,AT12,2,183.0
2015,NUTS,2010,AT12,2,223.0
2017,NUTS,2010,AT12,2,264.0
2011,NUTS,2010,AT13,2,187.0
2013,NUTS,2010,AT13,2,185.0
2015,NUTS,2010,AT13,2,247.0
2017,NUTS,2010,AT13,2,273.0
2019,NUTS,2010,AT13,2,286.0
2019,NUTS,2010,AT2,1,9.0
2011,NUTS,2010,AT21,2,8.0
2019,NUTS,2010,AT3,1,48.0
2011,NUTS,2010,AT31,2,13.0
2013,NUTS,2010,AT31,2,14.0
2015,NUTS,2010,AT31,2,8.0
2017,NUTS,2010,AT31,2,9.0
2019,NUTS,2010,AT31,2,13.0
2015,NUTS,2010,AT32,2,21.0
2017,NUTS,2010,AT32,2,30.0
2019,NUTS,2010,AT32,2,28.0
2013,NUTS,2010,AT33,2,3.0
2019,NUTS,2010,AT33,2,7.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,3.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,8.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,602.0
2012,NUTS,2010,BE,0,309.0
2013,NUTS,2010,BE,0,314.0
2014,NUTS,2010,BE,0,290.0
2015,NUTS,2010,BE,0,387.0
2016,NUTS,2010,BE,0,497.0
2017,NUTS,2010,BE,0,573.0
2018,NUTS,2010,BE,0,2198.0
2019,NUTS,2010,BE,0,2221.0
2020,NUTS,2010,BE,0,2297.0
2011,NUTS,2010,BE1,1,212.0
2012,NUTS,2010,BE1,1,208.0
