year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_fte_f
2011,NUTS,2010,AT,0,4189.0
2013,NUTS,2010,AT,0,4466.0
2015,NUTS,2010,AT,0,4905.0
2017,NUTS,2010,AT,0,4924.0
2019,NUTS,2010,AT,0,5549.0
2011,NUTS,2010,AT1,1,2464.0
2013,NUTS,2010,AT1,1,2616.0
2019,NUTS,2010,AT1,1,3165.0
2011,NUTS,2010,AT11,2,12.0
2013,NUTS,2010,AT11,2,14.0
2019,NUTS,2010,AT11,2,24.0
2011,NUTS,2010,AT12,2,98.0
2013,NUTS,2010,AT12,2,186.0
2015,NUTS,2010,AT12,2,223.0
2017,NUTS,2010,AT12,2,300.0
2019,NUTS,2010,AT12,2,440.0
2011,NUTS,2010,AT13,2,2355.0
2013,NUTS,2010,AT13,2,2416.0
2015,NUTS,2010,AT13,2,2589.0
2017,NUTS,2010,AT13,2,2455.0
2019,NUTS,2010,AT13,2,2701.0
2011,NUTS,2010,AT2,1,771.0
2013,NUTS,2010,AT2,1,799.0
2017,NUTS,2010,AT2,1,964.0
2019,NUTS,2010,AT2,1,1064.0
2011,NUTS,2010,AT21,2,101.0
2013,NUTS,2010,AT21,2,108.0
2015,NUTS,2010,AT21,2,99.0
2017,NUTS,2010,AT21,2,121.0
2019,NUTS,2010,AT21,2,123.0
2011,NUTS,2010,AT22,2,670.0
2013,NUTS,2010,AT22,2,692.0
2015,NUTS,2010,AT22,2,823.0
2017,NUTS,2010,AT22,2,843.0
2019,NUTS,2010,AT22,2,941.0
2011,NUTS,2010,AT3,1,954.0
2013,NUTS,2010,AT3,1,1050.0
2019,NUTS,2010,AT3,1,1320.0
2011,NUTS,2010,AT31,2,245.0
2013,NUTS,2010,AT31,2,266.0
2015,NUTS,2010,AT31,2,271.0
2017,NUTS,2010,AT31,2,278.0
2019,NUTS,2010,AT31,2,308.0
2011,NUTS,2010,AT32,2,215.0
2013,NUTS,2010,AT32,2,248.0
2015,NUTS,2010,AT32,2,309.0
2017,NUTS,2010,AT32,2,318.0
2019,NUTS,2010,AT32,2,358.0
2011,NUTS,2010,AT33,2,486.0
2013,NUTS,2010,AT33,2,522.0
2015,NUTS,2010,AT33,2,563.0
2017,NUTS,2010,AT33,2,564.0
2019,NUTS,2010,AT33,2,629.0
2011,NUTS,2010,AT34,2,9.0
2013,NUTS,2010,AT34,2,14.0
2019,NUTS,2010,AT34,2,25.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,141.0
2013,NUTS,2010,BA,0,229.0
2014,NUTS,2010,BA,0,454.0
2019,NUTS,2010,BA,0,661.0
2011,NUTS,2010,BE,0,7845.0
2012,NUTS,2010,BE,0,7897.0
2013,NUTS,2010,BE,0,8108.0
2014,NUTS,2010,BE,0,8320.0
2015,NUTS,2010,BE,0,8876.0
2016,NUTS,2010,BE,0,8536.0
2017,NUTS,2010,BE,0,8646.0
2018,NUTS,2010,BE,0,8786.0
2019,NUTS,2010,BE,0,8899.0
2012,NUTS,2010,BE1,1,1387.0
2013,NUTS,2010,BE1,1,1428.0
2014,NUTS,2010,BE1,1,1583.0
2015,NUTS,2010,BE1,1,1803.0
2016,NUTS,2010,BE1,1,1721.0
2017,NUTS,2010,BE1,1,1757.0
2018,NUTS,2010,BE1,1,1632.0
2019,NUTS,2010,BE1,1,1595.0
2012,NUTS,2010,BE10,2,1387.0
2013,NUTS,2010,BE10,2,1428.0
2014,NUTS,2010,BE10,2,1583.0
2015,NUTS,2010,BE10,2,1803.0
2016,NUTS,2010,BE10,2,1721.0
2017,NUTS,2010,BE10,2,1757.0
2018,NUTS,2010,BE10,2,1632.0
2019,NUTS,2010,BE10,2,1595.0
2012,NUTS,2010,BE2,1,4723.0
2013,NUTS,2010,BE2,1,4920.0
2014,NUTS,2010,BE2,1,4991.0
2015,NUTS,2010,BE2,1,5088.0
2016,NUTS,2010,BE2,1,5003.0
2017,NUTS,2010,BE2,1,5095.0
2018,NUTS,2010,BE2,1,5374.0
2019,NUTS,2010,BE2,1,5549.0
2012,NUTS,2010,BE3,1,1787.0
2013,NUTS,2010,BE3,1,1759.0
2014,NUTS,2010,BE3,1,1747.0
2015,NUTS,2010,BE3,1,1985.0
2016,NUTS,2010,BE3,1,1813.0
