year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_eur
2011,NUTS,2010,AT,0,8276.335
2012,NUTS,2010,AT,0,9287.84
2013,NUTS,2010,AT,0,9571.282
2014,NUTS,2010,AT,0,10275.18
2015,NUTS,2010,AT,0,10499.146
2016,NUTS,2010,AT,0,11145.02
2017,NUTS,2010,AT,0,11289.781
2018,NUTS,2010,AT,0,11911.85
2019,NUTS,2010,AT,0,12441.232
2020,NUTS,2010,AT,0,12143.11
2011,NUTS,2010,AT1,1,3634.037
2013,NUTS,2010,AT1,1,3815.886
2015,NUTS,2010,AT1,1,4180.931
2017,NUTS,2010,AT1,1,4464.973
2019,NUTS,2010,AT1,1,4869.478
2011,NUTS,2010,AT11,2,56.846
2013,NUTS,2010,AT11,2,67.346
2015,NUTS,2010,AT11,2,79.729
2017,NUTS,2010,AT11,2,74.392
2019,NUTS,2010,AT11,2,80.172
2011,NUTS,2010,AT12,2,706.439
2013,NUTS,2010,AT12,2,809.844
2015,NUTS,2010,AT12,2,935.401
2017,NUTS,2010,AT12,2,1047.414
2019,NUTS,2010,AT12,2,1132.725
2011,NUTS,2010,AT13,2,2870.752
2013,NUTS,2010,AT13,2,2938.696
2015,NUTS,2010,AT13,2,3165.801
2017,NUTS,2010,AT13,2,3343.167
2019,NUTS,2010,AT13,2,3656.581
2011,NUTS,2010,AT2,1,2127.089
2013,NUTS,2010,AT2,1,2509.092
2015,NUTS,2010,AT2,1,2820.382
2017,NUTS,2010,AT2,1,2904.506
2019,NUTS,2010,AT2,1,3309.093
2011,NUTS,2010,AT21,2,480.133
2013,NUTS,2010,AT21,2,506.772
2015,NUTS,2010,AT21,2,585.288
2017,NUTS,2010,AT21,2,584.178
2019,NUTS,2010,AT21,2,691.276
2011,NUTS,2010,AT22,2,1646.956
2013,NUTS,2010,AT22,2,2002.32
2015,NUTS,2010,AT22,2,2235.094
2017,NUTS,2010,AT22,2,2320.328
2019,NUTS,2010,AT22,2,2617.817
2011,NUTS,2010,AT3,1,2515.209
2013,NUTS,2010,AT3,1,3246.304
2015,NUTS,2010,AT3,1,3497.833
2017,NUTS,2010,AT3,1,3920.302
2019,NUTS,2010,AT3,1,4262.661
2011,NUTS,2010,AT31,2,1295.914
2013,NUTS,2010,AT31,2,1737.844
2015,NUTS,2010,AT31,2,1846.323
2017,NUTS,2010,AT31,2,2191.158
2019,NUTS,2010,AT31,2,2387.053
2011,NUTS,2010,AT32,2,287.664
2013,NUTS,2010,AT32,2,356.94
2015,NUTS,2010,AT32,2,384.674
2017,NUTS,2010,AT32,2,443.02
2019,NUTS,2010,AT32,2,506.141
2011,NUTS,2010,AT33,2,728.795
2013,NUTS,2010,AT33,2,904.335
2015,NUTS,2010,AT33,2,965.283
2017,NUTS,2010,AT33,2,968.24
2019,NUTS,2010,AT33,2,1024.213
2011,NUTS,2010,AT34,2,202.836
2013,NUTS,2010,AT34,2,247.185
2015,NUTS,2010,AT34,2,301.553
2017,NUTS,2010,AT34,2,317.884
2019,NUTS,2010,AT34,2,345.254
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,35.575
2013,NUTS,2010,BA,0,43.995
2014,NUTS,2010,BA,0,36.686
2019,NUTS,2010,BA,0,34.765
2011,NUTS,2010,BE,0,8171.0
2012,NUTS,2010,BE,0,8809.188
2013,NUTS,2010,BE,0,9156.953
2014,NUTS,2010,BE,0,9551.244
2015,NUTS,2010,BE,0,10118.2
2016,NUTS,2010,BE,0,10852.674
2017,NUTS,2010,BE,0,11867.981
2018,NUTS,2010,BE,0,13158.259
2019,NUTS,2010,BE,0,15109.898
2020,NUTS,2010,BE,0,15887.075
2011,NUTS,2010,BE1,1,956.903
2012,NUTS,2010,BE1,1,1026.586
2013,NUTS,2010,BE1,1,1089.49
2014,NUTS,2010,BE1,1,1235.208
2015,NUTS,2010,BE1,1,1338.278
2016,NUTS,2010,BE1,1,1525.089
2017,NUTS,2010,BE1,1,1681.489
2018,NUTS,2010,BE1,1,1895.776
2019,NUTS,2010,BE1,1,2035.052
2011,NUTS,2010,BE10,2,956.903
2012,NUTS,2010,BE10,2,1026.586
2013,NUTS,2010,BE10,2,1089.49
2014,NUTS,2010,BE10,2,1235.208
2015,NUTS,2010,BE10,2,1338.278
2016,NUTS,2010,BE10,2,1525.089
2017,NUTS,2010,BE10,2,1681.489
2018,NUTS,2010,BE10,2,1895.776
2019,NUTS,2010,BE10,2,2035.052
2011,NUTS,2010,BE2,1,5038.015
2012,NUTS,2010,BE2,1,5579.754
2013,NUTS,2010,BE2,1,5792.472
2014,NUTS,2010,BE2,1,6043.443
2015,NUTS,2010,BE2,1,6433.036
2016,NUTS,2010,BE2,1,6879.952
2017,NUTS,2010,BE2,1,7476.422
2018,NUTS,2010,BE2,1,7906.2
2019,NUTS,2010,BE2,1,9350.475
2011,NUTS,2010,BE21,2,1889.141
2012,NUTS,2010,BE21,2,1948.003
2013,NUTS,2010,BE21,2,1997.377
2014,NUTS,2010,BE21,2,2292.58
2015,NUTS,2010,BE21,2,2476.961
2016,NUTS,2010,BE21,2,2668.949
2017,NUTS,2010,BE21,2,2934.777
2011,NUTS,2010,BE22,2,276.669
2012,NUTS,2010,BE22,2,294.944
2013,NUTS,2010,BE22,2,318.323
2014,NUTS,2010,BE22,2,336.426
2015,NUTS,2010,BE22,2,351.49
