year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_hc_total_t
2011,NUTS,2010,AT,0,42291.0
2013,NUTS,2010,AT,0,44601.0
2015,NUTS,2010,AT,0,47562.0
2017,NUTS,2010,AT,0,48363.0
2019,NUTS,2010,AT,0,52663.0
2011,NUTS,2010,AT1,1,21962.0
2013,NUTS,2010,AT1,1,23708.0
2019,NUTS,2010,AT1,1,27213.0
2011,NUTS,2010,AT11,2,93.0
2013,NUTS,2010,AT11,2,154.0
2019,NUTS,2010,AT11,2,208.0
2011,NUTS,2010,AT12,2,625.0
2013,NUTS,2010,AT12,2,1236.0
2015,NUTS,2010,AT12,2,1480.0
2017,NUTS,2010,AT12,2,2012.0
2019,NUTS,2010,AT12,2,2459.0
2011,NUTS,2010,AT13,2,21244.0
2013,NUTS,2010,AT13,2,22318.0
2015,NUTS,2010,AT13,2,23232.0
2017,NUTS,2010,AT13,2,22971.0
2019,NUTS,2010,AT13,2,24546.0
2011,NUTS,2010,AT2,1,9897.0
2013,NUTS,2010,AT2,1,9971.0
2017,NUTS,2010,AT2,1,11071.0
2019,NUTS,2010,AT2,1,12310.0
2011,NUTS,2010,AT21,2,907.0
2013,NUTS,2010,AT21,2,857.0
2015,NUTS,2010,AT21,2,800.0
2017,NUTS,2010,AT21,2,878.0
2019,NUTS,2010,AT21,2,1083.0
2011,NUTS,2010,AT22,2,8990.0
2013,NUTS,2010,AT22,2,9114.0
2015,NUTS,2010,AT22,2,10236.0
2017,NUTS,2010,AT22,2,10193.0
2019,NUTS,2010,AT22,2,11227.0
2011,NUTS,2010,AT3,1,10432.0
2013,NUTS,2010,AT3,1,10922.0
2019,NUTS,2010,AT3,1,13140.0
2011,NUTS,2010,AT31,2,2884.0
2013,NUTS,2010,AT31,2,2915.0
2015,NUTS,2010,AT31,2,3204.0
2017,NUTS,2010,AT31,2,3227.0
2019,NUTS,2010,AT31,2,3532.0
2011,NUTS,2010,AT32,2,2176.0
2013,NUTS,2010,AT32,2,2360.0
2015,NUTS,2010,AT32,2,2705.0
2017,NUTS,2010,AT32,2,2836.0
2019,NUTS,2010,AT32,2,2986.0
2011,NUTS,2010,AT33,2,5297.0
2013,NUTS,2010,AT33,2,5553.0
2015,NUTS,2010,AT33,2,5640.0
2017,NUTS,2010,AT33,2,5923.0
2019,NUTS,2010,AT33,2,6463.0
2011,NUTS,2010,AT34,2,75.0
2013,NUTS,2010,AT34,2,94.0
2019,NUTS,2010,AT34,2,159.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
