year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_hc_f
2011,NUTS,2010,AT,0,445.0
2013,NUTS,2010,AT,0,470.0
2015,NUTS,2010,AT,0,554.0
2017,NUTS,2010,AT,0,591.0
2019,NUTS,2010,AT,0,678.0
2011,NUTS,2010,AT1,1,395.0
2013,NUTS,2010,AT1,1,417.0
2015,NUTS,2010,AT1,1,509.0
2017,NUTS,2010,AT1,1,528.0
2019,NUTS,2010,AT1,1,599.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,155.0
2013,NUTS,2010,AT12,2,169.0
2015,NUTS,2010,AT12,2,193.0
2017,NUTS,2010,AT12,2,221.0
2011,NUTS,2010,AT13,2,240.0
2013,NUTS,2010,AT13,2,248.0
2015,NUTS,2010,AT13,2,316.0
2017,NUTS,2010,AT13,2,307.0
2019,NUTS,2010,AT13,2,371.0
2019,NUTS,2010,AT2,1,22.0
2011,NUTS,2010,AT21,2,8.0
2019,NUTS,2010,AT3,1,57.0
2011,NUTS,2010,AT31,2,24.0
2013,NUTS,2010,AT31,2,37.0
2015,NUTS,2010,AT31,2,8.0
2017,NUTS,2010,AT31,2,8.0
2019,NUTS,2010,AT31,2,14.0
2015,NUTS,2010,AT32,2,29.0
2017,NUTS,2010,AT32,2,40.0
2019,NUTS,2010,AT32,2,38.0
2013,NUTS,2010,AT33,2,3.0
2019,NUTS,2010,AT33,2,5.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,2.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,8.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,307.0
2012,NUTS,2010,BE,0,188.0
2013,NUTS,2010,BE,0,190.0
2014,NUTS,2010,BE,0,164.0
2015,NUTS,2010,BE,0,228.0
2016,NUTS,2010,BE,0,326.0
2017,NUTS,2010,BE,0,358.0
2018,NUTS,2010,BE,0,1342.0
2019,NUTS,2010,BE,0,1390.0
2011,NUTS,2010,BE1,1,135.0
2012,NUTS,2010,BE1,1,145.0
2013,NUTS,2010,BE1,1,143.0
2014,NUTS,2010,BE1,1,117.0
2015,NUTS,2010,BE1,1,152.0
2016,NUTS,2010,BE1,1,159.0
2017,NUTS,2010,BE1,1,191.0
2018,NUTS,2010,BE1,1,1175.0
2019,NUTS,2010,BE1,1,1188.0
2011,NUTS,2010,BE10,2,135.0
2012,NUTS,2010,BE10,2,145.0
2013,NUTS,2010,BE10,2,143.0
2014,NUTS,2010,BE10,2,117.0
2015,NUTS,2010,BE10,2,152.0
2016,NUTS,2010,BE10,2,159.0
2017,NUTS,2010,BE10,2,191.0
2018,NUTS,2010,BE10,2,1175.0
2019,NUTS,2010,BE10,2,1188.0
2011,NUTS,2010,BE2,1,172.0
2012,NUTS,2010,BE2,1,43.0
2013,NUTS,2010,BE2,1,47.0
2014,NUTS,2010,BE2,1,45.0
2015,NUTS,2010,BE2,1,74.0
2016,NUTS,2010,BE2,1,157.0
2017,NUTS,2010,BE2,1,157.0
2018,NUTS,2010,BE2,1,157.0
2019,NUTS,2010,BE2,1,192.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,2.0
2015,NUTS,2010,BE3,1,2.0
2016,NUTS,2010,BE3,1,10.0
2017,NUTS,2010,BE3,1,10.0
2018,NUTS,2010,BE3,1,10.0
2019,NUTS,2010,BE3,1,10.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,69.0
2012,NUTS,2010,BG,0,86.0
2013,NUTS,2010,BG,0,88.0
2014,NUTS,2010,BG,0,84.0
2015,NUTS,2010,BG,0,91.0
2016,NUTS,2010,BG,0,34.0
2017,NUTS,2010,BG,0,106.0
2018,NUTS,2010,BG,0,91.0
2019,NUTS,2010,BG,0,102.0
2011,NUTS,2010,BG3,1,5.0
2013,NUTS,2010,BG3,1,12.0
2014,NUTS,2010,BG3,1,7.0
2015,NUTS,2010,BG3,1,6.0
2016,NUTS,2010,BG3,1,5.0
2017,NUTS,2010,BG3,1,10.0
2018,NUTS,2010,BG3,1,9.0
2019,NUTS,2010,BG3,1,9.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2011,NUTS,2010,BG33,2,0.0
2012,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG33,2,12.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,64.0
2013,NUTS,2010,BG4,1,76.0
2014,NUTS,2010,BG4,1,77.0
2015,NUTS,2010,BG4,1,85.0
2016,NUTS,2010,BG4,1,29.0
2017,NUTS,2010,BG4,1,96.0
2018,NUTS,2010,BG4,1,82.0
2019,NUTS,2010,BG4,1,93.0
2012,NUTS,2010,BG41,2,81.0
2014,NUTS,2010,BG41,2,77.0
2016,NUTS,2010,BG41,2,18.0
2017,NUTS,2010,BG41,2,76.0
2018,NUTS,2010,BG41,2,59.0
2019,NUTS,2010,BG41,2,72.0
2014,NUTS,2010,BG42,2,0.0
2016,NUTS,2010,BG42,2,11.0
2017,NUTS,2010,BG42,2,20.0
2018,NUTS,2010,BG42,2,23.0
2019,NUTS,2010,BG42,2,21.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,113.0
2012,NUTS,2010,CY,0,115.0
2013,NUTS,2010,CY,0,108.0
2014,NUTS,2010,CY,0,144.0
2015,NUTS,2010,CY,0,141.0
2016,NUTS,2010,CY,0,143.0
2017,NUTS,2010,CY,0,153.0
2018,NUTS,2010,CY,0,162.0
2019,NUTS,2010,CY,0,213.0
2011,NUTS,2010,CZ,0,171.0
2012,NUTS,2010,CZ,0,136.0
2013,NUTS,2010,CZ,0,122.0
2014,NUTS,2010,CZ,0,143.0
2015,NUTS,2010,CZ,0,135.0
2016,NUTS,2010,CZ,0,127.0
2017,NUTS,2010,CZ,0,144.0
2018,NUTS,2010,CZ,0,119.0
2019,NUTS,2010,CZ,0,179.0
2020,NUTS,2010,CZ,0,190.0
2011,NUTS,2010,CZ0,1,171.0
2012,NUTS,2010,CZ0,1,136.0
2013,NUTS,2010,CZ0,1,122.0
2014,NUTS,2010,CZ0,1,143.0
