year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_nac
1981,NUTS,2010,AT,0,896.131
1982,NUTS,2010,AT,0,1003.387
1983,NUTS,2010,AT,0,1077.738
1984,NUTS,2010,AT,0,1181.202
1985,NUTS,2010,AT,0,1248.686
1986,NUTS,2010,AT,0,1358.379
1987,NUTS,2010,AT,0,1418.988
1988,NUTS,2010,AT,0,1536.086
1989,NUTS,2010,AT,0,1669.07
1990,NUTS,2010,AT,0,1857.585
1991,NUTS,2010,AT,0,2104.78
1992,NUTS,2010,AT,0,2203.55
1993,NUTS,2010,AT,0,2303.307
1994,NUTS,2010,AT,0,2550.73
1995,NUTS,2010,AT,0,2701.68
1996,NUTS,2010,AT,0,2885.55
1997,NUTS,2010,AT,0,3123.21
1998,NUTS,2010,AT,0,3399.835
1999,NUTS,2010,AT,0,3761.8
2000,NUTS,2010,AT,0,4028.67
2001,NUTS,2010,AT,0,4393.09
2002,NUTS,2010,AT,0,4684.313
2003,NUTS,2010,AT,0,5041.98
2004,NUTS,2010,AT,0,5249.546
2005,NUTS,2010,AT,0,6029.81
2006,NUTS,2010,AT,0,6318.587
2007,NUTS,2010,AT,0,6867.815
2008,NUTS,2010,AT,0,7548.06
2009,NUTS,2010,AT,0,7479.745
2010,NUTS,2010,AT,0,8066.44
2011,NUTS,2010,AT,0,8276.335
2012,NUTS,2010,AT,0,9287.84
2013,NUTS,2010,AT,0,9571.282
2014,NUTS,2010,AT,0,10275.18
2015,NUTS,2010,AT,0,10499.146
2016,NUTS,2010,AT,0,11145.02
2017,NUTS,2010,AT,0,11289.781
2018,NUTS,2010,AT,0,11911.85
2019,NUTS,2010,AT,0,12441.232
2020,NUTS,2010,AT,0,12143.11
1989,NUTS,2010,AT1,1,930.58
1993,NUTS,2010,AT1,1,1319.1
1998,NUTS,2010,AT1,1,1855.0
2002,NUTS,2010,AT1,1,2338.118
2004,NUTS,2010,AT1,1,2540.263
2006,NUTS,2010,AT1,1,2926.016
2007,NUTS,2010,AT1,1,3170.32
2009,NUTS,2010,AT1,1,3491.495
2011,NUTS,2010,AT1,1,3634.037
2013,NUTS,2010,AT1,1,3815.886
2015,NUTS,2010,AT1,1,4180.931
2017,NUTS,2010,AT1,1,4464.973
2019,NUTS,2010,AT1,1,4869.478
1989,NUTS,2010,AT11,2,5.16
1993,NUTS,2010,AT11,2,11.25
1998,NUTS,2010,AT11,2,8.0
2002,NUTS,2010,AT11,2,32.681
2004,NUTS,2010,AT11,2,29.325
2006,NUTS,2010,AT11,2,34.383
2007,NUTS,2010,AT11,2,37.458
2009,NUTS,2010,AT11,2,49.284
2011,NUTS,2010,AT11,2,56.846
2013,NUTS,2010,AT11,2,67.346
2015,NUTS,2010,AT11,2,79.729
2017,NUTS,2010,AT11,2,74.392
2019,NUTS,2010,AT11,2,80.172
1989,NUTS,2010,AT12,2,102.11
1993,NUTS,2010,AT12,2,101.86
1998,NUTS,2010,AT12,2,197.0
2002,NUTS,2010,AT12,2,284.848
2004,NUTS,2010,AT12,2,326.623
2006,NUTS,2010,AT12,2,461.53
2007,NUTS,2010,AT12,2,514.866
2009,NUTS,2010,AT12,2,595.62
2011,NUTS,2010,AT12,2,706.439
2013,NUTS,2010,AT12,2,809.844
2015,NUTS,2010,AT12,2,935.401
2017,NUTS,2010,AT12,2,1047.414
2019,NUTS,2010,AT12,2,1132.725
1989,NUTS,2010,AT13,2,823.38
1993,NUTS,2010,AT13,2,1205.99
1998,NUTS,2010,AT13,2,1650.0
2002,NUTS,2010,AT13,2,2020.589
2004,NUTS,2010,AT13,2,2184.315
2006,NUTS,2010,AT13,2,2430.103
2007,NUTS,2010,AT13,2,2617.996
2009,NUTS,2010,AT13,2,2846.591
2011,NUTS,2010,AT13,2,2870.752
2013,NUTS,2010,AT13,2,2938.696
2015,NUTS,2010,AT13,2,3165.801
2017,NUTS,2010,AT13,2,3343.167
2019,NUTS,2010,AT13,2,3656.581
1989,NUTS,2010,AT2,1,298.61
1993,NUTS,2010,AT2,1,363.06
1998,NUTS,2010,AT2,1,722.0
2002,NUTS,2010,AT2,1,1136.449
2004,NUTS,2010,AT2,1,1258.173
2006,NUTS,2010,AT2,1,1515.426
2007,NUTS,2010,AT2,1,1695.879
2009,NUTS,2010,AT2,1,1723.55
2011,NUTS,2010,AT2,1,2127.089
2013,NUTS,2010,AT2,1,2509.092
2015,NUTS,2010,AT2,1,2820.382
2017,NUTS,2010,AT2,1,2904.506
2019,NUTS,2010,AT2,1,3309.093
1989,NUTS,2010,AT21,2,32.78
1993,NUTS,2010,AT21,2,35.62
1998,NUTS,2010,AT21,2,122.0
2002,NUTS,2010,AT21,2,229.532
2004,NUTS,2010,AT21,2,309.177
2006,NUTS,2010,AT21,2,393.752
2007,NUTS,2010,AT21,2,417.343
2009,NUTS,2010,AT21,2,389.178
2011,NUTS,2010,AT21,2,480.133
2013,NUTS,2010,AT21,2,506.772
2015,NUTS,2010,AT21,2,585.288
2017,NUTS,2010,AT21,2,584.178
2019,NUTS,2010,AT21,2,691.276
1989,NUTS,2010,AT22,2,265.84
1993,NUTS,2010,AT22,2,327.44
1998,NUTS,2010,AT22,2,600.0
2002,NUTS,2010,AT22,2,906.917
2004,NUTS,2010,AT22,2,948.996
2006,NUTS,2010,AT22,2,1121.674
2007,NUTS,2010,AT22,2,1278.536
2009,NUTS,2010,AT22,2,1334.372
2011,NUTS,2010,AT22,2,1646.956
2013,NUTS,2010,AT22,2,2002.32
2015,NUTS,2010,AT22,2,2235.094
2017,NUTS,2010,AT22,2,2320.328
2019,NUTS,2010,AT22,2,2617.817
1989,NUTS,2010,AT3,1,439.96
1993,NUTS,2010,AT3,1,548.36
1998,NUTS,2010,AT3,1,823.0
2002,NUTS,2010,AT3,1,1209.746
2004,NUTS,2010,AT3,1,1451.11
2006,NUTS,2010,AT3,1,1877.148
2007,NUTS,2010,AT3,1,2001.616
2009,NUTS,2010,AT3,1,2264.7
2011,NUTS,2010,AT3,1,2515.209
2013,NUTS,2010,AT3,1,3246.304
2015,NUTS,2010,AT3,1,3497.833
2017,NUTS,2010,AT3,1,3920.302
2019,NUTS,2010,AT3,1,4262.661
1989,NUTS,2010,AT31,2,208.43
1993,NUTS,2010,AT31,2,236.34
1998,NUTS,2010,AT31,2,395.0
2002,NUTS,2010,AT31,2,599.216
2004,NUTS,2010,AT31,2,713.81
2006,NUTS,2010,AT31,2,964.932
2007,NUTS,2010,AT31,2,1044.582
2009,NUTS,2010,AT31,2,1134.141
2011,NUTS,2010,AT31,2,1295.914
2013,NUTS,2010,AT31,2,1737.844
2015,NUTS,2010,AT31,2,1846.323
2017,NUTS,2010,AT31,2,2191.158
2019,NUTS,2010,AT31,2,2387.053
1989,NUTS,2010,AT32,2,58.07
1993,NUTS,2010,AT32,2,80.57
1998,NUTS,2010,AT32,2,93.0
2002,NUTS,2010,AT32,2,136.22
2004,NUTS,2010,AT32,2,166.06
2006,NUTS,2010,AT32,2,200.919
2007,NUTS,2010,AT32,2,210.027
2009,NUTS,2010,AT32,2,242.634
2011,NUTS,2010,AT32,2,287.664
2013,NUTS,2010,AT32,2,356.94
2015,NUTS,2010,AT32,2,384.674
2017,NUTS,2010,AT32,2,443.02
2019,NUTS,2010,AT32,2,506.141
1989,NUTS,2010,AT33,2,138.51
1993,NUTS,2010,AT33,2,184.09
1998,NUTS,2010,AT33,2,259.0
2002,NUTS,2010,AT33,2,340.594
2004,NUTS,2010,AT33,2,432.427
2006,NUTS,2010,AT33,2,556.675
2007,NUTS,2010,AT33,2,573.778
2009,NUTS,2010,AT33,2,683.137
2011,NUTS,2010,AT33,2,728.795
2013,NUTS,2010,AT33,2,904.335
2015,NUTS,2010,AT33,2,965.283
2017,NUTS,2010,AT33,2,968.24
2019,NUTS,2010,AT33,2,1024.213
1989,NUTS,2010,AT34,2,34.88
1993,NUTS,2010,AT34,2,47.35
1998,NUTS,2010,AT34,2,76.0
2002,NUTS,2010,AT34,2,133.716
2004,NUTS,2010,AT34,2,138.813
2006,NUTS,2010,AT34,2,154.619
2007,NUTS,2010,AT34,2,173.229
2009,NUTS,2010,AT34,2,204.788
2011,NUTS,2010,AT34,2,202.836
2013,NUTS,2010,AT34,2,247.185
2015,NUTS,2010,AT34,2,301.553
2017,NUTS,2010,AT34,2,317.884
2019,NUTS,2010,AT34,2,345.254
1993,NUTS,2010,ATZ,1,72.8
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,72.8
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,69.577
2013,NUTS,2010,BA,0,86.046
2014,NUTS,2010,BA,0,71.75
2019,NUTS,2010,BA,0,67.994
1983,NUTS,2010,BE,0,1653.67
1984,NUTS,2010,BE,0,1800.83
1985,NUTS,2010,BE,0,1978.98
1986,NUTS,2010,BE,0,2075.57
1987,NUTS,2010,BE,0,2176.22
1988,NUTS,2010,BE,0,2262.4
1989,NUTS,2010,BE,0,2539.37
1991,NUTS,2010,BE,0,2778.02
1993,NUTS,2010,BE,0,3154.46
1994,NUTS,2010,BE,0,3305.01
1995,NUTS,2010,BE,0,3467.36
1996,NUTS,2010,BE,0,3734.99
1997,NUTS,2010,BE,0,4055.6
1998,NUTS,2010,BE,0,4276.21
1999,NUTS,2010,BE,0,4617.525
2000,NUTS,2010,BE,0,4963.95
2001,NUTS,2010,BE,0,5373.378
2002,NUTS,2010,BE,0,5200.737
2003,NUTS,2010,BE,0,5177.444
2004,NUTS,2010,BE,0,5403.617
2005,NUTS,2010,BE,0,5551.553
2006,NUTS,2010,BE,0,5926.513
2007,NUTS,2010,BE,0,6356.931
2008,NUTS,2010,BE,0,6812.699
2009,NUTS,2010,BE,0,6924.591
2010,NUTS,2010,BE,0,7487.5
2011,NUTS,2010,BE,0,8171.0
2012,NUTS,2010,BE,0,8809.188
2013,NUTS,2010,BE,0,9156.953
2014,NUTS,2010,BE,0,9551.244
2015,NUTS,2010,BE,0,10118.2
2016,NUTS,2010,BE,0,10852.674
2017,NUTS,2010,BE,0,11867.981
2018,NUTS,2010,BE,0,13158.259
2019,NUTS,2010,BE,0,15109.898
2020,NUTS,2010,BE,0,15887.075
2002,NUTS,2010,BE1,1,652.73
2003,NUTS,2010,BE1,1,627.271
2004,NUTS,2010,BE1,1,654.975
2005,NUTS,2010,BE1,1,659.818
2006,NUTS,2010,BE1,1,848.161
2007,NUTS,2010,BE1,1,860.968
2008,NUTS,2010,BE1,1,974.972
2009,NUTS,2010,BE1,1,993.994
2010,NUTS,2010,BE1,1,942.062
2011,NUTS,2010,BE1,1,956.903
2012,NUTS,2010,BE1,1,1026.586
2013,NUTS,2010,BE1,1,1089.49
2014,NUTS,2010,BE1,1,1235.208
2015,NUTS,2010,BE1,1,1338.278
2016,NUTS,2010,BE1,1,1525.089
2017,NUTS,2010,BE1,1,1681.489
2018,NUTS,2010,BE1,1,1895.776
2019,NUTS,2010,BE1,1,2035.052
2002,NUTS,2010,BE10,2,652.73
2003,NUTS,2010,BE10,2,627.271
2004,NUTS,2010,BE10,2,654.975
2005,NUTS,2010,BE10,2,659.818
2006,NUTS,2010,BE10,2,848.161
2007,NUTS,2010,BE10,2,860.968
2008,NUTS,2010,BE10,2,974.972
2009,NUTS,2010,BE10,2,993.994
2010,NUTS,2010,BE10,2,942.062
2011,NUTS,2010,BE10,2,956.903
2012,NUTS,2010,BE10,2,1026.586
2013,NUTS,2010,BE10,2,1089.49
2014,NUTS,2010,BE10,2,1235.208
2015,NUTS,2010,BE10,2,1338.278
2016,NUTS,2010,BE10,2,1525.089
2017,NUTS,2010,BE10,2,1681.489
2018,NUTS,2010,BE10,2,1895.776
2019,NUTS,2010,BE10,2,2035.052
2002,NUTS,2010,BE2,1,3330.091
2003,NUTS,2010,BE2,1,3273.363
2004,NUTS,2010,BE2,1,3385.178
2005,NUTS,2010,BE2,1,3582.737
2006,NUTS,2010,BE2,1,3590.302
2007,NUTS,2010,BE2,1,3861.328
2008,NUTS,2010,BE2,1,4152.327
2009,NUTS,2010,BE2,1,4145.351
2010,NUTS,2010,BE2,1,4622.364
2011,NUTS,2010,BE2,1,5038.015
2012,NUTS,2010,BE2,1,5579.754
2013,NUTS,2010,BE2,1,5792.472
2014,NUTS,2010,BE2,1,6043.443
2015,NUTS,2010,BE2,1,6433.036
2016,NUTS,2010,BE2,1,6879.952
2017,NUTS,2010,BE2,1,7476.422
2018,NUTS,2010,BE2,1,7906.2
2019,NUTS,2010,BE2,1,9350.475
2006,NUTS,2010,BE21,2,1352.882
2007,NUTS,2010,BE21,2,1394.748
2008,NUTS,2010,BE21,2,1459.169
2009,NUTS,2010,BE21,2,1433.709
2010,NUTS,2010,BE21,2,1675.366
2011,NUTS,2010,BE21,2,1889.141
2012,NUTS,2010,BE21,2,1948.003
2013,NUTS,2010,BE21,2,1997.377
2014,NUTS,2010,BE21,2,2292.58
