year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps
2011,NUTS,2010,AT,0,36.51
2012,NUTS,2010,AT,0,36.871
2013,NUTS,2010,AT,0,36.404
2014,NUTS,2010,AT,0,43.641
2015,NUTS,2010,AT,0,46.201
2016,NUTS,2010,AT,0,48.709
2017,NUTS,2010,AT,0,54.538
2018,NUTS,2010,AT,0,57.54
2019,NUTS,2010,AT,0,59.469
2020,NUTS,2010,AT,0,58.87
2011,NUTS,2010,AT1,1,33.698
2013,NUTS,2010,AT1,1,34.157
2015,NUTS,2010,AT1,1,42.94
2017,NUTS,2010,AT1,1,50.805
2019,NUTS,2010,AT1,1,54.756
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,15.139
2013,NUTS,2010,AT12,2,15.689
2015,NUTS,2010,AT12,2,18.92
2017,NUTS,2010,AT12,2,22.367
2011,NUTS,2010,AT13,2,18.559
2013,NUTS,2010,AT13,2,18.468
2015,NUTS,2010,AT13,2,24.02
2017,NUTS,2010,AT13,2,28.439
2019,NUTS,2010,AT13,2,31.727
2019,NUTS,2010,AT2,1,0.689
2011,NUTS,2010,AT21,2,0.424
2019,NUTS,2010,AT3,1,4.024
2011,NUTS,2010,AT31,2,1.027
2013,NUTS,2010,AT31,2,1.06
2015,NUTS,2010,AT31,2,0.664
2017,NUTS,2010,AT31,2,0.792
2019,NUTS,2010,AT31,2,1.27
2015,NUTS,2010,AT32,2,1.778
2017,NUTS,2010,AT32,2,2.392
2019,NUTS,2010,AT32,2,2.269
2011,NUTS,2010,AT33,2,0.163
2013,NUTS,2010,AT33,2,0.157
2019,NUTS,2010,AT33,2,0.485
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.178
2013,NUTS,2010,BA,0,0.111
2014,NUTS,2010,BA,0,1.053
2019,NUTS,2010,BA,0,0.033
2011,NUTS,2010,BE,0,65.95
2012,NUTS,2010,BE,0,31.645
2013,NUTS,2010,BE,0,30.572
2014,NUTS,2010,BE,0,39.133
2015,NUTS,2010,BE,0,49.956
2016,NUTS,2010,BE,0,58.703
2017,NUTS,2010,BE,0,58.768
2018,NUTS,2010,BE,0,84.371
2019,NUTS,2010,BE,0,100.738
2020,NUTS,2010,BE,0,112.764
2011,NUTS,2010,BE1,1,25.303
2012,NUTS,2010,BE1,1,18.486
2013,NUTS,2010,BE1,1,17.629
2014,NUTS,2010,BE1,1,25.331
2015,NUTS,2010,BE1,1,30.022
2016,NUTS,2010,BE1,1,35.094
2017,NUTS,2010,BE1,1,34.608
2018,NUTS,2010,BE1,1,58.231
2019,NUTS,2010,BE1,1,68.004
2011,NUTS,2010,BE10,2,25.303
2012,NUTS,2010,BE10,2,18.486
2013,NUTS,2010,BE10,2,17.629
2014,NUTS,2010,BE10,2,25.331
2015,NUTS,2010,BE10,2,30.022
2016,NUTS,2010,BE10,2,35.094
2017,NUTS,2010,BE10,2,34.608
