year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_fte_rse_pnp
1998,NUTS,2010,AT,0,32.0
2002,NUTS,2010,AT,0,54.0
2004,NUTS,2010,AT,0,62.0
2006,NUTS,2010,AT,0,63.0
2007,NUTS,2010,AT,0,60.0
2009,NUTS,2010,AT,0,90.0
2011,NUTS,2010,AT,0,111.0
2013,NUTS,2010,AT,0,103.0
2015,NUTS,2010,AT,0,162.0
2017,NUTS,2010,AT,0,183.0
2019,NUTS,2010,AT,0,197.0
2006,NUTS,2010,AT1,1,55.0
2007,NUTS,2010,AT1,1,51.0
2009,NUTS,2010,AT1,1,89.0
2011,NUTS,2010,AT1,1,100.0
2013,NUTS,2010,AT1,1,93.0
2015,NUTS,2010,AT1,1,147.0
2017,NUTS,2010,AT1,1,162.0
2019,NUTS,2010,AT1,1,175.0
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,5.0
2004,NUTS,2010,AT12,2,3.0
2006,NUTS,2010,AT12,2,4.0
2007,NUTS,2010,AT12,2,4.0
2009,NUTS,2010,AT12,2,26.0
2011,NUTS,2010,AT12,2,31.0
2013,NUTS,2010,AT12,2,33.0
2015,NUTS,2010,AT12,2,47.0
2017,NUTS,2010,AT12,2,54.0
2002,NUTS,2010,AT13,2,36.0
2004,NUTS,2010,AT13,2,50.0
2006,NUTS,2010,AT13,2,51.0
2007,NUTS,2010,AT13,2,47.0
2009,NUTS,2010,AT13,2,63.0
2011,NUTS,2010,AT13,2,69.0
2013,NUTS,2010,AT13,2,60.0
2015,NUTS,2010,AT13,2,101.0
2017,NUTS,2010,AT13,2,108.0
2019,NUTS,2010,AT13,2,117.0
2006,NUTS,2010,AT2,1,3.0
2019,NUTS,2010,AT2,1,2.0
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,3.0
2002,NUTS,2010,AT22,2,3.0
2004,NUTS,2010,AT22,2,5.0
2006,NUTS,2010,AT22,2,3.0
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,8.0
2004,NUTS,2010,AT3,1,3.0
2006,NUTS,2010,AT3,1,6.0
2007,NUTS,2010,AT3,1,6.0
2019,NUTS,2010,AT3,1,21.0
2002,NUTS,2010,AT31,2,2.0
2004,NUTS,2010,AT31,2,0.0
2006,NUTS,2010,AT31,2,5.0
2009,NUTS,2010,AT31,2,0.0
2011,NUTS,2010,AT31,2,5.0
2013,NUTS,2010,AT31,2,5.0
2015,NUTS,2010,AT31,2,1.0
2017,NUTS,2010,AT31,2,1.0
2019,NUTS,2010,AT31,2,4.0
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,10.0
2017,NUTS,2010,AT32,2,18.0
2019,NUTS,2010,AT32,2,15.0
2002,NUTS,2010,AT33,2,5.0
2004,NUTS,2010,AT33,2,3.0
2006,NUTS,2010,AT33,2,0.0
2013,NUTS,2010,AT33,2,0.0
2019,NUTS,2010,AT33,2,1.0
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,2.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,2.0
2019,NUTS,2010,BA,0,0.0
2000,NUTS,2010,BE,0,162.0
2001,NUTS,2010,BE,0,163.0
2002,NUTS,2010,BE,0,108.0
2003,NUTS,2010,BE,0,108.0
2004,NUTS,2010,BE,0,110.0
2005,NUTS,2010,BE,0,104.0
2006,NUTS,2010,BE,0,112.0
2007,NUTS,2010,BE,0,115.0
2008,NUTS,2010,BE,0,116.0
2009,NUTS,2010,BE,0,115.0
2010,NUTS,2010,BE,0,118.0
2011,NUTS,2010,BE,0,108.0
2012,NUTS,2010,BE,0,81.0
2013,NUTS,2010,BE,0,81.0
2014,NUTS,2010,BE,0,89.0
2015,NUTS,2010,BE,0,140.0
2016,NUTS,2010,BE,0,194.0
2017,NUTS,2010,BE,0,223.0
2018,NUTS,2010,BE,0,457.0
2019,NUTS,2010,BE,0,478.0
2000,NUTS,2010,BE1,1,41.0
2001,NUTS,2010,BE1,1,36.0
2002,NUTS,2010,BE1,1,34.0
2003,NUTS,2010,BE1,1,35.0
2004,NUTS,2010,BE1,1,31.0
2005,NUTS,2010,BE1,1,28.0
2006,NUTS,2010,BE1,1,38.0
2007,NUTS,2010,BE1,1,41.0
2008,NUTS,2010,BE1,1,42.0
2009,NUTS,2010,BE1,1,41.0
2010,NUTS,2010,BE1,1,39.0
2011,NUTS,2010,BE1,1,34.0
2012,NUTS,2010,BE1,1,60.0
2013,NUTS,2010,BE1,1,59.0
2014,NUTS,2010,BE1,1,64.0
2015,NUTS,2010,BE1,1,94.0
2016,NUTS,2010,BE1,1,100.0
2017,NUTS,2010,BE1,1,122.0
2018,NUTS,2010,BE1,1,368.0
2019,NUTS,2010,BE1,1,372.0
2000,NUTS,2010,BE10,2,41.0
2001,NUTS,2010,BE10,2,36.0
2002,NUTS,2010,BE10,2,34.0
2003,NUTS,2010,BE10,2,35.0
2004,NUTS,2010,BE10,2,31.0
2005,NUTS,2010,BE10,2,28.0
2006,NUTS,2010,BE10,2,38.0
2007,NUTS,2010,BE10,2,41.0
2008,NUTS,2010,BE10,2,42.0
2009,NUTS,2010,BE10,2,41.0
2010,NUTS,2010,BE10,2,39.0
2011,NUTS,2010,BE10,2,34.0
2012,NUTS,2010,BE10,2,60.0
2013,NUTS,2010,BE10,2,59.0
2014,NUTS,2010,BE10,2,64.0
2015,NUTS,2010,BE10,2,94.0
2016,NUTS,2010,BE10,2,100.0
2017,NUTS,2010,BE10,2,122.0
2018,NUTS,2010,BE10,2,368.0
2019,NUTS,2010,BE10,2,372.0
2000,NUTS,2010,BE2,1,120.0
2001,NUTS,2010,BE2,1,127.0
2002,NUTS,2010,BE2,1,74.0
2003,NUTS,2010,BE2,1,73.0
2004,NUTS,2010,BE2,1,79.0
2005,NUTS,2010,BE2,1,75.0
2006,NUTS,2010,BE2,1,74.0
2007,NUTS,2010,BE2,1,74.0
2008,NUTS,2010,BE2,1,74.0
2009,NUTS,2010,BE2,1,74.0
2010,NUTS,2010,BE2,1,78.0
2011,NUTS,2010,BE2,1,73.0
2012,NUTS,2010,BE2,1,20.0
2013,NUTS,2010,BE2,1,23.0
2014,NUTS,2010,BE2,1,24.0
2015,NUTS,2010,BE2,1,46.0
2016,NUTS,2010,BE2,1,87.0
2017,NUTS,2010,BE2,1,93.0
2018,NUTS,2010,BE2,1,81.0
2019,NUTS,2010,BE2,1,98.0
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,0.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0
2015,NUTS,2010,BE3,1,0.0
2016,NUTS,2010,BE3,1,7.0
2017,NUTS,2010,BE3,1,7.0
2018,NUTS,2010,BE3,1,8.0
2019,NUTS,2010,BE3,1,7.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1994,NUTS,2010,BG,0,12.0
1995,NUTS,2010,BG,0,8.0
1996,NUTS,2010,BG,0,67.0
1997,NUTS,2010,BG,0,46.0
1998,NUTS,2010,BG,0,49.0
1999,NUTS,2010,BG,0,27.0
2000,NUTS,2010,BG,0,11.0
2001,NUTS,2010,BG,0,36.0
2002,NUTS,2010,BG,0,10.0
2003,NUTS,2010,BG,0,21.0
2004,NUTS,2010,BG,0,21.0
2005,NUTS,2010,BG,0,73.0
2006,NUTS,2010,BG,0,61.0
2007,NUTS,2010,BG,0,50.0
2008,NUTS,2010,BG,0,41.0
2009,NUTS,2010,BG,0,25.0
2010,NUTS,2010,BG,0,33.0
2011,NUTS,2010,BG,0,37.0
2012,NUTS,2010,BG,0,58.0
2013,NUTS,2010,BG,0,46.0
2014,NUTS,2010,BG,0,51.0
2015,NUTS,2010,BG,0,60.0
2016,NUTS,2010,BG,0,19.0
2017,NUTS,2010,BG,0,46.0
2018,NUTS,2010,BG,0,45.0
2019,NUTS,2010,BG,0,54.0
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,4.0
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2010,NUTS,2010,BG3,1,0.0
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,4.0
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2002,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2011,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2002,NUTS,2010,BG33,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2009,NUTS,2010,BG33,2,0.0
2010,NUTS,2010,BG33,2,0.0
2011,NUTS,2010,BG33,2,0.0
2012,NUTS,2010,BG33,2,0.0
2016,NUTS,2010,BG33,2,0.0
2002,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,21.0
2004,NUTS,2010,BG4,1,17.0
2005,NUTS,2010,BG4,1,73.0
2006,NUTS,2010,BG4,1,61.0
2007,NUTS,2010,BG4,1,50.0
2010,NUTS,2010,BG4,1,33.0
1999,NUTS,2010,BG41,2,27.0
2000,NUTS,2010,BG41,2,11.0
2002,NUTS,2010,BG41,2,9.0
2003,NUTS,2010,BG41,2,21.0
2005,NUTS,2010,BG41,2,68.0
2009,NUTS,2010,BG41,2,22.0
2011,NUTS,2010,BG41,2,32.0
2012,NUTS,2010,BG41,2,54.0
2015,NUTS,2010,BG41,2,56.0
2017,NUTS,2010,BG41,2,27.0
2018,NUTS,2010,BG41,2,21.0
2019,NUTS,2010,BG41,2,36.0
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,5.0
2014,NUTS,2010,BG42,2,0.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1998,NUTS,2010,CY,0,2.0
1999,NUTS,2010,CY,0,3.0
2000,NUTS,2010,CY,0,3.0
2001,NUTS,2010,CY,0,5.0
2002,NUTS,2010,CY,0,6.0
2003,NUTS,2010,CY,0,8.0
2004,NUTS,2010,CY,0,6.0
2005,NUTS,2010,CY,0,15.0
2006,NUTS,2010,CY,0,18.0
2007,NUTS,2010,CY,0,18.0
2008,NUTS,2010,CY,0,23.0
2009,NUTS,2010,CY,0,29.0
2010,NUTS,2010,CY,0,28.0
2011,NUTS,2010,CY,0,27.0
2012,NUTS,2010,CY,0,29.0
2013,NUTS,2010,CY,0,23.0
2014,NUTS,2010,CY,0,30.0
2015,NUTS,2010,CY,0,21.0
2016,NUTS,2010,CY,0,18.0
2017,NUTS,2010,CY,0,21.0
2018,NUTS,2010,CY,0,21.0
2019,NUTS,2010,CY,0,47.0
2000,NUTS,2010,CZ,0,25.0
2001,NUTS,2010,CZ,0,15.0
2002,NUTS,2010,CZ,0,16.0
2003,NUTS,2010,CZ,0,25.0
2004,NUTS,2010,CZ,0,21.0
2005,NUTS,2010,CZ,0,76.0
2006,NUTS,2010,CZ,0,17.0
2007,NUTS,2010,CZ,0,24.0
2008,NUTS,2010,CZ,0,27.0
2009,NUTS,2010,CZ,0,64.0
2010,NUTS,2010,CZ,0,86.0
2011,NUTS,2010,CZ,0,77.0
2012,NUTS,2010,CZ,0,99.0
2013,NUTS,2010,CZ,0,77.0
2014,NUTS,2010,CZ,0,83.0
2015,NUTS,2010,CZ,0,72.0
2016,NUTS,2010,CZ,0,60.0
2017,NUTS,2010,CZ,0,78.0
2018,NUTS,2010,CZ,0,67.0
2019,NUTS,2010,CZ,0,80.0
2020,NUTS,2010,CZ,0,78.0
2000,NUTS,2010,CZ0,1,25.0
2001,NUTS,2010,CZ0,1,15.0
2002,NUTS,2010,CZ0,1,16.0
2003,NUTS,2010,CZ0,1,25.0
2004,NUTS,2010,CZ0,1,21.0
2005,NUTS,2010,CZ0,1,76.0
2006,NUTS,2010,CZ0,1,17.0
2007,NUTS,2010,CZ0,1,24.0
2008,NUTS,2010,CZ0,1,27.0
2009,NUTS,2010,CZ0,1,64.0
2010,NUTS,2010,CZ0,1,86.0
2011,NUTS,2010,CZ0,1,77.0
2012,NUTS,2010,CZ0,1,99.0
2013,NUTS,2010,CZ0,1,77.0
2014,NUTS,2010,CZ0,1,83.0
2015,NUTS,2010,CZ0,1,72.0
2016,NUTS,2010,CZ0,1,60.0
2017,NUTS,2010,CZ0,1,78.0
2018,NUTS,2010,CZ0,1,67.0
2019,NUTS,2010,CZ0,1,80.0
2020,NUTS,2010,CZ0,1,78.0
2001,NUTS,2010,CZ01,2,10.0
2002,NUTS,2010,CZ01,2,5.0
2003,NUTS,2010,CZ01,2,13.0
2004,NUTS,2010,CZ01,2,12.0
2005,NUTS,2010,CZ01,2,67.0
2006,NUTS,2010,CZ01,2,13.0
2007,NUTS,2010,CZ01,2,18.0
2008,NUTS,2010,CZ01,2,19.0
2009,NUTS,2010,CZ01,2,46.0
2010,NUTS,2010,CZ01,2,47.0
2011,NUTS,2010,CZ01,2,37.0
2012,NUTS,2010,CZ01,2,49.0
2013,NUTS,2010,CZ01,2,46.0
2014,NUTS,2010,CZ01,2,50.0
2015,NUTS,2010,CZ01,2,39.0
2016,NUTS,2010,CZ01,2,39.0
2017,NUTS,2010,CZ01,2,44.0
2018,NUTS,2010,CZ01,2,38.0
2019,NUTS,2010,CZ01,2,46.0
2020,NUTS,2010,CZ01,2,50.0
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,0.0
2005,NUTS,2010,CZ02,2,0.0
2006,NUTS,2010,CZ02,2,0.0
2007,NUTS,2010,CZ02,2,1.0
2008,NUTS,2010,CZ02,2,0.0
2009,NUTS,2010,CZ02,2,0.0
2010,NUTS,2010,CZ02,2,0.0
2011,NUTS,2010,CZ02,2,1.0
2012,NUTS,2010,CZ02,2,2.0
2013,NUTS,2010,CZ02,2,5.0
2014,NUTS,2010,CZ02,2,2.0
2015,NUTS,2010,CZ02,2,4.0
2016,NUTS,2010,CZ02,2,1.0
2017,NUTS,2010,CZ02,2,0.0
2018,NUTS,2010,CZ02,2,1.0
2019,NUTS,2010,CZ02,2,1.0
2020,NUTS,2010,CZ02,2,1.0
2001,NUTS,2010,CZ03,2,2.0
2002,NUTS,2010,CZ03,2,2.0
2003,NUTS,2010,CZ03,2,4.0
2004,NUTS,2010,CZ03,2,6.0
2005,NUTS,2010,CZ03,2,6.0
2006,NUTS,2010,CZ03,2,2.0
2007,NUTS,2010,CZ03,2,2.0
2008,NUTS,2010,CZ03,2,2.0
2009,NUTS,2010,CZ03,2,10.0
2010,NUTS,2010,CZ03,2,8.0
2011,NUTS,2010,CZ03,2,4.0
2012,NUTS,2010,CZ03,2,7.0
2013,NUTS,2010,CZ03,2,6.0
2014,NUTS,2010,CZ03,2,12.0
2015,NUTS,2010,CZ03,2,21.0
2016,NUTS,2010,CZ03,2,15.0
2017,NUTS,2010,CZ03,2,23.0
2018,NUTS,2010,CZ03,2,21.0
2019,NUTS,2010,CZ03,2,20.0
2020,NUTS,2010,CZ03,2,17.0
2001,NUTS,2010,CZ04,2,1.0
2002,NUTS,2010,CZ04,2,1.0
2003,NUTS,2010,CZ04,2,2.0
2004,NUTS,2010,CZ04,2,1.0
2005,NUTS,2010,CZ04,2,0.0
2006,NUTS,2010,CZ04,2,0.0
2007,NUTS,2010,CZ04,2,0.0
2008,NUTS,2010,CZ04,2,0.0
2009,NUTS,2010,CZ04,2,0.0
2010,NUTS,2010,CZ04,2,0.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0
2019,NUTS,2010,CZ04,2,0.0
2020,NUTS,2010,CZ04,2,0.0
2001,NUTS,2010,CZ05,2,0.0
2002,NUTS,2010,CZ05,2,0.0
2003,NUTS,2010,CZ05,2,1.0
2004,NUTS,2010,CZ05,2,1.0
2005,NUTS,2010,CZ05,2,1.0
2006,NUTS,2010,CZ05,2,0.0
2007,NUTS,2010,CZ05,2,1.0
2008,NUTS,2010,CZ05,2,1.0
2009,NUTS,2010,CZ05,2,4.0
2010,NUTS,2010,CZ05,2,24.0
2011,NUTS,2010,CZ05,2,26.0
2012,NUTS,2010,CZ05,2,29.0
2013,NUTS,2010,CZ05,2,15.0
2014,NUTS,2010,CZ05,2,6.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,4.0
2019,NUTS,2010,CZ05,2,3.0
2020,NUTS,2010,CZ05,2,4.0
2001,NUTS,2010,CZ06,2,2.0
2002,NUTS,2010,CZ06,2,4.0
2003,NUTS,2010,CZ06,2,2.0
2004,NUTS,2010,CZ06,2,2.0
2005,NUTS,2010,CZ06,2,1.0
2006,NUTS,2010,CZ06,2,1.0
2007,NUTS,2010,CZ06,2,0.0
2008,NUTS,2010,CZ06,2,5.0
2009,NUTS,2010,CZ06,2,3.0
2010,NUTS,2010,CZ06,2,6.0
2011,NUTS,2010,CZ06,2,5.0
2012,NUTS,2010,CZ06,2,3.0
2013,NUTS,2010,CZ06,2,3.0
2014,NUTS,2010,CZ06,2,5.0
2015,NUTS,2010,CZ06,2,4.0
2016,NUTS,2010,CZ06,2,0.0
2017,NUTS,2010,CZ06,2,1.0
2018,NUTS,2010,CZ06,2,3.0
2019,NUTS,2010,CZ06,2,4.0
2020,NUTS,2010,CZ06,2,1.0
2001,NUTS,2010,CZ07,2,0.0
2002,NUTS,2010,CZ07,2,0.0
2003,NUTS,2010,CZ07,2,1.0
2004,NUTS,2010,CZ07,2,0.0
2005,NUTS,2010,CZ07,2,0.0
2006,NUTS,2010,CZ07,2,1.0
2007,NUTS,2010,CZ07,2,1.0
2008,NUTS,2010,CZ07,2,2.0
2009,NUTS,2010,CZ07,2,0.0
2010,NUTS,2010,CZ07,2,2.0
2011,NUTS,2010,CZ07,2,3.0
2012,NUTS,2010,CZ07,2,3.0
2013,NUTS,2010,CZ07,2,1.0
2014,NUTS,2010,CZ07,2,3.0
