year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cab_p_mhab
2011,NUTS,2010,AT,0,5.91
2012,NUTS,2010,AT,0,7.074
2011,NUTS,2010,AT1,1,5.235
2012,NUTS,2010,AT1,1,6.483
2011,NUTS,2010,AT12,2,6.213
2012,NUTS,2010,AT12,2,7.123
2011,NUTS,2010,AT121,3,1.369
2012,NUTS,2010,AT121,3,2.075
2011,NUTS,2010,AT122,3,1.979
2012,NUTS,2010,AT122,3,9.878
2011,NUTS,2010,AT123,3,6.746
2012,NUTS,2010,AT123,3,1.683
2012,NUTS,2010,AT124,3,6.063
2012,NUTS,2010,AT125,3,2.026
2011,NUTS,2010,AT126,3,6.535
2012,NUTS,2010,AT126,3,17.294
2011,NUTS,2010,AT127,3,19.371
2012,NUTS,2010,AT127,3,4.144
2011,NUTS,2010,AT13,2,5.185
2012,NUTS,2010,AT13,2,6.959
2011,NUTS,2010,AT130,3,5.185
2012,NUTS,2010,AT130,3,6.959
2011,NUTS,2010,AT2,1,7.554
2012,NUTS,2010,AT2,1,6.857
2012,NUTS,2010,AT21,2,6.744
2012,NUTS,2010,AT211,3,12.639
2012,NUTS,2010,AT213,3,1.643
2011,NUTS,2010,AT22,2,11.039
2012,NUTS,2010,AT22,2,6.908
2011,NUTS,2010,AT221,3,31.104
2012,NUTS,2010,AT221,3,20.1
2012,NUTS,2010,AT224,3,0.75
2011,NUTS,2010,AT225,3,4.365
2011,NUTS,2010,AT3,1,5.645
2012,NUTS,2010,AT3,1,7.799
2011,NUTS,2010,AT31,2,4.772
2012,NUTS,2010,AT31,2,8.735
2011,NUTS,2010,AT311,3,4.836
2012,NUTS,2010,AT311,3,3.631
2011,NUTS,2010,AT312,3,9.83
2012,NUTS,2010,AT312,3,17.929
2012,NUTS,2010,AT313,3,0.98
2012,NUTS,2010,AT315,3,5.44
2011,NUTS,2010,AT32,2,7.104
2012,NUTS,2010,AT32,2,4.871
2011,NUTS,2010,AT321,3,12.004
2011,NUTS,2010,AT323,3,10.155
2012,NUTS,2010,AT323,3,7.454
2011,NUTS,2010,AT33,2,2.827
2012,NUTS,2010,AT33,2,9.837
2011,NUTS,2010,AT332,3,3.515
2012,NUTS,2010,AT332,3,17.429
2011,NUTS,2010,AT333,3,20.221
2012,NUTS,2010,AT333,3,40.544
