year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_hc_f
2011,NUTS,2010,AT,0,4859.0
2013,NUTS,2010,AT,0,5908.0
2015,NUTS,2010,AT,0,6320.0
2017,NUTS,2010,AT,0,6901.0
2019,NUTS,2010,AT,0,7837.0
2011,NUTS,2010,AT1,1,2691.0
2013,NUTS,2010,AT1,1,3026.0
2015,NUTS,2010,AT1,1,3218.0
2017,NUTS,2010,AT1,1,2999.0
2019,NUTS,2010,AT1,1,3357.0
2011,NUTS,2010,AT11,2,47.0
2013,NUTS,2010,AT11,2,48.0
2015,NUTS,2010,AT11,2,54.0
2017,NUTS,2010,AT11,2,75.0
2019,NUTS,2010,AT11,2,65.0
2011,NUTS,2010,AT12,2,597.0
2013,NUTS,2010,AT12,2,606.0
2015,NUTS,2010,AT12,2,642.0
2017,NUTS,2010,AT12,2,620.0
2019,NUTS,2010,AT12,2,853.0
2011,NUTS,2010,AT13,2,2047.0
2013,NUTS,2010,AT13,2,2372.0
2015,NUTS,2010,AT13,2,2522.0
2017,NUTS,2010,AT13,2,2304.0
2019,NUTS,2010,AT13,2,2439.0
2011,NUTS,2010,AT2,1,1088.0
2013,NUTS,2010,AT2,1,1303.0
2015,NUTS,2010,AT2,1,1416.0
2017,NUTS,2010,AT2,1,1717.0
2019,NUTS,2010,AT2,1,2134.0
2011,NUTS,2010,AT21,2,218.0
2013,NUTS,2010,AT21,2,200.0
2015,NUTS,2010,AT21,2,267.0
2017,NUTS,2010,AT21,2,449.0
2019,NUTS,2010,AT21,2,558.0
2011,NUTS,2010,AT22,2,870.0
2013,NUTS,2010,AT22,2,1103.0
2015,NUTS,2010,AT22,2,1149.0
2017,NUTS,2010,AT22,2,1268.0
2019,NUTS,2010,AT22,2,1577.0
2011,NUTS,2010,AT3,1,1080.0
2013,NUTS,2010,AT3,1,1579.0
2015,NUTS,2010,AT3,1,1686.0
2017,NUTS,2010,AT3,1,2185.0
2019,NUTS,2010,AT3,1,2346.0
2011,NUTS,2010,AT31,2,486.0
2013,NUTS,2010,AT31,2,772.0
2015,NUTS,2010,AT31,2,826.0
2017,NUTS,2010,AT31,2,954.0
2019,NUTS,2010,AT31,2,1216.0
2011,NUTS,2010,AT32,2,128.0
2013,NUTS,2010,AT32,2,160.0
2015,NUTS,2010,AT32,2,177.0
2017,NUTS,2010,AT32,2,255.0
2019,NUTS,2010,AT32,2,291.0
2011,NUTS,2010,AT33,2,383.0
2013,NUTS,2010,AT33,2,524.0
2015,NUTS,2010,AT33,2,554.0
2017,NUTS,2010,AT33,2,815.0
2019,NUTS,2010,AT33,2,668.0
2011,NUTS,2010,AT34,2,83.0
2013,NUTS,2010,AT34,2,123.0
2015,NUTS,2010,AT34,2,129.0
2017,NUTS,2010,AT34,2,161.0
2019,NUTS,2010,AT34,2,171.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,40.0
2013,NUTS,2010,BA,0,95.0
2014,NUTS,2010,BA,0,40.0
2019,NUTS,2010,BA,0,107.0
2011,NUTS,2010,BE,0,7390.0
2013,NUTS,2010,BE,0,7572.0
2015,NUTS,2010,BE,0,10030.0
2017,NUTS,2010,BE,0,11706.0
2019,NUTS,2010,BE,0,12460.0
2011,NUTS,2010,BE1,1,937.0
2013,NUTS,2010,BE1,1,1065.0
2015,NUTS,2010,BE1,1,1571.0
2017,NUTS,2010,BE1,1,1950.0
2019,NUTS,2010,BE1,1,2392.0
2011,NUTS,2010,BE10,2,937.0
2013,NUTS,2010,BE10,2,1065.0
2015,NUTS,2010,BE10,2,1571.0
2017,NUTS,2010,BE10,2,1950.0
2019,NUTS,2010,BE10,2,2392.0
2011,NUTS,2010,BE2,1,4059.0
2013,NUTS,2010,BE2,1,4561.0
2015,NUTS,2010,BE2,1,5141.0
2017,NUTS,2010,BE2,1,5619.0
2019,NUTS,2010,BE2,1,7294.0
2011,NUTS,2010,BE3,1,2394.0
2013,NUTS,2010,BE3,1,1946.0
2015,NUTS,2010,BE3,1,3318.0
2017,NUTS,2010,BE3,1,4137.0
2019,NUTS,2010,BE3,1,2774.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,786.0
2012,NUTS,2010,BG,0,1022.0
2013,NUTS,2010,BG,0,1365.0
2014,NUTS,2010,BG,0,1571.0
2015,NUTS,2010,BG,0,2425.0
2016,NUTS,2010,BG,0,2843.0
2017,NUTS,2010,BG,0,2859.0
2018,NUTS,2010,BG,0,3223.0
2019,NUTS,2010,BG,0,3515.0
2011,NUTS,2010,BG3,1,143.0
2012,NUTS,2010,BG3,1,193.0
2015,NUTS,2010,BG3,1,629.0
2016,NUTS,2010,BG3,1,526.0
2017,NUTS,2010,BG3,1,648.0
2018,NUTS,2010,BG3,1,817.0
2019,NUTS,2010,BG3,1,899.0
2016,NUTS,2010,BG31,2,154.0
2017,NUTS,2010,BG31,2,183.0
2018,NUTS,2010,BG31,2,203.0
2019,NUTS,2010,BG31,2,202.0
2011,NUTS,2010,BG32,2,27.0
2012,NUTS,2010,BG32,2,40.0
2013,NUTS,2010,BG32,2,57.0
2014,NUTS,2010,BG32,2,73.0
2016,NUTS,2010,BG32,2,114.0
2017,NUTS,2010,BG32,2,166.0
2018,NUTS,2010,BG32,2,221.0
2019,NUTS,2010,BG32,2,248.0
2011,NUTS,2010,BG33,2,34.0
2012,NUTS,2010,BG33,2,41.0
2015,NUTS,2010,BG33,2,153.0
2016,NUTS,2010,BG33,2,147.0
2017,NUTS,2010,BG33,2,158.0
2018,NUTS,2010,BG33,2,213.0
2019,NUTS,2010,BG33,2,243.0
2015,NUTS,2010,BG34,2,164.0
2016,NUTS,2010,BG34,2,111.0
2017,NUTS,2010,BG34,2,141.0
2018,NUTS,2010,BG34,2,180.0
2019,NUTS,2010,BG34,2,206.0
2011,NUTS,2010,BG4,1,643.0
2012,NUTS,2010,BG4,1,829.0
2015,NUTS,2010,BG4,1,1796.0
2016,NUTS,2010,BG4,1,2317.0
2017,NUTS,2010,BG4,1,2211.0
2018,NUTS,2010,BG4,1,2406.0
2019,NUTS,2010,BG4,1,2616.0
2011,NUTS,2010,BG41,2,503.0
2012,NUTS,2010,BG41,2,694.0
2013,NUTS,2010,BG41,2,999.0
2015,NUTS,2010,BG41,2,1587.0
2016,NUTS,2010,BG41,2,2132.0
2017,NUTS,2010,BG41,2,1958.0
2018,NUTS,2010,BG41,2,2135.0
2019,NUTS,2010,BG41,2,2316.0
2011,NUTS,2010,BG42,2,140.0
2012,NUTS,2010,BG42,2,135.0
2014,NUTS,2010,BG42,2,85.0
2015,NUTS,2010,BG42,2,209.0
2016,NUTS,2010,BG42,2,185.0
2017,NUTS,2010,BG42,2,253.0
2018,NUTS,2010,BG42,2,271.0
2019,NUTS,2010,BG42,2,300.0
