year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cab_nr
2011,NUTS,2010,AT,0,49.5
2012,NUTS,2010,AT,0,59.48
2011,NUTS,2010,AT1,1,18.83
2012,NUTS,2010,AT1,1,23.45
2011,NUTS,2010,AT12,2,10.0
2012,NUTS,2010,AT12,2,11.5
2011,NUTS,2010,AT121,3,0.33
2012,NUTS,2010,AT121,3,0.5
2011,NUTS,2010,AT122,3,0.5
2012,NUTS,2010,AT122,3,2.5
2011,NUTS,2010,AT123,3,1.0
2012,NUTS,2010,AT123,3,0.25
2012,NUTS,2010,AT124,3,1.33
2012,NUTS,2010,AT125,3,0.25
2011,NUTS,2010,AT126,3,2.0
2012,NUTS,2010,AT126,3,5.33
2011,NUTS,2010,AT127,3,6.17
2012,NUTS,2010,AT127,3,1.33
2011,NUTS,2010,AT13,2,8.83
2012,NUTS,2010,AT13,2,11.95
2011,NUTS,2010,AT130,3,8.83
2012,NUTS,2010,AT130,3,11.95
2011,NUTS,2010,AT2,1,13.32
2012,NUTS,2010,AT2,1,12.1
2012,NUTS,2010,AT21,2,3.75
2012,NUTS,2010,AT211,3,3.5
2012,NUTS,2010,AT213,3,0.25
2011,NUTS,2010,AT22,2,13.32
2012,NUTS,2010,AT22,2,8.35
2011,NUTS,2010,AT221,3,12.48
2012,NUTS,2010,AT221,3,8.15
2012,NUTS,2010,AT224,3,0.2
2011,NUTS,2010,AT225,3,0.83
2011,NUTS,2010,AT3,1,17.02
2012,NUTS,2010,AT3,1,23.6
2011,NUTS,2010,AT31,2,6.73
2012,NUTS,2010,AT31,2,12.35
2011,NUTS,2010,AT311,3,1.33
2012,NUTS,2010,AT311,3,1.0
2011,NUTS,2010,AT312,3,5.4
2012,NUTS,2010,AT312,3,9.9
2012,NUTS,2010,AT313,3,0.2
2012,NUTS,2010,AT315,3,1.25
2011,NUTS,2010,AT32,2,3.75
2012,NUTS,2010,AT32,2,2.58
2011,NUTS,2010,AT321,3,0.25
2011,NUTS,2010,AT323,3,3.5
2012,NUTS,2010,AT323,3,2.58
2011,NUTS,2010,AT33,2,2.0
2012,NUTS,2010,AT33,2,7.0
2011,NUTS,2010,AT332,3,1.0
2012,NUTS,2010,AT332,3,5.0
2011,NUTS,2010,AT333,3,1.0
2012,NUTS,2010,AT333,3,2.0
2011,NUTS,2010,AT34,2,4.54
2012,NUTS,2010,AT34,2,1.67
2011,NUTS,2010,AT341,3,0.33
2012,NUTS,2010,AT341,3,1.0
2011,NUTS,2010,AT342,3,4.2
2012,NUTS,2010,AT342,3,0.67
2011,NUTS,2010,ATX,1,0.33
2012,NUTS,2010,ATX,1,0.33
2011,NUTS,2010,ATXX,2,0.33
2012,NUTS,2010,ATXX,2,0.33
2011,NUTS,2010,ATXXX,3,0.33
2012,NUTS,2010,ATXXX,3,0.33
2011,NUTS,2010,BE,0,75.19
2012,NUTS,2010,BE,0,93.66
2011,NUTS,2010,BE1,1,6.0
2012,NUTS,2010,BE1,1,10.74
2011,NUTS,2010,BE10,2,6.0
2012,NUTS,2010,BE10,2,10.74
2011,NUTS,2010,BE100,3,6.0
2012,NUTS,2010,BE100,3,10.74
2011,NUTS,2010,BE2,1,59.32
2012,NUTS,2010,BE2,1,79.31
2011,NUTS,2010,BE21,2,22.96
2012,NUTS,2010,BE21,2,38.64
2011,NUTS,2010,BE211,3,17.25
2012,NUTS,2010,BE211,3,32.11
2011,NUTS,2010,BE212,3,4.21
2012,NUTS,2010,BE212,3,3.03
2011,NUTS,2010,BE213,3,1.5
2012,NUTS,2010,BE213,3,3.5
2011,NUTS,2010,BE22,2,2.92
2012,NUTS,2010,BE22,2,1.0
2011,NUTS,2010,BE221,3,1.0
2011,NUTS,2010,BE222,3,0.83
2012,NUTS,2010,BE222,3,1.0
2011,NUTS,2010,BE223,3,1.08
2011,NUTS,2010,BE23,2,13.39
2012,NUTS,2010,BE23,2,16.73
2011,NUTS,2010,BE231,3,2.96
2012,NUTS,2010,BE231,3,0.17
2011,NUTS,2010,BE232,3,1.13
2012,NUTS,2010,BE232,3,1.23
2011,NUTS,2010,BE234,3,6.63
2012,NUTS,2010,BE234,3,10.27
2011,NUTS,2010,BE235,3,1.75
2011,NUTS,2010,BE236,3,0.92
2012,NUTS,2010,BE236,3,5.07
2011,NUTS,2010,BE24,2,15.88
2012,NUTS,2010,BE24,2,18.98
2011,NUTS,2010,BE241,3,4.63
2012,NUTS,2010,BE241,3,3.45
2011,NUTS,2010,BE242,3,11.25
2012,NUTS,2010,BE242,3,15.53
2011,NUTS,2010,BE25,2,4.17
2012,NUTS,2010,BE25,2,3.95
2012,NUTS,2010,BE252,3,0.5
2011,NUTS,2010,BE254,3,1.83
2012,NUTS,2010,BE254,3,1.7
2011,NUTS,2010,BE255,3,0.83
2012,NUTS,2010,BE255,3,0.58
2011,NUTS,2010,BE256,3,1.5
2012,NUTS,2010,BE256,3,0.67
2012,NUTS,2010,BE257,3,0.5
2011,NUTS,2010,BE3,1,8.86
2012,NUTS,2010,BE3,1,3.62
2011,NUTS,2010,BE31,2,3.5
2012,NUTS,2010,BE31,2,1.45
2011,NUTS,2010,BE310,3,3.5
2012,NUTS,2010,BE310,3,1.45
2011,NUTS,2010,BE32,2,1.55
2011,NUTS,2010,BE323,3,0.67
2011,NUTS,2010,BE325,3,0.83
2011,NUTS,2010,BE327,3,0.05
2011,NUTS,2010,BE33,2,2.82
2012,NUTS,2010,BE33,2,2.17
2012,NUTS,2010,BE331,3,0.33
2011,NUTS,2010,BE332,3,0.65
2012,NUTS,2010,BE332,3,0.33
2011,NUTS,2010,BE334,3,1.0
2011,NUTS,2010,BE336,3,1.17
2012,NUTS,2010,BE336,3,1.5
2011,NUTS,2010,BE35,2,1.0
2011,NUTS,2010,BE352,3,1.0
2011,NUTS,2010,BEZ,1,1.0
2011,NUTS,2010,BEZZ,2,1.0
2011,NUTS,2010,BEZZZ,3,1.0
2011,NUTS,2010,BG,0,2.0
2012,NUTS,2010,BG,0,2.67
2012,NUTS,2010,BG3,1,0.92
2012,NUTS,2010,BG31,2,0.17
2012,NUTS,2010,BG311,3,0.17
2012,NUTS,2010,BG32,2,0.5
2012,NUTS,2010,BG322,3,0.5
2012,NUTS,2010,BG34,2,0.25
2012,NUTS,2010,BG343,3,0.25
2011,NUTS,2010,BG4,1,2.0
2012,NUTS,2010,BG4,1,1.75
2011,NUTS,2010,BG41,2,2.0
2012,NUTS,2010,BG41,2,1.58
2011,NUTS,2010,BG411,3,2.0
2012,NUTS,2010,BG411,3,1.58
2012,NUTS,2010,BG42,2,0.17
2012,NUTS,2010,BG421,3,0.17
2011,NUTS,2010,CH,0,103.48
2012,NUTS,2010,CH,0,96.45
2011,NUTS,2010,CH0,1,102.98
