year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_t_fte
2011,NUTS,2010,AT,0,1511.0
2012,NUTS,2010,AT,0,1555.0
2013,NUTS,2010,AT,0,1567.0
2014,NUTS,2010,AT,0,1654.0
2015,NUTS,2010,AT,0,1682.0
2016,NUTS,2010,AT,0,3624.0
2017,NUTS,2010,AT,0,3665.0
2018,NUTS,2010,AT,0,3867.0
2019,NUTS,2010,AT,0,3817.0
2020,NUTS,2010,AT,0,3709.0
2011,NUTS,2010,AT1,1,1153.0
2013,NUTS,2010,AT1,1,1137.0
2019,NUTS,2010,AT1,1,2932.0
2011,NUTS,2010,AT11,2,9.0
2013,NUTS,2010,AT11,2,10.0
2011,NUTS,2010,AT12,2,79.0
2013,NUTS,2010,AT12,2,88.0
2015,NUTS,2010,AT12,2,179.0
2017,NUTS,2010,AT12,2,255.0
2011,NUTS,2010,AT13,2,1064.0
2013,NUTS,2010,AT13,2,1039.0
2015,NUTS,2010,AT13,2,1073.0
2017,NUTS,2010,AT13,2,2531.0
2019,NUTS,2010,AT13,2,2637.0
2015,NUTS,2010,AT2,1,122.0
2019,NUTS,2010,AT2,1,423.0
2011,NUTS,2010,AT21,2,24.0
2019,NUTS,2010,AT3,1,462.0
2011,NUTS,2010,AT31,2,42.0
2013,NUTS,2010,AT31,2,46.0
2015,NUTS,2010,AT31,2,62.0
2017,NUTS,2010,AT31,2,185.0
2019,NUTS,2010,AT31,2,190.0
2015,NUTS,2010,AT32,2,175.0
2017,NUTS,2010,AT32,2,166.0
2019,NUTS,2010,AT32,2,171.0
2013,NUTS,2010,AT33,2,35.0
2019,NUTS,2010,AT33,2,75.0
2011,NUTS,2010,AT34,2,18.0
2013,NUTS,2010,AT34,2,18.0
2015,NUTS,2010,AT34,2,21.0
2017,NUTS,2010,AT34,2,20.0
2019,NUTS,2010,AT34,2,26.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,62.0
2013,NUTS,2010,BA,0,87.0
2014,NUTS,2010,BA,0,63.0
2019,NUTS,2010,BA,0,35.0
2011,NUTS,2010,BE,0,2781.0
2012,NUTS,2010,BE,0,3591.0
2013,NUTS,2010,BE,0,3657.0
2014,NUTS,2010,BE,0,4062.0
2015,NUTS,2010,BE,0,4041.0
2016,NUTS,2010,BE,0,4290.0
2017,NUTS,2010,BE,0,4486.0
2018,NUTS,2010,BE,0,5283.0
2019,NUTS,2010,BE,0,5490.0
2020,NUTS,2010,BE,0,5852.0
2011,NUTS,2010,BE1,1,710.0
2012,NUTS,2010,BE1,1,1069.0
2013,NUTS,2010,BE1,1,1096.0
2014,NUTS,2010,BE1,1,1055.0
2015,NUTS,2010,BE1,1,1121.0
2016,NUTS,2010,BE1,1,1221.0
2017,NUTS,2010,BE1,1,1224.0
2018,NUTS,2010,BE1,1,1299.0
2019,NUTS,2010,BE1,1,1350.0
2011,NUTS,2010,BE10,2,710.0
2012,NUTS,2010,BE10,2,1069.0
2013,NUTS,2010,BE10,2,1096.0
2014,NUTS,2010,BE10,2,1055.0
2015,NUTS,2010,BE10,2,1121.0
2016,NUTS,2010,BE10,2,1221.0
2017,NUTS,2010,BE10,2,1224.0
2018,NUTS,2010,BE10,2,1299.0
2019,NUTS,2010,BE10,2,1350.0
2011,NUTS,2010,BE2,1,1926.0
2012,NUTS,2010,BE2,1,2337.0
2013,NUTS,2010,BE2,1,2378.0
2014,NUTS,2010,BE2,1,2715.0
2015,NUTS,2010,BE2,1,2622.0
2016,NUTS,2010,BE2,1,2830.0
2017,NUTS,2010,BE2,1,3023.0
2018,NUTS,2010,BE2,1,3776.0
2019,NUTS,2010,BE2,1,3929.0
2011,NUTS,2010,BE3,1,145.0
2012,NUTS,2010,BE3,1,185.0
2013,NUTS,2010,BE3,1,183.0
2014,NUTS,2010,BE3,1,292.0
2015,NUTS,2010,BE3,1,298.0
2016,NUTS,2010,BE3,1,239.0
2017,NUTS,2010,BE3,1,238.0
2018,NUTS,2010,BE3,1,208.0
2019,NUTS,2010,BE3,1,211.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,5776.0
2012,NUTS,2010,BG,0,5339.0
2013,NUTS,2010,BG,0,5305.0
2014,NUTS,2010,BG,0,5038.0
2015,NUTS,2010,BG,0,4749.0
2016,NUTS,2010,BG,0,4695.0
2017,NUTS,2010,BG,0,4626.0
2018,NUTS,2010,BG,0,4530.0
2019,NUTS,2010,BG,0,4718.0
2020,NUTS,2010,BG,0,4792.0
2011,NUTS,2010,BG3,1,464.0
2012,NUTS,2010,BG3,1,514.0
2013,NUTS,2010,BG3,1,517.0
2014,NUTS,2010,BG3,1,430.0
2015,NUTS,2010,BG3,1,393.0
2016,NUTS,2010,BG3,1,389.0
2017,NUTS,2010,BG3,1,414.0
2018,NUTS,2010,BG3,1,415.0
2011,NUTS,2010,BG31,2,133.0
2012,NUTS,2010,BG31,2,152.0
2013,NUTS,2010,BG31,2,144.0
2014,NUTS,2010,BG31,2,129.0
2015,NUTS,2010,BG31,2,127.0
2018,NUTS,2010,BG31,2,157.0
2011,NUTS,2010,BG32,2,37.0
2012,NUTS,2010,BG32,2,38.0
2013,NUTS,2010,BG32,2,80.0
2014,NUTS,2010,BG32,2,34.0
2019,NUTS,2010,BG32,2,30.0
2011,NUTS,2010,BG33,2,196.0
2012,NUTS,2010,BG33,2,217.0
2013,NUTS,2010,BG33,2,201.0
2014,NUTS,2010,BG33,2,180.0
2015,NUTS,2010,BG33,2,159.0
2016,NUTS,2010,BG33,2,163.0
2017,NUTS,2010,BG33,2,150.0
2018,NUTS,2010,BG33,2,159.0
2019,NUTS,2010,BG33,2,176.0
2011,NUTS,2010,BG34,2,98.0
2012,NUTS,2010,BG34,2,107.0
2013,NUTS,2010,BG34,2,92.0
2014,NUTS,2010,BG34,2,87.0
2016,NUTS,2010,BG34,2,78.0
2011,NUTS,2010,BG4,1,5312.0
2012,NUTS,2010,BG4,1,4825.0
2013,NUTS,2010,BG4,1,4788.0
2014,NUTS,2010,BG4,1,4608.0
2015,NUTS,2010,BG4,1,4356.0
2016,NUTS,2010,BG4,1,4306.0
2017,NUTS,2010,BG4,1,4212.0
2018,NUTS,2010,BG4,1,4115.0
2011,NUTS,2010,BG41,2,4983.0
