year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_nac_bes
1981,NUTS,2010,AT,0,500.469
1984,NUTS,2010,AT,0,632.45
1985,NUTS,2010,AT,0,683.779
1989,NUTS,2010,AT,0,977.682
1993,NUTS,2010,AT,0,1287.392
1998,NUTS,2010,AT,0,2160.678
2002,NUTS,2010,AT,0,3130.884
2004,NUTS,2010,AT,0,3556.479
2005,NUTS,2010,AT,0,4207.669
2006,NUTS,2010,AT,0,4448.676
2007,NUTS,2010,AT,0,4845.861
2008,NUTS,2010,AT,0,5232.63
2009,NUTS,2010,AT,0,5092.902
2010,NUTS,2010,AT,0,5520.422
2011,NUTS,2010,AT,0,5692.841
2012,NUTS,2010,AT,0,6540.457
2013,NUTS,2010,AT,0,6778.42
2014,NUTS,2010,AT,0,7324.679
2015,NUTS,2010,AT,0,7498.488
2016,NUTS,2010,AT,0,7824.51
2017,NUTS,2010,AT,0,7888.444
2018,NUTS,2010,AT,0,8323.1
2019,NUTS,2010,AT,0,8749.143
2020,NUTS,2010,AT,0,8418.44
1989,NUTS,2010,AT1,1,506.68
1993,NUTS,2010,AT1,1,732.53
1998,NUTS,2010,AT1,1,1127.0
2002,NUTS,2010,AT1,1,1446.993
2004,NUTS,2010,AT1,1,1586.041
2006,NUTS,2010,AT1,1,1884.857
2007,NUTS,2010,AT1,1,2044.279
2009,NUTS,2010,AT1,1,2135.367
2011,NUTS,2010,AT1,1,2175.494
2013,NUTS,2010,AT1,1,2224.838
2015,NUTS,2010,AT1,1,2450.022
2017,NUTS,2010,AT1,1,2460.993
2019,NUTS,2010,AT1,1,2696.859
1989,NUTS,2010,AT11,2,3.05
1993,NUTS,2010,AT11,2,9.11
1998,NUTS,2010,AT11,2,6.0
2002,NUTS,2010,AT11,2,30.032
2004,NUTS,2010,AT11,2,25.351
2006,NUTS,2010,AT11,2,30.094
2007,NUTS,2010,AT11,2,33.181
2009,NUTS,2010,AT11,2,44.19
2011,NUTS,2010,AT11,2,51.106
2013,NUTS,2010,AT11,2,59.509
2015,NUTS,2010,AT11,2,68.606
2017,NUTS,2010,AT11,2,64.783
2019,NUTS,2010,AT11,2,65.34
1989,NUTS,2010,AT12,2,91.5
1993,NUTS,2010,AT12,2,90.17
1998,NUTS,2010,AT12,2,182.0
2002,NUTS,2010,AT12,2,264.672
2004,NUTS,2010,AT12,2,303.125
2006,NUTS,2010,AT12,2,419.846
2007,NUTS,2010,AT12,2,468.013
2009,NUTS,2010,AT12,2,519.196
2011,NUTS,2010,AT12,2,614.14
2013,NUTS,2010,AT12,2,676.822
2015,NUTS,2010,AT12,2,750.878
2017,NUTS,2010,AT12,2,789.379
2019,NUTS,2010,AT12,2,847.767
1989,NUTS,2010,AT13,2,412.13
1993,NUTS,2010,AT13,2,633.25
1998,NUTS,2010,AT13,2,940.0
2002,NUTS,2010,AT13,2,1152.289
2004,NUTS,2010,AT13,2,1257.565
2006,NUTS,2010,AT13,2,1434.917
2007,NUTS,2010,AT13,2,1543.085
2009,NUTS,2010,AT13,2,1571.981
2011,NUTS,2010,AT13,2,1510.248
2013,NUTS,2010,AT13,2,1488.507
2015,NUTS,2010,AT13,2,1630.538
2017,NUTS,2010,AT13,2,1606.831
2019,NUTS,2010,AT13,2,1783.752
1989,NUTS,2010,AT2,1,173.32
1993,NUTS,2010,AT2,1,177.54
1998,NUTS,2010,AT2,1,461.0
2002,NUTS,2010,AT2,1,795.975
2004,NUTS,2010,AT2,1,904.477
2006,NUTS,2010,AT2,1,1111.755
2007,NUTS,2010,AT2,1,1268.444
2009,NUTS,2010,AT2,1,1238.983
2011,NUTS,2010,AT2,1,1586.804
2013,NUTS,2010,AT2,1,1948.502
2015,NUTS,2010,AT2,1,2226.814
2017,NUTS,2010,AT2,1,2237.744
2019,NUTS,2010,AT2,1,2607.362
1989,NUTS,2010,AT21,2,19.04
1993,NUTS,2010,AT21,2,16.96
1998,NUTS,2010,AT21,2,98.0
2002,NUTS,2010,AT21,2,196.689
2004,NUTS,2010,AT21,2,275.86
2006,NUTS,2010,AT21,2,352.765
2007,NUTS,2010,AT21,2,373.317
2009,NUTS,2010,AT21,2,334.09
2011,NUTS,2010,AT21,2,422.71
2013,NUTS,2010,AT21,2,449.926
2015,NUTS,2010,AT21,2,534.879
2017,NUTS,2010,AT21,2,524.332
2019,NUTS,2010,AT21,2,627.693
1989,NUTS,2010,AT22,2,154.28
1993,NUTS,2010,AT22,2,160.58
1998,NUTS,2010,AT22,2,363.0
2002,NUTS,2010,AT22,2,599.286
2004,NUTS,2010,AT22,2,628.617
2006,NUTS,2010,AT22,2,759.02
2007,NUTS,2010,AT22,2,895.127
2009,NUTS,2010,AT22,2,904.893
2011,NUTS,2010,AT22,2,1164.094
2013,NUTS,2010,AT22,2,1498.576
2015,NUTS,2010,AT22,2,1691.935
2017,NUTS,2010,AT22,2,1713.412
2019,NUTS,2010,AT22,2,1979.669
1989,NUTS,2010,AT3,1,297.67
1993,NUTS,2010,AT3,1,342.37
1998,NUTS,2010,AT3,1,573.0
2002,NUTS,2010,AT3,1,887.916
2004,NUTS,2010,AT3,1,1065.961
2006,NUTS,2010,AT3,1,1452.034
2007,NUTS,2010,AT3,1,1533.138
2009,NUTS,2010,AT3,1,1718.552
2011,NUTS,2010,AT3,1,1930.543
2013,NUTS,2010,AT3,1,2605.08
2015,NUTS,2010,AT3,1,2821.652
2017,NUTS,2010,AT3,1,3189.707
2019,NUTS,2010,AT3,1,3444.922
1989,NUTS,2010,AT31,2,177.39
1993,NUTS,2010,AT31,2,189.61
1998,NUTS,2010,AT31,2,334.0
2002,NUTS,2010,AT31,2,513.178
2004,NUTS,2010,AT31,2,630.128
2006,NUTS,2010,AT31,2,873.162
2007,NUTS,2010,AT31,2,941.051
2009,NUTS,2010,AT31,2,1008.656
2011,NUTS,2010,AT31,2,1149.648
2013,NUTS,2010,AT31,2,1577.135
2015,NUTS,2010,AT31,2,1680.958
2017,NUTS,2010,AT31,2,1996.239
2019,NUTS,2010,AT31,2,2156.472
1989,NUTS,2010,AT32,2,21.08
1993,NUTS,2010,AT32,2,27.8
1998,NUTS,2010,AT32,2,42.0
2002,NUTS,2010,AT32,2,72.295
2004,NUTS,2010,AT32,2,94.785
2006,NUTS,2010,AT32,2,123.87
2007,NUTS,2010,AT32,2,125.035
2009,NUTS,2010,AT32,2,139.493
2011,NUTS,2010,AT32,2,178.072
2013,NUTS,2010,AT32,2,226.648
2015,NUTS,2010,AT32,2,247.331
2017,NUTS,2010,AT32,2,297.695
2019,NUTS,2010,AT32,2,329.224
1989,NUTS,2010,AT33,2,66.42
1993,NUTS,2010,AT33,2,80.82
1998,NUTS,2010,AT33,2,124.0
2002,NUTS,2010,AT33,2,177.751
2004,NUTS,2010,AT33,2,215.767
2006,NUTS,2010,AT33,2,311.086
2007,NUTS,2010,AT33,2,307.421
2009,NUTS,2010,AT33,2,382.128
2011,NUTS,2010,AT33,2,416.331
2013,NUTS,2010,AT33,2,573.78
2015,NUTS,2010,AT33,2,613.524
2017,NUTS,2010,AT33,2,602.681
2019,NUTS,2010,AT33,2,637.866
1989,NUTS,2010,AT34,2,32.78
1993,NUTS,2010,AT34,2,44.14
1998,NUTS,2010,AT34,2,73.0
2002,NUTS,2010,AT34,2,124.692
2004,NUTS,2010,AT34,2,125.281
2006,NUTS,2010,AT34,2,143.916
2007,NUTS,2010,AT34,2,159.631
2009,NUTS,2010,AT34,2,188.275
2011,NUTS,2010,AT34,2,186.492
2013,NUTS,2010,AT34,2,227.517
2015,NUTS,2010,AT34,2,279.839
2017,NUTS,2010,AT34,2,293.092
2019,NUTS,2010,AT34,2,321.36
1993,NUTS,2010,ATZ,1,34.96
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,34.96
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,40.895
2013,NUTS,2010,BA,0,50.272
2014,NUTS,2010,BA,0,13.32
2019,NUTS,2010,BA,0,25.674
1981,NUTS,2010,BE,0,930.13
1982,NUTS,2010,BE,0,1048.21
1983,NUTS,2010,BE,0,1167.76
1984,NUTS,2010,BE,0,1279.08
1985,NUTS,2010,BE,0,1415.05
1986,NUTS,2010,BE,0,1502.83
1987,NUTS,2010,BE,0,1585.39
1988,NUTS,2010,BE,0,1664.15
1989,NUTS,2010,BE,0,1701.12
1991,NUTS,2010,BE,0,1847.19
1992,NUTS,2010,BE,0,2087.74
1993,NUTS,2010,BE,0,2260.11
1994,NUTS,2010,BE,0,2357.94
1995,NUTS,2010,BE,0,2471.37
1996,NUTS,2010,BE,0,2673.71
1997,NUTS,2010,BE,0,2904.64
1998,NUTS,2010,BE,0,3035.1
1999,NUTS,2010,BE,0,3307.12
2000,NUTS,2010,BE,0,3588.61
2001,NUTS,2010,BE,0,3921.103
2002,NUTS,2010,BE,0,3662.347
2003,NUTS,2010,BE,0,3607.892
2004,NUTS,2010,BE,0,3731.814
2005,NUTS,2010,BE,0,3775.624
2006,NUTS,2010,BE,0,4105.615
2007,NUTS,2010,BE,0,4420.386
2008,NUTS,2010,BE,0,4650.011
2009,NUTS,2010,BE,0,4574.767
2010,NUTS,2010,BE,0,5027.7
2011,NUTS,2010,BE,0,5613.4
2012,NUTS,2010,BE,0,6148.955
2013,NUTS,2010,BE,0,6356.837
2014,NUTS,2010,BE,0,6675.968
2015,NUTS,2010,BE,0,7076.364
2016,NUTS,2010,BE,0,7444.72
2017,NUTS,2010,BE,0,8333.61
2018,NUTS,2010,BE,0,9432.611
2019,NUTS,2010,BE,0,11143.444
2020,NUTS,2010,BE,0,11567.361
1989,NUTS,2010,BE1,1,328.24
1991,NUTS,2010,BE1,1,333.14
1993,NUTS,2010,BE1,1,366.95
1994,NUTS,2010,BE1,1,381.7
1995,NUTS,2010,BE1,1,385.96
1996,NUTS,2010,BE1,1,417.16
1997,NUTS,2010,BE1,1,424.1
1998,NUTS,2010,BE1,1,278.51
1999,NUTS,2010,BE1,1,286.685
