year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_kp05_gov
1998,NUTS,2010,AT,0,225.148
2002,NUTS,2010,AT,0,261.446
2004,NUTS,2010,AT,0,256.899
2005,NUTS,2010,AT,0,291.473
2006,NUTS,2010,AT,0,300.929
2007,NUTS,2010,AT,0,327.435
2008,NUTS,2010,AT,0,352.549
2009,NUTS,2010,AT,0,342.48
2010,NUTS,2010,AT,0,359.357
2011,NUTS,2010,AT,0,355.23
2012,NUTS,2010,AT,0,348.02
2013,NUTS,2010,AT,0,342.247
2014,NUTS,2010,AT,0,368.587
2015,NUTS,2010,AT,0,370.756
2016,NUTS,2010,AT,0,597.462
2017,NUTS,2010,AT,0,604.229
2018,NUTS,2010,AT,0,626.242
2019,NUTS,2010,AT,0,661.311
2020,NUTS,2010,AT,0,628.117
1998,NUTS,2010,AT1,1,157.33
2002,NUTS,2010,AT1,1,178.185
2004,NUTS,2010,AT1,1,166.388
2011,NUTS,2010,AT1,1,237.086
2013,NUTS,2010,AT1,1,216.367
2019,NUTS,2010,AT1,1,472.436
1998,NUTS,2010,AT11,2,2.057
2002,NUTS,2010,AT11,2,1.943
2004,NUTS,2010,AT11,2,2.753
2011,NUTS,2010,AT11,2,2.261
2013,NUTS,2010,AT11,2,2.441
1998,NUTS,2010,AT12,2,14.396
2002,NUTS,2010,AT12,2,13.165
2004,NUTS,2010,AT12,2,14.038
2006,NUTS,2010,AT12,2,24.331
2007,NUTS,2010,AT12,2,27.221
2009,NUTS,2010,AT12,2,32.235
2011,NUTS,2010,AT12,2,31.886
2013,NUTS,2010,AT12,2,34.075
2015,NUTS,2010,AT12,2,59.878
2017,NUTS,2010,AT12,2,78.063
1998,NUTS,2010,AT13,2,140.877
2002,NUTS,2010,AT13,2,163.077
2004,NUTS,2010,AT13,2,149.597
2006,NUTS,2010,AT13,2,174.332
2007,NUTS,2010,AT13,2,191.64
2009,NUTS,2010,AT13,2,196.431
2011,NUTS,2010,AT13,2,202.939
2013,NUTS,2010,AT13,2,179.852
2015,NUTS,2010,AT13,2,184.213
2017,NUTS,2010,AT13,2,350.301
2019,NUTS,2010,AT13,2,381.46
1998,NUTS,2010,AT2,1,29.821
2002,NUTS,2010,AT2,1,40.806
2004,NUTS,2010,AT2,1,44.124
2006,NUTS,2010,AT2,1,55.892
2015,NUTS,2010,AT2,1,52.341
2019,NUTS,2010,AT2,1,92.756
1998,NUTS,2010,AT21,2,8.226
2002,NUTS,2010,AT21,2,7.135
2004,NUTS,2010,AT21,2,8.997
2006,NUTS,2010,AT21,2,9.956
2011,NUTS,2010,AT21,2,9.6
1998,NUTS,2010,AT22,2,22.623
2002,NUTS,2010,AT22,2,33.671
2004,NUTS,2010,AT22,2,35.127
2006,NUTS,2010,AT22,2,45.937
2009,NUTS,2010,AT22,2,44.731
1998,NUTS,2010,AT3,1,38.047
2002,NUTS,2010,AT3,1,42.454
2004,NUTS,2010,AT3,1,46.387
2007,NUTS,2010,AT3,1,50.511
2019,NUTS,2010,AT3,1,96.118
1998,NUTS,2010,AT31,2,14.396
