year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_fte_total_t
2011,NUTS,2010,AT,0,61171.0
2012,NUTS,2010,AT,0,65088.0
2013,NUTS,2010,AT,0,66186.0
2014,NUTS,2010,AT,0,70138.0
2015,NUTS,2010,AT,0,71396.0
2016,NUTS,2010,AT,0,75165.0
2017,NUTS,2010,AT,0,76010.0
2018,NUTS,2010,AT,0,80198.0
2019,NUTS,2010,AT,0,83660.0
2020,NUTS,2010,AT,0,81808.0
2011,NUTS,2010,AT1,1,26615.0
2013,NUTS,2010,AT1,1,26970.0
2015,NUTS,2010,AT1,1,28628.0
2017,NUTS,2010,AT1,1,30483.0
2019,NUTS,2010,AT1,1,33480.0
2011,NUTS,2010,AT11,2,574.0
2013,NUTS,2010,AT11,2,666.0
2015,NUTS,2010,AT11,2,723.0
2017,NUTS,2010,AT11,2,754.0
2019,NUTS,2010,AT11,2,789.0
2011,NUTS,2010,AT12,2,5324.0
2013,NUTS,2010,AT12,2,5848.0
2015,NUTS,2010,AT12,2,6691.0
2017,NUTS,2010,AT12,2,7430.0
2019,NUTS,2010,AT12,2,8518.0
2011,NUTS,2010,AT13,2,20717.0
2013,NUTS,2010,AT13,2,20456.0
2015,NUTS,2010,AT13,2,21214.0
2017,NUTS,2010,AT13,2,22299.0
2019,NUTS,2010,AT13,2,24173.0
2011,NUTS,2010,AT2,1,15177.0
2013,NUTS,2010,AT2,1,16889.0
2015,NUTS,2010,AT2,1,18495.0
2017,NUTS,2010,AT2,1,19711.0
2019,NUTS,2010,AT2,1,21745.0
2011,NUTS,2010,AT21,2,3049.0
2013,NUTS,2010,AT21,2,3188.0
2015,NUTS,2010,AT21,2,3306.0
2017,NUTS,2010,AT21,2,3389.0
2019,NUTS,2010,AT21,2,3821.0
2011,NUTS,2010,AT22,2,12129.0
2013,NUTS,2010,AT22,2,13701.0
2015,NUTS,2010,AT22,2,15189.0
2017,NUTS,2010,AT22,2,16323.0
2019,NUTS,2010,AT22,2,17924.0
2011,NUTS,2010,AT3,1,19379.0
2013,NUTS,2010,AT3,1,22327.0
2015,NUTS,2010,AT3,1,24274.0
2017,NUTS,2010,AT3,1,25816.0
2019,NUTS,2010,AT3,1,28435.0
2011,NUTS,2010,AT31,2,10028.0
2013,NUTS,2010,AT31,2,11930.0
2015,NUTS,2010,AT31,2,13028.0
2017,NUTS,2010,AT31,2,13551.0
2019,NUTS,2010,AT31,2,15133.0
2011,NUTS,2010,AT32,2,2561.0
2013,NUTS,2010,AT32,2,2994.0
2015,NUTS,2010,AT32,2,3229.0
2017,NUTS,2010,AT32,2,3658.0
2019,NUTS,2010,AT32,2,4078.0
2011,NUTS,2010,AT33,2,5019.0
2013,NUTS,2010,AT33,2,5427.0
2015,NUTS,2010,AT33,2,5667.0
2017,NUTS,2010,AT33,2,6101.0
2019,NUTS,2010,AT33,2,6425.0
2011,NUTS,2010,AT34,2,1771.0
2013,NUTS,2010,AT34,2,1976.0
2015,NUTS,2010,AT34,2,2350.0
2017,NUTS,2010,AT34,2,2506.0
2019,NUTS,2010,AT34,2,2800.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,1060.0
2013,NUTS,2010,BA,0,1399.0
2014,NUTS,2010,BA,0,1767.0
2019,NUTS,2010,BA,0,2037.0
2011,NUTS,2010,BE,0,62895.0
2012,NUTS,2010,BE,0,67005.0
2013,NUTS,2010,BE,0,67899.0
2014,NUTS,2010,BE,0,72794.0
2015,NUTS,2010,BE,0,77520.0
2016,NUTS,2010,BE,0,78668.0
2017,NUTS,2010,BE,0,82686.0
2018,NUTS,2010,BE,0,88594.0
2019,NUTS,2010,BE,0,93524.0
2020,NUTS,2010,BE,0,102966.0
2011,NUTS,2010,BE1,1,8739.0
2013,NUTS,2010,BE1,1,10385.0
2014,NUTS,2010,BE1,1,11073.0
2015,NUTS,2010,BE1,1,12117.0
2016,NUTS,2010,BE1,1,12798.0
2017,NUTS,2010,BE1,1,13245.0
2018,NUTS,2010,BE1,1,15949.0
2019,NUTS,2010,BE1,1,16557.0
2011,NUTS,2010,BE10,2,8739.0
2013,NUTS,2010,BE10,2,10385.0
2014,NUTS,2010,BE10,2,11073.0
2015,NUTS,2010,BE10,2,12117.0
2016,NUTS,2010,BE10,2,12798.0
2017,NUTS,2010,BE10,2,13245.0
2018,NUTS,2010,BE10,2,15949.0
2019,NUTS,2010,BE10,2,16557.0
2011,NUTS,2010,BE2,1,39215.0
2013,NUTS,2010,BE2,1,41756.0
2014,NUTS,2010,BE2,1,44417.0
2015,NUTS,2010,BE2,1,46069.0
2016,NUTS,2010,BE2,1,47925.0
2017,NUTS,2010,BE2,1,50809.0
2018,NUTS,2010,BE2,1,54367.0
2019,NUTS,2010,BE2,1,59321.0
2011,NUTS,2010,BE21,2,11235.0
2013,NUTS,2010,BE21,2,10955.0
2014,NUTS,2010,BE21,2,12032.0
2015,NUTS,2010,BE21,2,12612.0
2011,NUTS,2010,BE22,2,2361.0
2013,NUTS,2010,BE22,2,2727.0
2014,NUTS,2010,BE22,2,3115.0
2015,NUTS,2010,BE22,2,3211.0
2011,NUTS,2010,BE23,2,10015.0
2013,NUTS,2010,BE23,2,11004.0
2014,NUTS,2010,BE23,2,11833.0
2015,NUTS,2010,BE23,2,12040.0
2011,NUTS,2010,BE24,2,12145.0
2013,NUTS,2010,BE24,2,12811.0
2014,NUTS,2010,BE24,2,13412.0
2015,NUTS,2010,BE24,2,13839.0
2011,NUTS,2010,BE25,2,3458.0
2013,NUTS,2010,BE25,2,4258.0
2014,NUTS,2010,BE25,2,4025.0
2015,NUTS,2010,BE25,2,4367.0
2011,NUTS,2010,BE3,1,14941.0
2013,NUTS,2010,BE3,1,15758.0
2014,NUTS,2010,BE3,1,17304.0
2015,NUTS,2010,BE3,1,19334.0
2016,NUTS,2010,BE3,1,17945.0
2017,NUTS,2010,BE3,1,18632.0
2018,NUTS,2010,BE3,1,18277.0
2019,NUTS,2010,BE3,1,17646.0
2011,NUTS,2010,BE31,2,5310.0
2013,NUTS,2010,BE31,2,7070.0
2014,NUTS,2010,BE31,2,7107.0
2015,NUTS,2010,BE31,2,7028.0
2011,NUTS,2010,BE32,2,3512.0
2013,NUTS,2010,BE32,2,3025.0
2014,NUTS,2010,BE32,2,3494.0
2015,NUTS,2010,BE32,2,4429.0
2011,NUTS,2010,BE33,2,4487.0
2013,NUTS,2010,BE33,2,4435.0
2014,NUTS,2010,BE33,2,4971.0
2015,NUTS,2010,BE33,2,5538.0
2011,NUTS,2010,BE34,2,268.0
2013,NUTS,2010,BE34,2,192.0
2014,NUTS,2010,BE34,2,213.0
2015,NUTS,2010,BE34,2,225.0
2011,NUTS,2010,BE35,2,1363.0
