year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_fte
2011,NUTS,2010,AT,0,42098.0
2012,NUTS,2010,AT,0,45468.0
2013,NUTS,2010,AT,0,46412.0
2014,NUTS,2010,AT,0,49539.0
2015,NUTS,2010,AT,0,50534.0
2016,NUTS,2010,AT,0,51895.0
2017,NUTS,2010,AT,0,52478.0
2018,NUTS,2010,AT,0,55369.0
2019,NUTS,2010,AT,0,58592.0
2020,NUTS,2010,AT,0,56377.0
2011,NUTS,2010,AT1,1,15678.0
2013,NUTS,2010,AT1,1,15629.0
2015,NUTS,2010,AT1,1,16619.0
2017,NUTS,2010,AT1,1,16398.0
2019,NUTS,2010,AT1,1,18449.0
2011,NUTS,2010,AT11,2,529.0
2013,NUTS,2010,AT11,2,607.0
2015,NUTS,2010,AT11,2,668.0
2017,NUTS,2010,AT11,2,690.0
2019,NUTS,2010,AT11,2,694.0
2011,NUTS,2010,AT12,2,4623.0
2013,NUTS,2010,AT12,2,4877.0
2015,NUTS,2010,AT12,2,5451.0
2017,NUTS,2010,AT12,2,5656.0
2019,NUTS,2010,AT12,2,6376.0
2011,NUTS,2010,AT13,2,10525.0
2013,NUTS,2010,AT13,2,10145.0
2015,NUTS,2010,AT13,2,10501.0
2017,NUTS,2010,AT13,2,10052.0
2019,NUTS,2010,AT13,2,11380.0
2011,NUTS,2010,AT2,1,11271.0
2013,NUTS,2010,AT2,1,12946.0
2015,NUTS,2010,AT2,1,14318.0
2017,NUTS,2010,AT2,1,15060.0
2019,NUTS,2010,AT2,1,16895.0
2011,NUTS,2010,AT21,2,2641.0
2013,NUTS,2010,AT21,2,2788.0
2015,NUTS,2010,AT21,2,2974.0
2017,NUTS,2010,AT21,2,2994.0
2019,NUTS,2010,AT21,2,3434.0
2011,NUTS,2010,AT22,2,8630.0
2013,NUTS,2010,AT22,2,10157.0
2015,NUTS,2010,AT22,2,11345.0
2017,NUTS,2010,AT22,2,12067.0
2019,NUTS,2010,AT22,2,13461.0
2011,NUTS,2010,AT3,1,15148.0
2013,NUTS,2010,AT3,1,17837.0
2015,NUTS,2010,AT3,1,19596.0
2017,NUTS,2010,AT3,1,21020.0
2019,NUTS,2010,AT3,1,23247.0
2011,NUTS,2010,AT31,2,8794.0
2013,NUTS,2010,AT31,2,10636.0
2015,NUTS,2010,AT31,2,11738.0
2017,NUTS,2010,AT31,2,12135.0
2019,NUTS,2010,AT31,2,13611.0
2011,NUTS,2010,AT32,2,1676.0
2013,NUTS,2010,AT32,2,1979.0
2015,NUTS,2010,AT32,2,2107.0
2017,NUTS,2010,AT32,2,2532.0
2019,NUTS,2010,AT32,2,2848.0
2011,NUTS,2010,AT33,2,2987.0
2013,NUTS,2010,AT33,2,3340.0
2015,NUTS,2010,AT33,2,3515.0
2017,NUTS,2010,AT33,2,3977.0
2019,NUTS,2010,AT33,2,4123.0
2011,NUTS,2010,AT34,2,1691.0
2013,NUTS,2010,AT34,2,1882.0
2015,NUTS,2010,AT34,2,2235.0
2017,NUTS,2010,AT34,2,2376.0
2019,NUTS,2010,AT34,2,2666.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,363.0
2013,NUTS,2010,BA,0,363.0
2014,NUTS,2010,BA,0,236.0
2019,NUTS,2010,BA,0,381.0
2011,NUTS,2010,BE,0,35011.0
2012,NUTS,2010,BE,0,38108.0
2013,NUTS,2010,BE,0,38497.0
2014,NUTS,2010,BE,0,42391.0
2015,NUTS,2010,BE,0,44508.0
2016,NUTS,2010,BE,0,46564.0
2017,NUTS,2010,BE,0,50106.0
2018,NUTS,2010,BE,0,53503.0
2019,NUTS,2010,BE,0,57661.0
2020,NUTS,2010,BE,0,64269.0
2011,NUTS,2010,BE1,1,3415.0
2013,NUTS,2010,BE1,1,4368.0
2014,NUTS,2010,BE1,1,4890.0
2015,NUTS,2010,BE1,1,5118.0
2016,NUTS,2010,BE1,1,5842.0
2017,NUTS,2010,BE1,1,6123.0
2018,NUTS,2010,BE1,1,7326.0
2019,NUTS,2010,BE1,1,7939.0
2011,NUTS,2010,BE10,2,3415.0
2013,NUTS,2010,BE10,2,4368.0
2014,NUTS,2010,BE10,2,4890.0
2015,NUTS,2010,BE10,2,5118.0
2016,NUTS,2010,BE10,2,5842.0
2017,NUTS,2010,BE10,2,6123.0
2018,NUTS,2010,BE10,2,7326.0
2019,NUTS,2010,BE10,2,7939.0
2011,NUTS,2010,BE2,1,22530.0
2013,NUTS,2010,BE2,1,23994.0
2014,NUTS,2010,BE2,1,26008.0
2015,NUTS,2010,BE2,1,27494.0
2016,NUTS,2010,BE2,1,29274.0
2017,NUTS,2010,BE2,1,31677.0
2018,NUTS,2010,BE2,1,34179.0
2019,NUTS,2010,BE2,1,38379.0
2011,NUTS,2010,BE3,1,9066.0
2013,NUTS,2010,BE3,1,10135.0
2014,NUTS,2010,BE3,1,11492.0
2015,NUTS,2010,BE3,1,11897.0
2016,NUTS,2010,BE3,1,11449.0
2017,NUTS,2010,BE3,1,12306.0
2018,NUTS,2010,BE3,1,11998.0
2019,NUTS,2010,BE3,1,11343.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,2439.0
2012,NUTS,2010,BG,0,3007.0
2013,NUTS,2010,BG,0,3853.0
2014,NUTS,2010,BG,0,5431.0
2015,NUTS,2010,BG,0,9480.0
2016,NUTS,2010,BG,0,11253.0
2017,NUTS,2010,BG,0,10735.0
2018,NUTS,2010,BG,0,13110.0
2019,NUTS,2010,BG,0,13826.0
2020,NUTS,2010,BG,0,13663.0
2011,NUTS,2010,BG3,1,674.0
2012,NUTS,2010,BG3,1,777.0
2013,NUTS,2010,BG3,1,983.0
2014,NUTS,2010,BG3,1,1206.0
2015,NUTS,2010,BG3,1,2874.0
2016,NUTS,2010,BG3,1,2926.0
2017,NUTS,2010,BG3,1,2830.0
2018,NUTS,2010,BG3,1,3543.0
2019,NUTS,2010,BG3,1,3616.0
2015,NUTS,2010,BG31,2,652.0
2016,NUTS,2010,BG31,2,729.0
2017,NUTS,2010,BG31,2,700.0
2018,NUTS,2010,BG31,2,925.0
2019,NUTS,2010,BG31,2,792.0
2012,NUTS,2010,BG32,2,168.0
2013,NUTS,2010,BG32,2,255.0
2014,NUTS,2010,BG32,2,341.0
2015,NUTS,2010,BG32,2,663.0
2016,NUTS,2010,BG32,2,611.0
2017,NUTS,2010,BG32,2,746.0
2018,NUTS,2010,BG32,2,861.0
2019,NUTS,2010,BG32,2,950.0
2011,NUTS,2010,BG33,2,186.0
2013,NUTS,2010,BG33,2,234.0
2015,NUTS,2010,BG33,2,580.0
2016,NUTS,2010,BG33,2,651.0
2017,NUTS,2010,BG33,2,570.0
2018,NUTS,2010,BG33,2,697.0
2019,NUTS,2010,BG33,2,758.0
2012,NUTS,2010,BG34,2,212.0
2014,NUTS,2010,BG34,2,372.0
2015,NUTS,2010,BG34,2,979.0
2016,NUTS,2010,BG34,2,935.0
2017,NUTS,2010,BG34,2,814.0
2018,NUTS,2010,BG34,2,1060.0
2019,NUTS,2010,BG34,2,1116.0
2011,NUTS,2010,BG4,1,1765.0
2012,NUTS,2010,BG4,1,2230.0
2013,NUTS,2010,BG4,1,2870.0
2014,NUTS,2010,BG4,1,4225.0
2015,NUTS,2010,BG4,1,6606.0
2016,NUTS,2010,BG4,1,8327.0
2017,NUTS,2010,BG4,1,7905.0
2018,NUTS,2010,BG4,1,9567.0
2019,NUTS,2010,BG4,1,10210.0
2011,NUTS,2010,BG41,2,1403.0
2012,NUTS,2010,BG41,2,1853.0
2014,NUTS,2010,BG41,2,3774.0
2015,NUTS,2010,BG41,2,5473.0
2016,NUTS,2010,BG41,2,6829.0
2017,NUTS,2010,BG41,2,6601.0
2018,NUTS,2010,BG41,2,7891.0
2019,NUTS,2010,BG41,2,8524.0
2011,NUTS,2010,BG42,2,362.0
2012,NUTS,2010,BG42,2,377.0
2014,NUTS,2010,BG42,2,451.0
2015,NUTS,2010,BG42,2,1133.0
2016,NUTS,2010,BG42,2,1498.0
2017,NUTS,2010,BG42,2,1304.0
2018,NUTS,2010,BG42,2,1676.0
2019,NUTS,2010,BG42,2,1686.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,47750.0
2015,NUTS,2010,CH,0,50825.0
2017,NUTS,2010,CH,0,46510.0
2019,NUTS,2010,CH,0,51623.0
2012,NUTS,2010,CH01,2,5447.0
2015,NUTS,2010,CH01,2,7162.0
2017,NUTS,2010,CH01,2,6127.0
2019,NUTS,2010,CH01,2,6801.0
2012,NUTS,2010,CH02,2,8273.0
2015,NUTS,2010,CH02,2,8232.0
2017,NUTS,2010,CH02,2,7935.0
