year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hc_hes_total
1981,NUTS,2010,AT,0,13598.0
1985,NUTS,2010,AT,0,15358.0
1998,NUTS,2010,AT,0,21933.0
2002,NUTS,2010,AT,0,25072.0
2004,NUTS,2010,AT,0,29358.0
2006,NUTS,2010,AT,0,32715.0
2007,NUTS,2010,AT,0,35269.0
2009,NUTS,2010,AT,0,39084.0
2011,NUTS,2010,AT,0,42291.0
2013,NUTS,2010,AT,0,44601.0
2015,NUTS,2010,AT,0,47562.0
2017,NUTS,2010,AT,0,48363.0
2019,NUTS,2010,AT,0,52663.0
2011,NUTS,2010,AT1,1,21962.0
2013,NUTS,2010,AT1,1,23708.0
2019,NUTS,2010,AT1,1,27213.0
2011,NUTS,2010,AT11,2,93.0
2013,NUTS,2010,AT11,2,154.0
2019,NUTS,2010,AT11,2,208.0
2002,NUTS,2010,AT12,2,135.0
2004,NUTS,2010,AT12,2,198.0
2006,NUTS,2010,AT12,2,328.0
2007,NUTS,2010,AT12,2,377.0
2009,NUTS,2010,AT12,2,513.0
2011,NUTS,2010,AT12,2,625.0
2013,NUTS,2010,AT12,2,1236.0
2015,NUTS,2010,AT12,2,1480.0
2017,NUTS,2010,AT12,2,2012.0
2019,NUTS,2010,AT12,2,2459.0
2002,NUTS,2010,AT13,2,13407.0
2004,NUTS,2010,AT13,2,15668.0
2006,NUTS,2010,AT13,2,17041.0
2007,NUTS,2010,AT13,2,18145.0
2009,NUTS,2010,AT13,2,20065.0
2011,NUTS,2010,AT13,2,21244.0
2013,NUTS,2010,AT13,2,22318.0
2015,NUTS,2010,AT13,2,23232.0
2017,NUTS,2010,AT13,2,22971.0
2019,NUTS,2010,AT13,2,24546.0
2006,NUTS,2010,AT2,1,7175.0
2007,NUTS,2010,AT2,1,8119.0
2009,NUTS,2010,AT2,1,9165.0
2011,NUTS,2010,AT2,1,9897.0
2013,NUTS,2010,AT2,1,9971.0
2017,NUTS,2010,AT2,1,11071.0
2019,NUTS,2010,AT2,1,12310.0
2006,NUTS,2010,AT21,2,722.0
2007,NUTS,2010,AT21,2,791.0
2009,NUTS,2010,AT21,2,818.0
2011,NUTS,2010,AT21,2,907.0
2013,NUTS,2010,AT21,2,857.0
2015,NUTS,2010,AT21,2,800.0
2017,NUTS,2010,AT21,2,878.0
2019,NUTS,2010,AT21,2,1083.0
2002,NUTS,2010,AT22,2,5274.0
2004,NUTS,2010,AT22,2,5818.0
2006,NUTS,2010,AT22,2,6453.0
2007,NUTS,2010,AT22,2,7328.0
