year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_mge_p_mhab
1990,NUTS,2010,AT,0,2.733
1991,NUTS,2010,AT,0,4.115
1992,NUTS,2010,AT,0,3.091
1993,NUTS,2010,AT,0,3.144
1994,NUTS,2010,AT,0,4.165
1995,NUTS,2010,AT,0,2.394
1996,NUTS,2010,AT,0,3.291
1997,NUTS,2010,AT,0,3.014
1998,NUTS,2010,AT,0,3.592
1999,NUTS,2010,AT,0,5.145
2000,NUTS,2010,AT,0,5.772
2001,NUTS,2010,AT,0,8.117
2002,NUTS,2010,AT,0,4.205
2003,NUTS,2010,AT,0,7.233
2004,NUTS,2010,AT,0,4.465
2005,NUTS,2010,AT,0,5.215
2006,NUTS,2010,AT,0,5.053
2007,NUTS,2010,AT,0,7.937
2008,NUTS,2010,AT,0,5.242
2009,NUTS,2010,AT,0,5.427
2010,NUTS,2010,AT,0,5.35
2011,NUTS,2010,AT,0,7.102
2012,NUTS,2010,AT,0,4.86
2000,NUTS,2010,AT1,1,10.727
2001,NUTS,2010,AT1,1,14.493
2002,NUTS,2010,AT1,1,5.981
2003,NUTS,2010,AT1,1,11.51
2004,NUTS,2010,AT1,1,6.959
2005,NUTS,2010,AT1,1,8.277
2006,NUTS,2010,AT1,1,8.61
2007,NUTS,2010,AT1,1,12.964
2008,NUTS,2010,AT1,1,8.518
2009,NUTS,2010,AT1,1,8.837
2010,NUTS,2010,AT1,1,8.23
2011,NUTS,2010,AT1,1,9.005
2012,NUTS,2010,AT1,1,6.787
2001,NUTS,2010,AT11,2,2.102
2002,NUTS,2010,AT11,2,1.193
2003,NUTS,2010,AT11,2,9.944
2005,NUTS,2010,AT11,2,0.468
2009,NUTS,2010,AT11,2,4.138
2011,NUTS,2010,AT11,2,1.757
2009,NUTS,2010,AT111,3,26.687
2001,NUTS,2010,AT112,3,2.35
2002,NUTS,2010,AT112,3,2.34
2003,NUTS,2010,AT112,3,19.454
2005,NUTS,2010,AT112,3,0.908
2009,NUTS,2010,AT112,3,1.151
2011,NUTS,2010,AT112,3,3.344
2001,NUTS,2010,AT113,3,2.556
2000,NUTS,2010,AT12,2,7.192
2001,NUTS,2010,AT12,2,7.1
2002,NUTS,2010,AT12,2,4.532
2003,NUTS,2010,AT12,2,8.301
2004,NUTS,2010,AT12,2,2.068
2005,NUTS,2010,AT12,2,2.263
2006,NUTS,2010,AT12,2,5.125
2007,NUTS,2010,AT12,2,6.723
2008,NUTS,2010,AT12,2,6.844
2009,NUTS,2010,AT12,2,5.696
2010,NUTS,2010,AT12,2,3.948
2011,NUTS,2010,AT12,2,5.033
2012,NUTS,2010,AT12,2,5.253
2003,NUTS,2010,AT121,3,5.895
2004,NUTS,2010,AT121,3,2.815
2005,NUTS,2010,AT121,3,2.928
2001,NUTS,2010,AT122,3,3.426
2002,NUTS,2010,AT122,3,0.528
2003,NUTS,2010,AT122,3,1.013
2004,NUTS,2010,AT122,3,2.137
2006,NUTS,2010,AT122,3,4.981
2007,NUTS,2010,AT122,3,4.095
2008,NUTS,2010,AT122,3,6.954
2009,NUTS,2010,AT122,3,2.101
2001,NUTS,2010,AT123,3,6.349
2003,NUTS,2010,AT123,3,3.5
2007,NUTS,2010,AT123,3,9.868
2008,NUTS,2010,AT123,3,3.664
2009,NUTS,2010,AT123,3,2.233
2010,NUTS,2010,AT123,3,1.689
2011,NUTS,2010,AT123,3,18.011
2002,NUTS,2010,AT124,3,2.238
2007,NUTS,2010,AT124,3,0.587
2009,NUTS,2010,AT124,3,2.627
2010,NUTS,2010,AT124,3,4.181
2011,NUTS,2010,AT124,3,2.415
2003,NUTS,2010,AT125,3,3.245
2006,NUTS,2010,AT125,3,9.707
2007,NUTS,2010,AT125,3,8.004
2010,NUTS,2010,AT125,3,6.465
2001,NUTS,2010,AT126,3,25.375
2002,NUTS,2010,AT126,3,10.829
2003,NUTS,2010,AT126,3,29.752
2004,NUTS,2010,AT126,3,3.074
2005,NUTS,2010,AT126,3,7.606
2006,NUTS,2010,AT126,3,10.734
2007,NUTS,2010,AT126,3,23.711
2008,NUTS,2010,AT126,3,20.965
2009,NUTS,2010,AT126,3,5.072
2010,NUTS,2010,AT126,3,10.836
2011,NUTS,2010,AT126,3,11.566
2012,NUTS,2010,AT126,3,15.347
2001,NUTS,2010,AT127,3,7.468
2002,NUTS,2010,AT127,3,11.438
2003,NUTS,2010,AT127,3,6.689
2004,NUTS,2010,AT127,3,3.848
2005,NUTS,2010,AT127,3,2.212
2006,NUTS,2010,AT127,3,8.25
2007,NUTS,2010,AT127,3,0.355
2008,NUTS,2010,AT127,3,7.614
2009,NUTS,2010,AT127,3,19.517
2010,NUTS,2010,AT127,3,3.407
2011,NUTS,2010,AT127,3,4.27
2012,NUTS,2010,AT127,3,11.653
2000,NUTS,2010,AT13,2,16.144
2001,NUTS,2010,AT13,2,24.016
2002,NUTS,2010,AT13,2,8.249
2003,NUTS,2010,AT13,2,14.904
2004,NUTS,2010,AT13,2,12.885
2005,NUTS,2010,AT13,2,15.387
2006,NUTS,2010,AT13,2,13.398
2007,NUTS,2010,AT13,2,21.117
2008,NUTS,2010,AT13,2,11.548
2009,NUTS,2010,AT13,2,12.624
2010,NUTS,2010,AT13,2,13.681
2011,NUTS,2010,AT13,2,13.971
