year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_t_hc
2011,NUTS,2010,AT,0,32008.0
2013,NUTS,2010,AT,0,33781.0
2015,NUTS,2010,AT,0,36699.0
2017,NUTS,2010,AT,0,37333.0
2019,NUTS,2010,AT,0,41021.0
2011,NUTS,2010,AT1,1,16693.0
2013,NUTS,2010,AT1,1,18128.0
2019,NUTS,2010,AT1,1,21202.0
2011,NUTS,2010,AT11,2,93.0
2013,NUTS,2010,AT11,2,138.0
2019,NUTS,2010,AT11,2,189.0
2011,NUTS,2010,AT12,2,560.0
2013,NUTS,2010,AT12,2,1001.0
2015,NUTS,2010,AT12,2,1183.0
2017,NUTS,2010,AT12,2,1484.0
2019,NUTS,2010,AT12,2,1932.0
2011,NUTS,2010,AT13,2,16040.0
2013,NUTS,2010,AT13,2,16989.0
2015,NUTS,2010,AT13,2,17924.0
2017,NUTS,2010,AT13,2,17729.0
2019,NUTS,2010,AT13,2,19081.0
2011,NUTS,2010,AT2,1,7272.0
2013,NUTS,2010,AT2,1,7271.0
2017,NUTS,2010,AT2,1,8390.0
2019,NUTS,2010,AT2,1,9444.0
2011,NUTS,2010,AT21,2,722.0
2013,NUTS,2010,AT21,2,706.0
2015,NUTS,2010,AT21,2,658.0
2017,NUTS,2010,AT21,2,736.0
2019,NUTS,2010,AT21,2,855.0
2011,NUTS,2010,AT22,2,6550.0
2013,NUTS,2010,AT22,2,6565.0
2015,NUTS,2010,AT22,2,7719.0
2017,NUTS,2010,AT22,2,7654.0
2019,NUTS,2010,AT22,2,8589.0
2011,NUTS,2010,AT3,1,8043.0
2013,NUTS,2010,AT3,1,8382.0
2019,NUTS,2010,AT3,1,10375.0
2011,NUTS,2010,AT31,2,2384.0
2013,NUTS,2010,AT31,2,2328.0
2015,NUTS,2010,AT31,2,2542.0
2017,NUTS,2010,AT31,2,2596.0
2019,NUTS,2010,AT31,2,2869.0
2011,NUTS,2010,AT32,2,1724.0
2013,NUTS,2010,AT32,2,1832.0
2015,NUTS,2010,AT32,2,2168.0
2017,NUTS,2010,AT32,2,2319.0
2019,NUTS,2010,AT32,2,2457.0
2011,NUTS,2010,AT33,2,3865.0
2013,NUTS,2010,AT33,2,4143.0
2015,NUTS,2010,AT33,2,4272.0
2017,NUTS,2010,AT33,2,4529.0
2019,NUTS,2010,AT33,2,4911.0
2011,NUTS,2010,AT34,2,70.0
2013,NUTS,2010,AT34,2,79.0
2019,NUTS,2010,AT34,2,138.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,609.0
2013,NUTS,2010,BA,0,986.0
2014,NUTS,2010,BA,0,1684.0
2019,NUTS,2010,BA,0,1871.0
2011,NUTS,2010,BE,0,31353.0
2012,NUTS,2010,BE,0,31437.0
2013,NUTS,2010,BE,0,32077.0
2014,NUTS,2010,BE,0,34977.0
2015,NUTS,2010,BE,0,31909.0
2016,NUTS,2010,BE,0,32526.0
2017,NUTS,2010,BE,0,32472.0
2018,NUTS,2010,BE,0,34908.0
2019,NUTS,2010,BE,0,34623.0
2011,NUTS,2010,BE1,1,7036.0
2012,NUTS,2010,BE1,1,6958.0
2013,NUTS,2010,BE1,1,7135.0
2014,NUTS,2010,BE1,1,7874.0
2015,NUTS,2010,BE1,1,6682.0
2016,NUTS,2010,BE1,1,6699.0
2017,NUTS,2010,BE1,1,6403.0
2018,NUTS,2010,BE1,1,7422.0
2019,NUTS,2010,BE1,1,6843.0
2011,NUTS,2010,BE10,2,7036.0
2012,NUTS,2010,BE10,2,6958.0
2013,NUTS,2010,BE10,2,7135.0
2014,NUTS,2010,BE10,2,7874.0
2015,NUTS,2010,BE10,2,6682.0
2016,NUTS,2010,BE10,2,6699.0
2017,NUTS,2010,BE10,2,6403.0
2018,NUTS,2010,BE10,2,7422.0
2019,NUTS,2010,BE10,2,6843.0
2011,NUTS,2010,BE2,1,16948.0
2012,NUTS,2010,BE2,1,17204.0
2013,NUTS,2010,BE2,1,17717.0
2014,NUTS,2010,BE2,1,19131.0
2015,NUTS,2010,BE2,1,19300.0
2016,NUTS,2010,BE2,1,19082.0
2017,NUTS,2010,BE2,1,19232.0
2018,NUTS,2010,BE2,1,20331.0
2019,NUTS,2010,BE2,1,20687.0
2011,NUTS,2010,BE3,1,7369.0
2012,NUTS,2010,BE3,1,7275.0
2013,NUTS,2010,BE3,1,7225.0
2014,NUTS,2010,BE3,1,7972.0
2015,NUTS,2010,BE3,1,5927.0
2016,NUTS,2010,BE3,1,6745.0
2017,NUTS,2010,BE3,1,6837.0
2018,NUTS,2010,BE3,1,7155.0
2019,NUTS,2010,BE3,1,7093.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,7040.0
2012,NUTS,2010,BG,0,7170.0
2013,NUTS,2010,BG,0,7278.0
2014,NUTS,2010,BG,0,8505.0
2015,NUTS,2010,BG,0,7902.0
2016,NUTS,2010,BG,0,8814.0
2017,NUTS,2010,BG,0,7924.0
2018,NUTS,2010,BG,0,8464.0
2019,NUTS,2010,BG,0,8168.0
2011,NUTS,2010,BG3,1,2730.0
2012,NUTS,2010,BG3,1,3074.0
2013,NUTS,2010,BG3,1,3079.0
2014,NUTS,2010,BG3,1,3977.0
2017,NUTS,2010,BG3,1,3437.0
2019,NUTS,2010,BG3,1,3513.0
2011,NUTS,2010,BG32,2,1091.0
2012,NUTS,2010,BG32,2,1076.0
2013,NUTS,2010,BG32,2,1015.0
2014,NUTS,2010,BG32,2,1353.0
2015,NUTS,2010,BG32,2,1358.0
2016,NUTS,2010,BG32,2,1017.0
2017,NUTS,2010,BG32,2,1049.0
2018,NUTS,2010,BG32,2,1082.0
2019,NUTS,2010,BG32,2,915.0
2011,NUTS,2010,BG33,2,1066.0
