year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_mio_pps_kp05
2011,NUTS,2010,AT,0,355.23
2012,NUTS,2010,AT,0,348.02
2013,NUTS,2010,AT,0,342.247
2014,NUTS,2010,AT,0,368.587
2015,NUTS,2010,AT,0,370.756
2016,NUTS,2010,AT,0,597.462
2017,NUTS,2010,AT,0,604.229
2018,NUTS,2010,AT,0,626.242
2019,NUTS,2010,AT,0,661.311
2020,NUTS,2010,AT,0,628.117
2011,NUTS,2010,AT1,1,237.086
2013,NUTS,2010,AT1,1,216.367
2019,NUTS,2010,AT1,1,472.436
2011,NUTS,2010,AT11,2,2.261
2013,NUTS,2010,AT11,2,2.441
2011,NUTS,2010,AT12,2,31.886
2013,NUTS,2010,AT12,2,34.075
2015,NUTS,2010,AT12,2,59.878
2017,NUTS,2010,AT12,2,78.063
2011,NUTS,2010,AT13,2,202.939
2013,NUTS,2010,AT13,2,179.852
2015,NUTS,2010,AT13,2,184.213
2017,NUTS,2010,AT13,2,350.301
2019,NUTS,2010,AT13,2,381.46
2015,NUTS,2010,AT2,1,52.341
2019,NUTS,2010,AT2,1,92.756
2011,NUTS,2010,AT21,2,9.6
2019,NUTS,2010,AT3,1,96.118
2011,NUTS,2010,AT31,2,14.197
2013,NUTS,2010,AT31,2,14.098
2015,NUTS,2010,AT31,2,16.487
2017,NUTS,2010,AT31,2,28.464
2019,NUTS,2010,AT31,2,37.2
2015,NUTS,2010,AT32,2,21.903
2017,NUTS,2010,AT32,2,19.813
2019,NUTS,2010,AT32,2,20.683
2011,NUTS,2010,AT33,2,19.818
2013,NUTS,2010,AT33,2,21.797
2019,NUTS,2010,AT33,2,28.676
2011,NUTS,2010,AT34,2,8.291
2013,NUTS,2010,AT34,2,9.188
2015,NUTS,2010,AT34,2,9.928
2017,NUTS,2010,AT34,2,9.509
2019,NUTS,2010,AT34,2,9.56
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,8.701
2013,NUTS,2010,BA,0,4.401
