year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_pps
2011,NUTS,2010,AT,0,7420.725
2012,NUTS,2010,AT,0,8432.758
2013,NUTS,2010,AT,0,8662.578
2014,NUTS,2010,AT,0,9216.235
2015,NUTS,2010,AT,0,9448.476
2016,NUTS,2010,AT,0,9960.694
2017,NUTS,2010,AT,0,10003.35
2018,NUTS,2010,AT,0,10554.537
2019,NUTS,2010,AT,0,10979.818
2020,NUTS,2010,AT,0,10622.035
2011,NUTS,2010,AT1,1,3258.349
2013,NUTS,2010,AT1,1,3453.603
2015,NUTS,2010,AT1,1,3762.537
2017,NUTS,2010,AT1,1,3956.205
2019,NUTS,2010,AT1,1,4297.483
2011,NUTS,2010,AT11,2,50.969
2013,NUTS,2010,AT11,2,60.952
2015,NUTS,2010,AT11,2,71.75
2017,NUTS,2010,AT11,2,65.915
2019,NUTS,2010,AT11,2,70.755
2011,NUTS,2010,AT12,2,633.407
2013,NUTS,2010,AT12,2,732.957
2015,NUTS,2010,AT12,2,841.794
2017,NUTS,2010,AT12,2,928.065
2019,NUTS,2010,AT12,2,999.669
2011,NUTS,2010,AT13,2,2573.973
2013,NUTS,2010,AT13,2,2659.694
2015,NUTS,2010,AT13,2,2848.993
2017,NUTS,2010,AT13,2,2962.225
2019,NUTS,2010,AT13,2,3227.059
2011,NUTS,2010,AT2,1,1907.19
2013,NUTS,2010,AT2,1,2270.877
2015,NUTS,2010,AT2,1,2538.141
2017,NUTS,2010,AT2,1,2573.548
2019,NUTS,2010,AT2,1,2920.389
2011,NUTS,2010,AT21,2,430.497
2013,NUTS,2010,AT21,2,458.659
2015,NUTS,2010,AT21,2,526.717
2017,NUTS,2010,AT21,2,517.613
2019,NUTS,2010,AT21,2,610.075
2011,NUTS,2010,AT22,2,1476.693
2013,NUTS,2010,AT22,2,1812.218
2015,NUTS,2010,AT22,2,2011.424
2017,NUTS,2010,AT22,2,2055.935
2019,NUTS,2010,AT22,2,2310.314
2011,NUTS,2010,AT3,1,2255.186
2013,NUTS,2010,AT3,1,2938.098
2015,NUTS,2010,AT3,1,3147.798
2017,NUTS,2010,AT3,1,3473.597
2019,NUTS,2010,AT3,1,3761.946
2011,NUTS,2010,AT31,2,1161.942
2013,NUTS,2010,AT31,2,1572.852
2015,NUTS,2010,AT31,2,1661.558
2017,NUTS,2010,AT31,2,1941.483
2019,NUTS,2010,AT31,2,2106.657
2011,NUTS,2010,AT32,2,257.925
2013,NUTS,2010,AT32,2,323.052
2015,NUTS,2010,AT32,2,346.179
2017,NUTS,2010,AT32,2,392.539
2019,NUTS,2010,AT32,2,446.687
2011,NUTS,2010,AT33,2,653.452
2013,NUTS,2010,AT33,2,818.477
2015,NUTS,2010,AT33,2,868.685
2017,NUTS,2010,AT33,2,857.913
2019,NUTS,2010,AT33,2,903.904
2011,NUTS,2010,AT34,2,181.867
2013,NUTS,2010,AT34,2,223.717
2015,NUTS,2010,AT34,2,271.376
2017,NUTS,2010,AT34,2,281.662
2019,NUTS,2010,AT34,2,304.699
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,72.81
2013,NUTS,2010,BA,0,90.47
2014,NUTS,2010,BA,0,74.81
2019,NUTS,2010,BA,0,67.967
2011,NUTS,2010,BE,0,7321.685
2012,NUTS,2010,BE,0,7915.525
2013,NUTS,2010,BE,0,8194.141
2014,NUTS,2010,BE,0,8552.332
2015,NUTS,2010,BE,0,9091.742
2016,NUTS,2010,BE,0,9648.537
2017,NUTS,2010,BE,0,10507.287
2018,NUTS,2010,BE,0,11643.447
2019,NUTS,2010,BE,0,13403.618
2020,NUTS,2010,BE,0,14240.835
2011,NUTS,2010,BE1,1,857.44
2012,NUTS,2010,BE1,1,922.442
2013,NUTS,2010,BE1,1,974.935
2014,NUTS,2010,BE1,1,1106.024
2015,NUTS,2010,BE1,1,1202.514
2016,NUTS,2010,BE1,1,1355.876
2017,NUTS,2010,BE1,1,1488.702
2018,NUTS,2010,BE1,1,1677.529
2019,NUTS,2010,BE1,1,1805.244
2011,NUTS,2010,BE10,2,857.44
2012,NUTS,2010,BE10,2,922.442
2013,NUTS,2010,BE10,2,974.935
2014,NUTS,2010,BE10,2,1106.024
2015,NUTS,2010,BE10,2,1202.514
2016,NUTS,2010,BE10,2,1355.876
2017,NUTS,2010,BE10,2,1488.702
2018,NUTS,2010,BE10,2,1677.529
2019,NUTS,2010,BE10,2,1805.244
2011,NUTS,2010,BE2,1,4514.351
2012,NUTS,2010,BE2,1,5013.707
2013,NUTS,2010,BE2,1,5183.42
2014,NUTS,2010,BE2,1,5411.392
2015,NUTS,2010,BE2,1,5780.426
2016,NUTS,2010,BE2,1,6116.6
2017,NUTS,2010,BE2,1,6619.232
2018,NUTS,2010,BE2,1,6996.018
2019,NUTS,2010,BE2,1,8294.576
2011,NUTS,2010,BE21,2,1692.779
2012,NUTS,2010,BE21,2,1750.385
2013,NUTS,2010,BE21,2,1787.362
2014,NUTS,2010,BE21,2,2052.812
2015,NUTS,2010,BE21,2,2225.682
2016,NUTS,2010,BE21,2,2372.821
2017,NUTS,2010,BE21,2,2598.298
2011,NUTS,2010,BE22,2,247.911
2012,NUTS,2010,BE22,2,265.023
2013,NUTS,2010,BE22,2,284.853
2014,NUTS,2010,BE22,2,301.241
2015,NUTS,2010,BE22,2,315.833
2016,NUTS,2010,BE22,2,355.046
2017,NUTS,2010,BE22,2,390.657
2011,NUTS,2010,BE23,2,912.72
2012,NUTS,2010,BE23,2,1063.529
2013,NUTS,2010,BE23,2,1130.869
2014,NUTS,2010,BE23,2,1074.382
2015,NUTS,2010,BE23,2,1125.016
2016,NUTS,2010,BE23,2,1264.666
2017,NUTS,2010,BE23,2,1298.714
2011,NUTS,2010,BE24,2,1301.613
2012,NUTS,2010,BE24,2,1453.485
2013,NUTS,2010,BE24,2,1490.252
2014,NUTS,2010,BE24,2,1594.261
2015,NUTS,2010,BE24,2,1689.934
2016,NUTS,2010,BE24,2,1656.99
2017,NUTS,2010,BE24,2,1797.103
2011,NUTS,2010,BE25,2,359.328
2012,NUTS,2010,BE25,2,481.285
2013,NUTS,2010,BE25,2,490.083
2014,NUTS,2010,BE25,2,388.697
2015,NUTS,2010,BE25,2,423.961
2016,NUTS,2010,BE25,2,467.078
