year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_rse_fte
1998,NUTS,2010,AT,0,2627.0
2002,NUTS,2010,AT,0,3811.0
2004,NUTS,2010,AT,0,4740.0
2006,NUTS,2010,AT,0,5669.0
2007,NUTS,2010,AT,0,6521.0
2009,NUTS,2010,AT,0,7765.0
2011,NUTS,2010,AT,0,8463.0
2013,NUTS,2010,AT,0,9286.0
2015,NUTS,2010,AT,0,10114.0
2017,NUTS,2010,AT,0,11243.0
2019,NUTS,2010,AT,0,12584.0
2002,NUTS,2010,AT1,1,2392.0
2004,NUTS,2010,AT1,1,2872.0
2006,NUTS,2010,AT1,1,3422.0
2007,NUTS,2010,AT1,1,4005.0
2009,NUTS,2010,AT1,1,4723.0
2011,NUTS,2010,AT1,1,5060.0
2013,NUTS,2010,AT1,1,5275.0
2015,NUTS,2010,AT1,1,5673.0
2017,NUTS,2010,AT1,1,6005.0
2019,NUTS,2010,AT1,1,6698.0
2002,NUTS,2010,AT11,2,25.0
2004,NUTS,2010,AT11,2,29.0
2006,NUTS,2010,AT11,2,38.0
2007,NUTS,2010,AT11,2,33.0
2009,NUTS,2010,AT11,2,32.0
2011,NUTS,2010,AT11,2,47.0
2013,NUTS,2010,AT11,2,46.0
2015,NUTS,2010,AT11,2,51.0
2017,NUTS,2010,AT11,2,68.0
2019,NUTS,2010,AT11,2,60.0
2002,NUTS,2010,AT12,2,179.0
2004,NUTS,2010,AT12,2,218.0
2006,NUTS,2010,AT12,2,342.0
2007,NUTS,2010,AT12,2,368.0
2009,NUTS,2010,AT12,2,449.0
2011,NUTS,2010,AT12,2,595.0
2013,NUTS,2010,AT12,2,658.0
2015,NUTS,2010,AT12,2,739.0
2017,NUTS,2010,AT12,2,854.0
2019,NUTS,2010,AT12,2,1191.0
2002,NUTS,2010,AT13,2,2187.0
2004,NUTS,2010,AT13,2,2625.0
2006,NUTS,2010,AT13,2,3042.0
2007,NUTS,2010,AT13,2,3605.0
2009,NUTS,2010,AT13,2,4242.0
2011,NUTS,2010,AT13,2,4417.0
2013,NUTS,2010,AT13,2,4571.0
2015,NUTS,2010,AT13,2,4882.0
2017,NUTS,2010,AT13,2,5083.0
2019,NUTS,2010,AT13,2,5448.0
2002,NUTS,2010,AT2,1,652.0
2004,NUTS,2010,AT2,1,836.0
2006,NUTS,2010,AT2,1,1065.0
2007,NUTS,2010,AT2,1,1177.0
2009,NUTS,2010,AT2,1,1399.0
2011,NUTS,2010,AT2,1,1604.0
2013,NUTS,2010,AT2,1,1718.0
2015,NUTS,2010,AT2,1,1921.0
2017,NUTS,2010,AT2,1,2340.0
2019,NUTS,2010,AT2,1,2715.0
2002,NUTS,2010,AT21,2,121.0
2004,NUTS,2010,AT21,2,183.0
2006,NUTS,2010,AT21,2,222.0
2007,NUTS,2010,AT21,2,263.0
2009,NUTS,2010,AT21,2,295.0
2011,NUTS,2010,AT21,2,288.0
2013,NUTS,2010,AT21,2,277.0
2015,NUTS,2010,AT21,2,314.0
2017,NUTS,2010,AT21,2,527.0
2019,NUTS,2010,AT21,2,594.0
2002,NUTS,2010,AT22,2,531.0
2004,NUTS,2010,AT22,2,653.0
2006,NUTS,2010,AT22,2,843.0
2007,NUTS,2010,AT22,2,914.0
2009,NUTS,2010,AT22,2,1104.0
2011,NUTS,2010,AT22,2,1316.0
2013,NUTS,2010,AT22,2,1441.0
2015,NUTS,2010,AT22,2,1607.0
2017,NUTS,2010,AT22,2,1814.0
2019,NUTS,2010,AT22,2,2122.0
2002,NUTS,2010,AT3,1,767.0
2004,NUTS,2010,AT3,1,1032.0
2006,NUTS,2010,AT3,1,1182.0
2007,NUTS,2010,AT3,1,1339.0
2009,NUTS,2010,AT3,1,1644.0
2011,NUTS,2010,AT3,1,1800.0
2013,NUTS,2010,AT3,1,2294.0
2015,NUTS,2010,AT3,1,2521.0
2017,NUTS,2010,AT3,1,2897.0
2019,NUTS,2010,AT3,1,3171.0
2002,NUTS,2010,AT31,2,212.0
2004,NUTS,2010,AT31,2,283.0
2006,NUTS,2010,AT31,2,377.0
2007,NUTS,2010,AT31,2,418.0
2009,NUTS,2010,AT31,2,504.0
2011,NUTS,2010,AT31,2,617.0
2013,NUTS,2010,AT31,2,827.0
2015,NUTS,2010,AT31,2,887.0
2017,NUTS,2010,AT31,2,971.0
2019,NUTS,2010,AT31,2,1216.0
2002,NUTS,2010,AT32,2,128.0
2004,NUTS,2010,AT32,2,171.0
2006,NUTS,2010,AT32,2,205.0
2007,NUTS,2010,AT32,2,221.0
2009,NUTS,2010,AT32,2,304.0
2011,NUTS,2010,AT32,2,335.0
2013,NUTS,2010,AT32,2,431.0
2015,NUTS,2010,AT32,2,507.0
2017,NUTS,2010,AT32,2,562.0
2019,NUTS,2010,AT32,2,639.0
2002,NUTS,2010,AT33,2,388.0
