year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_ht
2011,NUTS,2010,AT,0,216.14
2012,NUTS,2010,AT,0,196.21
2011,NUTS,2010,AT1,1,90.09
2012,NUTS,2010,AT1,1,74.83
2011,NUTS,2010,AT11,2,3.17
2012,NUTS,2010,AT11,2,3.0
2011,NUTS,2010,AT112,3,2.0
2012,NUTS,2010,AT112,3,0.5
2011,NUTS,2010,AT113,3,1.17
2012,NUTS,2010,AT113,3,2.5
2011,NUTS,2010,AT12,2,30.93
2012,NUTS,2010,AT12,2,28.73
2011,NUTS,2010,AT121,3,3.83
2012,NUTS,2010,AT121,3,0.5
2011,NUTS,2010,AT122,3,2.0
2012,NUTS,2010,AT122,3,3.75
2011,NUTS,2010,AT123,3,3.67
2012,NUTS,2010,AT123,3,0.25
2011,NUTS,2010,AT124,3,0.53
2012,NUTS,2010,AT124,3,1.33
2011,NUTS,2010,AT125,3,1.33
2012,NUTS,2010,AT125,3,0.25
2011,NUTS,2010,AT126,3,9.71
2012,NUTS,2010,AT126,3,13.57
2011,NUTS,2010,AT127,3,9.86
2012,NUTS,2010,AT127,3,9.08
2011,NUTS,2010,AT13,2,55.99
2012,NUTS,2010,AT13,2,43.11
2011,NUTS,2010,AT130,3,55.99
2012,NUTS,2010,AT130,3,43.11
2011,NUTS,2010,AT2,1,43.48
2012,NUTS,2010,AT2,1,53.98
2011,NUTS,2010,AT21,2,4.71
2012,NUTS,2010,AT21,2,7.45
2011,NUTS,2010,AT211,3,3.23
2012,NUTS,2010,AT211,3,6.2
2011,NUTS,2010,AT212,3,1.0
2012,NUTS,2010,AT212,3,1.0
2011,NUTS,2010,AT213,3,0.47
2012,NUTS,2010,AT213,3,0.25
2011,NUTS,2010,AT22,2,38.78
2012,NUTS,2010,AT22,2,46.53
2011,NUTS,2010,AT221,3,32.12
2012,NUTS,2010,AT221,3,37.96
2011,NUTS,2010,AT222,3,0.72
2011,NUTS,2010,AT223,3,0.5
2012,NUTS,2010,AT223,3,1.03
2011,NUTS,2010,AT224,3,0.6
2012,NUTS,2010,AT224,3,1.6
2011,NUTS,2010,AT225,3,4.83
2012,NUTS,2010,AT225,3,5.94
2011,NUTS,2010,AT3,1,82.06
2012,NUTS,2010,AT3,1,65.32
2011,NUTS,2010,AT31,2,28.8
2012,NUTS,2010,AT31,2,25.64
2011,NUTS,2010,AT311,3,14.96
2012,NUTS,2010,AT311,3,7.14
2011,NUTS,2010,AT312,3,11.85
2012,NUTS,2010,AT312,3,13.82
2011,NUTS,2010,AT313,3,0.33
2012,NUTS,2010,AT313,3,0.7
2011,NUTS,2010,AT314,3,1.42
2012,NUTS,2010,AT314,3,0.25
2011,NUTS,2010,AT315,3,0.25
2012,NUTS,2010,AT315,3,3.73
2011,NUTS,2010,AT32,2,7.7
2012,NUTS,2010,AT32,2,5.25
2011,NUTS,2010,AT321,3,0.25
2011,NUTS,2010,AT323,3,7.45
2012,NUTS,2010,AT323,3,5.25
2011,NUTS,2010,AT33,2,22.8
2012,NUTS,2010,AT33,2,23.32
2011,NUTS,2010,AT332,3,17.23
2012,NUTS,2010,AT332,3,17.82
2011,NUTS,2010,AT333,3,1.0
2012,NUTS,2010,AT333,3,2.0
2011,NUTS,2010,AT334,3,3.4
2011,NUTS,2010,AT335,3,1.17
2012,NUTS,2010,AT335,3,3.5
2011,NUTS,2010,AT34,2,22.76
2012,NUTS,2010,AT34,2,11.12
2011,NUTS,2010,AT341,3,3.67
2012,NUTS,2010,AT341,3,2.83
2011,NUTS,2010,AT342,3,19.09
2012,NUTS,2010,AT342,3,8.28
2011,NUTS,2010,ATX,1,0.5
2012,NUTS,2010,ATX,1,2.08
2011,NUTS,2010,ATXX,2,0.5
2012,NUTS,2010,ATXX,2,2.08
2011,NUTS,2010,ATXXX,3,0.5
2012,NUTS,2010,ATXXX,3,2.08
2011,NUTS,2010,BE,0,318.59
2012,NUTS,2010,BE,0,317.81
2011,NUTS,2010,BE1,1,28.25
2012,NUTS,2010,BE1,1,26.06
2011,NUTS,2010,BE10,2,28.25
2012,NUTS,2010,BE10,2,26.06
2011,NUTS,2010,BE100,3,28.25
2012,NUTS,2010,BE100,3,26.06
2011,NUTS,2010,BE2,1,235.55
2012,NUTS,2010,BE2,1,250.0
2011,NUTS,2010,BE21,2,67.05
2012,NUTS,2010,BE21,2,96.09
2011,NUTS,2010,BE211,3,44.03
2012,NUTS,2010,BE211,3,76.76
2011,NUTS,2010,BE212,3,15.06
2012,NUTS,2010,BE212,3,6.87
2011,NUTS,2010,BE213,3,7.95
2012,NUTS,2010,BE213,3,12.46
2011,NUTS,2010,BE22,2,9.66
2012,NUTS,2010,BE22,2,9.05
2011,NUTS,2010,BE221,3,5.58
2012,NUTS,2010,BE221,3,2.72
2011,NUTS,2010,BE222,3,2.17
2012,NUTS,2010,BE222,3,6.08
2011,NUTS,2010,BE223,3,1.92
2012,NUTS,2010,BE223,3,0.25
2011,NUTS,2010,BE23,2,69.01
2012,NUTS,2010,BE23,2,47.18
