year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_emp_fte_total_f
2011,NUTS,2010,AT,0,0.3677
2013,NUTS,2010,AT,0,0.3789
2015,NUTS,2010,AT,0,0.3972
2017,NUTS,2010,AT,0,0.3894
2019,NUTS,2010,AT,0,0.4191
2011,NUTS,2010,BE,0,0.5169
2012,NUTS,2010,BE,0,0.5137
2013,NUTS,2010,BE,0,0.5223
2014,NUTS,2010,BE,0,0.5295
2015,NUTS,2010,BE,0,0.5926
2016,NUTS,2010,BE,0,0.5633
2017,NUTS,2010,BE,0,0.5634
2018,NUTS,2010,BE,0,0.5509
2019,NUTS,2010,BE,0,0.5521
2011,NUTS,2010,BG,0,0.1787
2012,NUTS,2010,BG,0,0.1514
2013,NUTS,2010,BG,0,0.1644
2014,NUTS,2010,BG,0,0.1799
2015,NUTS,2010,BG,0,0.1697
2016,NUTS,2010,BG,0,0.216
2017,NUTS,2010,BG,0,0.1631
2018,NUTS,2010,BG,0,0.1673
2019,NUTS,2010,BG,0,0.1576
2011,NUTS,2010,CY,0,0.1358
2012,NUTS,2010,CY,0,0.132
2013,NUTS,2010,CY,0,0.1429
2014,NUTS,2010,CY,0,0.1349
2015,NUTS,2010,CY,0,0.1345
2016,NUTS,2010,CY,0,0.134
2017,NUTS,2010,CY,0,0.152
2018,NUTS,2010,CY,0,0.1581
2019,NUTS,2010,CY,0,0.1759
2011,NUTS,2010,CZ,0,0.2763
2012,NUTS,2010,CZ,0,0.3113
2013,NUTS,2010,CZ,0,0.3034
2014,NUTS,2010,CZ,0,0.3083
2015,NUTS,2010,CZ,0,0.313
2016,NUTS,2010,CZ,0,0.2708
2017,NUTS,2010,CZ,0,0.2737
2018,NUTS,2010,CZ,0,0.3216
2019,NUTS,2010,CZ,0,0.3512
2020,NUTS,2010,CZ,0,0.3619
2011,NUTS,2010,DE,0,0.2978
2012,NUTS,2010,DE,0,0.3059
2013,NUTS,2010,DE,0,0.3144
2014,NUTS,2010,DE,0,0.3176
2015,NUTS,2010,DE,0,0.3211
2016,NUTS,2010,DE,0,0.3271
2017,NUTS,2010,DE,0,0.3297
2018,NUTS,2010,DE,0,0.3389
2019,NUTS,2010,DE,0,0.3371
2011,NUTS,2010,DK,0,0.7129
2012,NUTS,2010,DK,0,0.7616
2013,NUTS,2010,DK,0,0.8207
2014,NUTS,2010,DK,0,0.7662
2015,NUTS,2010,DK,0,0.792
2016,NUTS,2010,DK,0,0.8301
2017,NUTS,2010,DK,0,0.8162
2018,NUTS,2010,DK,0,0.8183
