year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_ht_nr
1977,NUTS,2010,AT,0,1.0
1978,NUTS,2010,AT,0,2.33
1979,NUTS,2010,AT,0,6.0
1980,NUTS,2010,AT,0,6.0
1981,NUTS,2010,AT,0,11.5
1982,NUTS,2010,AT,0,14.11
1983,NUTS,2010,AT,0,24.75
1984,NUTS,2010,AT,0,34.05
1985,NUTS,2010,AT,0,36.21
1986,NUTS,2010,AT,0,35.99
1987,NUTS,2010,AT,0,37.5
1988,NUTS,2010,AT,0,41.8
1989,NUTS,2010,AT,0,46.63
1990,NUTS,2010,AT,0,53.06
1991,NUTS,2010,AT,0,55.07
1992,NUTS,2010,AT,0,57.64
1993,NUTS,2010,AT,0,55.26
1994,NUTS,2010,AT,0,76.27
1995,NUTS,2010,AT,0,75.56
1996,NUTS,2010,AT,0,78.23
1997,NUTS,2010,AT,0,88.37
1998,NUTS,2010,AT,0,104.72
1999,NUTS,2010,AT,0,150.95
2000,NUTS,2010,AT,0,149.4
2001,NUTS,2010,AT,0,192.71
2002,NUTS,2010,AT,0,223.46
2003,NUTS,2010,AT,0,240.46
2004,NUTS,2010,AT,0,198.37
2005,NUTS,2010,AT,0,239.56
2006,NUTS,2010,AT,0,304.91
2007,NUTS,2010,AT,0,302.56
2008,NUTS,2010,AT,0,188.23
2009,NUTS,2010,AT,0,216.38
2010,NUTS,2010,AT,0,189.38
2011,NUTS,2010,AT,0,216.14
2012,NUTS,2010,AT,0,196.21
1977,NUTS,2010,AT1,1,1.0
1978,NUTS,2010,AT1,1,2.0
1979,NUTS,2010,AT1,1,5.0
1980,NUTS,2010,AT1,1,4.0
1981,NUTS,2010,AT1,1,6.17
1982,NUTS,2010,AT1,1,8.99
1983,NUTS,2010,AT1,1,9.5
1984,NUTS,2010,AT1,1,25.01
1985,NUTS,2010,AT1,1,22.74
1986,NUTS,2010,AT1,1,21.07
1987,NUTS,2010,AT1,1,28.72
1988,NUTS,2010,AT1,1,20.85
1989,NUTS,2010,AT1,1,28.79
1990,NUTS,2010,AT1,1,38.64
1991,NUTS,2010,AT1,1,41.53
1992,NUTS,2010,AT1,1,34.27
1993,NUTS,2010,AT1,1,29.42
1994,NUTS,2010,AT1,1,55.09
