year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_hes_total
1998,NUTS,2010,AT,0,8582.0
2002,NUTS,2010,AT,0,10389.0
2004,NUTS,2010,AT,0,12578.0
2006,NUTS,2010,AT,0,14348.0
2007,NUTS,2010,AT,0,15793.0
2009,NUTS,2010,AT,0,17731.0
2011,NUTS,2010,AT,0,19407.0
2013,NUTS,2010,AT,0,20758.0
2015,NUTS,2010,AT,0,21962.0
2017,NUTS,2010,AT,0,22707.0
2019,NUTS,2010,AT,0,24999.0
2011,NUTS,2010,AT1,1,10422.0
2013,NUTS,2010,AT1,1,11308.0
2019,NUTS,2010,AT1,1,13239.0
2011,NUTS,2010,AT11,2,49.0
2013,NUTS,2010,AT11,2,75.0
2019,NUTS,2010,AT11,2,97.0
2002,NUTS,2010,AT12,2,62.0
2004,NUTS,2010,AT12,2,84.0
2006,NUTS,2010,AT12,2,164.0
2007,NUTS,2010,AT12,2,194.0
2009,NUTS,2010,AT12,2,240.0
2011,NUTS,2010,AT12,2,263.0
2013,NUTS,2010,AT12,2,523.0
2015,NUTS,2010,AT12,2,640.0
2017,NUTS,2010,AT12,2,885.0
2019,NUTS,2010,AT12,2,1131.0
2002,NUTS,2010,AT13,2,5844.0
2004,NUTS,2010,AT13,2,7167.0
2006,NUTS,2010,AT13,2,7892.0
2007,NUTS,2010,AT13,2,8527.0
2009,NUTS,2010,AT13,2,9506.0
2011,NUTS,2010,AT13,2,10110.0
2013,NUTS,2010,AT13,2,10710.0
2015,NUTS,2010,AT13,2,11064.0
2017,NUTS,2010,AT13,2,11015.0
2019,NUTS,2010,AT13,2,12011.0
2006,NUTS,2010,AT2,1,2857.0
2007,NUTS,2010,AT2,1,3310.0
2009,NUTS,2010,AT2,1,3845.0
2011,NUTS,2010,AT2,1,4282.0
2013,NUTS,2010,AT2,1,4371.0
2017,NUTS,2010,AT2,1,4969.0
2019,NUTS,2010,AT2,1,5531.0
2006,NUTS,2010,AT21,2,341.0
2007,NUTS,2010,AT21,2,376.0
2009,NUTS,2010,AT21,2,391.0
2011,NUTS,2010,AT21,2,436.0
2013,NUTS,2010,AT21,2,419.0
2015,NUTS,2010,AT21,2,399.0
2017,NUTS,2010,AT21,2,458.0
2019,NUTS,2010,AT21,2,580.0
2002,NUTS,2010,AT22,2,1997.0
2004,NUTS,2010,AT22,2,2126.0
2006,NUTS,2010,AT22,2,2516.0
2007,NUTS,2010,AT22,2,2934.0
2009,NUTS,2010,AT22,2,3454.0
2011,NUTS,2010,AT22,2,3846.0
2013,NUTS,2010,AT22,2,3952.0
2015,NUTS,2010,AT22,2,4346.0
2017,NUTS,2010,AT22,2,4511.0
2019,NUTS,2010,AT22,2,4951.0
2002,NUTS,2010,AT3,1,2244.0
2011,NUTS,2010,AT3,1,4703.0
2013,NUTS,2010,AT3,1,5079.0
2019,NUTS,2010,AT3,1,6229.0
2002,NUTS,2010,AT31,2,508.0
2004,NUTS,2010,AT31,2,619.0
