year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_rse_total
1998,NUTS,2010,AT,0,5901.0
2002,NUTS,2010,AT,0,8192.0
2004,NUTS,2010,AT,0,10427.0
2006,NUTS,2010,AT,0,12541.0
2007,NUTS,2010,AT,0,14172.0
2009,NUTS,2010,AT,0,16877.0
2011,NUTS,2010,AT,0,19020.0
2013,NUTS,2010,AT,0,21145.0
2015,NUTS,2010,AT,0,23020.0
2017,NUTS,2010,AT,0,25144.0
2019,NUTS,2010,AT,0,28319.0
2002,NUTS,2010,AT1,1,5033.0
2004,NUTS,2010,AT1,1,6304.0
2006,NUTS,2010,AT1,1,7467.0
2007,NUTS,2010,AT1,1,8359.0
2009,NUTS,2010,AT1,1,9961.0
2011,NUTS,2010,AT1,1,10907.0
2013,NUTS,2010,AT1,1,11906.0
2015,NUTS,2010,AT1,1,12795.0
2017,NUTS,2010,AT1,1,13469.0
2019,NUTS,2010,AT1,1,15238.0
2002,NUTS,2010,AT11,2,56.0
2004,NUTS,2010,AT11,2,73.0
2006,NUTS,2010,AT11,2,75.0
2007,NUTS,2010,AT11,2,76.0
2009,NUTS,2010,AT11,2,83.0
2011,NUTS,2010,AT11,2,104.0
2013,NUTS,2010,AT11,2,121.0
2015,NUTS,2010,AT11,2,137.0
2017,NUTS,2010,AT11,2,149.0
2019,NUTS,2010,AT11,2,161.0
2002,NUTS,2010,AT12,2,276.0
2004,NUTS,2010,AT12,2,348.0
2006,NUTS,2010,AT12,2,519.0
2007,NUTS,2010,AT12,2,538.0
2009,NUTS,2010,AT12,2,715.0
2011,NUTS,2010,AT12,2,951.0
2013,NUTS,2010,AT12,2,1148.0
2015,NUTS,2010,AT12,2,1322.0
2017,NUTS,2010,AT12,2,1496.0
2019,NUTS,2010,AT12,2,1969.0
2002,NUTS,2010,AT13,2,4701.0
2004,NUTS,2010,AT13,2,5883.0
2006,NUTS,2010,AT13,2,6873.0
2007,NUTS,2010,AT13,2,7745.0
2009,NUTS,2010,AT13,2,9163.0
2011,NUTS,2010,AT13,2,9852.0
2013,NUTS,2010,AT13,2,10637.0
2015,NUTS,2010,AT13,2,11336.0
2017,NUTS,2010,AT13,2,11824.0
2019,NUTS,2010,AT13,2,13108.0
2002,NUTS,2010,AT2,1,1425.0
2004,NUTS,2010,AT2,1,1831.0
2006,NUTS,2010,AT2,1,2312.0
2007,NUTS,2010,AT2,1,2711.0
2009,NUTS,2010,AT2,1,3318.0
2011,NUTS,2010,AT2,1,3850.0
2013,NUTS,2010,AT2,1,4073.0
2015,NUTS,2010,AT2,1,4538.0
2017,NUTS,2010,AT2,1,5121.0
2019,NUTS,2010,AT2,1,6011.0
2002,NUTS,2010,AT21,2,217.0
2004,NUTS,2010,AT21,2,344.0
2006,NUTS,2010,AT21,2,394.0
2007,NUTS,2010,AT21,2,479.0
2009,NUTS,2010,AT21,2,532.0
2011,NUTS,2010,AT21,2,544.0
2013,NUTS,2010,AT21,2,540.0
2015,NUTS,2010,AT21,2,569.0
2017,NUTS,2010,AT21,2,822.0
2019,NUTS,2010,AT21,2,1013.0
2002,NUTS,2010,AT22,2,1208.0
2004,NUTS,2010,AT22,2,1487.0
2006,NUTS,2010,AT22,2,1918.0
2007,NUTS,2010,AT22,2,2232.0
2009,NUTS,2010,AT22,2,2786.0
2011,NUTS,2010,AT22,2,3306.0
2013,NUTS,2010,AT22,2,3533.0
2015,NUTS,2010,AT22,2,3969.0
2017,NUTS,2010,AT22,2,4299.0
