year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_eur
2011,NUTS,2010,AT,0,5692.841
2012,NUTS,2010,AT,0,6540.457
2013,NUTS,2010,AT,0,6778.42
2014,NUTS,2010,AT,0,7324.679
2015,NUTS,2010,AT,0,7498.488
2016,NUTS,2010,AT,0,7824.51
2017,NUTS,2010,AT,0,7888.444
2018,NUTS,2010,AT,0,8323.1
2019,NUTS,2010,AT,0,8749.143
2020,NUTS,2010,AT,0,8418.44
2011,NUTS,2010,AT1,1,2175.494
2013,NUTS,2010,AT1,1,2224.838
2015,NUTS,2010,AT1,1,2450.022
2017,NUTS,2010,AT1,1,2460.993
2019,NUTS,2010,AT1,1,2696.859
2011,NUTS,2010,AT11,2,51.106
2013,NUTS,2010,AT11,2,59.509
2015,NUTS,2010,AT11,2,68.606
2017,NUTS,2010,AT11,2,64.783
2019,NUTS,2010,AT11,2,65.34
2011,NUTS,2010,AT12,2,614.14
2013,NUTS,2010,AT12,2,676.822
2015,NUTS,2010,AT12,2,750.878
2017,NUTS,2010,AT12,2,789.379
2019,NUTS,2010,AT12,2,847.767
2011,NUTS,2010,AT13,2,1510.248
2013,NUTS,2010,AT13,2,1488.507
2015,NUTS,2010,AT13,2,1630.538
2017,NUTS,2010,AT13,2,1606.831
2019,NUTS,2010,AT13,2,1783.752
2011,NUTS,2010,AT2,1,1586.804
2013,NUTS,2010,AT2,1,1948.502
2015,NUTS,2010,AT2,1,2226.814
2017,NUTS,2010,AT2,1,2237.744
2019,NUTS,2010,AT2,1,2607.362
2011,NUTS,2010,AT21,2,422.71
2013,NUTS,2010,AT21,2,449.926
2015,NUTS,2010,AT21,2,534.879
2017,NUTS,2010,AT21,2,524.332
2019,NUTS,2010,AT21,2,627.693
2011,NUTS,2010,AT22,2,1164.094
2013,NUTS,2010,AT22,2,1498.576
2015,NUTS,2010,AT22,2,1691.935
2017,NUTS,2010,AT22,2,1713.412
2019,NUTS,2010,AT22,2,1979.669
2011,NUTS,2010,AT3,1,1930.543
2013,NUTS,2010,AT3,1,2605.08
2015,NUTS,2010,AT3,1,2821.652
2017,NUTS,2010,AT3,1,3189.707
2019,NUTS,2010,AT3,1,3444.922
2011,NUTS,2010,AT31,2,1149.648
2013,NUTS,2010,AT31,2,1577.135
2015,NUTS,2010,AT31,2,1680.958
2017,NUTS,2010,AT31,2,1996.239
2019,NUTS,2010,AT31,2,2156.472
2011,NUTS,2010,AT32,2,178.072
2013,NUTS,2010,AT32,2,226.648
2015,NUTS,2010,AT32,2,247.331
2017,NUTS,2010,AT32,2,297.695
2019,NUTS,2010,AT32,2,329.224
2011,NUTS,2010,AT33,2,416.331
2013,NUTS,2010,AT33,2,573.78
2015,NUTS,2010,AT33,2,613.524
2017,NUTS,2010,AT33,2,602.681
2019,NUTS,2010,AT33,2,637.866
2011,NUTS,2010,AT34,2,186.492
2013,NUTS,2010,AT34,2,227.517
2015,NUTS,2010,AT34,2,279.839
2017,NUTS,2010,AT34,2,293.092
2019,NUTS,2010,AT34,2,321.36
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,20.91
2013,NUTS,2010,BA,0,25.704
2014,NUTS,2010,BA,0,6.811
2019,NUTS,2010,BA,0,13.127
2011,NUTS,2010,BE,0,5613.4
2012,NUTS,2010,BE,0,6148.955
2013,NUTS,2010,BE,0,6356.837
2014,NUTS,2010,BE,0,6675.968
2015,NUTS,2010,BE,0,7076.364
2016,NUTS,2010,BE,0,7444.72
2017,NUTS,2010,BE,0,8333.61
2018,NUTS,2010,BE,0,9432.611
2019,NUTS,2010,BE,0,11143.444
2020,NUTS,2010,BE,0,11567.361
2011,NUTS,2010,BE1,1,482.463
2012,NUTS,2010,BE1,1,524.048
2013,NUTS,2010,BE1,1,538.894
2014,NUTS,2010,BE1,1,673.141
2015,NUTS,2010,BE1,1,745.792
2016,NUTS,2010,BE1,1,869.05
2017,NUTS,2010,BE1,1,1007.613
2018,NUTS,2010,BE1,1,1184.282
2019,NUTS,2010,BE1,1,1296.574
2011,NUTS,2010,BE10,2,482.463
2012,NUTS,2010,BE10,2,524.048
2013,NUTS,2010,BE10,2,538.894
2014,NUTS,2010,BE10,2,673.141
2015,NUTS,2010,BE10,2,745.792
2016,NUTS,2010,BE10,2,869.05
2017,NUTS,2010,BE10,2,1007.613
2018,NUTS,2010,BE10,2,1184.282
2019,NUTS,2010,BE10,2,1296.574
2011,NUTS,2010,BE2,1,3423.779
2012,NUTS,2010,BE2,1,3891.733
2013,NUTS,2010,BE2,1,4022.356
2014,NUTS,2010,BE2,1,4234.102
2015,NUTS,2010,BE2,1,4525.257
2016,NUTS,2010,BE2,1,4711.221
2017,NUTS,2010,BE2,1,5234.839
2018,NUTS,2010,BE2,1,5497.259
2019,NUTS,2010,BE2,1,6703.931
2011,NUTS,2010,BE3,1,1707.138
2012,NUTS,2010,BE3,1,1733.198
2013,NUTS,2010,BE3,1,1795.619
2014,NUTS,2010,BE3,1,1768.725
2015,NUTS,2010,BE3,1,1805.316
2016,NUTS,2010,BE3,1,1864.449
2017,NUTS,2010,BE3,1,2091.158
2018,NUTS,2010,BE3,1,2751.07
2019,NUTS,2010,BE3,1,3142.939
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,116.93
2012,NUTS,2010,BG,0,153.546
2013,NUTS,2010,BG,0,162.921
2014,NUTS,2010,BG,0,223.416
2015,NUTS,2010,BG,0,318.993
2016,NUTS,2010,BG,0,275.045
2017,NUTS,2010,BG,0,273.07
2018,NUTS,2010,BG,0,304.777
2019,NUTS,2010,BG,0,344.167
2020,NUTS,2010,BG,0,353.348
2011,NUTS,2010,BG3,1,8.895
2012,NUTS,2010,BG3,1,12.644
2013,NUTS,2010,BG3,1,19.049
2014,NUTS,2010,BG3,1,24.785
2015,NUTS,2010,BG3,1,57.552
2016,NUTS,2010,BG3,1,57.775
2017,NUTS,2010,BG3,1,60.498
