year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_hc_rse_f
2011,NUTS,2010,AT,0,12464.0
2013,NUTS,2010,AT,0,13412.0
2015,NUTS,2010,AT,0,14655.0
2017,NUTS,2010,AT,0,15227.0
2019,NUTS,2010,AT,0,17106.0
2011,NUTS,2010,AT1,1,6883.0
2013,NUTS,2010,AT1,1,7477.0
2019,NUTS,2010,AT1,1,9133.0
2011,NUTS,2010,AT11,2,49.0
2013,NUTS,2010,AT11,2,65.0
2019,NUTS,2010,AT11,2,87.0
2011,NUTS,2010,AT12,2,225.0
2013,NUTS,2010,AT12,2,397.0
2015,NUTS,2010,AT12,2,481.0
2017,NUTS,2010,AT12,2,604.0
2019,NUTS,2010,AT12,2,833.0
2011,NUTS,2010,AT13,2,6609.0
2013,NUTS,2010,AT13,2,7015.0
2015,NUTS,2010,AT13,2,7421.0
2017,NUTS,2010,AT13,2,7373.0
2019,NUTS,2010,AT13,2,8213.0
2011,NUTS,2010,AT2,1,2593.0
2013,NUTS,2010,AT2,1,2631.0
2017,NUTS,2010,AT2,1,3197.0
2019,NUTS,2010,AT2,1,3640.0
2011,NUTS,2010,AT21,2,290.0
2013,NUTS,2010,AT21,2,299.0
2015,NUTS,2010,AT21,2,283.0
2017,NUTS,2010,AT21,2,347.0
2019,NUTS,2010,AT21,2,429.0
2011,NUTS,2010,AT22,2,2303.0
2013,NUTS,2010,AT22,2,2332.0
2015,NUTS,2010,AT22,2,2727.0
2017,NUTS,2010,AT22,2,2850.0
2019,NUTS,2010,AT22,2,3211.0
2011,NUTS,2010,AT3,1,2988.0
2013,NUTS,2010,AT3,1,3304.0
2019,NUTS,2010,AT3,1,4333.0
2011,NUTS,2010,AT31,2,742.0
2013,NUTS,2010,AT31,2,750.0
2015,NUTS,2010,AT31,2,869.0
2017,NUTS,2010,AT31,2,908.0
2019,NUTS,2010,AT31,2,993.0
2011,NUTS,2010,AT32,2,744.0
2013,NUTS,2010,AT32,2,844.0
2015,NUTS,2010,AT32,2,1010.0
2017,NUTS,2010,AT32,2,1138.0
2019,NUTS,2010,AT32,2,1205.0
2011,NUTS,2010,AT33,2,1487.0
2013,NUTS,2010,AT33,2,1685.0
2015,NUTS,2010,AT33,2,1766.0
2017,NUTS,2010,AT33,2,1891.0
2019,NUTS,2010,AT33,2,2087.0
2011,NUTS,2010,AT34,2,15.0
2013,NUTS,2010,AT34,2,25.0
2019,NUTS,2010,AT34,2,48.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,219.0
2013,NUTS,2010,BA,0,360.0
2014,NUTS,2010,BA,0,745.0
2019,NUTS,2010,BA,0,927.0
2011,NUTS,2010,BE,0,12573.0
2012,NUTS,2010,BE,0,12774.0
2013,NUTS,2010,BE,0,13139.0
2014,NUTS,2010,BE,0,14150.0
2015,NUTS,2010,BE,0,13270.0
2016,NUTS,2010,BE,0,13580.0
2017,NUTS,2010,BE,0,13661.0
2018,NUTS,2010,BE,0,14811.0
2019,NUTS,2010,BE,0,14704.0
2012,NUTS,2010,BE1,1,2711.0
2013,NUTS,2010,BE1,1,2819.0
2014,NUTS,2010,BE1,1,3093.0
2015,NUTS,2010,BE1,1,2764.0
2016,NUTS,2010,BE1,1,2753.0
2017,NUTS,2010,BE1,1,2650.0
2018,NUTS,2010,BE1,1,3054.0
2019,NUTS,2010,BE1,1,2812.0
2012,NUTS,2010,BE10,2,2711.0
2013,NUTS,2010,BE10,2,2819.0
2014,NUTS,2010,BE10,2,3093.0
2015,NUTS,2010,BE10,2,2764.0
2016,NUTS,2010,BE10,2,2753.0
2017,NUTS,2010,BE10,2,2650.0
2018,NUTS,2010,BE10,2,3054.0
2019,NUTS,2010,BE10,2,2812.0
2012,NUTS,2010,BE2,1,6994.0
2013,NUTS,2010,BE2,1,7282.0
2014,NUTS,2010,BE2,1,7805.0
2015,NUTS,2010,BE2,1,7986.0
