year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_fte_rse_f
2011,NUTS,2010,AT,0,8463.0
2013,NUTS,2010,AT,0,9286.0
2015,NUTS,2010,AT,0,10114.0
2017,NUTS,2010,AT,0,11243.0
2019,NUTS,2010,AT,0,12584.0
2011,NUTS,2010,AT1,1,5060.0
2013,NUTS,2010,AT1,1,5275.0
2015,NUTS,2010,AT1,1,5673.0
2017,NUTS,2010,AT1,1,6005.0
2019,NUTS,2010,AT1,1,6698.0
2011,NUTS,2010,AT11,2,47.0
2013,NUTS,2010,AT11,2,46.0
2015,NUTS,2010,AT11,2,51.0
2017,NUTS,2010,AT11,2,68.0
2019,NUTS,2010,AT11,2,60.0
2011,NUTS,2010,AT12,2,595.0
2013,NUTS,2010,AT12,2,658.0
2015,NUTS,2010,AT12,2,739.0
2017,NUTS,2010,AT12,2,854.0
2019,NUTS,2010,AT12,2,1191.0
2011,NUTS,2010,AT13,2,4417.0
2013,NUTS,2010,AT13,2,4571.0
2015,NUTS,2010,AT13,2,4882.0
2017,NUTS,2010,AT13,2,5083.0
2019,NUTS,2010,AT13,2,5448.0
2011,NUTS,2010,AT2,1,1604.0
2013,NUTS,2010,AT2,1,1718.0
2015,NUTS,2010,AT2,1,1921.0
2017,NUTS,2010,AT2,1,2340.0
2019,NUTS,2010,AT2,1,2715.0
2011,NUTS,2010,AT21,2,288.0
2013,NUTS,2010,AT21,2,277.0
2015,NUTS,2010,AT21,2,314.0
2017,NUTS,2010,AT21,2,527.0
2019,NUTS,2010,AT21,2,594.0
2011,NUTS,2010,AT22,2,1316.0
2013,NUTS,2010,AT22,2,1441.0
2015,NUTS,2010,AT22,2,1607.0
2017,NUTS,2010,AT22,2,1814.0
2019,NUTS,2010,AT22,2,2122.0
2011,NUTS,2010,AT3,1,1800.0
2013,NUTS,2010,AT3,1,2294.0
2015,NUTS,2010,AT3,1,2521.0
2017,NUTS,2010,AT3,1,2897.0
2019,NUTS,2010,AT3,1,3171.0
2011,NUTS,2010,AT31,2,617.0
2013,NUTS,2010,AT31,2,827.0
2015,NUTS,2010,AT31,2,887.0
2017,NUTS,2010,AT31,2,971.0
2019,NUTS,2010,AT31,2,1216.0
2011,NUTS,2010,AT32,2,335.0
2013,NUTS,2010,AT32,2,431.0
2015,NUTS,2010,AT32,2,507.0
2017,NUTS,2010,AT32,2,562.0
2019,NUTS,2010,AT32,2,639.0
2011,NUTS,2010,AT33,2,776.0
2013,NUTS,2010,AT33,2,920.0
2015,NUTS,2010,AT33,2,1006.0
2017,NUTS,2010,AT33,2,1209.0
2019,NUTS,2010,AT33,2,1147.0
2011,NUTS,2010,AT34,2,72.0
2013,NUTS,2010,AT34,2,116.0
2015,NUTS,2010,AT34,2,120.0
2017,NUTS,2010,AT34,2,156.0
2019,NUTS,2010,AT34,2,168.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,196.0
2013,NUTS,2010,BA,0,302.0
2014,NUTS,2010,BA,0,507.0
2019,NUTS,2010,BA,0,779.0
2011,NUTS,2010,BE,0,13545.0
2011,NUTS,2010,BE1,1,831.0
2011,NUTS,2010,BE10,2,831.0
2011,NUTS,2010,BE2,1,3565.0
2011,NUTS,2010,BE21,2,1493.0
2011,NUTS,2010,BE22,2,101.0
2011,NUTS,2010,BE23,2,736.0
2011,NUTS,2010,BE24,2,1086.0
2011,NUTS,2010,BE25,2,149.0
2011,NUTS,2010,BE3,1,1303.0
2011,NUTS,2010,BE31,2,697.0
2011,NUTS,2010,BE32,2,346.0
2011,NUTS,2010,BE33,2,134.0
2011,NUTS,2010,BE34,2,28.0
2011,NUTS,2010,BE35,2,97.0
2011,NUTS,2010,BG,0,5940.0
2012,NUTS,2010,BG,0,5606.0
2013,NUTS,2010,BG,0,6196.0
2014,NUTS,2010,BG,0,6571.0
2015,NUTS,2010,BG,0,6818.0
2016,NUTS,2010,BG,0,7780.0
