year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_fte_rse_hes
1998,NUTS,2010,AT,0,1344.0
2002,NUTS,2010,AT,0,1887.0
2004,NUTS,2010,AT,0,2454.0
2006,NUTS,2010,AT,0,2878.0
2007,NUTS,2010,AT,0,3300.0
2009,NUTS,2010,AT,0,3831.0
2011,NUTS,2010,AT,0,4189.0
2013,NUTS,2010,AT,0,4466.0
2015,NUTS,2010,AT,0,4905.0
2017,NUTS,2010,AT,0,4924.0
2019,NUTS,2010,AT,0,5549.0
2011,NUTS,2010,AT1,1,2464.0
2013,NUTS,2010,AT1,1,2616.0
2019,NUTS,2010,AT1,1,3165.0
2011,NUTS,2010,AT11,2,12.0
2013,NUTS,2010,AT11,2,14.0
2019,NUTS,2010,AT11,2,24.0
2002,NUTS,2010,AT12,2,9.0
2004,NUTS,2010,AT12,2,22.0
2006,NUTS,2010,AT12,2,36.0
2007,NUTS,2010,AT12,2,45.0
2009,NUTS,2010,AT12,2,63.0
2011,NUTS,2010,AT12,2,98.0
2013,NUTS,2010,AT12,2,186.0
2015,NUTS,2010,AT12,2,223.0
2017,NUTS,2010,AT12,2,300.0
2019,NUTS,2010,AT12,2,440.0
2002,NUTS,2010,AT13,2,1125.0
2004,NUTS,2010,AT13,2,1449.0
2006,NUTS,2010,AT13,2,1631.0
2007,NUTS,2010,AT13,2,1922.0
2009,NUTS,2010,AT13,2,2177.0
2011,NUTS,2010,AT13,2,2355.0
2013,NUTS,2010,AT13,2,2416.0
2015,NUTS,2010,AT13,2,2589.0
2017,NUTS,2010,AT13,2,2455.0
2019,NUTS,2010,AT13,2,2701.0
2006,NUTS,2010,AT2,1,550.0
2007,NUTS,2010,AT2,1,591.0
2009,NUTS,2010,AT2,1,687.0
2011,NUTS,2010,AT2,1,771.0
2013,NUTS,2010,AT2,1,799.0
2017,NUTS,2010,AT2,1,964.0
2019,NUTS,2010,AT2,1,1064.0
2006,NUTS,2010,AT21,2,64.0
2007,NUTS,2010,AT21,2,77.0
2009,NUTS,2010,AT21,2,84.0
2011,NUTS,2010,AT21,2,101.0
2013,NUTS,2010,AT21,2,108.0
2015,NUTS,2010,AT21,2,99.0
2017,NUTS,2010,AT21,2,121.0
2019,NUTS,2010,AT21,2,123.0
2002,NUTS,2010,AT22,2,326.0
2004,NUTS,2010,AT22,2,374.0
2006,NUTS,2010,AT22,2,486.0
2007,NUTS,2010,AT22,2,515.0
2009,NUTS,2010,AT22,2,603.0
2011,NUTS,2010,AT22,2,670.0
2013,NUTS,2010,AT22,2,692.0
2015,NUTS,2010,AT22,2,823.0
2017,NUTS,2010,AT22,2,843.0
2019,NUTS,2010,AT22,2,941.0
2002,NUTS,2010,AT3,1,384.0
2004,NUTS,2010,AT3,1,551.0
2011,NUTS,2010,AT3,1,954.0
2013,NUTS,2010,AT3,1,1050.0
2019,NUTS,2010,AT3,1,1320.0
2002,NUTS,2010,AT31,2,76.0
2004,NUTS,2010,AT31,2,121.0
2006,NUTS,2010,AT31,2,159.0
2007,NUTS,2010,AT31,2,175.0
2009,NUTS,2010,AT31,2,204.0
2011,NUTS,2010,AT31,2,245.0
2013,NUTS,2010,AT31,2,266.0
2015,NUTS,2010,AT31,2,271.0
2017,NUTS,2010,AT31,2,278.0
2019,NUTS,2010,AT31,2,308.0
2006,NUTS,2010,AT32,2,146.0
2007,NUTS,2010,AT32,2,160.0
2009,NUTS,2010,AT32,2,205.0
2011,NUTS,2010,AT32,2,215.0
2013,NUTS,2010,AT32,2,248.0
2015,NUTS,2010,AT32,2,309.0
2017,NUTS,2010,AT32,2,318.0
2019,NUTS,2010,AT32,2,358.0
2002,NUTS,2010,AT33,2,226.0
2004,NUTS,2010,AT33,2,300.0
2006,NUTS,2010,AT33,2,347.0
2007,NUTS,2010,AT33,2,395.0
2009,NUTS,2010,AT33,2,476.0
2011,NUTS,2010,AT33,2,486.0
2013,NUTS,2010,AT33,2,522.0
2015,NUTS,2010,AT33,2,563.0
2017,NUTS,2010,AT33,2,564.0
2019,NUTS,2010,AT33,2,629.0
2011,NUTS,2010,AT34,2,9.0
2013,NUTS,2010,AT34,2,14.0
2019,NUTS,2010,AT34,2,25.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,141.0
2013,NUTS,2010,BA,0,229.0
2014,NUTS,2010,BA,0,454.0
2019,NUTS,2010,BA,0,661.0
2000,NUTS,2010,BE,0,4234.0
2001,NUTS,2010,BE,0,4482.0
2002,NUTS,2010,BE,0,4603.0
2003,NUTS,2010,BE,0,4827.0
2004,NUTS,2010,BE,0,5329.0
2005,NUTS,2010,BE,0,5569.0
2006,NUTS,2010,BE,0,6049.0
2007,NUTS,2010,BE,0,6434.0
2008,NUTS,2010,BE,0,7016.0
2009,NUTS,2010,BE,0,7277.0
2010,NUTS,2010,BE,0,7615.0
2011,NUTS,2010,BE,0,7845.0
2012,NUTS,2010,BE,0,7897.0
2013,NUTS,2010,BE,0,8108.0
2014,NUTS,2010,BE,0,8320.0
2015,NUTS,2010,BE,0,8876.0
2016,NUTS,2010,BE,0,8536.0
2017,NUTS,2010,BE,0,8646.0
2018,NUTS,2010,BE,0,8786.0
2019,NUTS,2010,BE,0,8899.0
2012,NUTS,2010,BE1,1,1387.0
2013,NUTS,2010,BE1,1,1428.0
2014,NUTS,2010,BE1,1,1583.0
2015,NUTS,2010,BE1,1,1803.0
2016,NUTS,2010,BE1,1,1721.0
2017,NUTS,2010,BE1,1,1757.0
2018,NUTS,2010,BE1,1,1632.0
2019,NUTS,2010,BE1,1,1595.0
2012,NUTS,2010,BE10,2,1387.0
2013,NUTS,2010,BE10,2,1428.0
2014,NUTS,2010,BE10,2,1583.0
2015,NUTS,2010,BE10,2,1803.0
2016,NUTS,2010,BE10,2,1721.0
2017,NUTS,2010,BE10,2,1757.0
2018,NUTS,2010,BE10,2,1632.0
2019,NUTS,2010,BE10,2,1595.0
2012,NUTS,2010,BE2,1,4723.0
2013,NUTS,2010,BE2,1,4920.0
2014,NUTS,2010,BE2,1,4991.0
2015,NUTS,2010,BE2,1,5088.0
2016,NUTS,2010,BE2,1,5003.0
2017,NUTS,2010,BE2,1,5095.0
2018,NUTS,2010,BE2,1,5374.0
2019,NUTS,2010,BE2,1,5549.0
2012,NUTS,2010,BE3,1,1787.0
2013,NUTS,2010,BE3,1,1759.0
2014,NUTS,2010,BE3,1,1747.0
2015,NUTS,2010,BE3,1,1985.0
2016,NUTS,2010,BE3,1,1813.0
2017,NUTS,2010,BE3,1,1794.0
2018,NUTS,2010,BE3,1,1781.0
2019,NUTS,2010,BE3,1,1755.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,3955.0
1994,NUTS,2010,BG,0,1182.0
1995,NUTS,2010,BG,0,1689.0
1996,NUTS,2010,BG,0,1717.0
1997,NUTS,2010,BG,0,897.0
1998,NUTS,2010,BG,0,765.0
1999,NUTS,2010,BG,0,651.0
2000,NUTS,2010,BG,0,643.0
2001,NUTS,2010,BG,0,661.0
2002,NUTS,2010,BG,0,776.0
2003,NUTS,2010,BG,0,806.0
2004,NUTS,2010,BG,0,885.0
2005,NUTS,2010,BG,0,959.0
2006,NUTS,2010,BG,0,1001.0
2007,NUTS,2010,BG,0,1478.0
2008,NUTS,2010,BG,0,1562.0
2009,NUTS,2010,BG,0,1856.0
2010,NUTS,2010,BG,0,1630.0
2011,NUTS,2010,BG,0,2014.0
2012,NUTS,2010,BG,0,1686.0
2013,NUTS,2010,BG,0,1937.0
2014,NUTS,2010,BG,0,2147.0
2015,NUTS,2010,BG,0,1976.0
2016,NUTS,2010,BG,0,2646.0
2017,NUTS,2010,BG,0,1976.0
2018,NUTS,2010,BG,0,2019.0
2019,NUTS,2010,BG,0,1938.0
2002,NUTS,2010,BG3,1,358.0
2003,NUTS,2010,BG3,1,417.0
2004,NUTS,2010,BG3,1,467.0
2005,NUTS,2010,BG3,1,503.0
2006,NUTS,2010,BG3,1,542.0
2007,NUTS,2010,BG3,1,618.0
2008,NUTS,2010,BG3,1,653.0
2009,NUTS,2010,BG3,1,803.0
2010,NUTS,2010,BG3,1,650.0
2013,NUTS,2010,BG3,1,827.0
2014,NUTS,2010,BG3,1,1070.0
2019,NUTS,2010,BG3,1,915.0
2002,NUTS,2010,BG32,2,115.0
2003,NUTS,2010,BG32,2,58.0
2004,NUTS,2010,BG32,2,98.0
2005,NUTS,2010,BG32,2,151.0
2008,NUTS,2010,BG32,2,203.0
2009,NUTS,2010,BG32,2,183.0
2010,NUTS,2010,BG32,2,173.0
2011,NUTS,2010,BG32,2,214.0
2012,NUTS,2010,BG32,2,209.0
2013,NUTS,2010,BG32,2,229.0
2014,NUTS,2010,BG32,2,380.0
2015,NUTS,2010,BG32,2,307.0
2019,NUTS,2010,BG32,2,210.0
2006,NUTS,2010,BG33,2,194.0
2007,NUTS,2010,BG33,2,153.0
2008,NUTS,2010,BG33,2,163.0
2009,NUTS,2010,BG33,2,322.0
2011,NUTS,2010,BG33,2,331.0
