year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps_kp05
2011,NUTS,2010,AT,0,1769.003
2012,NUTS,2010,AT,0,1867.705
2013,NUTS,2010,AT,0,1875.017
2014,NUTS,2010,AT,0,1919.089
2015,NUTS,2010,AT,0,1902.051
2016,NUTS,2010,AT,0,1873.724
2017,NUTS,2010,AT,0,1897.613
2018,NUTS,2010,AT,0,1966.74
2019,NUTS,2010,AT,0,1963.314
2020,NUTS,2010,AT,0,1960.303
2011,NUTS,2010,AT1,1,949.984
2013,NUTS,2010,AT1,1,1034.829
2019,NUTS,2010,AT1,1,1055.817
2011,NUTS,2010,AT11,2,2.535
2013,NUTS,2010,AT11,2,3.872
2019,NUTS,2010,AT11,2,7.829
2011,NUTS,2010,AT12,2,31.115
2013,NUTS,2010,AT12,2,59.112
2015,NUTS,2010,AT12,2,66.118
2017,NUTS,2010,AT12,2,96.323
2019,NUTS,2010,AT12,2,99.376
2011,NUTS,2010,AT13,2,916.334
2013,NUTS,2010,AT13,2,971.845
2015,NUTS,2010,AT13,2,978.323
2017,NUTS,2010,AT13,2,926.35
2019,NUTS,2010,AT13,2,948.613
2011,NUTS,2010,AT2,1,388.418
2013,NUTS,2010,AT2,1,394.949
2017,NUTS,2010,AT2,1,410.06
2019,NUTS,2010,AT2,1,414.797
2011,NUTS,2010,AT21,2,37.976
2013,NUTS,2010,AT21,2,36.345
2015,NUTS,2010,AT21,2,29.748
2017,NUTS,2010,AT21,2,33.149
2019,NUTS,2010,AT21,2,33.486
2011,NUTS,2010,AT22,2,350.443
2013,NUTS,2010,AT22,2,358.603
2015,NUTS,2010,AT22,2,375.244
2017,NUTS,2010,AT22,2,376.91
2019,NUTS,2010,AT22,2,381.311
2011,NUTS,2010,AT3,1,430.601
2013,NUTS,2010,AT3,1,445.239
2019,NUTS,2010,AT3,1,492.7
2011,NUTS,2010,AT31,2,107.037
2013,NUTS,2010,AT31,2,114.411
2015,NUTS,2010,AT31,2,110.378
2017,NUTS,2010,AT31,2,116.88
2019,NUTS,2010,AT31,2,128.721
2011,NUTS,2010,AT32,2,77.139
2013,NUTS,2010,AT32,2,79.846
2015,NUTS,2010,AT32,2,82.413
2017,NUTS,2010,AT32,2,87.029
2019,NUTS,2010,AT32,2,105.56
2011,NUTS,2010,AT33,2,241.062
2013,NUTS,2010,AT33,2,244.327
2015,NUTS,2010,AT33,2,249.125
2017,NUTS,2010,AT33,2,247.345
2019,NUTS,2010,AT33,2,250.678
2011,NUTS,2010,AT34,2,5.362
2013,NUTS,2010,AT34,2,6.655
2019,NUTS,2010,AT34,2,7.742
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,16.337
2013,NUTS,2010,BA,0,26.992
2014,NUTS,2010,BA,0,38.194
2019,NUTS,2010,BA,0,31.056
2011,NUTS,2010,BE,0,1512.993
2012,NUTS,2010,BE,0,1526.528
2013,NUTS,2010,BE,0,1597.922
