year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_f_pc_emp_fte
2011,NUTS,2010,AT,0,0.0626
2013,NUTS,2010,AT,0,0.062
2015,NUTS,2010,AT,0,0.0646
2017,NUTS,2010,AT,0,0.108
2019,NUTS,2010,AT,0,0.1118
2011,NUTS,2010,BE,0,0.0794
2012,NUTS,2010,BE,0,0.1094
2013,NUTS,2010,BE,0,0.11
2014,NUTS,2010,BE,0,0.1164
2015,NUTS,2010,BE,0,0.1195
2016,NUTS,2010,BE,0,0.1211
2017,NUTS,2010,BE,0,0.1282
2018,NUTS,2010,BE,0,0.1357
2019,NUTS,2010,BE,0,0.1365
2011,NUTS,2010,BG,0,0.3972
2012,NUTS,2010,BG,0,0.399
2013,NUTS,2010,BG,0,0.3881
2014,NUTS,2010,BG,0,0.3764
2015,NUTS,2010,BG,0,0.3442
2016,NUTS,2010,BG,0,0.3406
2017,NUTS,2010,BG,0,0.3218
2018,NUTS,2010,BG,0,0.3246
2019,NUTS,2010,BG,0,0.3215
2011,NUTS,2010,CY,0,0.0615
2012,NUTS,2010,CY,0,0.062
2013,NUTS,2010,CY,0,0.0631
2014,NUTS,2010,CY,0,0.0626
2015,NUTS,2010,CY,0,0.0633
2016,NUTS,2010,CY,0,0.0687
2017,NUTS,2010,CY,0,0.0723
2018,NUTS,2010,CY,0,0.0653
2019,NUTS,2010,CY,0,0.0664
2011,NUTS,2010,CZ,0,0.2658
2012,NUTS,2010,CZ,0,0.2689
2013,NUTS,2010,CZ,0,0.2751
2014,NUTS,2010,CZ,0,0.2731
2015,NUTS,2010,CZ,0,0.2872
2016,NUTS,2010,CZ,0,0.2801
2017,NUTS,2010,CZ,0,0.2905
2018,NUTS,2010,CZ,0,0.2988
2019,NUTS,2010,CZ,0,0.307
2020,NUTS,2010,CZ,0,0.3048
2011,NUTS,2010,DE,0,0.2089
2012,NUTS,2010,DE,0,0.2141
2013,NUTS,2010,DE,0,0.2185
2014,NUTS,2010,DE,0,0.2253
2015,NUTS,2010,DE,0,0.2256
2016,NUTS,2010,DE,0,0.2252
2017,NUTS,2010,DE,0,0.2311
2018,NUTS,2010,DE,0,0.2391
2019,NUTS,2010,DE,0,0.2434
2011,NUTS,2010,DK,0,0.0478
2012,NUTS,2010,DK,0,0.0602
2013,NUTS,2010,DK,0,0.0629
2014,NUTS,2010,DK,0,0.0703
2015,NUTS,2010,DK,0,0.0754
2016,NUTS,2010,DK,0,0.0718
2017,NUTS,2010,DK,0,0.09
2018,NUTS,2010,DK,0,0.0959
2019,NUTS,2010,DK,0,0.0901
2011,NUTS,2010,EE,0,0.1721
2012,NUTS,2010,EE,0,0.1691
2013,NUTS,2010,EE,0,0.1822
2014,NUTS,2010,EE,0,0.171
2015,NUTS,2010,EE,0,0.1693
2016,NUTS,2010,EE,0,0.1645
2017,NUTS,2010,EE,0,0.1724
2018,NUTS,2010,EE,0,0.1464
2019,NUTS,2010,EE,0,0.1511
2011,NUTS,2010,EL,0,0.2529
2013,NUTS,2010,EL,0,0.3424
2015,NUTS,2010,EL,0,0.4057
2017,NUTS,2010,EL,0,0.3361
2019,NUTS,2010,EL,0,0.3848
2011,NUTS,2010,ES,0,0.2744
2012,NUTS,2010,ES,0,0.2687
2013,NUTS,2010,ES,0,0.2604
2014,NUTS,2010,ES,0,0.2518
2015,NUTS,2010,ES,0,0.2521
2016,NUTS,2010,ES,0,0.2475
2017,NUTS,2010,ES,0,0.2466
2018,NUTS,2010,ES,0,0.2432
2019,NUTS,2010,ES,0,0.2463
2011,NUTS,2010,FR,0,0.1656
2012,NUTS,2010,FR,0,0.1662
2013,NUTS,2010,FR,0,0.1674
2014,NUTS,2010,FR,0,0.1665
2016,NUTS,2010,FR,0,0.1652
2017,NUTS,2010,FR,0,0.1644
2011,NUTS,2010,HR,0,0.2835
2012,NUTS,2010,HR,0,0.2826
2013,NUTS,2010,HR,0,0.2817
2014,NUTS,2010,HR,0,0.2655
2015,NUTS,2010,HR,0,0.2547
2016,NUTS,2010,HR,0,0.2425
2017,NUTS,2010,HR,0,0.2419
2018,NUTS,2010,HR,0,0.2445
2019,NUTS,2010,HR,0,0.2464
2020,NUTS,2010,HR,0,0.2878
2011,NUTS,2010,HU,0,0.22
2012,NUTS,2010,HU,0,0.1976
2013,NUTS,2010,HU,0,0.1797
2014,NUTS,2010,HU,0,0.1696
2015,NUTS,2010,HU,0,0.1883
2016,NUTS,2010,HU,0,0.1641
2017,NUTS,2010,HU,0,0.1642
2018,NUTS,2010,HU,0,0.175
2019,NUTS,2010,HU,0,0.2177
2011,NUTS,2010,IE,0,0.0443
2012,NUTS,2010,IE,0,0.0406
2013,NUTS,2010,IE,0,0.0334
2014,NUTS,2010,IE,0,0.034
2015,NUTS,2010,IE,0,0.0401
2017,NUTS,2010,IE,0,0.0431
2019,NUTS,2010,IE,0,0.0476
2011,NUTS,2010,IS,0,0.3442
2011,NUTS,2010,IT,0,0.1869
2012,NUTS,2010,IT,0,0.1957
2013,NUTS,2010,IT,0,0.2054
2014,NUTS,2010,IT,0,0.2002
2015,NUTS,2010,IT,0,0.2063
2016,NUTS,2010,IT,0,0.2017
2017,NUTS,2010,IT,0,0.1993
2018,NUTS,2010,IT,0,0.2021
2019,NUTS,2010,IT,0,0.2055
2011,NUTS,2010,LT,0,0.1962
2012,NUTS,2010,LT,0,0.1855
2013,NUTS,2010,LT,0,0.1831
2014,NUTS,2010,LT,0,0.189
2015,NUTS,2010,LT,0,0.1712
2016,NUTS,2010,LT,0,0.1901
2017,NUTS,2010,LT,0,0.1861
2018,NUTS,2010,LT,0,0.1936
2019,NUTS,2010,LT,0,0.1781
2011,NUTS,2010,LU,0,0.5094
2012,NUTS,2010,LU,0,0.4945
2013,NUTS,2010,LU,0,0.5207
2014,NUTS,2010,LU,0,0.5024
2015,NUTS,2010,LU,0,0.4602
2017,NUTS,2010,LU,0,0.4061
2019,NUTS,2010,LU,0,0.4136
2011,NUTS,2010,LV,0,0.16
2012,NUTS,2010,LV,0,0.1566
2013,NUTS,2010,LV,0,0.1519
2014,NUTS,2010,LV,0,0.1534
2015,NUTS,2010,LV,0,0.1583
2016,NUTS,2010,LV,0,0.1479
2017,NUTS,2010,LV,0,0.1298
2018,NUTS,2010,LV,0,0.1352
2019,NUTS,2010,LV,0,0.1342
2011,NUTS,2010,ME,0,0.1145
2013,NUTS,2010,ME,0,0.0919
2014,NUTS,2010,ME,0,0.1178
2015,NUTS,2010,ME,0,0.0848
2017,NUTS,2010,ME,0,0.1024
