year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mhab
2011,NUTS,2010,AT,0,5.766
2012,NUTS,2010,AT,0,5.673
2011,NUTS,2010,AT1,1,1.668
2012,NUTS,2010,AT1,1,1.175
2011,NUTS,2010,AT11,2,7.028
2012,NUTS,2010,AT11,2,6.124
2011,NUTS,2010,AT112,3,10.032
2011,NUTS,2010,AT113,3,5.125
2012,NUTS,2010,AT113,3,17.908
2011,NUTS,2010,AT12,2,1.864
2012,NUTS,2010,AT12,2,0.465
2011,NUTS,2010,AT121,3,10.374
2011,NUTS,2010,AT122,3,1.979
2012,NUTS,2010,AT122,3,0.988
2012,NUTS,2010,AT127,3,1.558
2011,NUTS,2010,AT13,2,0.587
2012,NUTS,2010,AT13,2,1.019
2011,NUTS,2010,AT130,3,0.587
2012,NUTS,2010,AT130,3,1.019
2011,NUTS,2010,AT2,1,8.977
2012,NUTS,2010,AT2,1,15.793
2011,NUTS,2010,AT21,2,5.694
2012,NUTS,2010,AT21,2,2.698
2011,NUTS,2010,AT211,3,6.956
2012,NUTS,2010,AT211,3,5.417
2011,NUTS,2010,AT212,3,7.834
2011,NUTS,2010,AT213,3,1.633
2011,NUTS,2010,AT22,2,10.5
2012,NUTS,2010,AT22,2,21.817
2011,NUTS,2010,AT221,3,19.116
2012,NUTS,2010,AT221,3,46.119
2011,NUTS,2010,AT222,3,6.28
2011,NUTS,2010,AT223,3,3.021
2012,NUTS,2010,AT223,3,6.263
2012,NUTS,2010,AT224,3,2.625
2011,NUTS,2010,AT225,3,21.035
2012,NUTS,2010,AT225,3,31.26
2011,NUTS,2010,AT3,1,8.776
2012,NUTS,2010,AT3,1,5.066
2011,NUTS,2010,AT31,2,11.317
2012,NUTS,2010,AT31,2,5.114
2011,NUTS,2010,AT311,3,44.974
2012,NUTS,2010,AT311,3,22.294
2011,NUTS,2010,AT312,3,3.495
2012,NUTS,2010,AT312,3,1.503
2011,NUTS,2010,AT314,3,9.305
2012,NUTS,2010,AT314,3,1.641
2011,NUTS,2010,AT315,3,1.09
2012,NUTS,2010,AT32,2,2.511
2012,NUTS,2010,AT323,3,3.842
2011,NUTS,2010,AT33,2,0.707
2012,NUTS,2010,AT33,2,2.558
2011,NUTS,2010,AT332,3,1.757
2012,NUTS,2010,AT332,3,5.752
2012,NUTS,2010,AT335,3,0.702
2011,NUTS,2010,AT34,2,27.078
2012,NUTS,2010,AT34,2,13.345
2011,NUTS,2010,AT341,3,32.205
2012,NUTS,2010,AT341,3,15.137
2011,NUTS,2010,AT342,3,25.477
2012,NUTS,2010,AT342,3,12.789
2011,NUTS,2010,BE,0,6.338
2012,NUTS,2010,BE,0,5.852
2011,NUTS,2010,BE1,1,6.536
2012,NUTS,2010,BE1,1,4.209
2011,NUTS,2010,BE10,2,6.536
2012,NUTS,2010,BE10,2,4.209
2011,NUTS,2010,BE100,3,6.536
2012,NUTS,2010,BE100,3,4.209
2011,NUTS,2010,BE2,1,8.084
2012,NUTS,2010,BE2,1,8.406
2011,NUTS,2010,BE21,2,1.083
2012,NUTS,2010,BE21,2,3.026
2011,NUTS,2010,BE211,3,0.249
2012,NUTS,2010,BE211,3,3.609
2011,NUTS,2010,BE212,3,1.525
2011,NUTS,2010,BE213,3,2.657
2012,NUTS,2010,BE213,3,3.942
2011,NUTS,2010,BE22,2,0.779
2012,NUTS,2010,BE22,2,1.854
2011,NUTS,2010,BE221,3,1.598
2012,NUTS,2010,BE221,3,3.006
2012,NUTS,2010,BE222,3,1.399
2011,NUTS,2010,BE23,2,2.988
2011,NUTS,2010,BE232,3,5.146
2011,NUTS,2010,BE233,3,2.055
2011,NUTS,2010,BE234,3,2.489
2011,NUTS,2010,BE235,3,8.285
2011,NUTS,2010,BE236,3,3.461
2011,NUTS,2010,BE24,2,37.412
2012,NUTS,2010,BE24,2,41.533
2011,NUTS,2010,BE241,3,0.75
2012,NUTS,2010,BE241,3,2.758
2011,NUTS,2010,BE242,3,82.483
2012,NUTS,2010,BE242,3,89.272
2011,NUTS,2010,BE25,2,2.997
2012,NUTS,2010,BE25,2,0.852
2011,NUTS,2010,BE251,3,1.799
2011,NUTS,2010,BE253,3,3.1
2011,NUTS,2010,BE255,3,10.946
2012,NUTS,2010,BE255,3,6.509
2011,NUTS,2010,BE257,3,10.995
2011,NUTS,2010,BE3,1,3.149
2012,NUTS,2010,BE3,1,1.819
2011,NUTS,2010,BE31,2,6.308
2012,NUTS,2010,BE31,2,7.497
2011,NUTS,2010,BE310,3,6.308
2012,NUTS,2010,BE310,3,7.497
2011,NUTS,2010,BE32,2,2.97
2012,NUTS,2010,BE32,2,0.641
2011,NUTS,2010,BE322,3,4.484
2011,NUTS,2010,BE323,3,1.3
2012,NUTS,2010,BE323,3,0.549
2012,NUTS,2010,BE325,3,0.917
2011,NUTS,2010,BE326,3,8.85
2011,NUTS,2010,BE327,3,2.269
2012,NUTS,2010,BE327,3,3.696
2011,NUTS,2010,BE33,2,2.135
2012,NUTS,2010,BE33,2,0.816
2011,NUTS,2010,BE331,3,1.282
2012,NUTS,2010,BE331,3,2.271
2011,NUTS,2010,BE332,3,1.094
2012,NUTS,2010,BE332,3,0.811
2011,NUTS,2010,BE334,3,13.041
2012,NUTS,2010,BE334,3,1.808
2011,NUTS,2010,BE336,3,6.557
2011,NUTS,2010,BE34,2,7.321
2011,NUTS,2010,BE341,3,17.066
2011,NUTS,2010,BE344,3,16.54
2011,NUTS,2010,BE35,2,1.043
2012,NUTS,2010,BE35,2,3.786
2011,NUTS,2010,BE352,3,1.64
2012,NUTS,2010,BE352,3,5.948
2011,NUTS,2010,CH,0,9.803
2012,NUTS,2010,CH,0,9.301
2011,NUTS,2010,CH0,1,9.361
2012,NUTS,2010,CH0,1,8.874
2011,NUTS,2010,CH01,2,5.17
2012,NUTS,2010,CH01,2,8.161
2011,NUTS,2010,CH011,3,8.874
2012,NUTS,2010,CH011,3,14.147
2011,NUTS,2010,CH013,3,2.906
2012,NUTS,2010,CH013,3,4.343
2011,NUTS,2010,CH02,2,6.482
2012,NUTS,2010,CH02,2,10.24
2011,NUTS,2010,CH021,3,4.287
2012,NUTS,2010,CH021,3,5.787
2011,NUTS,2010,CH022,3,11.67
2012,NUTS,2010,CH022,3,7.518
2011,NUTS,2010,CH023,3,7.639
2012,NUTS,2010,CH023,3,4.592
2011,NUTS,2010,CH024,3,10.053
2012,NUTS,2010,CH024,3,52.546
2011,NUTS,2010,CH025,3,3.57
2011,NUTS,2010,CH03,2,18.425
2012,NUTS,2010,CH03,2,15.344
2011,NUTS,2010,CH031,3,5.677
2012,NUTS,2010,CH031,3,1.074
2011,NUTS,2010,CH032,3,10.641
2012,NUTS,2010,CH032,3,2.506
2011,NUTS,2010,CH033,3,25.79
2012,NUTS,2010,CH033,3,25.36
2011,NUTS,2010,CH04,2,13.0
2012,NUTS,2010,CH04,2,9.947
2011,NUTS,2010,CH040,3,13.0
2012,NUTS,2010,CH040,3,9.947
2011,NUTS,2010,CH05,2,8.698
2012,NUTS,2010,CH05,2,4.578
2012,NUTS,2010,CH054,3,63.52
2011,NUTS,2010,CH055,3,10.232
2012,NUTS,2010,CH055,3,5.485
2011,NUTS,2010,CH056,3,16.613
2012,NUTS,2010,CH056,3,2.327
2011,NUTS,2010,CH057,3,6.038
2012,NUTS,2010,CH057,3,3.969
2011,NUTS,2010,CH06,2,5.911
2012,NUTS,2010,CH06,2,4.198
2011,NUTS,2010,CH061,3,0.874
2012,NUTS,2010,CH061,3,3.482
2011,NUTS,2010,CH063,3,7.02
2012,NUTS,2010,CH063,3,2.299
2011,NUTS,2010,CH064,3,14.051
2011,NUTS,2010,CH066,3,22.722
2012,NUTS,2010,CH066,3,13.032
2011,NUTS,2010,CH07,2,8.989
2012,NUTS,2010,CH07,2,4.452
2011,NUTS,2010,CH070,3,8.989
2012,NUTS,2010,CH070,3,4.452
2011,NUTS,2010,CZ,0,0.286
2012,NUTS,2010,CZ,0,0.207
2011,NUTS,2010,CZ0,1,0.286
2012,NUTS,2010,CZ0,1,0.207
2011,NUTS,2010,CZ01,2,0.81
2012,NUTS,2010,CZ01,2,0.942
2011,NUTS,2010,CZ010,3,0.81
2012,NUTS,2010,CZ010,3,0.942
2011,NUTS,2010,CZ02,2,0.261
2011,NUTS,2010,CZ020,3,0.261
2011,NUTS,2010,CZ03,2,0.414
2011,NUTS,2010,CZ032,3,0.875
2011,NUTS,2010,CZ04,2,0.442
2011,NUTS,2010,CZ042,3,0.604
2011,NUTS,2010,CZ06,2,0.4
2012,NUTS,2010,CZ06,2,0.596
2011,NUTS,2010,CZ064,3,0.576
2012,NUTS,2010,CZ064,3,0.857
2011,NUTS,2010,DE,0,6.373
2012,NUTS,2010,DE,0,4.35
2011,NUTS,2010,DE1,1,11.882
2012,NUTS,2010,DE1,1,7.923
2011,NUTS,2010,DE11,2,10.603
2012,NUTS,2010,DE11,2,8.274
2011,NUTS,2010,DE111,3,12.348
2012,NUTS,2010,DE111,3,16.091
2011,NUTS,2010,DE112,3,9.289
2012,NUTS,2010,DE112,3,5.56
2011,NUTS,2010,DE113,3,9.634
2012,NUTS,2010,DE113,3,3.906
2011,NUTS,2010,DE114,3,1.307
2012,NUTS,2010,DE114,3,7.936
2011,NUTS,2010,DE115,3,25.425
2012,NUTS,2010,DE115,3,13.973
2011,NUTS,2010,DE116,3,14.274
2012,NUTS,2010,DE116,3,3.801
2011,NUTS,2010,DE117,3,1.139
2012,NUTS,2010,DE117,3,36.215
2011,NUTS,2010,DE118,3,12.699
2012,NUTS,2010,DE118,3,5.08
2012,NUTS,2010,DE119,3,6.891
2012,NUTS,2010,DE11A,3,6.633
2011,NUTS,2010,DE11B,3,8.999
2012,NUTS,2010,DE11B,3,1.88
2011,NUTS,2010,DE11C,3,1.525
2011,NUTS,2010,DE11D,3,4.505
2011,NUTS,2010,DE12,2,11.012
2012,NUTS,2010,DE12,2,6.21
2011,NUTS,2010,DE122,3,40.609
2012,NUTS,2010,DE122,3,10.858
2011,NUTS,2010,DE123,3,11.521
2012,NUTS,2010,DE123,3,11.086
2011,NUTS,2010,DE124,3,1.455
2011,NUTS,2010,DE125,3,12.966
2012,NUTS,2010,DE125,3,4.678
2011,NUTS,2010,DE126,3,15.646
2012,NUTS,2010,DE126,3,12.352
2011,NUTS,2010,DE128,3,7.868
2012,NUTS,2010,DE128,3,5.138
2011,NUTS,2010,DE12A,3,4.451
2011,NUTS,2010,DE12B,3,1.702
2012,NUTS,2010,DE12B,3,8.767
2011,NUTS,2010,DE12C,3,7.257
2011,NUTS,2010,DE13,2,15.602
2012,NUTS,2010,DE13,2,12.854
2011,NUTS,2010,DE131,3,46.389
2012,NUTS,2010,DE131,3,59.657
2011,NUTS,2010,DE132,3,33.391
2012,NUTS,2010,DE132,3,11.176
2011,NUTS,2010,DE133,3,35.619
2012,NUTS,2010,DE133,3,24.566
2011,NUTS,2010,DE134,3,1.677
2012,NUTS,2010,DE134,3,2.393
2011,NUTS,2010,DE135,3,4.45
2011,NUTS,2010,DE136,3,8.231
2012,NUTS,2010,DE136,3,4.849
2011,NUTS,2010,DE137,3,3.726
2012,NUTS,2010,DE137,3,3.726
2011,NUTS,2010,DE138,3,14.696
2012,NUTS,2010,DE138,3,14.258
2011,NUTS,2010,DE139,3,8.623
2011,NUTS,2010,DE13A,3,1.986
2012,NUTS,2010,DE13A,3,8.974
2011,NUTS,2010,DE14,2,11.516
2012,NUTS,2010,DE14,2,3.738
2011,NUTS,2010,DE141,3,26.448
2012,NUTS,2010,DE141,3,6.939
2011,NUTS,2010,DE142,3,26.073
2012,NUTS,2010,DE142,3,4.865
2011,NUTS,2010,DE143,3,2.654
2012,NUTS,2010,DE143,3,5.488
2011,NUTS,2010,DE144,3,14.495
2012,NUTS,2010,DE144,3,4.043
2011,NUTS,2010,DE145,3,7.012
2012,NUTS,2010,DE145,3,6.322
2011,NUTS,2010,DE146,3,11.463
2011,NUTS,2010,DE147,3,6.383
2011,NUTS,2010,DE148,3,1.805
2012,NUTS,2010,DE148,3,3.598
2011,NUTS,2010,DE2,1,10.191
2012,NUTS,2010,DE2,1,5.93
2011,NUTS,2010,DE21,2,8.048
2012,NUTS,2010,DE21,2,7.035
2011,NUTS,2010,DE212,3,13.073
2012,NUTS,2010,DE212,3,10.129
2011,NUTS,2010,DE213,3,5.383
2012,NUTS,2010,DE213,3,5.365
2011,NUTS,2010,DE214,3,13.462
2012,NUTS,2010,DE214,3,6.204
2012,NUTS,2010,DE215,3,5.146
2011,NUTS,2010,DE216,3,4.105
2011,NUTS,2010,DE217,3,10.827
2011,NUTS,2010,DE218,3,7.353
2012,NUTS,2010,DE218,3,16.894
2011,NUTS,2010,DE219,3,2.0
2012,NUTS,2010,DE219,3,4.222
2011,NUTS,2010,DE21A,3,12.282
2012,NUTS,2010,DE21B,3,1.011
2011,NUTS,2010,DE21C,3,6.405
2012,NUTS,2010,DE21C,3,1.209
2011,NUTS,2010,DE21E,3,10.469
2011,NUTS,2010,DE21F,3,5.228
2012,NUTS,2010,DE21F,3,5.21
2011,NUTS,2010,DE21G,3,12.06
2012,NUTS,2010,DE21G,3,6.325
2011,NUTS,2010,DE21H,3,15.51
2012,NUTS,2010,DE21H,3,14.544
2012,NUTS,2010,DE21I,3,1.85
2012,NUTS,2010,DE21J,3,0.677
2011,NUTS,2010,DE21K,3,0.24
2012,NUTS,2010,DE21K,3,1.991
2011,NUTS,2010,DE21L,3,7.676
2012,NUTS,2010,DE21L,3,12.007
2011,NUTS,2010,DE21M,3,3.695
2012,NUTS,2010,DE21M,3,21.539
2012,NUTS,2010,DE21N,3,4.038
2011,NUTS,2010,DE22,2,4.75
2012,NUTS,2010,DE22,2,1.87
2011,NUTS,2010,DE221,3,18.97
2012,NUTS,2010,DE224,3,4.263
2011,NUTS,2010,DE226,3,11.755
2012,NUTS,2010,DE226,3,7.296
2011,NUTS,2010,DE227,3,6.721
2011,NUTS,2010,DE228,3,1.068
2012,NUTS,2010,DE228,3,2.665
2011,NUTS,2010,DE22A,3,16.278
2012,NUTS,2010,DE22A,3,1.695
2012,NUTS,2010,DE22C,3,2.186
2011,NUTS,2010,DE23,2,20.22
2012,NUTS,2010,DE23,2,9.616
2011,NUTS,2010,DE232,3,69.658
2012,NUTS,2010,DE232,3,30.752
2011,NUTS,2010,DE234,3,2.377
2011,NUTS,2010,DE235,3,11.689
2011,NUTS,2010,DE236,3,6.809
2012,NUTS,2010,DE236,3,1.954
2011,NUTS,2010,DE238,3,52.449
2012,NUTS,2010,DE238,3,32.189
2011,NUTS,2010,DE239,3,1.19
2011,NUTS,2010,DE24,2,8.018
2012,NUTS,2010,DE24,2,4.844
2011,NUTS,2010,DE241,3,3.571
2011,NUTS,2010,DE245,3,10.055
2012,NUTS,2010,DE245,3,8.52
2011,NUTS,2010,DE246,3,11.027
2012,NUTS,2010,DE246,3,4.729
2011,NUTS,2010,DE247,3,15.081
2012,NUTS,2010,DE247,3,3.761
2011,NUTS,2010,DE248,3,15.312
2012,NUTS,2010,DE248,3,17.048
2011,NUTS,2010,DE24A,3,7.132
2011,NUTS,2010,DE24B,3,6.712
2011,NUTS,2010,DE24C,3,9.84
2012,NUTS,2010,DE24C,3,9.86
2011,NUTS,2010,DE24D,3,13.013
2012,NUTS,2010,DE24D,3,6.598
2011,NUTS,2010,DE25,2,19.947
2012,NUTS,2010,DE25,2,10.305
2011,NUTS,2010,DE252,3,73.654
2012,NUTS,2010,DE252,3,32.73
2011,NUTS,2010,DE253,3,4.362
2012,NUTS,2010,DE253,3,8.855
2011,NUTS,2010,DE254,3,7.1
2012,NUTS,2010,DE254,3,9.792
2012,NUTS,2010,DE255,3,8.437
2011,NUTS,2010,DE256,3,11.449
2011,NUTS,2010,DE257,3,100.876
2012,NUTS,2010,DE257,3,26.278
2011,NUTS,2010,DE258,3,17.42
2012,NUTS,2010,DE258,3,1.73
2011,NUTS,2010,DE259,3,20.751
2012,NUTS,2010,DE259,3,9.205
2012,NUTS,2010,DE25A,3,18.773
2011,NUTS,2010,DE25B,3,12.079
2012,NUTS,2010,DE25B,3,6.695
2011,NUTS,2010,DE26,2,11.926
2012,NUTS,2010,DE26,2,4.7
2011,NUTS,2010,DE261,3,23.443
2011,NUTS,2010,DE262,3,3.744
2011,NUTS,2010,DE263,3,4.335
2012,NUTS,2010,DE263,3,7.174
2011,NUTS,2010,DE264,3,25.077
2012,NUTS,2010,DE264,3,22.595
2011,NUTS,2010,DE268,3,60.749
2012,NUTS,2010,DE268,3,3.733
2011,NUTS,2010,DE269,3,15.35
2012,NUTS,2010,DE269,3,7.823
2011,NUTS,2010,DE26A,3,7.827
2011,NUTS,2010,DE26C,3,4.193
2011,NUTS,2010,DE27,2,3.664
2012,NUTS,2010,DE27,2,1.017
2011,NUTS,2010,DE271,3,8.198
2012,NUTS,2010,DE271,3,1.988
2011,NUTS,2010,DE272,3,12.666
2012,NUTS,2010,DE275,3,1.557
2011,NUTS,2010,DE276,3,4.165
2012,NUTS,2010,DE276,3,1.038
2011,NUTS,2010,DE279,3,7.132
2011,NUTS,2010,DE27A,3,12.536
2012,NUTS,2010,DE27A,3,6.258
2011,NUTS,2010,DE27C,3,1.256
2011,NUTS,2010,DE27D,3,3.88
2012,NUTS,2010,DE27D,3,2.556
2011,NUTS,2010,DE3,1,4.383
2012,NUTS,2010,DE3,1,6.162
2011,NUTS,2010,DE30,2,4.383
2012,NUTS,2010,DE30,2,6.162
2011,NUTS,2010,DE300,3,4.383
2012,NUTS,2010,DE300,3,6.162
2011,NUTS,2010,DE4,1,3.563
2012,NUTS,2010,DE4,1,2.913
2011,NUTS,2010,DE40,2,3.563
2012,NUTS,2010,DE40,2,2.913
2012,NUTS,2010,DE401,3,6.99
2012,NUTS,2010,DE402,3,2.448
2011,NUTS,2010,DE403,3,33.151
2012,NUTS,2010,DE403,3,29.999
2011,NUTS,2010,DE404,3,1.593
2012,NUTS,2010,DE404,3,1.573
2011,NUTS,2010,DE405,3,13.175
2012,NUTS,2010,DE405,3,11.302
2011,NUTS,2010,DE406,3,8.776
2012,NUTS,2010,DE406,3,9.904
2011,NUTS,2010,DE408,3,1.614
2011,NUTS,2010,DE40A,3,1.231
2012,NUTS,2010,DE40A,3,2.604
2012,NUTS,2010,DE40C,3,1.805
2011,NUTS,2010,DE40D,3,9.721
2011,NUTS,2010,DE40E,3,2.048
2011,NUTS,2010,DE40H,3,6.196
2011,NUTS,2010,DE5,1,0.499
2012,NUTS,2010,DE5,1,2.268
2011,NUTS,2010,DE50,2,0.499
2012,NUTS,2010,DE50,2,2.268
2011,NUTS,2010,DE501,3,0.603
2012,NUTS,2010,DE501,3,2.736
2011,NUTS,2010,DE6,1,2.771
2012,NUTS,2010,DE6,1,4.614
2011,NUTS,2010,DE60,2,2.771
2012,NUTS,2010,DE60,2,4.614
2011,NUTS,2010,DE600,3,2.771
2012,NUTS,2010,DE600,3,4.614
2011,NUTS,2010,DE7,1,11.398
2012,NUTS,2010,DE7,1,8.721
2011,NUTS,2010,DE71,2,16.224
2012,NUTS,2010,DE71,2,12.895
2011,NUTS,2010,DE711,3,51.246
2012,NUTS,2010,DE711,3,55.014
2011,NUTS,2010,DE712,3,25.925
2012,NUTS,2010,DE712,3,12.219
2011,NUTS,2010,DE713,3,2.076
2012,NUTS,2010,DE713,3,2.037
2011,NUTS,2010,DE714,3,2.065
2012,NUTS,2010,DE714,3,0.896
2011,NUTS,2010,DE715,3,20.484
2012,NUTS,2010,DE715,3,11.758
2011,NUTS,2010,DE716,3,39.488
2012,NUTS,2010,DE716,3,15.929
2011,NUTS,2010,DE717,3,6.787
2012,NUTS,2010,DE717,3,1.283
2011,NUTS,2010,DE718,3,14.73
2012,NUTS,2010,DE718,3,4.686
2011,NUTS,2010,DE719,3,15.814
2012,NUTS,2010,DE719,3,36.364
2011,NUTS,2010,DE71A,3,17.502
2012,NUTS,2010,DE71A,3,8.01
2011,NUTS,2010,DE71B,3,5.153
2012,NUTS,2010,DE71B,3,9.608
2011,NUTS,2010,DE71C,3,6.153
2012,NUTS,2010,DE71C,3,8.291
2011,NUTS,2010,DE71D,3,3.823
2012,NUTS,2010,DE71D,3,1.365
