year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_fte_bes_rse_t
2019,NUTS,2010,AT21,2,2522.0
2002,NUTS,2010,AT22,2,2608.0
2004,NUTS,2010,AT22,2,2919.0
2006,NUTS,2010,AT22,2,3517.0
2007,NUTS,2010,AT22,2,3657.0
2009,NUTS,2010,AT22,2,4069.0
2011,NUTS,2010,AT22,2,4743.0
2013,NUTS,2010,AT22,2,4858.0
2015,NUTS,2010,AT22,2,5512.0
2017,NUTS,2010,AT22,2,6283.0
2019,NUTS,2010,AT22,2,7915.0
2002,NUTS,2010,AT3,1,4325.0
2004,NUTS,2010,AT3,1,4856.0
2006,NUTS,2010,AT3,1,5361.0
2007,NUTS,2010,AT3,1,6017.0
2009,NUTS,2010,AT3,1,6790.0
2011,NUTS,2010,AT3,1,7388.0
2013,NUTS,2010,AT3,1,9318.0
2015,NUTS,2010,AT3,1,10216.0
2017,NUTS,2010,AT3,1,11346.0
2019,NUTS,2010,AT3,1,12634.0
2002,NUTS,2010,AT31,2,2330.0
2004,NUTS,2010,AT31,2,2575.0
2006,NUTS,2010,AT31,2,2990.0
2007,NUTS,2010,AT31,2,3318.0
2009,NUTS,2010,AT31,2,3708.0
2011,NUTS,2010,AT31,2,4007.0
2013,NUTS,2010,AT31,2,5383.0
2015,NUTS,2010,AT31,2,5895.0
2017,NUTS,2010,AT31,2,6202.0
2019,NUTS,2010,AT31,2,7154.0
2002,NUTS,2010,AT32,2,498.0
2004,NUTS,2010,AT32,2,507.0
2006,NUTS,2010,AT32,2,577.0
2007,NUTS,2010,AT32,2,642.0
2009,NUTS,2010,AT32,2,712.0
2011,NUTS,2010,AT32,2,877.0
2013,NUTS,2010,AT32,2,958.0
2015,NUTS,2010,AT32,2,1042.0
2017,NUTS,2010,AT32,2,1420.0
2019,NUTS,2010,AT32,2,1638.0
2002,NUTS,2010,AT33,2,946.0
2004,NUTS,2010,AT33,2,1163.0
2006,NUTS,2010,AT33,2,1164.0
2007,NUTS,2010,AT33,2,1343.0
2009,NUTS,2010,AT33,2,1565.0
2011,NUTS,2010,AT33,2,1719.0
2013,NUTS,2010,AT33,2,1823.0
2015,NUTS,2010,AT33,2,2031.0
2017,NUTS,2010,AT33,2,2419.0
2019,NUTS,2010,AT33,2,2430.0
2002,NUTS,2010,AT34,2,553.0
2004,NUTS,2010,AT34,2,612.0
2006,NUTS,2010,AT34,2,630.0
2007,NUTS,2010,AT34,2,714.0
2009,NUTS,2010,AT34,2,805.0
2011,NUTS,2010,AT34,2,785.0
2013,NUTS,2010,AT34,2,1154.0
2015,NUTS,2010,AT34,2,1247.0
2017,NUTS,2010,AT34,2,1305.0
2019,NUTS,2010,AT34,2,1411.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,109.0
2013,NUTS,2010,BA,0,101.0
2014,NUTS,2010,BA,0,58.0
2019,NUTS,2010,BA,0,182.0
1981,NUTS,2010,BE,0,5152.0
1982,NUTS,2010,BE,0,5662.0
1983,NUTS,2010,BE,0,5677.0
1984,NUTS,2010,BE,0,6144.0
1985,NUTS,2010,BE,0,6936.0
1986,NUTS,2010,BE,0,7820.0
1987,NUTS,2010,BE,0,8128.0
1988,NUTS,2010,BE,0,8533.0
1989,NUTS,2010,BE,0,8371.0
1991,NUTS,2010,BE,0,8750.0
1992,NUTS,2010,BE,0,9920.0
1993,NUTS,2010,BE,0,10354.0
1994,NUTS,2010,BE,0,11401.0
1995,NUTS,2010,BE,0,11999.0
1996,NUTS,2010,BE,0,14000.0
1997,NUTS,2010,BE,0,14541.0
1998,NUTS,2010,BE,0,15024.0
1999,NUTS,2010,BE,0,15996.0
2000,NUTS,2010,BE,0,16684.0
2001,NUTS,2010,BE,0,17991.0
2002,NUTS,2010,BE,0,16363.0
2003,NUTS,2010,BE,0,16242.0
2004,NUTS,2010,BE,0,16376.0
2005,NUTS,2010,BE,0,16769.0
2006,NUTS,2010,BE,0,17483.0
2007,NUTS,2010,BE,0,18064.0
2008,NUTS,2010,BE,0,17370.0
2009,NUTS,2010,BE,0,17872.0
2010,NUTS,2010,BE,0,20008.0
2011,NUTS,2010,BE,0,21382.0
2012,NUTS,2010,BE,0,23464.0
2013,NUTS,2010,BE,0,23759.0
2014,NUTS,2010,BE,0,27384.0
2015,NUTS,2010,BE,0,28474.0
2016,NUTS,2010,BE,0,27311.0
2017,NUTS,2010,BE,0,29358.0
2018,NUTS,2010,BE,0,31288.0
2019,NUTS,2010,BE,0,33885.0
2020,NUTS,2010,BE,0,37829.0
1999,NUTS,2010,BE1,1,1674.0
2000,NUTS,2010,BE1,1,1921.0
2001,NUTS,2010,BE1,1,2061.0
2002,NUTS,2010,BE1,1,1757.0
2003,NUTS,2010,BE1,1,1697.0
2004,NUTS,2010,BE1,1,1680.0
2005,NUTS,2010,BE1,1,1713.0
2006,NUTS,2010,BE1,1,1977.0
2007,NUTS,2010,BE1,1,2107.0
2008,NUTS,2010,BE1,1,2172.0
2009,NUTS,2010,BE1,1,2218.0
2010,NUTS,2010,BE1,1,2102.0
2011,NUTS,2010,BE1,1,2277.0
2013,NUTS,2010,BE1,1,3090.0
2014,NUTS,2010,BE1,1,3082.0
2015,NUTS,2010,BE1,1,3285.0
2017,NUTS,2010,BE1,1,4184.0
2019,NUTS,2010,BE1,1,5081.0
1999,NUTS,2010,BE10,2,1674.0
2000,NUTS,2010,BE10,2,1921.0
2001,NUTS,2010,BE10,2,2061.0
2002,NUTS,2010,BE10,2,1757.0
2003,NUTS,2010,BE10,2,1697.0
2004,NUTS,2010,BE10,2,1680.0
2005,NUTS,2010,BE10,2,1713.0
2006,NUTS,2010,BE10,2,1977.0
2007,NUTS,2010,BE10,2,2107.0
2008,NUTS,2010,BE10,2,2172.0
2009,NUTS,2010,BE10,2,2218.0
2010,NUTS,2010,BE10,2,2102.0
2011,NUTS,2010,BE10,2,2277.0
2013,NUTS,2010,BE10,2,3090.0
2014,NUTS,2010,BE10,2,3082.0
2015,NUTS,2010,BE10,2,3285.0
2017,NUTS,2010,BE10,2,4184.0
2019,NUTS,2010,BE10,2,5081.0
1999,NUTS,2010,BE2,1,10621.0
2000,NUTS,2010,BE2,1,11117.0
2001,NUTS,2010,BE2,1,12011.0
2002,NUTS,2010,BE2,1,10580.0
2003,NUTS,2010,BE2,1,10427.0
2004,NUTS,2010,BE2,1,10503.0
2005,NUTS,2010,BE2,1,10765.0
2006,NUTS,2010,BE2,1,11674.0
2007,NUTS,2010,BE2,1,11952.0
2008,NUTS,2010,BE2,1,11279.0
2009,NUTS,2010,BE2,1,11375.0
2010,NUTS,2010,BE2,1,13076.0
2011,NUTS,2010,BE2,1,13855.0
2013,NUTS,2010,BE2,1,14756.0
2014,NUTS,2010,BE2,1,16521.0
2015,NUTS,2010,BE2,1,17489.0
2017,NUTS,2010,BE2,1,17663.0
2019,NUTS,2010,BE2,1,21300.0
2014,NUTS,2010,BE21,2,5379.0
2014,NUTS,2010,BE22,2,1332.0
2014,NUTS,2010,BE23,2,3399.0
2014,NUTS,2010,BE24,2,4133.0
2014,NUTS,2010,BE25,2,2279.0
1999,NUTS,2010,BE3,1,3702.0
2000,NUTS,2010,BE3,1,3646.0
2001,NUTS,2010,BE3,1,3919.0
2002,NUTS,2010,BE3,1,4026.0
2003,NUTS,2010,BE3,1,4118.0
2004,NUTS,2010,BE3,1,4193.0
2005,NUTS,2010,BE3,1,4290.0
2006,NUTS,2010,BE3,1,3832.0
2007,NUTS,2010,BE3,1,4004.0
2008,NUTS,2010,BE3,1,3919.0
2009,NUTS,2010,BE3,1,4279.0
2010,NUTS,2010,BE3,1,4830.0
2011,NUTS,2010,BE3,1,5250.0
2013,NUTS,2010,BE3,1,5913.0
2014,NUTS,2010,BE3,1,7780.0
2015,NUTS,2010,BE3,1,7700.0
2017,NUTS,2010,BE3,1,7512.0
2019,NUTS,2010,BE3,1,7504.0
2014,NUTS,2010,BE31,2,3814.0
2014,NUTS,2010,BE32,2,1723.0
2014,NUTS,2010,BE33,2,1519.0
2014,NUTS,2010,BE34,2,127.0
2014,NUTS,2010,BE35,2,597.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,5171.0
1994,NUTS,2010,BG,0,1882.0
1995,NUTS,2010,BG,0,1865.0
1996,NUTS,2010,BG,0,1752.0
1997,NUTS,2010,BG,0,1771.0
1998,NUTS,2010,BG,0,1783.0
1999,NUTS,2010,BG,0,1249.0
2000,NUTS,2010,BG,0,1139.0
2001,NUTS,2010,BG,0,1082.0
2002,NUTS,2010,BG,0,957.0
2003,NUTS,2010,BG,0,1225.0
2004,NUTS,2010,BG,0,1239.0
2005,NUTS,2010,BG,0,1157.0
2006,NUTS,2010,BG,0,1304.0
2007,NUTS,2010,BG,0,1318.0
2008,NUTS,2010,BG,0,1491.0
2009,NUTS,2010,BG,0,1718.0
2010,NUTS,2010,BG,0,1538.0
2011,NUTS,2010,BG,0,1547.0
2012,NUTS,2010,BG,0,2095.0
2013,NUTS,2010,BG,0,2760.0
2014,NUTS,2010,BG,0,3559.0
2015,NUTS,2010,BG,0,5502.0
2016,NUTS,2010,BG,0,6109.0
2017,NUTS,2010,BG,0,6547.0
2018,NUTS,2010,BG,0,8020.0
2019,NUTS,2010,BG,0,8493.0
2020,NUTS,2010,BG,0,8227.0
2003,NUTS,2010,BG3,1,293.0
2004,NUTS,2010,BG3,1,275.0
2005,NUTS,2010,BG3,1,148.0
2006,NUTS,2010,BG3,1,390.0
2007,NUTS,2010,BG3,1,402.0
2008,NUTS,2010,BG3,1,505.0
2009,NUTS,2010,BG3,1,546.0
2010,NUTS,2010,BG3,1,348.0
2011,NUTS,2010,BG3,1,282.0
2012,NUTS,2010,BG3,1,494.0
2014,NUTS,2010,BG3,1,591.0
2015,NUTS,2010,BG3,1,1443.0
2016,NUTS,2010,BG3,1,1348.0
2017,NUTS,2010,BG3,1,1644.0
2018,NUTS,2010,BG3,1,1965.0
2019,NUTS,2010,BG3,1,2059.0
2008,NUTS,2010,BG31,2,51.0
2016,NUTS,2010,BG31,2,319.0
2017,NUTS,2010,BG31,2,426.0
2018,NUTS,2010,BG31,2,551.0
2019,NUTS,2010,BG31,2,491.0
2002,NUTS,2010,BG32,2,46.0
2003,NUTS,2010,BG32,2,72.0
2004,NUTS,2010,BG32,2,85.0
2005,NUTS,2010,BG32,2,20.0
2008,NUTS,2010,BG32,2,67.0
2009,NUTS,2010,BG32,2,64.0
2010,NUTS,2010,BG32,2,63.0
2011,NUTS,2010,BG32,2,40.0
2012,NUTS,2010,BG32,2,87.0
2013,NUTS,2010,BG32,2,105.0
2014,NUTS,2010,BG32,2,129.0
2016,NUTS,2010,BG32,2,250.0
2017,NUTS,2010,BG32,2,402.0
2018,NUTS,2010,BG32,2,499.0
2019,NUTS,2010,BG32,2,518.0
2006,NUTS,2010,BG33,2,110.0
2007,NUTS,2010,BG33,2,81.0
2008,NUTS,2010,BG33,2,147.0
2015,NUTS,2010,BG33,2,319.0
2016,NUTS,2010,BG33,2,399.0
2017,NUTS,2010,BG33,2,416.0
2018,NUTS,2010,BG33,2,463.0
2019,NUTS,2010,BG33,2,535.0
2002,NUTS,2010,BG34,2,79.0
2003,NUTS,2010,BG34,2,125.0
2004,NUTS,2010,BG34,2,106.0
2005,NUTS,2010,BG34,2,73.0
2006,NUTS,2010,BG34,2,211.0
2007,NUTS,2010,BG34,2,216.0
2008,NUTS,2010,BG34,2,240.0
2009,NUTS,2010,BG34,2,327.0
2010,NUTS,2010,BG34,2,113.0
2011,NUTS,2010,BG34,2,96.0
2012,NUTS,2010,BG34,2,131.0
2015,NUTS,2010,BG34,2,472.0
2016,NUTS,2010,BG34,2,380.0
2017,NUTS,2010,BG34,2,400.0
2018,NUTS,2010,BG34,2,452.0
2019,NUTS,2010,BG34,2,515.0
2003,NUTS,2010,BG4,1,932.0
2004,NUTS,2010,BG4,1,964.0
2005,NUTS,2010,BG4,1,1009.0
2006,NUTS,2010,BG4,1,914.0
2007,NUTS,2010,BG4,1,916.0
2008,NUTS,2010,BG4,1,986.0
2009,NUTS,2010,BG4,1,1172.0
2010,NUTS,2010,BG4,1,1190.0
2011,NUTS,2010,BG4,1,1265.0
2012,NUTS,2010,BG4,1,1601.0
2014,NUTS,2010,BG4,1,2968.0
2015,NUTS,2010,BG4,1,4059.0
2016,NUTS,2010,BG4,1,4761.0
2017,NUTS,2010,BG4,1,4903.0
2018,NUTS,2010,BG4,1,6055.0
2019,NUTS,2010,BG4,1,6434.0
1999,NUTS,2010,BG41,2,791.0
2000,NUTS,2010,BG41,2,802.0
2002,NUTS,2010,BG41,2,716.0
2003,NUTS,2010,BG41,2,875.0
2004,NUTS,2010,BG41,2,915.0
2005,NUTS,2010,BG41,2,927.0
2006,NUTS,2010,BG41,2,831.0
2007,NUTS,2010,BG41,2,787.0
2008,NUTS,2010,BG41,2,769.0
2009,NUTS,2010,BG41,2,953.0
2010,NUTS,2010,BG41,2,968.0
2011,NUTS,2010,BG41,2,1054.0
2012,NUTS,2010,BG41,2,1396.0
2013,NUTS,2010,BG41,2,1940.0
2014,NUTS,2010,BG41,2,2764.0
2015,NUTS,2010,BG41,2,3629.0
2016,NUTS,2010,BG41,2,4236.0
2017,NUTS,2010,BG41,2,4240.0
2018,NUTS,2010,BG41,2,5169.0
2019,NUTS,2010,BG41,2,5522.0
2003,NUTS,2010,BG42,2,57.0
2004,NUTS,2010,BG42,2,49.0
2005,NUTS,2010,BG42,2,82.0
2006,NUTS,2010,BG42,2,83.0
2007,NUTS,2010,BG42,2,129.0
2008,NUTS,2010,BG42,2,217.0
2009,NUTS,2010,BG42,2,219.0
2010,NUTS,2010,BG42,2,222.0
2011,NUTS,2010,BG42,2,211.0
2012,NUTS,2010,BG42,2,205.0
2014,NUTS,2010,BG42,2,204.0
2015,NUTS,2010,BG42,2,430.0
2016,NUTS,2010,BG42,2,525.0
2017,NUTS,2010,BG42,2,663.0
2018,NUTS,2010,BG42,2,886.0
2019,NUTS,2010,BG42,2,912.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1983,NUTS,2010,CH,0,6048.0
1992,NUTS,2010,CH,0,9800.0
1996,NUTS,2010,CH,0,12500.0
2000,NUTS,2010,CH,0,16275.0
2004,NUTS,2010,CH,0,12640.0
2008,NUTS,2010,CH,0,10332.0
2012,NUTS,2010,CH,0,16595.0
2015,NUTS,2010,CH,0,21893.0
2017,NUTS,2010,CH,0,21094.0
2019,NUTS,2010,CH,0,23030.0
2008,NUTS,2010,CH01,2,2327.0
2012,NUTS,2010,CH01,2,2314.0
2015,NUTS,2010,CH01,2,3942.0
2017,NUTS,2010,CH01,2,3137.0
2019,NUTS,2010,CH01,2,3425.0
2008,NUTS,2010,CH02,2,1920.0
2012,NUTS,2010,CH02,2,3480.0
2015,NUTS,2010,CH02,2,3024.0
2017,NUTS,2010,CH02,2,3379.0
2019,NUTS,2010,CH02,2,2987.0
2008,NUTS,2010,CH03,2,2387.0
2012,NUTS,2010,CH03,2,2842.0
2015,NUTS,2010,CH03,2,6333.0
2017,NUTS,2010,CH03,2,6783.0
2019,NUTS,2010,CH03,2,7438.0
2008,NUTS,2010,CH04,2,1837.0
2012,NUTS,2010,CH04,2,4087.0
2015,NUTS,2010,CH04,2,4114.0
2017,NUTS,2010,CH04,2,3333.0
2019,NUTS,2010,CH04,2,3705.0
2008,NUTS,2010,CH05,2,958.0
2012,NUTS,2010,CH05,2,2131.0
2015,NUTS,2010,CH05,2,2242.0
2017,NUTS,2010,CH05,2,1706.0
2019,NUTS,2010,CH05,2,2878.0
2008,NUTS,2010,CH06,2,697.0
2012,NUTS,2010,CH06,2,1304.0
2015,NUTS,2010,CH06,2,1961.0
2017,NUTS,2010,CH06,2,2266.0
2019,NUTS,2010,CH06,2,2272.0
2008,NUTS,2010,CH07,2,206.0
2012,NUTS,2010,CH07,2,437.0
2015,NUTS,2010,CH07,2,277.0
2017,NUTS,2010,CH07,2,490.0
2019,NUTS,2010,CH07,2,325.0
1991,NUTS,2010,CN_X_HK,5,126000.0
1992,NUTS,2010,CN_X_HK,5,135600.0
1993,NUTS,2010,CN_X_HK,5,156400.0
1994,NUTS,2010,CN_X_HK,5,186900.0
1995,NUTS,2010,CN_X_HK,5,192900.0
1996,NUTS,2010,CN_X_HK,5,223700.0
1997,NUTS,2010,CN_X_HK,5,225400.0
1998,NUTS,2010,CN_X_HK,5,149000.0
1999,NUTS,2010,CN_X_HK,5,171900.0
2000,NUTS,2010,CN_X_HK,5,353843.0
2001,NUTS,2010,CN_X_HK,5,388521.0
2002,NUTS,2010,CN_X_HK,5,443021.0
2003,NUTS,2010,CN_X_HK,5,484164.0
2004,NUTS,2010,CN_X_HK,5,529344.0
2005,NUTS,2010,CN_X_HK,5,696413.0
2006,NUTS,2010,CN_X_HK,5,777029.0
2007,NUTS,2010,CN_X_HK,5,944440.0
2008,NUTS,2010,CN_X_HK,5,1092213.0
2009,NUTS,2010,CN_X_HK,5,707771.0
2010,NUTS,2010,CN_X_HK,5,739891.0
2011,NUTS,2010,CN_X_HK,5,818811.0
2012,NUTS,2010,CN_X_HK,5,872384.0
2013,NUTS,2010,CN_X_HK,5,922682.0
2014,NUTS,2010,CN_X_HK,5,946077.0
2015,NUTS,2010,CN_X_HK,5,1014614.0
2016,NUTS,2010,CN_X_HK,5,1048147.0
2017,NUTS,2010,CN_X_HK,5,1055746.0
2018,NUTS,2010,CN_X_HK,5,1143157.0
2019,NUTS,2010,CN_X_HK,5,1216670.0
1991,NUTS,2010,CY,0,27.0
1992,NUTS,2010,CY,0,27.0
1998,NUTS,2010,CY,0,41.0
1999,NUTS,2010,CY,0,64.0
2000,NUTS,2010,CY,0,77.0
2001,NUTS,2010,CY,0,83.0
2002,NUTS,2010,CY,0,117.0
2003,NUTS,2010,CY,0,103.0
2004,NUTS,2010,CY,0,108.0
2005,NUTS,2010,CY,0,130.0
2006,NUTS,2010,CY,0,161.0
2007,NUTS,2010,CY,0,182.0
2008,NUTS,2010,CY,0,209.0
2009,NUTS,2010,CY,0,211.0
2010,NUTS,2010,CY,0,200.0
2011,NUTS,2010,CY,0,183.0
2012,NUTS,2010,CY,0,174.0
2013,NUTS,2010,CY,0,180.0
2014,NUTS,2010,CY,0,194.0
2015,NUTS,2010,CY,0,176.0
2016,NUTS,2010,CY,0,227.0
2017,NUTS,2010,CY,0,270.0
2018,NUTS,2010,CY,0,407.0
2019,NUTS,2010,CY,0,505.0
2020,NUTS,2010,CY,0,550.0
1995,NUTS,2010,CZ,0,4936.0
1996,NUTS,2010,CZ,0,4863.0
1997,NUTS,2010,CZ,0,5120.0
1998,NUTS,2010,CZ,0,5067.0
1999,NUTS,2010,CZ,0,5811.0
2000,NUTS,2010,CZ,0,5533.0
2001,NUTS,2010,CZ,0,5753.0
2002,NUTS,2010,CZ,0,6191.0
2003,NUTS,2010,CZ,0,6558.0
2004,NUTS,2010,CZ,0,7131.0
2005,NUTS,2010,CZ,0,9716.0
2006,NUTS,2010,CZ,0,10673.0
2007,NUTS,2010,CZ,0,11854.0
2008,NUTS,2010,CZ,0,12866.0
2009,NUTS,2010,CZ,0,12289.0
2010,NUTS,2010,CZ,0,12327.0
2011,NUTS,2010,CZ,0,13582.0
2012,NUTS,2010,CZ,0,15057.0
2013,NUTS,2010,CZ,0,16367.0
2014,NUTS,2010,CZ,0,17892.0
2015,NUTS,2010,CZ,0,19161.0
2016,NUTS,2010,CZ,0,19185.0
2017,NUTS,2010,CZ,0,20206.0
2018,NUTS,2010,CZ,0,21150.0
2019,NUTS,2010,CZ,0,21707.0
2020,NUTS,2010,CZ,0,22527.0
1995,NUTS,2010,CZ0,1,4936.0
1996,NUTS,2010,CZ0,1,4863.0
1997,NUTS,2010,CZ0,1,5120.0
1998,NUTS,2010,CZ0,1,5067.0
1999,NUTS,2010,CZ0,1,5811.0
2000,NUTS,2010,CZ0,1,5533.0
2001,NUTS,2010,CZ0,1,5753.0
2002,NUTS,2010,CZ0,1,6191.0
2003,NUTS,2010,CZ0,1,6558.0
2004,NUTS,2010,CZ0,1,7131.0
2005,NUTS,2010,CZ0,1,9716.0
2006,NUTS,2010,CZ0,1,10673.0
2007,NUTS,2010,CZ0,1,11854.0
2008,NUTS,2010,CZ0,1,12866.0
2009,NUTS,2010,CZ0,1,12289.0
2010,NUTS,2010,CZ0,1,12327.0
2011,NUTS,2010,CZ0,1,13582.0
2012,NUTS,2010,CZ0,1,15057.0
2013,NUTS,2010,CZ0,1,16367.0
2014,NUTS,2010,CZ0,1,17892.0
2015,NUTS,2010,CZ0,1,19161.0
2016,NUTS,2010,CZ0,1,19185.0
2017,NUTS,2010,CZ0,1,20206.0
2018,NUTS,2010,CZ0,1,21150.0
2019,NUTS,2010,CZ0,1,21707.0
2020,NUTS,2010,CZ0,1,22527.0
2001,NUTS,2010,CZ01,2,1512.0
2002,NUTS,2010,CZ01,2,1569.0
2003,NUTS,2010,CZ01,2,1747.0
2004,NUTS,2010,CZ01,2,1966.0
2005,NUTS,2010,CZ01,2,2654.0
2006,NUTS,2010,CZ01,2,2826.0
2007,NUTS,2010,CZ01,2,3368.0
2008,NUTS,2010,CZ01,2,3457.0
2009,NUTS,2010,CZ01,2,2781.0
2010,NUTS,2010,CZ01,2,2780.0
2011,NUTS,2010,CZ01,2,3008.0
2012,NUTS,2010,CZ01,2,3439.0
2013,NUTS,2010,CZ01,2,3991.0
2014,NUTS,2010,CZ01,2,4020.0
2015,NUTS,2010,CZ01,2,4267.0
2016,NUTS,2010,CZ01,2,4732.0
2017,NUTS,2010,CZ01,2,5446.0
2018,NUTS,2010,CZ01,2,6491.0
2019,NUTS,2010,CZ01,2,5836.0
2020,NUTS,2010,CZ01,2,5921.0
2001,NUTS,2010,CZ02,2,1315.0
2002,NUTS,2010,CZ02,2,1509.0
2003,NUTS,2010,CZ02,2,1581.0
2004,NUTS,2010,CZ02,2,1463.0
2005,NUTS,2010,CZ02,2,1950.0
2006,NUTS,2010,CZ02,2,2099.0
