year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hc_total_pnp_f
1998,NUTS,2010,AT,0,188.0
2002,NUTS,2010,AT,0,313.0
2004,NUTS,2010,AT,0,311.0
2006,NUTS,2010,AT,0,232.0
2007,NUTS,2010,AT,0,190.0
2009,NUTS,2010,AT,0,382.0
2011,NUTS,2010,AT,0,445.0
2013,NUTS,2010,AT,0,470.0
2015,NUTS,2010,AT,0,554.0
2017,NUTS,2010,AT,0,591.0
2019,NUTS,2010,AT,0,678.0
2007,NUTS,2010,AT1,1,157.0
2009,NUTS,2010,AT1,1,359.0
2011,NUTS,2010,AT1,1,395.0
2013,NUTS,2010,AT1,1,417.0
2015,NUTS,2010,AT1,1,509.0
2017,NUTS,2010,AT1,1,528.0
2019,NUTS,2010,AT1,1,599.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,14.0
2004,NUTS,2010,AT12,2,15.0
2006,NUTS,2010,AT12,2,15.0
2007,NUTS,2010,AT12,2,17.0
2009,NUTS,2010,AT12,2,137.0
2011,NUTS,2010,AT12,2,155.0
2013,NUTS,2010,AT12,2,169.0
2015,NUTS,2010,AT12,2,193.0
2017,NUTS,2010,AT12,2,221.0
2002,NUTS,2010,AT13,2,190.0
2004,NUTS,2010,AT13,2,203.0
2006,NUTS,2010,AT13,2,174.0
2007,NUTS,2010,AT13,2,140.0
2009,NUTS,2010,AT13,2,222.0
2011,NUTS,2010,AT13,2,240.0
2013,NUTS,2010,AT13,2,248.0
2015,NUTS,2010,AT13,2,316.0
2017,NUTS,2010,AT13,2,307.0
2019,NUTS,2010,AT13,2,371.0
2006,NUTS,2010,AT2,1,17.0
2019,NUTS,2010,AT2,1,22.0
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,8.0
2002,NUTS,2010,AT22,2,27.0
2004,NUTS,2010,AT22,2,28.0
2006,NUTS,2010,AT22,2,17.0
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,75.0
2004,NUTS,2010,AT3,1,65.0
2007,NUTS,2010,AT3,1,29.0
2019,NUTS,2010,AT3,1,57.0
2002,NUTS,2010,AT31,2,20.0
2004,NUTS,2010,AT31,2,12.0
2006,NUTS,2010,AT31,2,18.0
2009,NUTS,2010,AT31,2,11.0
2011,NUTS,2010,AT31,2,24.0
2013,NUTS,2010,AT31,2,37.0
2015,NUTS,2010,AT31,2,8.0
2017,NUTS,2010,AT31,2,8.0
2019,NUTS,2010,AT31,2,14.0
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,29.0
2017,NUTS,2010,AT32,2,40.0
2019,NUTS,2010,AT32,2,38.0
2002,NUTS,2010,AT33,2,50.0
2004,NUTS,2010,AT33,2,52.0
2006,NUTS,2010,AT33,2,8.0
2013,NUTS,2010,AT33,2,3.0
2019,NUTS,2010,AT33,2,5.0
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,2.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,8.0
2019,NUTS,2010,BA,0,0.0
2002,NUTS,2010,BE,0,319.0
2003,NUTS,2010,BE,0,329.0
2004,NUTS,2010,BE,0,312.0
2005,NUTS,2010,BE,0,297.0
2006,NUTS,2010,BE,0,308.0
2007,NUTS,2010,BE,0,312.0
2008,NUTS,2010,BE,0,308.0
2009,NUTS,2010,BE,0,310.0
2010,NUTS,2010,BE,0,325.0
2011,NUTS,2010,BE,0,307.0
