year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_fte_rse_f
2015,NUTS,2010,DE,0,17475.0
2016,NUTS,2010,DE,0,17576.0
2017,NUTS,2010,DE,0,18253.0
2018,NUTS,2010,DE,0,19426.0
2019,NUTS,2010,DE,0,20325.0
2015,NUTS,2010,DE1,1,2798.0
2016,NUTS,2010,DE1,1,2533.0
2017,NUTS,2010,DE1,1,2647.0
2018,NUTS,2010,DE1,1,2783.0
2019,NUTS,2010,DE1,1,2889.0
2015,NUTS,2010,DE11,2,437.0
2016,NUTS,2010,DE11,2,418.0
2017,NUTS,2010,DE11,2,401.0
2018,NUTS,2010,DE11,2,416.0
2019,NUTS,2010,DE11,2,444.0
2015,NUTS,2010,DE12,2,1927.0
2016,NUTS,2010,DE12,2,1670.0
2017,NUTS,2010,DE12,2,1751.0
2018,NUTS,2010,DE12,2,1800.0
2019,NUTS,2010,DE12,2,1865.0
2015,NUTS,2010,DE13,2,246.0
2016,NUTS,2010,DE13,2,251.0
2017,NUTS,2010,DE13,2,280.0
2018,NUTS,2010,DE13,2,308.0
2019,NUTS,2010,DE13,2,324.0
2015,NUTS,2010,DE14,2,187.0
2016,NUTS,2010,DE14,2,193.0
2017,NUTS,2010,DE14,2,216.0
2018,NUTS,2010,DE14,2,259.0
2019,NUTS,2010,DE14,2,256.0
2015,NUTS,2010,DE2,1,2595.0
2016,NUTS,2010,DE2,1,2536.0
2017,NUTS,2010,DE2,1,2624.0
2018,NUTS,2010,DE2,1,2791.0
2019,NUTS,2010,DE2,1,2924.0
2015,NUTS,2010,DE21,2,2217.0
2016,NUTS,2010,DE21,2,2197.0
2017,NUTS,2010,DE21,2,2245.0
2018,NUTS,2010,DE21,2,2361.0
2019,NUTS,2010,DE21,2,2437.0
2015,NUTS,2010,DE22,2,12.0
2016,NUTS,2010,DE22,2,10.0
2017,NUTS,2010,DE22,2,10.0
2018,NUTS,2010,DE22,2,12.0
2019,NUTS,2010,DE22,2,13.0
2015,NUTS,2010,DE23,2,29.0
2016,NUTS,2010,DE23,2,30.0
2017,NUTS,2010,DE23,2,32.0
2018,NUTS,2010,DE23,2,33.0
2019,NUTS,2010,DE23,2,34.0
2015,NUTS,2010,DE24,2,87.0
2016,NUTS,2010,DE24,2,49.0
2017,NUTS,2010,DE24,2,78.0
2018,NUTS,2010,DE24,2,83.0
2019,NUTS,2010,DE24,2,78.0
2015,NUTS,2010,DE25,2,142.0
2016,NUTS,2010,DE25,2,153.0
2017,NUTS,2010,DE25,2,160.0
2018,NUTS,2010,DE25,2,183.0
2019,NUTS,2010,DE25,2,223.0
2015,NUTS,2010,DE26,2,58.0
2016,NUTS,2010,DE26,2,50.0
2017,NUTS,2010,DE26,2,47.0
2018,NUTS,2010,DE26,2,50.0
2019,NUTS,2010,DE26,2,57.0
2015,NUTS,2010,DE27,2,50.0
2016,NUTS,2010,DE27,2,47.0
2017,NUTS,2010,DE27,2,52.0
2018,NUTS,2010,DE27,2,68.0
2019,NUTS,2010,DE27,2,83.0
2015,NUTS,2010,DE3,1,2111.0
2016,NUTS,2010,DE3,1,2211.0
2017,NUTS,2010,DE3,1,2357.0
2018,NUTS,2010,DE3,1,2610.0
2019,NUTS,2010,DE3,1,2776.0
2015,NUTS,2010,DE30,2,2111.0
2016,NUTS,2010,DE30,2,2211.0
2017,NUTS,2010,DE30,2,2357.0
2018,NUTS,2010,DE30,2,2610.0
2019,NUTS,2010,DE30,2,2776.0
2015,NUTS,2010,DE4,1,765.0
2016,NUTS,2010,DE4,1,805.0
2017,NUTS,2010,DE4,1,847.0
2018,NUTS,2010,DE4,1,854.0
2019,NUTS,2010,DE4,1,941.0
2015,NUTS,2010,DE40,2,765.0
2016,NUTS,2010,DE40,2,805.0
2017,NUTS,2010,DE40,2,847.0
2018,NUTS,2010,DE40,2,854.0
2019,NUTS,2010,DE40,2,941.0
2015,NUTS,2010,DE5,1,388.0
2016,NUTS,2010,DE5,1,401.0
2017,NUTS,2010,DE5,1,397.0
2018,NUTS,2010,DE5,1,433.0
2019,NUTS,2010,DE5,1,464.0
2015,NUTS,2010,DE50,2,388.0
2016,NUTS,2010,DE50,2,401.0
2017,NUTS,2010,DE50,2,397.0
2018,NUTS,2010,DE50,2,433.0
2019,NUTS,2010,DE50,2,464.0
2015,NUTS,2010,DE6,1,520.0
2016,NUTS,2010,DE6,1,532.0
2017,NUTS,2010,DE6,1,539.0
2018,NUTS,2010,DE6,1,570.0
2019,NUTS,2010,DE6,1,571.0
2015,NUTS,2010,DE60,2,520.0
2016,NUTS,2010,DE60,2,532.0
2017,NUTS,2010,DE60,2,539.0
2018,NUTS,2010,DE60,2,570.0
2019,NUTS,2010,DE60,2,571.0
2015,NUTS,2010,DE7,1,771.0
2016,NUTS,2010,DE7,1,875.0
2017,NUTS,2010,DE7,1,955.0
2018,NUTS,2010,DE7,1,1031.0
2019,NUTS,2010,DE7,1,1044.0
2015,NUTS,2010,DE71,2,679.0
2016,NUTS,2010,DE71,2,765.0
2017,NUTS,2010,DE71,2,822.0
2018,NUTS,2010,DE71,2,911.0
2019,NUTS,2010,DE71,2,932.0
2015,NUTS,2010,DE72,2,54.0
2016,NUTS,2010,DE72,2,68.0
2017,NUTS,2010,DE72,2,85.0
2018,NUTS,2010,DE72,2,86.0
2019,NUTS,2010,DE72,2,77.0
2015,NUTS,2010,DE73,2,37.0
2016,NUTS,2010,DE73,2,41.0
2017,NUTS,2010,DE73,2,48.0
2018,NUTS,2010,DE73,2,35.0
2019,NUTS,2010,DE73,2,36.0
2015,NUTS,2010,DE8,1,340.0
2016,NUTS,2010,DE8,1,340.0
2017,NUTS,2010,DE8,1,384.0
2018,NUTS,2010,DE8,1,405.0
2019,NUTS,2010,DE8,1,418.0
2015,NUTS,2010,DE80,2,340.0
2016,NUTS,2010,DE80,2,340.0
2017,NUTS,2010,DE80,2,384.0
2018,NUTS,2010,DE80,2,405.0
2019,NUTS,2010,DE80,2,418.0
2015,NUTS,2010,DE9,1,1261.0
2016,NUTS,2010,DE9,1,1212.0
2017,NUTS,2010,DE9,1,1200.0
2018,NUTS,2010,DE9,1,1284.0
2019,NUTS,2010,DE9,1,1280.0
2015,NUTS,2010,DE91,2,876.0
2016,NUTS,2010,DE91,2,889.0
2017,NUTS,2010,DE91,2,863.0
2018,NUTS,2010,DE91,2,868.0
2019,NUTS,2010,DE91,2,882.0
2015,NUTS,2010,DE92,2,229.0
2016,NUTS,2010,DE92,2,220.0
2017,NUTS,2010,DE92,2,217.0
2018,NUTS,2010,DE92,2,292.0
2019,NUTS,2010,DE92,2,288.0
2015,NUTS,2010,DE93,2,37.0
2016,NUTS,2010,DE93,2,28.0
2017,NUTS,2010,DE93,2,41.0
2018,NUTS,2010,DE93,2,36.0
2019,NUTS,2010,DE93,2,39.0
2015,NUTS,2010,DE94,2,120.0
2016,NUTS,2010,DE94,2,75.0
2017,NUTS,2010,DE94,2,79.0
2018,NUTS,2010,DE94,2,89.0
2019,NUTS,2010,DE94,2,71.0
2015,NUTS,2010,DEA,1,2722.0
2016,NUTS,2010,DEA,1,2797.0
2017,NUTS,2010,DEA,1,2842.0
2018,NUTS,2010,DEA,1,3024.0
2019,NUTS,2010,DEA,1,3154.0
2015,NUTS,2010,DEA1,2,357.0
2016,NUTS,2010,DEA1,2,322.0
2017,NUTS,2010,DEA1,2,358.0
2018,NUTS,2010,DEA1,2,407.0
2019,NUTS,2010,DEA1,2,414.0
2015,NUTS,2010,DEA2,2,1925.0
2016,NUTS,2010,DEA2,2,2011.0
2017,NUTS,2010,DEA2,2,1996.0
2018,NUTS,2010,DEA2,2,2111.0
2019,NUTS,2010,DEA2,2,2248.0
2015,NUTS,2010,DEA3,2,84.0
2016,NUTS,2010,DEA3,2,80.0
2017,NUTS,2010,DEA3,2,98.0
2018,NUTS,2010,DEA3,2,105.0
2019,NUTS,2010,DEA3,2,96.0
2015,NUTS,2010,DEA4,2,54.0
2016,NUTS,2010,DEA4,2,57.0
2017,NUTS,2010,DEA4,2,66.0
2018,NUTS,2010,DEA4,2,71.0
2019,NUTS,2010,DEA4,2,73.0
2015,NUTS,2010,DEA5,2,303.0
2016,NUTS,2010,DEA5,2,327.0
2017,NUTS,2010,DEA5,2,324.0
2018,NUTS,2010,DEA5,2,330.0
2019,NUTS,2010,DEA5,2,323.0
2015,NUTS,2010,DEB,1,297.0
2016,NUTS,2010,DEB,1,351.0
2017,NUTS,2010,DEB,1,378.0
2018,NUTS,2010,DEB,1,392.0
2019,NUTS,2010,DEB,1,476.0
2015,NUTS,2010,DEB1,2,36.0
2016,NUTS,2010,DEB1,2,40.0
2017,NUTS,2010,DEB1,2,35.0
2018,NUTS,2010,DEB1,2,39.0
2019,NUTS,2010,DEB1,2,49.0
2015,NUTS,2010,DEB2,2,7.0
2016,NUTS,2010,DEB2,2,7.0
2017,NUTS,2010,DEB2,2,8.0
2018,NUTS,2010,DEB2,2,10.0
2019,NUTS,2010,DEB2,2,23.0
2015,NUTS,2010,DEB3,2,253.0
2016,NUTS,2010,DEB3,2,303.0
2017,NUTS,2010,DEB3,2,335.0
2018,NUTS,2010,DEB3,2,342.0
2019,NUTS,2010,DEB3,2,403.0
2015,NUTS,2010,DEC,1,176.0
2016,NUTS,2010,DEC,1,196.0
2017,NUTS,2010,DEC,1,169.0
2018,NUTS,2010,DEC,1,174.0
2019,NUTS,2010,DEC,1,235.0
2015,NUTS,2010,DEC0,2,176.0
2016,NUTS,2010,DEC0,2,196.0
2017,NUTS,2010,DEC0,2,169.0
2018,NUTS,2010,DEC0,2,174.0
2019,NUTS,2010,DEC0,2,235.0
2015,NUTS,2010,DED,1,1251.0
2016,NUTS,2010,DED,1,1236.0
2017,NUTS,2010,DED,1,1294.0
2018,NUTS,2010,DED,1,1361.0
2019,NUTS,2010,DED,1,1434.0
2015,NUTS,2010,DED2,2,645.0
2016,NUTS,2010,DED2,2,603.0
2017,NUTS,2010,DED2,2,638.0
2018,NUTS,2010,DED2,2,661.0
2019,NUTS,2010,DED2,2,699.0
2015,NUTS,2010,DED4,2,108.0
2016,NUTS,2010,DED4,2,123.0
2017,NUTS,2010,DED4,2,121.0
2018,NUTS,2010,DED4,2,122.0
2019,NUTS,2010,DED4,2,127.0
2015,NUTS,2010,DED5,2,498.0
2016,NUTS,2010,DED5,2,510.0
2017,NUTS,2010,DED5,2,535.0
2018,NUTS,2010,DED5,2,577.0
2019,NUTS,2010,DED5,2,607.0
2015,NUTS,2010,DEE,1,497.0
2016,NUTS,2010,DEE,1,502.0
2017,NUTS,2010,DEE,1,528.0
2018,NUTS,2010,DEE,1,554.0
2019,NUTS,2010,DEE,1,542.0
2015,NUTS,2010,DEE0,2,497.0
2016,NUTS,2010,DEE0,2,502.0
2017,NUTS,2010,DEE0,2,528.0
2018,NUTS,2010,DEE0,2,554.0
2019,NUTS,2010,DEE0,2,542.0
2015,NUTS,2010,DEF,1,437.0
2016,NUTS,2010,DEF,1,435.0
2017,NUTS,2010,DEF,1,517.0
2018,NUTS,2010,DEF,1,518.0
2019,NUTS,2010,DEF,1,534.0
2015,NUTS,2010,DEF0,2,437.0
2016,NUTS,2010,DEF0,2,435.0
2017,NUTS,2010,DEF0,2,517.0
2018,NUTS,2010,DEF0,2,518.0
2019,NUTS,2010,DEF0,2,534.0
2015,NUTS,2010,DEG,1,441.0
2016,NUTS,2010,DEG,1,509.0
2017,NUTS,2010,DEG,1,470.0
2018,NUTS,2010,DEG,1,513.0
2019,NUTS,2010,DEG,1,506.0
2015,NUTS,2010,DEG0,2,441.0
2016,NUTS,2010,DEG0,2,509.0
2017,NUTS,2010,DEG0,2,470.0
2018,NUTS,2010,DEG0,2,513.0
2019,NUTS,2010,DEG0,2,506.0
2015,NUTS,2010,DEZ,1,106.0
2016,NUTS,2010,DEZ,1,104.0
2017,NUTS,2010,DEZ,1,105.0
2018,NUTS,2010,DEZ,1,129.0
2019,NUTS,2010,DEZ,1,137.0
2015,NUTS,2010,DEZZ,2,106.0
2016,NUTS,2010,DEZZ,2,104.0
2017,NUTS,2010,DEZZ,2,105.0
2018,NUTS,2010,DEZZ,2,129.0
2019,NUTS,2010,DEZZ,2,137.0
2011,NUTS,2010,DK,0,405.0
2012,NUTS,2010,DK,0,524.0
2013,NUTS,2010,DK,0,590.0
2014,NUTS,2010,DK,0,662.0
2015,NUTS,2010,DK,0,692.0
2016,NUTS,2010,DK,0,682.0
2017,NUTS,2010,DK,0,748.0
2018,NUTS,2010,DK,0,784.0
2019,NUTS,2010,DK,0,750.0
2011,NUTS,2010,DK0,1,405.0
2012,NUTS,2010,DK0,1,524.0
2013,NUTS,2010,DK0,1,590.0
2014,NUTS,2010,DK0,1,662.0
2015,NUTS,2010,DK0,1,693.0
2016,NUTS,2010,DK0,1,683.0
2017,NUTS,2010,DK0,1,748.0
2018,NUTS,2010,DK0,1,784.0
2019,NUTS,2010,DK0,1,750.0
2011,NUTS,2010,DK01,2,274.0
2012,NUTS,2010,DK01,2,256.0
2013,NUTS,2010,DK01,2,251.0
2014,NUTS,2010,DK01,2,277.0
2015,NUTS,2010,DK01,2,259.0
2016,NUTS,2010,DK01,2,239.0
2017,NUTS,2010,DK01,2,344.0
2019,NUTS,2010,DK01,2,395.0
2011,NUTS,2010,DK02,2,38.0
2012,NUTS,2010,DK02,2,33.0
2013,NUTS,2010,DK02,2,67.0
2014,NUTS,2010,DK02,2,100.0
2015,NUTS,2010,DK02,2,123.0
2016,NUTS,2010,DK02,2,91.0
2017,NUTS,2010,DK02,2,98.0
2019,NUTS,2010,DK02,2,67.0
2011,NUTS,2010,DK03,2,8.0
2012,NUTS,2010,DK03,2,68.0
2013,NUTS,2010,DK03,2,71.0
2014,NUTS,2010,DK03,2,89.0
2015,NUTS,2010,DK03,2,112.0
2016,NUTS,2010,DK03,2,121.0
2017,NUTS,2010,DK03,2,14.0
2019,NUTS,2010,DK03,2,22.0
2011,NUTS,2010,DK04,2,83.0
2012,NUTS,2010,DK04,2,159.0
2013,NUTS,2010,DK04,2,189.0
2014,NUTS,2010,DK04,2,190.0
2015,NUTS,2010,DK04,2,186.0
2016,NUTS,2010,DK04,2,227.0
2017,NUTS,2010,DK04,2,185.0
2019,NUTS,2010,DK04,2,164.0
2011,NUTS,2010,DK05,2,3.0
2012,NUTS,2010,DK05,2,8.0
2013,NUTS,2010,DK05,2,12.0
2014,NUTS,2010,DK05,2,7.0
2015,NUTS,2010,DK05,2,13.0
2016,NUTS,2010,DK05,2,5.0
2017,NUTS,2010,DK05,2,107.0
2019,NUTS,2010,DK05,2,103.0
2011,NUTS,2010,EE,0,326.0
2012,NUTS,2010,EE,0,335.0
2013,NUTS,2010,EE,0,328.0
2014,NUTS,2010,EE,0,318.0
2015,NUTS,2010,EE,0,322.0
