year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_fte_pnp_total_t
1981,NUTS,2010,AT,0,443.0
1985,NUTS,2010,AT,0,481.0
1989,NUTS,2010,AT,0,500.0
1993,NUTS,2010,AT,0,100.0
1998,NUTS,2010,AT,0,148.0
2002,NUTS,2010,AT,0,227.0
2004,NUTS,2010,AT,0,212.0
2005,NUTS,2010,AT,0,174.0
2006,NUTS,2010,AT,0,161.0
2007,NUTS,2010,AT,0,162.0
2008,NUTS,2010,AT,0,177.0
2009,NUTS,2010,AT,0,397.0
2010,NUTS,2010,AT,0,411.0
2011,NUTS,2010,AT,0,410.0
2012,NUTS,2010,AT,0,399.0
2013,NUTS,2010,AT,0,396.0
2014,NUTS,2010,AT,0,480.0
2015,NUTS,2010,AT,0,507.0
2016,NUTS,2010,AT,0,579.0
2017,NUTS,2010,AT,0,585.0
2018,NUTS,2010,AT,0,618.0
2019,NUTS,2010,AT,0,625.0
2020,NUTS,2010,AT,0,733.0
1981,NUTS,2010,AT1,1,397.0
1985,NUTS,2010,AT1,1,415.0
1989,NUTS,2010,AT1,1,386.0
1993,NUTS,2010,AT1,1,81.0
1998,NUTS,2010,AT1,1,115.0
2006,NUTS,2010,AT1,1,144.0
2007,NUTS,2010,AT1,1,136.0
2009,NUTS,2010,AT1,1,389.0
2011,NUTS,2010,AT1,1,381.0
2013,NUTS,2010,AT1,1,368.0
2015,NUTS,2010,AT1,1,469.0
2017,NUTS,2010,AT1,1,537.0
2019,NUTS,2010,AT1,1,568.0
1985,NUTS,2010,AT11,2,3.0
1989,NUTS,2010,AT11,2,4.0
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
1981,NUTS,2010,AT12,2,14.0
1985,NUTS,2010,AT12,2,18.0
1989,NUTS,2010,AT12,2,13.0
1993,NUTS,2010,AT12,2,2.0
1998,NUTS,2010,AT12,2,14.0
2002,NUTS,2010,AT12,2,11.0
2004,NUTS,2010,AT12,2,8.0
2006,NUTS,2010,AT12,2,12.0
2007,NUTS,2010,AT12,2,13.0
2009,NUTS,2010,AT12,2,194.0
2011,NUTS,2010,AT12,2,194.0
2013,NUTS,2010,AT12,2,183.0
2015,NUTS,2010,AT12,2,223.0
2017,NUTS,2010,AT12,2,264.0
1981,NUTS,2010,AT13,2,384.0
1985,NUTS,2010,AT13,2,394.0
1989,NUTS,2010,AT13,2,369.0
1993,NUTS,2010,AT13,2,79.0
1998,NUTS,2010,AT13,2,100.0
2002,NUTS,2010,AT13,2,157.0
2004,NUTS,2010,AT13,2,162.0
2006,NUTS,2010,AT13,2,132.0
2007,NUTS,2010,AT13,2,123.0
2009,NUTS,2010,AT13,2,194.0
2011,NUTS,2010,AT13,2,187.0
2013,NUTS,2010,AT13,2,185.0
2015,NUTS,2010,AT13,2,247.0
2017,NUTS,2010,AT13,2,273.0
2019,NUTS,2010,AT13,2,286.0
1981,NUTS,2010,AT2,1,2.0
1985,NUTS,2010,AT2,1,12.0
1989,NUTS,2010,AT2,1,26.0
1993,NUTS,2010,AT2,1,8.0
1998,NUTS,2010,AT2,1,8.0
2006,NUTS,2010,AT2,1,5.0
2019,NUTS,2010,AT2,1,9.0
1981,NUTS,2010,AT21,2,2.0
1985,NUTS,2010,AT21,2,3.0
1989,NUTS,2010,AT21,2,4.0
1993,NUTS,2010,AT21,2,3.0
1998,NUTS,2010,AT21,2,5.0
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,8.0
1981,NUTS,2010,AT22,2,1.0
1985,NUTS,2010,AT22,2,9.0
1989,NUTS,2010,AT22,2,23.0
1993,NUTS,2010,AT22,2,5.0
1998,NUTS,2010,AT22,2,3.0
2002,NUTS,2010,AT22,2,13.0
2004,NUTS,2010,AT22,2,17.0
2006,NUTS,2010,AT22,2,5.0
2009,NUTS,2010,AT22,2,0.0
1981,NUTS,2010,AT3,1,44.0
1985,NUTS,2010,AT3,1,54.0
1989,NUTS,2010,AT3,1,87.0
1993,NUTS,2010,AT3,1,12.0
1998,NUTS,2010,AT3,1,26.0
2002,NUTS,2010,AT3,1,39.0
2004,NUTS,2010,AT3,1,26.0
2006,NUTS,2010,AT3,1,11.0
2007,NUTS,2010,AT3,1,23.0
2019,NUTS,2010,AT3,1,48.0
1981,NUTS,2010,AT31,2,9.0
1985,NUTS,2010,AT31,2,13.0
1989,NUTS,2010,AT31,2,27.0
1993,NUTS,2010,AT31,2,5.0
1998,NUTS,2010,AT31,2,17.0
2002,NUTS,2010,AT31,2,9.0
2004,NUTS,2010,AT31,2,5.0
2006,NUTS,2010,AT31,2,9.0
2009,NUTS,2010,AT31,2,5.0
2011,NUTS,2010,AT31,2,13.0
2013,NUTS,2010,AT31,2,14.0
2015,NUTS,2010,AT31,2,8.0
2017,NUTS,2010,AT31,2,9.0
2019,NUTS,2010,AT31,2,13.0
1981,NUTS,2010,AT32,2,16.0
1985,NUTS,2010,AT32,2,24.0
1989,NUTS,2010,AT32,2,23.0
1993,NUTS,2010,AT32,2,6.0
1998,NUTS,2010,AT32,2,1.0
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,21.0
2017,NUTS,2010,AT32,2,30.0
2019,NUTS,2010,AT32,2,28.0
1981,NUTS,2010,AT33,2,17.0
