year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_t_fte_rse
2000,NUTS,2010,BE,0,1809.0
2001,NUTS,2010,BE,0,1941.0
2002,NUTS,2010,BE,0,1980.0
2003,NUTS,2010,BE,0,2026.0
2004,NUTS,2010,BE,0,2215.0
2005,NUTS,2010,BE,0,2274.0
2006,NUTS,2010,BE,0,2424.0
2007,NUTS,2010,BE,0,2526.0
2008,NUTS,2010,BE,0,2661.0
2009,NUTS,2010,BE,0,2820.0
2010,NUTS,2010,BE,0,2650.0
2011,NUTS,2010,BE,0,2781.0
2012,NUTS,2010,BE,0,3591.0
2013,NUTS,2010,BE,0,3657.0
2014,NUTS,2010,BE,0,4062.0
2015,NUTS,2010,BE,0,4041.0
2016,NUTS,2010,BE,0,4290.0
2017,NUTS,2010,BE,0,4486.0
2018,NUTS,2010,BE,0,5283.0
2019,NUTS,2010,BE,0,5490.0
2020,NUTS,2010,BE,0,5852.0
1998,NUTS,2010,BE1,1,465.0
1999,NUTS,2010,BE1,1,511.0
2000,NUTS,2010,BE1,1,481.0
2001,NUTS,2010,BE1,1,494.0
2002,NUTS,2010,BE1,1,547.0
2003,NUTS,2010,BE1,1,549.0
2004,NUTS,2010,BE1,1,627.0
2005,NUTS,2010,BE1,1,651.0
2006,NUTS,2010,BE1,1,789.0
2007,NUTS,2010,BE1,1,805.0
2008,NUTS,2010,BE1,1,735.0
2009,NUTS,2010,BE1,1,738.0
2010,NUTS,2010,BE1,1,708.0
2011,NUTS,2010,BE1,1,710.0
2012,NUTS,2010,BE1,1,1069.0
2013,NUTS,2010,BE1,1,1096.0
2014,NUTS,2010,BE1,1,1055.0
2015,NUTS,2010,BE1,1,1121.0
2016,NUTS,2010,BE1,1,1221.0
2017,NUTS,2010,BE1,1,1224.0
2018,NUTS,2010,BE1,1,1299.0
2019,NUTS,2010,BE1,1,1350.0
1998,NUTS,2010,BE10,2,465.0
1999,NUTS,2010,BE10,2,511.0
2000,NUTS,2010,BE10,2,481.0
2001,NUTS,2010,BE10,2,494.0
2002,NUTS,2010,BE10,2,547.0
2003,NUTS,2010,BE10,2,549.0
2004,NUTS,2010,BE10,2,627.0
2005,NUTS,2010,BE10,2,651.0
2006,NUTS,2010,BE10,2,789.0
2007,NUTS,2010,BE10,2,805.0
2008,NUTS,2010,BE10,2,735.0
2009,NUTS,2010,BE10,2,738.0
2010,NUTS,2010,BE10,2,708.0
2011,NUTS,2010,BE10,2,710.0
2012,NUTS,2010,BE10,2,1069.0
2013,NUTS,2010,BE10,2,1096.0
2014,NUTS,2010,BE10,2,1055.0
2015,NUTS,2010,BE10,2,1121.0
2016,NUTS,2010,BE10,2,1221.0
2017,NUTS,2010,BE10,2,1224.0
2018,NUTS,2010,BE10,2,1299.0
2019,NUTS,2010,BE10,2,1350.0
1998,NUTS,2010,BE2,1,968.0
1999,NUTS,2010,BE2,1,1059.0
2000,NUTS,2010,BE2,1,1205.0
2001,NUTS,2010,BE2,1,1324.0
2002,NUTS,2010,BE2,1,1285.0
2003,NUTS,2010,BE2,1,1327.0
2004,NUTS,2010,BE2,1,1454.0
2005,NUTS,2010,BE2,1,1485.0
2006,NUTS,2010,BE2,1,1500.0
2007,NUTS,2010,BE2,1,1585.0
2008,NUTS,2010,BE2,1,1650.0
2009,NUTS,2010,BE2,1,1791.0
2010,NUTS,2010,BE2,1,1836.0
2011,NUTS,2010,BE2,1,1926.0
2012,NUTS,2010,BE2,1,2337.0
2013,NUTS,2010,BE2,1,2378.0
2014,NUTS,2010,BE2,1,2715.0
2015,NUTS,2010,BE2,1,2622.0
2016,NUTS,2010,BE2,1,2830.0
2017,NUTS,2010,BE2,1,3023.0
2018,NUTS,2010,BE2,1,3776.0
2019,NUTS,2010,BE2,1,3929.0
1998,NUTS,2010,BE3,1,166.0
1999,NUTS,2010,BE3,1,169.0
2000,NUTS,2010,BE3,1,123.0
2001,NUTS,2010,BE3,1,124.0
2002,NUTS,2010,BE3,1,148.0
2003,NUTS,2010,BE3,1,150.0
2004,NUTS,2010,BE3,1,133.0
2005,NUTS,2010,BE3,1,138.0
2006,NUTS,2010,BE3,1,136.0
2007,NUTS,2010,BE3,1,137.0
2008,NUTS,2010,BE3,1,276.0
2009,NUTS,2010,BE3,1,291.0
2010,NUTS,2010,BE3,1,106.0
2011,NUTS,2010,BE3,1,145.0
2012,NUTS,2010,BE3,1,185.0
2013,NUTS,2010,BE3,1,183.0
2014,NUTS,2010,BE3,1,292.0
2015,NUTS,2010,BE3,1,298.0
2016,NUTS,2010,BE3,1,239.0
2017,NUTS,2010,BE3,1,238.0
2018,NUTS,2010,BE3,1,208.0
2019,NUTS,2010,BE3,1,211.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,11757.0
1994,NUTS,2010,BG,0,7243.0
1995,NUTS,2010,BG,0,7198.0
1996,NUTS,2010,BG,0,8007.0
1997,NUTS,2010,BG,0,7425.0
1998,NUTS,2010,BG,0,7501.0
1999,NUTS,2010,BG,0,7060.0
2000,NUTS,2010,BG,0,6417.0
2001,NUTS,2010,BG,0,6082.0
2002,NUTS,2010,BG,0,6067.0
2003,NUTS,2010,BG,0,6113.0
2004,NUTS,2010,BG,0,6168.0
2005,NUTS,2010,BG,0,6076.0
2006,NUTS,2010,BG,0,6148.0
2007,NUTS,2010,BG,0,6178.0
2008,NUTS,2010,BG,0,6038.0
2009,NUTS,2010,BG,0,5805.0
2010,NUTS,2010,BG,0,5757.0
2011,NUTS,2010,BG,0,5776.0
2012,NUTS,2010,BG,0,5339.0
2013,NUTS,2010,BG,0,5305.0
2014,NUTS,2010,BG,0,5038.0
2015,NUTS,2010,BG,0,4749.0
2016,NUTS,2010,BG,0,4695.0
2017,NUTS,2010,BG,0,4626.0
2018,NUTS,2010,BG,0,4530.0
2019,NUTS,2010,BG,0,4718.0
2020,NUTS,2010,BG,0,4792.0
2002,NUTS,2010,BG3,1,464.0
2003,NUTS,2010,BG3,1,483.0
2004,NUTS,2010,BG3,1,512.0
2005,NUTS,2010,BG3,1,485.0
2006,NUTS,2010,BG3,1,533.0
2007,NUTS,2010,BG3,1,528.0
2009,NUTS,2010,BG3,1,471.0
2010,NUTS,2010,BG3,1,583.0
2011,NUTS,2010,BG3,1,464.0
2012,NUTS,2010,BG3,1,514.0
2013,NUTS,2010,BG3,1,517.0
2014,NUTS,2010,BG3,1,430.0
2015,NUTS,2010,BG3,1,393.0
2016,NUTS,2010,BG3,1,389.0
2017,NUTS,2010,BG3,1,414.0
2018,NUTS,2010,BG3,1,415.0
2002,NUTS,2010,BG31,2,136.0
2003,NUTS,2010,BG31,2,150.0
2004,NUTS,2010,BG31,2,137.0
2005,NUTS,2010,BG31,2,147.0
2006,NUTS,2010,BG31,2,145.0
2007,NUTS,2010,BG31,2,133.0
2009,NUTS,2010,BG31,2,112.0
2010,NUTS,2010,BG31,2,157.0
2011,NUTS,2010,BG31,2,133.0
2012,NUTS,2010,BG31,2,152.0
2013,NUTS,2010,BG31,2,144.0
2014,NUTS,2010,BG31,2,129.0
2015,NUTS,2010,BG31,2,127.0
2018,NUTS,2010,BG31,2,157.0
2002,NUTS,2010,BG32,2,47.0
2003,NUTS,2010,BG32,2,46.0
2004,NUTS,2010,BG32,2,56.0
2005,NUTS,2010,BG32,2,58.0
2006,NUTS,2010,BG32,2,54.0
2007,NUTS,2010,BG32,2,49.0
2008,NUTS,2010,BG32,2,47.0
2009,NUTS,2010,BG32,2,56.0
2010,NUTS,2010,BG32,2,52.0
2011,NUTS,2010,BG32,2,37.0
2012,NUTS,2010,BG32,2,38.0
2013,NUTS,2010,BG32,2,80.0
2014,NUTS,2010,BG32,2,34.0
2019,NUTS,2010,BG32,2,30.0
2002,NUTS,2010,BG33,2,195.0
2003,NUTS,2010,BG33,2,198.0
2004,NUTS,2010,BG33,2,220.0
2005,NUTS,2010,BG33,2,222.0
2006,NUTS,2010,BG33,2,226.0
2007,NUTS,2010,BG33,2,241.0
2008,NUTS,2010,BG33,2,266.0
2009,NUTS,2010,BG33,2,213.0
2010,NUTS,2010,BG33,2,269.0
2011,NUTS,2010,BG33,2,196.0
2012,NUTS,2010,BG33,2,217.0
2013,NUTS,2010,BG33,2,201.0
2014,NUTS,2010,BG33,2,180.0
2015,NUTS,2010,BG33,2,159.0
2016,NUTS,2010,BG33,2,163.0
2017,NUTS,2010,BG33,2,150.0
2018,NUTS,2010,BG33,2,159.0
2019,NUTS,2010,BG33,2,176.0
2002,NUTS,2010,BG34,2,86.0
2003,NUTS,2010,BG34,2,89.0
2004,NUTS,2010,BG34,2,99.0
2005,NUTS,2010,BG34,2,58.0
2006,NUTS,2010,BG34,2,108.0
2007,NUTS,2010,BG34,2,105.0
2008,NUTS,2010,BG34,2,100.0
2009,NUTS,2010,BG34,2,90.0
2010,NUTS,2010,BG34,2,105.0
2011,NUTS,2010,BG34,2,98.0
2012,NUTS,2010,BG34,2,107.0
2013,NUTS,2010,BG34,2,92.0
2014,NUTS,2010,BG34,2,87.0
2016,NUTS,2010,BG34,2,78.0
2002,NUTS,2010,BG4,1,5603.0
2003,NUTS,2010,BG4,1,5630.0
2004,NUTS,2010,BG4,1,5656.0
2005,NUTS,2010,BG4,1,5591.0
2006,NUTS,2010,BG4,1,5615.0
2007,NUTS,2010,BG4,1,5650.0
2009,NUTS,2010,BG4,1,5334.0
2010,NUTS,2010,BG4,1,5174.0
2011,NUTS,2010,BG4,1,5312.0
2012,NUTS,2010,BG4,1,4825.0
2013,NUTS,2010,BG4,1,4788.0
2014,NUTS,2010,BG4,1,4608.0
2015,NUTS,2010,BG4,1,4356.0
2016,NUTS,2010,BG4,1,4306.0
2017,NUTS,2010,BG4,1,4212.0
2018,NUTS,2010,BG4,1,4115.0
1999,NUTS,2010,BG41,2,6396.0
2000,NUTS,2010,BG41,2,5795.0
2002,NUTS,2010,BG41,2,5453.0
2003,NUTS,2010,BG41,2,5475.0
2005,NUTS,2010,BG41,2,5402.0
2006,NUTS,2010,BG41,2,5435.0
2007,NUTS,2010,BG41,2,5464.0
2008,NUTS,2010,BG41,2,5244.0
2009,NUTS,2010,BG41,2,5127.0
2010,NUTS,2010,BG41,2,4890.0
2011,NUTS,2010,BG41,2,4983.0
2012,NUTS,2010,BG41,2,4528.0
2013,NUTS,2010,BG41,2,4521.0
2014,NUTS,2010,BG41,2,4297.0
2015,NUTS,2010,BG41,2,4075.0
2016,NUTS,2010,BG41,2,4015.0
2017,NUTS,2010,BG41,2,3912.0
2018,NUTS,2010,BG41,2,3826.0
2019,NUTS,2010,BG41,2,3948.0
2002,NUTS,2010,BG42,2,150.0
2003,NUTS,2010,BG42,2,155.0
2005,NUTS,2010,BG42,2,189.0
2006,NUTS,2010,BG42,2,180.0
2007,NUTS,2010,BG42,2,186.0
2009,NUTS,2010,BG42,2,207.0
2010,NUTS,2010,BG42,2,284.0
2011,NUTS,2010,BG42,2,329.0
2012,NUTS,2010,BG42,2,297.0
2013,NUTS,2010,BG42,2,267.0
2014,NUTS,2010,BG42,2,311.0
2015,NUTS,2010,BG42,2,281.0
2016,NUTS,2010,BG42,2,291.0
2017,NUTS,2010,BG42,2,300.0
2018,NUTS,2010,BG42,2,289.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,779.0
1992,NUTS,2010,CH,0,630.0
1994,NUTS,2010,CH,0,550.0
1996,NUTS,2010,CH,0,555.0
1998,NUTS,2010,CH,0,441.0
2000,NUTS,2010,CH,0,405.0
2002,NUTS,2010,CH,0,460.0
2004,NUTS,2010,CH,0,425.0
2006,NUTS,2010,CH,0,435.0
2008,NUTS,2010,CH,0,488.0
2010,NUTS,2010,CH,0,406.0
2012,NUTS,2010,CH,0,430.0
2014,NUTS,2010,CH,0,466.0
2015,NUTS,2010,CH,0,472.0
2017,NUTS,2010,CH,0,455.0
2019,NUTS,2010,CH,0,645.0
1991,NUTS,2010,CN_X_HK,5,200700.0
1992,NUTS,2010,CN_X_HK,5,208000.0
1993,NUTS,2010,CN_X_HK,5,194000.0
1994,NUTS,2010,CN_X_HK,5,194700.0
1995,NUTS,2010,CN_X_HK,5,184900.0
1996,NUTS,2010,CN_X_HK,5,179800.0
1997,NUTS,2010,CN_X_HK,5,193100.0
1998,NUTS,2010,CN_X_HK,5,162200.0
1999,NUTS,2010,CN_X_HK,5,166800.0
2000,NUTS,2010,CN_X_HK,5,193353.0
2001,NUTS,2010,CN_X_HK,5,186589.0
2002,NUTS,2010,CN_X_HK,5,189151.0
2003,NUTS,2010,CN_X_HK,5,191957.0
2004,NUTS,2010,CN_X_HK,5,190499.0
2005,NUTS,2010,CN_X_HK,5,200377.0
2006,NUTS,2010,CN_X_HK,5,210149.0
2007,NUTS,2010,CN_X_HK,5,230662.0
2008,NUTS,2010,CN_X_HK,5,238970.0
2009,NUTS,2010,CN_X_HK,5,219483.0
2010,NUTS,2010,CN_X_HK,5,231699.0
2011,NUTS,2010,CN_X_HK,5,250250.0
2012,NUTS,2010,CN_X_HK,5,269581.0
2013,NUTS,2010,CN_X_HK,5,288675.0
2014,NUTS,2010,CN_X_HK,5,295899.0
2015,NUTS,2010,CN_X_HK,5,305686.0
2016,NUTS,2010,CN_X_HK,5,336106.0
2017,NUTS,2010,CN_X_HK,5,356805.0
2018,NUTS,2010,CN_X_HK,5,370116.0
2019,NUTS,2010,CN_X_HK,5,390179.0
1991,NUTS,2010,CY,0,105.0
1992,NUTS,2010,CY,0,116.0
1998,NUTS,2010,CY,0,81.0
1999,NUTS,2010,CY,0,82.0
2000,NUTS,2010,CY,0,81.0
2001,NUTS,2010,CY,0,95.0
2002,NUTS,2010,CY,0,104.0
2003,NUTS,2010,CY,0,109.0
2004,NUTS,2010,CY,0,104.0
2005,NUTS,2010,CY,0,107.0
2006,NUTS,2010,CY,0,111.0
2007,NUTS,2010,CY,0,105.0
2008,NUTS,2010,CY,0,107.0
2009,NUTS,2010,CY,0,100.0
2010,NUTS,2010,CY,0,102.0
2011,NUTS,2010,CY,0,97.0
2012,NUTS,2010,CY,0,92.0
2013,NUTS,2010,CY,0,86.0
2014,NUTS,2010,CY,0,83.0
2015,NUTS,2010,CY,0,85.0
2016,NUTS,2010,CY,0,80.0
2017,NUTS,2010,CY,0,87.0
2018,NUTS,2010,CY,0,87.0
2019,NUTS,2010,CY,0,97.0
2020,NUTS,2010,CY,0,95.0
1995,NUTS,2010,CZ,0,4315.0
1996,NUTS,2010,CZ,0,4574.0
1997,NUTS,2010,CZ,0,4597.0
1998,NUTS,2010,CZ,0,4596.0
1999,NUTS,2010,CZ,0,4281.0
2000,NUTS,2010,CZ,0,4424.0
2001,NUTS,2010,CZ,0,4837.0
2002,NUTS,2010,CZ,0,4429.0
2003,NUTS,2010,CZ,0,4833.0
2004,NUTS,2010,CZ,0,4827.0
2005,NUTS,2010,CZ,0,6564.0
2006,NUTS,2010,CZ,0,6992.0
2007,NUTS,2010,CZ,0,7153.0
2008,NUTS,2010,CZ,0,7289.0
2009,NUTS,2010,CZ,0,6498.0
2010,NUTS,2010,CZ,0,6577.0
2011,NUTS,2010,CZ,0,6611.0
2012,NUTS,2010,CZ,0,6453.0
2013,NUTS,2010,CZ,0,6725.0
2014,NUTS,2010,CZ,0,6979.0
2015,NUTS,2010,CZ,0,7393.0
2016,NUTS,2010,CZ,0,7500.0
2017,NUTS,2010,CZ,0,7908.0
2018,NUTS,2010,CZ,0,7879.0
2019,NUTS,2010,CZ,0,7968.0
2020,NUTS,2010,CZ,0,8169.0
1995,NUTS,2010,CZ0,1,4315.0
1996,NUTS,2010,CZ0,1,4574.0
1997,NUTS,2010,CZ0,1,4597.0
1998,NUTS,2010,CZ0,1,4596.0
1999,NUTS,2010,CZ0,1,4281.0
2000,NUTS,2010,CZ0,1,4424.0
2001,NUTS,2010,CZ0,1,4837.0
2002,NUTS,2010,CZ0,1,4429.0
2003,NUTS,2010,CZ0,1,4833.0
2004,NUTS,2010,CZ0,1,4827.0
2005,NUTS,2010,CZ0,1,6564.0
2006,NUTS,2010,CZ0,1,6992.0
2007,NUTS,2010,CZ0,1,7153.0
2008,NUTS,2010,CZ0,1,7289.0
2009,NUTS,2010,CZ0,1,6498.0
2010,NUTS,2010,CZ0,1,6577.0
2011,NUTS,2010,CZ0,1,6611.0
2012,NUTS,2010,CZ0,1,6453.0
2013,NUTS,2010,CZ0,1,6725.0
2014,NUTS,2010,CZ0,1,6979.0
2015,NUTS,2010,CZ0,1,7393.0
2016,NUTS,2010,CZ0,1,7500.0
2017,NUTS,2010,CZ0,1,7908.0
2018,NUTS,2010,CZ0,1,7879.0
2019,NUTS,2010,CZ0,1,7968.0
2020,NUTS,2010,CZ0,1,8169.0
2001,NUTS,2010,CZ01,2,3191.0
2002,NUTS,2010,CZ01,2,3062.0
2003,NUTS,2010,CZ01,2,3318.0
2004,NUTS,2010,CZ01,2,3213.0
2005,NUTS,2010,CZ01,2,4718.0
2006,NUTS,2010,CZ01,2,5013.0
2007,NUTS,2010,CZ01,2,5178.0
2008,NUTS,2010,CZ01,2,5243.0
2009,NUTS,2010,CZ01,2,4807.0
2010,NUTS,2010,CZ01,2,4854.0
2011,NUTS,2010,CZ01,2,4913.0
2012,NUTS,2010,CZ01,2,4771.0
2013,NUTS,2010,CZ01,2,4768.0
2014,NUTS,2010,CZ01,2,5047.0
2015,NUTS,2010,CZ01,2,5057.0
2016,NUTS,2010,CZ01,2,4923.0
2017,NUTS,2010,CZ01,2,5369.0
2018,NUTS,2010,CZ01,2,5194.0
2019,NUTS,2010,CZ01,2,5216.0
2020,NUTS,2010,CZ01,2,5375.0
2001,NUTS,2010,CZ02,2,283.0
2002,NUTS,2010,CZ02,2,304.0
2003,NUTS,2010,CZ02,2,421.0
2004,NUTS,2010,CZ02,2,483.0
2005,NUTS,2010,CZ02,2,538.0
2006,NUTS,2010,CZ02,2,583.0
2007,NUTS,2010,CZ02,2,580.0
2008,NUTS,2010,CZ02,2,605.0
2009,NUTS,2010,CZ02,2,499.0
2010,NUTS,2010,CZ02,2,503.0
2011,NUTS,2010,CZ02,2,475.0
2012,NUTS,2010,CZ02,2,408.0
2013,NUTS,2010,CZ02,2,507.0
2014,NUTS,2010,CZ02,2,516.0
2015,NUTS,2010,CZ02,2,747.0
2016,NUTS,2010,CZ02,2,936.0
2017,NUTS,2010,CZ02,2,844.0
2018,NUTS,2010,CZ02,2,966.0
2019,NUTS,2010,CZ02,2,939.0
2020,NUTS,2010,CZ02,2,941.0
2001,NUTS,2010,CZ03,2,237.0
2002,NUTS,2010,CZ03,2,237.0
2003,NUTS,2010,CZ03,2,220.0
2004,NUTS,2010,CZ03,2,204.0
2005,NUTS,2010,CZ03,2,301.0
2006,NUTS,2010,CZ03,2,343.0
2007,NUTS,2010,CZ03,2,358.0
2008,NUTS,2010,CZ03,2,359.0
2009,NUTS,2010,CZ03,2,291.0
2010,NUTS,2010,CZ03,2,267.0
2011,NUTS,2010,CZ03,2,218.0
2012,NUTS,2010,CZ03,2,215.0
2013,NUTS,2010,CZ03,2,282.0
2014,NUTS,2010,CZ03,2,361.0
2015,NUTS,2010,CZ03,2,344.0
2016,NUTS,2010,CZ03,2,379.0
2017,NUTS,2010,CZ03,2,403.0
2018,NUTS,2010,CZ03,2,386.0
2019,NUTS,2010,CZ03,2,424.0
2020,NUTS,2010,CZ03,2,442.0
2001,NUTS,2010,CZ04,2,85.0
2002,NUTS,2010,CZ04,2,9.0
2003,NUTS,2010,CZ04,2,34.0
2004,NUTS,2010,CZ04,2,39.0
2005,NUTS,2010,CZ04,2,12.0
2006,NUTS,2010,CZ04,2,25.0
2007,NUTS,2010,CZ04,2,16.0
2008,NUTS,2010,CZ04,2,29.0
2009,NUTS,2010,CZ04,2,34.0
2010,NUTS,2010,CZ04,2,20.0
2011,NUTS,2010,CZ04,2,29.0
2012,NUTS,2010,CZ04,2,35.0
2013,NUTS,2010,CZ04,2,30.0
2014,NUTS,2010,CZ04,2,31.0
2015,NUTS,2010,CZ04,2,26.0
2016,NUTS,2010,CZ04,2,24.0
2017,NUTS,2010,CZ04,2,30.0
2018,NUTS,2010,CZ04,2,34.0
2019,NUTS,2010,CZ04,2,38.0
2020,NUTS,2010,CZ04,2,34.0
2001,NUTS,2010,CZ05,2,75.0
2002,NUTS,2010,CZ05,2,55.0
2003,NUTS,2010,CZ05,2,67.0
2004,NUTS,2010,CZ05,2,137.0
2005,NUTS,2010,CZ05,2,70.0
2006,NUTS,2010,CZ05,2,79.0
2007,NUTS,2010,CZ05,2,81.0
2008,NUTS,2010,CZ05,2,78.0
2009,NUTS,2010,CZ05,2,78.0
